asn|aspp_average|moreSpecific_average|selective_average
2936||50.0|
3043|100.0||50.0
3058|100.0||
3064|||33.0
3128|99.49|50.0|50.0
3132|100.0||
3136|100.0||50.0
3147|||63.05
3164|||61.67
3166|52.88||50.0
3170||7.3|82.49
3175|99.31||55.49
3177|||100.0
3186|||100.0
3209|8.38|15.67|87.92
3212||32.49|54.92
3213|||64.47
3214|51.35|4.77|100.0
3215|30.58|15.38|57.22
3216|89.31|32.11|93.41
3222|100.0||
3223|5.67||99.45
3225||33.33|67.0
3226|100.0|50.0|100.0
3236|||50.0
3238|100.0||
3242|16.67|16.67|98.61
3246||4.54|48.0
3249||33.33|47.0
3250|100.0||
3255|100.0||
3257|23.04|10.51|97.55
3258|54.64||87.74
3265|100.0|56.15|37.15
3266||50.0|
3267|52.5|25.54|71.93
3269|||37.9
3277|100.0||
3280|89.8|12.5|95.79
3292||3.89|82.28
3300||49.29|100.0
3301|70.45|2.3|7.16
3302||39.8|47.29
3303|14.49|18.8|98.08
3306|100.0||
3308||12.5|88.0
3316|||85.57
3320|85.76|2.24|77.42
3326|75.0|12.79|85.69
3327||50.0|99.31
3329|96.78|13.79|67.53
3330|100.0||69.53
3331|100.0||
3352||14.31|
3354||50.0|
3356|49.18|4.46|100.0
3359|100.0||
3360|25.47||100.0
3361|||80.3
3363|100.0||
3367||23.4|26.51
3389||36.53|83.82
3390|100.0||
3397|100.0||
3399||8.44|66.31
3423||22.84|
3424||48.08|79.0
3428||50.0|
3456|50.0|18.51|98.91
3462|95.17|1.76|76.91
3464|100.0||
3477||8.36|100.0
3486|71.85|28.74|59.71
3491||11.67|84.59
3495|||100.0
3527|98.04|33.33|70.35
3549|23.82|12.45|91.69
3557|33.33|39.36|88.65
3561|17.45|14.24|94.55
3562||50.0|
3573|2.14|27.04|100.0
3582|100.0||50.0
3595|||72.46
3597||41.23|60.45
3598||22.59|100.0
3599|75.0|24.72|98.71
3605||33.33|99.49
3614|10.44|50.0|97.04
3624|98.72||58.33
3630|||100.0
3651||2.05|
3659||50.0|
3661|||50.0
3662|50.0|50.0|65.57
3676|89.77|25.0|72.37
3680|63.89|38.48|96.0
3685|100.0||
3700|100.0||
3701|100.0||
3713|||50.0
3714|100.0|50.0|50.0
3725|||100.0
3727|100.0||
3728|||58.7
3737||0.91|99.53
3741|31.33|33.54|77.36
3742|100.0||
3754||34.31|61.69
3755|100.0||
3756|100.0||
3758|58.4|19.12|74.36
3778|||50.0
3786||7.84|15.0
3790|100.0||71.6
3801|||100.0
3807|50.0||50.3
3816|58.12|6.9|79.24
3833|89.18|27.21|71.86
3836|100.0||
3842|||99.73
3848|63.9||
3851|92.96|50.0|50.0
3856|100.0||50.0
3900|35.71|19.67|56.65
3908|100.0|25.0|58.96
3910||24.76|62.18
3920|||66.67
3923|98.57||
3943|90.38||85.48
3949|||100.0
3999|100.0||
4007|35.01|23.96|92.11
4046|26.57||64.48
4049|||50.0
4058||10.9|99.65
4130|88.68|50.0|78.44
4134|99.8|0.79|92.52
4136||50.0|57.14
4138|70.88|3.85|53.33
4150||48.66|60.28
4155|||100.0
4158|100.0||
4181||11.6|93.67
4184|||100.0
4185||17.65|
4186|100.0||
4196|||100.0
4213||13.99|100.0
4229|40.0|10.0|99.56
4230|||89.1
4250|||100.0
4258||44.12|58.92
4261||11.38|88.96
4270|25.26|20.84|86.39
4323||10.43|30.21
4382|100.0||
4385|||50.0
4434|25.14|13.54|94.85
4436|43.16|10.86|82.42
4455|37.39|39.39|96.77
4459|100.0||
4473||44.44|
4508|91.67|62.22|67.0
4515|12.08|13.54|48.6
4528|100.0||
4538|55.34|1.04|100.0
4555|||50.0
4556||10.51|91.0
4557|70.25|24.17|94.24
4589||14.69|50.8
4594|100.0||
4608|73.74|10.93|56.54
4609|95.96|33.33|67.0
4613|100.0||
4618|70.51|32.51|98.98
4621|93.4|43.24|54.0
4622||20.0|
4628|100.0|46.49|
