asn|aspp_average|moreSpecific_average|selective_average
21283|100.0|33.33|100.0
21286|97.22||34.89
21287||50.0|
21297|100.0||
21299||14.82|100.0
21313|100.0||
21315|100.0||
21320||33.33|56.09
21321|35.21||92.95
21334||20.71|50.6
21342|||97.65
21343|100.0||
21344|100.0||
21345||33.33|57.0
21351|36.18|29.47|99.54
21367|93.33||49.92
21371|36.33|15.26|98.92
21385|100.0||
21395||49.53|51.09
21396|98.33|27.81|46.13
21399|100.0||
21406|86.57||50.0
21409|||50.0
21412|98.91||35.57
21413|37.81|17.78|81.78
21416|25.0||75.9
21430|72.5||88.1
21433|51.7|33.54|91.8
21436|||100.0
21450|13.38|19.16|
21453|100.0|46.06|35.75
21466|100.0||
21472||50.0|50.0
21473|||86.51
21476|100.0||
21485|84.38|50.0|35.43
21497|100.0||
21501|100.0||25.0
21513||50.0|50.0
21527||30.81|63.78
21529|||100.0
21530||41.66|
21534|24.36||100.0
21538||45.33|50.0
21547||20.0|86.67
21548||50.0|91.67
21554|||50.0
21556|||68.34
21557|47.75|44.79|44.83
21565||46.67|
21570|74.06|30.89|78.77
21574|100.0|50.0|66.67
21575|3.25|3.58|89.64
21581|47.93|27.28|99.41
21599|78.57|43.33|50.0
21623|||50.0
21632|100.0|10.32|39.33
21641|100.0||
21662|100.0||
21664|||100.0
21701||50.0|
21722|100.0||33.0
21737|||50.0
21738|45.28|16.25|86.45
21740|50.64||100.0
21743||33.33|65.49
21761||17.69|99.23
21766||3.36|100.0
21775||21.76|100.0
21777|15.72||86.22
21778|100.0||
21779|65.15|50.0|82.89
21782|||50.0
21804||33.33|100.0
21805|||67.0
21826||42.95|62.44
21835|100.0||
21837|100.0||94.23
21856|100.0||
21859|7.38|7.14|97.76
21869||50.0|
21889||6.63|20.14
21898|100.0||
21903||16.67|83.5
21928|3.51|2.72|100.0
21947|||58.65
21948|31.73|17.23|100.0
21949|93.14||100.0
21951|100.0||
21957||50.0|50.0
21973|44.17||93.26
21976|||51.44
21987|100.0||
22011|25.0|20.0|81.83
22047|100.0|33.33|67.0
22056|66.67||100.0
22058||25.0|75.0
22062|||50.0
22070|100.0||
22080|||99.25
22085|34.67|10.08|75.75
22121|100.0||
22128||33.33|67.0
22129||33.33|
22132||50.0|100.0
22142||45.83|
22166||33.33|
22177|53.33|34.34|88.84
22188|100.0||
22190||50.0|
22192|||100.0
22205|100.0|50.0|
22208|||98.47
22216|||100.0
22241|||99.14
22280|96.43|50.0|50.0
22284|100.0||
22296|90.0||50.0
22297|100.0||
22299|100.0||
22300|25.0||93.71
22302||13.58|57.48
22317|||100.0
22343||10.01|78.45
22355|77.5|44.59|80.37
22356|4.61|23.14|96.46
22360||33.33|33.0
22364||38.46|
22379|3.83|41.51|92.5
22381||50.0|100.0
22384|||50.0
22394|70.48|3.45|99.98
22395||50.0|96.67
22400||14.29|
22411|100.0||32.73
22413|100.0||
22414||50.0|50.0
22418|41.49|39.39|100.0
22423|||100.0
22431|91.67|34.72|73.31
22438|100.0||
22439||33.33|68.05
22442||23.15|82.39
22458||35.22|35.87
22462|||100.0
22489||43.92|58.6
22512|100.0||
22516|||50.0
22518|100.0||
22541|||88.41
22547|100.0||
22548|100.0||
22549|||67.0
22552|100.0||
22557|||98.03
22566|||33.0
22584||50.0|
22600|||100.0
22601||20.0|80.0
22604|||100.0
22606|100.0||
22611|||100.0
22612||42.28|50.0
22616|35.18|34.52|81.14
22617|100.0||
22625||43.75|55.93
22639|100.0||68.91
22645|50.0|45.05|77.72
22649||50.0|
22652|45.89|17.92|76.75
22653|||50.0
22663|||100.0
22686|97.73|50.0|100.0
22689|33.58|23.91|86.13
22692||50.0|
22693|100.0||
22697||6.92|100.0
22698|100.0||
22711||34.47|67.23
22724|98.83|12.44|87.9
22742|98.72||71.44
22750||20.0|93.33
22753||50.0|96.15
22768||32.5|100.0
22769|||25.0
22773|55.49|8.75|69.84
22781|100.0|12.76|
22787|11.65|6.52|100.0
22799|||50.0
22803|||100.0
22804|97.22||50.0
22819|100.0||
22822|37.51|28.6|98.26
22828|100.0|50.0|100.0
22843|99.02||67.0
22845|100.0||
22847||25.0|75.0
22873|100.0||
22884|8.28|20.05|
22894|90.92|44.17|94.25
22906|68.18||34.96
22908|91.33|39.68|99.57
22909||3.85|
22911|47.5|25.16|51.14
22915|100.0||
22921|||50.0
22923||16.46|70.42
22925|90.78|11.69|72.86
22927||1.87|98.4
22933||25.0|
22937||28.58|69.35
22950|100.0||
22958||14.91|84.33
22964|||73.55
22966|100.0||
22974|||50.0
22987|||50.0
22989|||100.0
22990|91.67||
22992||38.74|80.64
22995|85.13|11.54|76.29
23002||33.33|
23005|30.98|16.16|82.84
23008|||100.0
23026|26.67||73.35
23028||15.02|72.17
23031|42.77|9.22|98.72
23033|83.26|17.85|87.25
23036||50.0|
23039|100.0||
23059||14.92|70.49
23074|100.0||
23089|24.47|27.94|89.0
23106|86.36|21.09|95.83
23118|100.0||
23121|||100.0
23127|||50.0
23138|90.08|34.37|69.67
23140|100.0||
23145|100.0||
23148||12.5|100.0
23175|||50.0
23177|100.0||
23201||22.98|63.32
23237|100.0||
23243|75.0|20.06|58.5
23248|100.0|34.03|67.0
23265||50.0|
23278|100.0||
23279|100.0||
23307|100.0||
23328||50.0|59.38
23342|68.45|36.01|17.88
23344|18.53||100.0
23347|50.12|19.72|100.0
23352|38.49|39.12|100.0
23367||36.84|38.27
23376|||50.0
23379|39.38|12.61|93.86
23383||33.33|
23393|67.35|15.98|99.16
23404||48.41|47.57
23428|14.29|14.29|99.29
23431|100.0||
23454|100.0||52.22
23455|100.0||100.0
23459|||62.5
23467|100.0||
23470|31.62||98.0
23472|||100.0
23473||3.29|97.97
23487|70.43|36.8|76.41
23498||39.74|90.42
23520||18.34|87.5
23539|||67.96
23563|99.73||6.0
23576||20.88|100.0
23596||50.0|76.37
23599|||67.0
23600||47.22|88.91
23616|100.0||
23629|100.0||
23631|100.0||
23633|100.0||
23634|100.0||
23637|100.0|13.69|
23639|100.0||
23650||11.73|
23655|61.67|7.2|92.05
23661|100.0||
23664|79.17||
23666||33.33|
23671|||95.83
23673|33.33|16.97|76.07
23674||13.35|96.03
23678||45.53|76.87
23679|65.54|21.23|84.29
23686||50.0|75.0
23687|100.0||
23688|20.98|31.08|97.77
23693|2.38|12.21|71.25
23700||5.85|
23703|100.0||
23704||66.67|
23724||1.58|
23728|100.0||50.0
23736|||24.5
23738||8.47|100.0
23748|||86.0
23752|28.76|18.77|26.65
23756|41.67|11.54|77.83
23764|||100.0
23767|65.91||75.0
23772||20.84|95.0
23776|100.0||
23777||50.0|50.0
23778|100.0||
23783||50.0|90.41
23791|100.0||
23805|100.0||
23820||19.26|58.88
23831|100.0||
23836|100.0||
23838|100.0|15.1|88.22
23844||50.0|
23848|27.33||99.17
23853||50.0|50.0
23855|100.0||
23856|100.0||
23858|46.29||58.82
23860|16.87|12.03|93.39
23869||38.43|36.0
23870|30.19|33.33|98.48
23871||37.72|100.0
23879|100.0|50.0|100.0
23880|||100.0
23881|69.23||84.92
23884|98.52|14.29|14.0
23888|21.94|4.0|87.39
23889|33.9|33.33|77.24
23901|||100.0
23902|50.0||82.13
23903|100.0||32.53
23905|100.0||
23907||50.0|99.09
23910||13.71|97.15
23911|98.28|25.0|84.26
23926|100.0||
23944||28.57|59.74
23947|50.0|46.6|60.8
23948||50.0|
23951|21.25|6.99|86.52
23955||3.3|
23956||16.66|
23959|50.46||85.26
23961|57.5||66.54
23966||27.56|83.0
23969||21.81|51.07
23991|||100.0
24005|100.0|50.0|
24020||33.33|
24023||50.0|100.0
24028|||30.65
24043|100.0||
24060|100.0||
24066|||81.86
24085|21.22|20.62|21.42
24088|50.0||78.57
24089|100.0||
24090||33.82|77.21
24107||33.33|
24121||33.33|100.0
24122|100.0|29.35|67.0
24124|||100.0
24130|100.0||
24144||39.1|100.0
24149|100.0||53.12
24150|81.82|31.88|89.96
24151||7.78|100.0
24154||14.29|
24157|99.25|4.0|84.4
24158||1.5|
24173|44.12|7.15|96.72
24175|100.0||
24176|10.0|17.62|15.73
24182||46.97|100.0
24183|56.11|21.37|99.6
24186|71.88|16.22|44.47
24192|100.0|38.33|100.0
24195|100.0||
24198||50.0|100.0
24199||20.0|
24203|48.73|11.78|90.25
24206|21.43|21.47|96.1
24207|100.0||100.0
24211|98.33|35.93|56.6
24218|33.33|33.33|71.28
24220|92.74|46.3|88.24
24225|||50.0
24226|||50.0
24239|29.04|9.55|99.67
24245|100.0||
24246|97.35|10.0|100.0
24247|100.0||
24252|100.0||
24253|100.0||
24257|||87.5
24270|100.0||
24271|100.0||
24278||50.0|100.0
24279|100.0||
24284|||68.67
24289|100.0||
24295|100.0||
24298||50.0|
24303|100.0||
24305|||91.07
24309|37.22|13.76|88.87
24313|100.0||
24319|95.36||100.0
24322|64.47|45.24|89.81
24323||38.89|
24324|50.0|46.43|100.0
24334|40.21|24.15|94.64
24341|100.0||
24342|||55.71
24348||4.15|100.0
24350||9.3|100.0
24357||0.51|
24360||1.52|
24361|||100.0
24364||20.66|100.0
24372||25.91|
24373||50.0|100.0
24378|35.26|35.02|
24389|6.56||100.0
24390||12.5|
24400|14.86|16.71|58.0
24406|||98.09
24409|||82.72
24413||33.55|81.66
24423||17.08|100.0
24424||15.94|77.07
24429|13.64||100.0
24432|87.88|7.02|92.41
24435|||84.84
24436|100.0||
24437|100.0||
24439|78.37|50.0|
24441||18.18|91.5
24442|100.0||
24444||2.24|
24445|26.33|3.53|
24446|100.0||
24459|47.44|36.11|100.0
24466|90.52|21.9|64.82
24467||43.89|94.39
24474||50.0|
24477|63.71|42.26|96.43
24479|98.46|50.0|91.67
24482|85.55|33.4|79.8
24487|||100.0
24489||50.0|50.0
24490|100.0||
24492|98.45|37.29|96.81
24496|9.39||90.5
24506||24.77|27.0
24511||25.0|
24514||17.64|83.53
24515||25.0|100.0
24516|100.0||96.77
24521|95.56|23.84|69.61
24523|84.79|15.09|86.14
24526|11.11|11.11|100.0
24527||27.69|98.62
24528|||50.0
24530||17.26|
24532||50.0|100.0
24534||60.13|79.62
24536|50.0|50.0|80.0
24538||44.1|59.56
24541|51.61||50.0
24547||1.37|
24550||49.59|24.67
24554||8.96|8.25
24556|100.0|49.0|57.0
24557||21.78|100.0
24558|100.0||
24560|2.41|1.61|
24565|100.0||
24582|100.0||100.0
24586||33.33|52.27
24589|100.0||
24590|100.0||
24592|50.0||99.59
24594|80.0|41.82|57.5
24598|100.0||75.0
24611|50.0|50.0|95.45
24629|100.0||
24634|100.0|50.0|50.0
24641|||67.9
24642|||77.48
24651||33.33|33.0
24679|100.0||53.85
24691|100.0|27.14|79.15
24708|100.0||
24711|100.0||
24718|100.0||
24723|||57.55
24725|31.55|36.08|58.57
24730|100.0||
24739||20.0|89.29
24757||26.89|98.68
24764|100.0||
24768||33.33|83.88
24778|100.0||
24785|100.0|50.0|52.22
24796|51.79|12.14|49.47
24806|97.09|50.0|74.24
24811|100.0||
24822|100.0||
24824||33.33|67.0
24835||45.04|96.62
24840|33.33||35.03
24845|||50.0
24852||50.0|
24863|25.86|29.48|90.17
24864||50.0|50.0
24868|100.0||
24875|81.67|20.89|87.48
24900|100.0||
24904|72.4|29.26|77.79
24906|100.0||
24921|100.0||
24940|71.2|14.29|90.47
24945|100.0||
24951|||56.25
24953|71.45|25.33|92.25
24955|100.0|15.34|89.61
24956|||50.0
24957|100.0||
24958|||100.0
24961|||80.03
24971|21.29|9.7|73.69
24973|100.0||
24978|||50.0
24989|||54.62
24991|||50.0
24992||43.05|98.32
24995|100.0||
25003|||50.0
25019||3.19|
25046|||50.51
25048|100.0||100.0
25054||47.92|51.92
25057|||33.0
25058|100.0||
25061|||50.0
25074||26.73|95.18
25087|||100.0
25091||27.52|91.44
25098||47.89|100.0
25106|49.0|10.57|87.56
25117|52.78||50.0
25122|||100.0
25137|100.0||
25145|86.79|5.68|71.85
25148|50.0||65.38
25151|27.82|14.65|81.98
25152||48.38|100.0
25156||50.0|
25159||18.75|
25160||20.39|42.43
25166|100.0||
25173|100.0||
25176|100.0||33.0
25178|100.0||
25180|||62.67
25181||50.0|100.0
25182|100.0||
25184||22.08|65.89
25192|27.42||100.0
25198|61.52||100.0
25220|100.0||68.17
25222|||98.23
25225|100.0||
25227|50.0|50.0|87.88
25231|100.0||
25234|||90.75
25238|100.0||
25248||29.16|100.0
25252|96.3||27.63
25255||36.9|76.44
25273|100.0|39.96|33.33
25276|100.0||50.0
25279|100.0||50.0
25291|42.12|18.52|91.02
25303|100.0||
25308|97.22|50.0|50.0
25317||33.33|100.0
25318|100.0||
25353|100.0||
25354|67.18||100.0
25358|100.0||
25365|100.0||50.0
25369|73.54|8.9|82.2
25372||50.0|50.0
25375|||66.39
25376|100.0|20.34|29.73
25384||50.0|100.0
25386|100.0||
25387|100.0||
25393|46.96|22.58|73.05
25394|97.17||69.87
25398||33.33|
25400|29.48|15.96|78.47
25408||50.0|
25415|81.79||54.93
25417|100.0||
25428|100.0||
25432|||100.0
25447|100.0|49.04|50.0
25454|64.03|29.62|84.29
25455|75.0||100.0
25459|100.0|16.67|45.88
25460|100.0||
25467|40.19|12.68|100.0
25472||23.08|67.46
25473|100.0||
25478|99.14||61.86
25482|100.0||
25485|100.0||
25486|100.0|50.0|50.0
25500|100.0||
25501|64.91|48.72|53.57
25504||33.33|45.75
25509||50.0|
25516||50.0|
25521|100.0||54.17
25525||25.0|93.75
25532||26.36|74.84
25535|100.0||
25538|100.0||
25540|||27.63
25542|88.59|18.67|78.23
25543|||54.17
25549|93.94|34.89|83.5
25560|||39.56
25562|100.0||
25577||5.86|90.64
25581||50.0|50.0
25592|100.0||
25593||20.0|100.0
25595||50.0|60.0
25596|100.0||
25605|7.44||100.0
25607|100.0|50.0|50.0
25620||36.11|
25623|||100.0
25626||50.0|
25631|100.0||
25635|100.0||
25645|||95.59
25660|37.03|33.33|100.0
25664||50.0|
25670|49.7|36.16|100.0
25682|100.0||50.0
25689|||72.41
25697|50.0|32.12|89.62
25710||50.0|
25720|43.38|31.23|78.16
25735|58.34|45.83|100.0
25739|||56.25
25751|72.64|11.84|100.0
25759|100.0||
25764||30.0|
25773|14.95||98.24
25780||7.14|99.52
25787|100.0||
25795|61.54|33.33|100.0
25818|37.5|17.52|97.44
25820|||100.0
25829|100.0||50.0
25843||38.54|54.36
25851|||100.0
25862|||100.0
25877|19.76|18.02|81.76
25885||24.06|91.33
25887|||50.0
25899|||50.0
25905|100.0|50.0|50.0
25923|||100.0
25926|||100.0
25933|57.66|23.91|90.61
25948|||78.71
25956||16.67|83.0
25961|100.0|17.81|66.88
25973|90.0|19.42|98.36
25993|||100.0
25996||9.09|23.61
26001||40.29|67.0
26006||33.33|94.5
26008||19.77|100.0
26021||33.33|
26039|||59.38
26042|||92.0
26057|32.34||100.0
26062|100.0||
26072|100.0|50.0|100.0
26073|23.65|20.23|94.89
26077||22.0|96.67
26094|100.0||54.55
26096|100.0|50.0|
26101||36.89|
26104|53.55|34.21|100.0
26130|100.0|66.67|
26134|16.5||56.52
26157||50.0|100.0
26167||33.33|53.33
26195||50.0|50.0
26210|81.82|11.4|
26211|81.69||100.0
26218|25.51|22.6|84.39
26223||43.33|43.33
26269|100.0|50.0|100.0
26272||50.0|
26306|100.0||
26320||33.33|
26331|||100.0
26341|||100.0
26342||35.11|100.0
26344|||50.54
26347|||100.0
26353|||67.67
26370|66.67|50.0|98.48
26375|5.96|15.78|87.22
26380|32.87|46.13|100.0
26383|||100.0
26402|||100.0
26411||26.32|100.0
26414||33.33|
26415|91.66||96.43
26419|||100.0
26425|||50.0
26450|97.15|10.59|100.0
26457|18.26|35.88|77.76
26462|100.0||
26464|||100.0
26496|32.62|8.04|100.0
26506|||100.0
26517|||100.0
26523|||50.0
26531|100.0||
26533|||69.29
26548|27.38|11.11|99.43
26549|100.0|50.0|64.17
26554||48.59|76.15
26558|||100.0
26592|51.85|33.33|53.34
26599|13.33|26.07|94.73
26605|100.0||
26610|45.83|33.33|100.0
26611||8.07|
26613|96.87||62.75
26615|42.65|5.0|72.4
26619|100.0|50.0|50.0
26636|||50.0
26666|||50.0
26667|||95.49
26673|13.68|14.19|100.0
26677||24.85|93.91
26679||42.24|58.5
26692|||78.57
26695|44.44|34.19|100.0
26701|100.0||
26709|50.0|33.33|93.62
26710|||61.34
26714|17.82||97.79
26716|||50.0
26721|33.33|33.06|
26722|||100.0
26727|25.0|16.67|
26744|91.67||50.0
26749||25.69|66.0
26762|89.17|18.53|64.14
26769||4.55|36.07
26777|||58.97
26787|||100.0
26788||32.85|
26792|100.0|50.0|50.0
26793|7.29|30.66|98.37
26794|||53.85
26801||34.65|38.7
26803||50.0|50.0
26804|72.22|27.78|
26806|100.0||
26810|100.0||
26827|||50.0
26831|100.0||100.0
26878|||50.0
26889|50.0||100.0
26904|||100.0
26914|||100.0
26918|100.0||
26930|||100.0
26934|100.0||
26935|91.67||67.65
26955|46.25|25.52|56.04
26968|33.33||90.0
26988|||50.0
27009|100.0||
27010|40.0|46.67|100.0
27016||20.0|
27027||24.65|93.88
27046|45.71||
27065|||50.0
27126|100.0||
27176||25.3|100.0
27193||27.27|70.88
27205|100.0||
27216|98.46||100.0
27217||35.08|67.97
27218|100.0||
27224||28.12|89.87
27257|100.0|33.33|61.4
27269||37.03|67.0
27272|75.0|50.0|50.0
27281|24.42||100.0
27299|9.09||46.56
27313||20.0|
27330|50.0|33.33|100.0
27348|||100.0
27357|100.0||
27364||50.0|50.0
27367||50.0|
27373|100.0|50.0|50.0
27381|||97.89
27385|16.67||100.0
27393|100.0||
27398|79.37|57.22|63.95
27411|||67.0
27413|100.0||
27418|12.14|6.06|94.0
27425|50.0|28.94|80.86
27435|18.03|2.16|100.0
27446|98.15||50.0
27458||20.0|
27471|||100.0
27500|100.0||
27501|100.0||
27510|100.0||
27518|||100.0
27531|100.0||
27544|100.0||
27547|100.0||
27552|71.5|32.69|45.49
27553|100.0||
27564|100.0||
27566|100.0||81.73
27580|50.0|45.68|100.0
27589||47.92|75.74
27611|100.0||
27623|100.0||
27628|||50.0
27630|100.0|50.0|50.0
27632|100.0|45.53|51.26
27644|100.0|32.47|50.0
27647|24.24||99.7
27650|100.0||
27651|||18.5
27665||8.16|
27668|84.62||45.27
27678|93.91|14.51|40.36
27688|3.34|8.04|91.89
27693|100.0|29.16|70.06
27695|44.79|56.67|
27696|15.65|4.85|
27699|||92.0
27715|79.33|25.89|90.82
27717|79.06|6.9|78.77
27720||3.04|99.4
27729|100.0||
27735|||100.0
27738|95.43|1.89|
27740|59.01|30.56|75.22
27742||21.4|
27747||18.34|90.72
27750|||65.83
27757|95.83||17.83
27759|100.0||
27768|95.56|44.12|79.6
27775||5.21|44.52
27781|100.0|38.1|87.27
27787|100.0||
27789|52.73|44.98|
27795|100.0||
27796|89.71|29.33|36.11
27797||12.93|88.0
27800|100.0|22.7|
27807|||50.0
27810||12.5|64.0
27814|31.44|19.3|87.93
27817||37.47|82.55
27818|16.67|22.62|100.0
27828|||94.44
27831||50.0|
27833|100.0|32.99|75.81
27839||37.31|81.45
27841||35.78|100.0
27843|72.78|18.64|52.0
27845|97.37||50.0
27847|76.96|25.0|83.5
27851|69.76|26.49|84.43
27855||17.71|
27865|55.06|34.68|85.54
27875|||59.46
27882|41.86|33.33|94.21
27884|33.97|23.8|96.7
27893|100.0||
27895|36.43|5.06|68.75
27896||33.33|80.0
27901|53.21|23.68|93.91
27919|25.0||95.21
27927||28.15|
27928|71.15|11.11|20.29
27930|50.0||50.0
27932||50.0|50.0
27933|100.0||
27941|37.11||73.6
27947|75.43|7.86|98.62
27951|20.51|6.97|88.92
27953|95.28|21.78|69.5
27960|100.0|47.62|70.0
27970|||88.4
27975|||75.51
27983|||100.0
27984|39.1|14.8|98.27
27986|||50.0
27988|73.56|31.76|82.53
28000||41.82|98.64
28001|||33.0
28002|100.0||
28006|100.0|1.24|81.5
28007|||70.17
28009|92.76|9.34|98.44
28022|78.57||73.75
28023|100.0||
28024|25.59|25.42|74.96
28026||37.42|75.73
28027|100.0||
28032||39.91|61.05
28036|100.0||
28048||14.29|
28053||50.0|50.0
28058|51.19|49.52|100.0
28068||10.49|100.0
28073|43.91|28.85|99.82
28075|16.36|15.84|75.29
28080|100.0||
28094||20.0|
28099|62.5||56.94
28109|100.0||
28110|||68.75
28114|97.06|33.33|77.15
28118|75.0||79.17
28120|6.67|5.88|28.89
28124||50.0|100.0
28125|90.32|33.73|71.98
28126|2.48|12.05|96.34
28128|100.0||
28130|58.09|27.29|81.8
28131|91.16|26.91|82.87
28132||49.58|92.88
28133|50.9|34.89|89.06
28134||50.0|50.0
28135|19.86|36.53|96.3
28136|100.0||
28137|97.33|32.64|71.0
28138|66.67|33.33|100.0
28140|50.0|33.33|81.42
28142|100.0|34.23|93.4
28144||50.0|50.0
28145|47.62|46.19|100.0
28146|99.01|10.14|73.19
28150||41.66|100.0
28153|87.02|24.94|84.8
28154|85.16|21.76|96.0
28155||38.07|76.27
28158|95.65|22.37|61.82
28160|92.86|28.53|100.0
28161||37.83|69.42
28162|100.0||
28163|||50.0
28164||33.33|
28165|31.2|25.3|96.71
28169||33.33|72.98
28171|84.15|35.76|67.81
28172||20.0|
28173|91.6|29.87|90.71
28175||50.0|50.0
28176|76.3|18.91|96.06
28177||27.57|96.62
28178|100.0||
28183||26.86|67.0
28186|20.01|20.79|96.91
28187|100.0||
28188|88.89|36.63|100.0
28189||41.01|70.38
28191|96.77|45.24|66.71
28192||50.0|50.0
28194||43.83|78.4
28196|66.67|33.33|97.0
28197|||50.0
28198|76.01|26.02|82.46
28201|18.72|41.47|95.42
28202|40.0|30.68|96.38
28204|50.0|40.18|98.21
28209|46.81|20.0|98.03
28210|56.98|38.82|93.6
28213|100.0|29.05|66.95
28215|100.0||
28216||36.68|93.75
28218|29.16|48.09|98.91
28219||33.47|85.54
28220|50.97|28.3|95.39
28223|38.86|37.59|92.24
28224|100.0|46.96|76.03
28225||42.86|100.0
28226||50.0|
28227||42.57|87.96
28229|87.5|50.0|57.5
28232||38.27|100.0
28233||5.88|
28235|100.0|50.0|
28239||37.5|95.83
28241|62.5|48.68|70.0
28244|91.63|35.96|80.41
28245|100.0|14.25|95.91
28247|100.0||
28250|100.0||
28252||12.12|99.08
28254|50.0|36.4|98.79
28255|33.33|35.6|95.95
28258|9.58|24.57|93.75
28259||33.33|79.57
28260|31.02|14.24|93.05
28262||50.0|
28263|70.46|26.57|76.86
28264|49.51|42.92|86.57
28265|60.6|40.93|93.29
28270|100.0|50.0|
28271|95.0|50.0|68.49
28272|25.0|45.8|69.55
28276|100.0|33.33|92.12
28277||48.87|94.69
28279|70.48|32.7|70.24
28280|92.08|35.77|64.13
28283|76.98|29.81|85.03
28284|35.34|29.64|81.19
28285|60.0|36.53|78.34
28287|100.0|25.11|69.49
28288||50.0|
28289||12.64|100.0
28292|81.99|25.78|82.88
28293|||50.0
28294|85.05|30.23|89.25
28296|9.09|41.8|82.86
28299|21.55|33.95|88.34
28303|45.66|9.74|89.11
28305|56.06|33.33|72.07
28306||13.19|65.67
28308|33.33|34.48|76.27
28309|70.15|36.11|84.59
28310|70.0|30.25|87.37
28311||37.06|100.0
28317||50.0|75.0
28322||8.33|92.0
28323|100.0||
28326||50.0|75.0
28328|92.06|55.0|100.0
28329|27.43|19.44|79.97
28330|40.0|22.47|81.34
28333|66.66|29.91|93.18
28334|43.13|36.24|89.89
28335|73.81|21.72|100.0
28343|43.34|8.02|81.55
28345|100.0||81.47
28346||44.44|100.0
28349||50.41|93.0
28352|77.78|34.64|99.8
28357|100.0|50.0|
28358||50.0|
28359|77.05|46.43|87.0
28360||41.39|93.71
28361||33.33|70.81
28362||33.33|67.0
28368|62.28|34.41|98.47
28369||27.52|76.3
28370|89.09|49.69|97.17
28394||20.13|
28403|4.89||
28404||50.0|
28408|100.0||
28418||43.33|
28419|100.0||
28429|100.0||
28431|29.5|25.74|86.44
28434|53.85||54.17
28438|30.03|22.63|87.01
28451||50.0|100.0
28458||26.19|73.8
28466|100.0||
28469|3.54|18.35|100.0
28498|||50.0
28503|100.0||
28509|2.44|8.55|100.0
28512||6.67|
28531|37.78||33.0
28532||33.33|
28534|100.0|25.0|
28535|50.0||
28536|8.58|9.71|
28537|93.75||
28539|||100.0
28541||40.0|
28544|50.0||
28545|19.37|9.52|53.33
28546|59.23|31.49|78.3
28548|71.9|8.88|85.59
28554||7.17|64.5
28555|75.74||37.92
28571|10.35|8.91|95.35
28572|18.06|24.19|100.0
28573|7.58|10.87|99.97
28576||50.0|100.0
28577||31.11|91.75
28580|53.79|29.37|97.03
28585||50.0|85.71
28586|16.46||98.05
28589||32.55|63.12
28590||32.87|97.76
28591|47.37|32.55|76.24
28594||40.3|71.19
28598|8.25|19.93|91.23
28599||65.04|
28601||38.33|
28604|17.55|26.21|95.42
28605|50.0|42.65|95.6
28606|100.0|45.55|73.0
28610|100.0|39.3|84.62
28613|25.96|1.72|100.0
28615|||69.44
28616|100.0||
28618||50.0|100.0
28624|100.0|50.0|76.67
28625|||50.0
28634|100.0|53.49|68.5
28635||24.61|32.73
28636|93.94|33.33|100.0
28637|||67.11
28638||55.0|90.0
28639|58.63|46.76|72.23
28640|40.35|33.33|100.0
28642|57.66|12.6|94.58
28649|80.43|29.69|100.0
28652||33.33|100.0
28654|55.55|37.03|84.47
28656|69.43|22.86|73.3
28657|94.71|15.84|81.31
28658|70.31|31.87|99.31
28661||20.83|
28663|22.24|36.4|95.67
28665|100.0|30.98|100.0
28666|66.67|8.67|81.9
28667|74.4|27.41|95.56
28668|89.64|27.59|83.04
28669||29.17|78.69
28670|100.0|33.33|89.79
28677|100.0||
28680||50.0|
28683|||50.0
28685|100.0||70.59
28686|50.0||50.0
28693|100.0||
28695|||50.0
28709|52.78||99.17
28714|100.0||
28715||33.02|100.0
28716|77.72|23.43|90.06
28717|||82.38
28723|92.38|50.0|75.17
28725|96.3|33.33|58.33
28745||50.0|
28748|100.0||
28753|47.24|12.79|46.65
28757||50.0|50.0
28760|100.0||
28761|||100.0
28768|||78.57
28769||34.78|67.13
28771|||67.0
28773|100.0||
28785||33.33|67.0
28788|74.76||82.22
28821|50.0||
28824|96.59|50.0|93.75
28847|100.0||
28851||33.33|
28852|||100.0
28854||35.41|
28855|93.83||56.73
28859||21.25|
28870|100.0||
28874|100.0||
28875||33.33|40.44
28876|100.0||
28878|95.45|23.18|52.12
28884||13.18|
28885||27.36|
28907|58.11|13.54|89.78
28910|100.0||
28917||37.02|93.55
28919|100.0||50.0
28920||21.67|67.22
28940|100.0||
28941|100.0||
28952|100.0||100.0
28954|100.0||
28955|100.0||
28972||42.79|91.98
28979|100.0|40.97|60.53
28997||50.0|
28999|||50.0
29001|100.0||
29006|100.0||
29008|100.0||
29009|100.0||
29014|67.33|9.45|86.19
29017|100.0||65.81
29018|100.0||50.0
29028|100.0|39.94|97.72
29033|65.56||100.0
29037|100.0||61.58
29046||50.0|37.08
29049|||76.67
29056|75.0||50.0
29062||33.33|60.1
29063|90.0|50.0|100.0
29066||22.43|99.5
29067|33.33||100.0
29075|100.0|18.19|73.49
29076|100.0|50.0|83.33
29081|100.0|50.0|
29084||50.0|50.0
29086|100.0||
29104||50.0|50.0
29107|100.0||
29119||19.98|91.97
29134|82.32||46.71
29140|78.32|19.78|79.72
29141|36.88|43.04|71.15
29147|100.0||
29148||47.88|
29152|86.67||100.0
29169|33.37|31.73|80.79
29170|100.0||
29182|31.25||99.45
29203|100.0||
29208|11.46|8.77|91.68
29216||50.0|
29217|100.0|33.93|34.21
29222|||51.83
29226|||85.71
29239|100.0||
29247||25.8|
29252|100.0||100.0
29264|||100.0
29278|100.0||50.0
29286||5.36|100.0
