#origin_as|region|country|as_type|use_selective|selective_prefixes|selective_neighbors|selective_proportion|median_intensity
3|arin|US|education|False|0|0|0.00|1.00
6|arin|US|business|False|0|0|0.00|1.00
8|arin|US|education|False|0|0|0.00|1.00
9|arin|US|education|False|0|0|0.00|1.00
12|arin|US|education|False|0|0|0.00|1.00
13|arin|US|government|False|0|0|0.00|1.00
14|arin|US|education|False|0|0|0.00|1.00
16|arin|US|government|False|0|0|0.00|1.00
20|arin|US|education|False|0|0|0.00|1.00
22|arin|US|government|False|0|0|0.00|1.00
24|arin|US|government|False|0|0|0.00|1.00
25|arin|US|education|False|0|0|0.00|1.00
26|arin|US|education|False|0|0|0.00|1.00
27|arin|US|education|True|3|1|0.75|0.50
29|arin|US|education|False|0|0|0.00|1.00
31|arin|US|education|False|0|0|0.00|1.00
32|arin|US|education|False|0|0|0.00|1.00
34|arin|US|education|False|0|0|0.00|1.00
35|arin|US|business|False|0|0|0.00|1.00
37|arin|US|government|False|0|0|0.00|1.00
38|arin|US|education|False|0|0|0.00|1.00
42|arin|US|hosting|True|111|36|1.00|0.47
43|arin|US|government|False|0|0|0.00|1.00
46|arin|US|education|False|0|0|0.00|1.00
47|arin|US|education|False|0|0|0.00|1.00
48|arin|US|government|False|0|0|0.00|1.00
49|arin|US|government|False|0|0|0.00|1.00
50|arin|US|education|False|0|0|0.00|1.00
52|arin|US|education|False|0|0|0.00|1.00
55|arin|US|education|True|1|2|0.50|0.80
57|arin|US|education|True|1|1|0.50|0.88
59|arin|US|education|False|0|0|0.00|1.00
64|arin|US|none|False|0|0|0.00|1.00
70|arin|US|government|False|0|0|0.00|1.00
71|arin|US|none|True|18|2|1.00|0.67
72|arin|US|business|False|0|0|0.00|1.00
73|arin|US|education|False|0|0|0.00|1.00
75|arin|US|none|False|0|0|0.00|1.00
81|arin|US|education|False|0|0|0.00|1.00
84|arin|US|government|False|0|0|0.00|1.00
85|arin|US|business|False|0|0|0.00|1.00
89|arin|US|government|False|0|0|0.00|1.00
91|arin|US|education|False|0|0|0.00|1.00
101|arin|US|education|True|5|6|1.00|0.67
102|arin|US|government|True|2|2|1.00|0.50
103|arin|US|education|False|0|0|0.00|1.00
109|arin|US|business|True|28|16|1.00|0.12
111|arin|US|education|False|0|0|0.00|1.00
112|arin|US|hosting|False|0|0|0.00|1.00
122|arin|US|business|False|0|0|0.00|1.00
131|arin|US|education|False|0|0|0.00|1.00
137|ripencc|EU|education|False|0|0|0.00|1.00
158|arin|US|business|False|0|0|0.00|1.00
159|arin|US|education|False|0|0|0.00|1.00
174|arin|US|isp|True|266|29|1.00|0.83
187|arin|US|hosting|False|0|0|0.00|1.00
194|arin|US|education|False|0|0|0.00|1.00
195|arin|US|education|False|0|0|0.00|1.00
196|arin|US|business|False|0|0|0.00|1.00
209|arin|US|isp|True|6|1|0.60|0.91
210|arin|US|education|True|7|1|0.78|0.83
224|ripencc|NO|education|False|0|0|0.00|1.00
226|arin|US|education|False|0|0|0.00|1.00
228|arin|US|government|False|0|0|0.00|1.00
231|arin|US|education|False|0|0|0.00|1.00
237|arin|US|education|True|8|6|1.00|0.67
239|arin|CA|education|False|0|0|0.00|1.00
251|ripencc|EU|none|True|4|13|1.00|0.61
252|arin|US|government|False|0|0|0.00|1.00
260|arin|US|hosting|False|0|0|0.00|1.00
271|arin|CA|education|True|11|3|1.00|0.33
276|arin|US|education|False|0|0|0.00|1.00
278|lacnic|MX|education|True|10|3|1.00|0.67
286|ripencc|EU|none|True|2|18|1.00|0.74
289|arin|US|government|False|0|0|0.00|1.00
291|arin|US|business|False|0|0|0.00|1.00
293|arin|US|business|False|0|0|0.00|1.00
297|arin|US|government|False|0|0|0.00|1.00
302|arin|US|education|False|0|0|0.00|1.00
375|ripencc|EU|business|False|0|0|0.00|1.00
376|arin|CA|education|True|8|2|1.00|0.60
377|arin|US|education|False|0|0|0.00|1.00
378|ripencc|EU|education|False|0|0|0.00|1.00
513|ripencc|CH|education|False|0|0|0.00|1.00
549|arin|CA|hosting|False|0|0|0.00|1.00
553|ripencc|EU|education|True|1|1|0.50|0.98
557|arin|US|education|False|0|0|0.00|1.00
558|arin|US|none|True|4|5|1.00|0.20
559|ripencc|EU|hosting|True|5|1|0.83|0.96
577|arin|CA|isp|False|0|0|0.00|1.00
600|arin|US|education|False|0|0|0.00|1.00
603|arin|CA|isp|False|0|0|0.00|1.00
668|arin|US|government|False|0|0|0.00|1.00
680|ripencc|DE|education|False|0|0|0.00|1.00
681|apnic|NZ|education|True|1|1|0.50|0.75
