#data|internet|afrinic|arin|apnic|lacnic|ripencc
20140615|529102|12180|174568|130290|72259|139805
20140715|534344|12231|173787|135150|73810|139366
20140815|535818|11229|173366|137959|74588|138676
20140915|549362|12080|177304|141001|77004|141973
20141015|551358|11620|178882|141469|76320|143067
20141115|555222|11776|178939|144367|77035|143105
20141215|554971|11425|180692|140136|78072|144646
20150115|556403|11571|178725|142507|78135|145465
20150215|562273|11580|179661|143892|78953|148187
20150315|566420|11717|181254|144961|78595|149893
20150415|571758|11693|184251|145912|79513|150389
20150515|576775|11699|185145|147243|80158|152530
20150615|578533|11765|186327|146962|81613|151866
20150715|579755|11780|183288|148099|81976|154612
20150815|592550|12150|186186|154249|83100|156865
20150915|596674|12023|185610|156934|84063|158044
20151015|599402|12625|185928|158082|83888|158879
20151115|600652|12797|184932|159675|83914|159334
20151215|607591|13157|188061|160854|84854|160665
20160115|613424|13559|188429|163535|85494|162407
20160215|619888|13953|186513|165611|89291|164520
20160315|620272|14457|189979|166619|86218|162999
20160415|628143|14709|190838|166908|91719|163969
20160515|628079|14895|191735|169601|86992|164856
20160615|634423|15139|192802|171828|88079|166575
20160715|641667|15299|194597|175097|88823|167851
20160815|648302|15864|195670|177786|89123|169859
20160915|656115|16121|202781|176894|89810|170509
20161015|659540|16341|203723|177548|90641|171287
20161115|667608|16809|206811|179067|91317|173604
20161215|672059|16940|206351|179432|95495|173841
20170115|668717|16974|200426|180011|96007|175299
20170215|680396|17196|201113|180902|100234|180951
20170315|683940|17161|201947|183819|98369|182644
20170415|688928|17376|203223|184244|98373|185712
20170515|693806|18057|204711|184660|99137|187241
20170615|698844|18425|205313|186220|100210|188676
20170715|700572|18188|206434|185836|101518|188596
20170815|723703|18739|208067|205542|102655|188700
20170915|721047|19376|211175|192429|105127|192940
20171015|737947|19329|211343|204089|106868|196318
20171115|736939|19615|213086|199944|107596|196698
20171215|745477|19429|211702|210119|107509|196718
20180115|730667|19549|211286|191702|107642|200488
20180215|735481|19240|213399|192770|108313|201759
20180315|751220|19839|216484|200088|109647|205162
20180415|762292|22048|217376|204145|110382|208341
20180515|762285|20225|220647|200638|118537|202238
20180615|766552|20717|222580|201834|118134|203287
20180715|767552|20618|222463|203992|118131|202348
20180815|774775|20955|222635|205964|120722|204499
20180915|786533|21215|222530|205673|124415|212700
20181015|795614|21392|224592|208026|125194|216410
20181115|798789|21124|223877|209286|126514|217988
20181215|802259|21267|224461|210150|127351|219030
20190115|798285|22901|225252|210340|117955|221837
20190215|799627|23239|226009|209006|117149|224224
20190315|805667|23144|226995|212215|117917|225396
20190415|808100|22492|231008|211593|116758|226249
20190515|819731|22560|234229|214443|116905|231594
20190615|822839|24013|233118|215690|116727|233291
20190715|830184|24686|234920|218754|117389|234435
20190815|833957|23883|236902|219944|118741|234487
20190915|832511|22027|235872|219851|118839|235922
20191015|842139|24716|237362|221368|120885|237808
20191115|846471|24657|239203|221044|122259|239308
20191215|859953|24696|240152|221246|121855|252004
20200115|852902|24769|241970|220599|122241|243323
20200215|859622|24890|243698|222796|124096|244142
20200315|871137|25930|246192|225185|126436|247394
20200415|874709|26304|245349|224729|127967|250360
20200515|875757|26925|243801|222826|129403|252802
20200615|893148|27148|248489|226132|132070|259309
20200715|888762|27189|246350|229240|132970|253013
20200815|889601|27457|250244|228347|134025|249528
20200915|896975|27762|251350|229611|135582|252670
20201015|893381|27926|251627|229403|128745|255680
20201115|897732|28276|249513|231383|128673|259887
20201215|898911|28491|248331|232515|130961|258613
20210115|903663|28355|248114|235805|133651|257738
20210215|911981|28754|250086|235696|134268|263177
20210315|917495|29399|251391|237612|135828|263265
20210415|923950|29859|252517|241439|135952|264183
20210515|926360|30094|254008|244149|134294|263815
20210615|929903|30201|255226|243927|134511|266038
20210715|930861|29919|257057|243319|134808|265758
20210815|934813|30665|258395|244431|135045|266277
20210915|942750|30951|259928|246595|136700|268576
20211015|948497|31086|261384|248159|134572|273296
20211115|961667|31444|262676|247114|140744|279689
20211215|978986|31537|263415|267125|141458|275451
20220115|962757|31851|265220|246746|141798|277142
20220215|960043|31849|265336|246278|142486|274094
20220315|961041|31805|267221|246496|139309|276210
20220415|967859|31888|267514|247522|139853|281082
20220515|962587|30345|268502|246412|140294|277034
20220615|970930|32522|270047|247698|140622|280041
20220715|977040|32468|272228|249156|142036|281152
20220815|979075|32684|272682|248640|143678|281391
20220915|987041|33137|275186|249604|144591|284523
20221015|984991|33204|275183|250671|144114|281819
20221115|990055|33419|275421|251085|143928|286202
20221215|997183|33318|276034|252444|145268|290119
20230115|993441|33524|275902|253588|144830|285597
20230215|995148|33927|275153|254709|145038|286321
20230315|990312|34215|275377|255794|145548|279378
20230415|995365|34205|278184|255518|145892|281566
20230515|996917|34116|278567|258921|143617|281696
20230615|1002453|34362|279648|259501|147055|281887
20230715|1000853|34541|280099|259189|144905|282119
20230815|1006146|35000|281093|261735|145699|282619
20230915|1011966|34989|281283|262780|149216|283698
20231015|1012748|35174|282208|262083|147524|285759
20231115|1018174|35071|281005|265325|148102|288671
20231215|1027957|33898|281373|266095|148768|297823
20240115|1033904|33918|282641|265903|148902|302540
20240215|1059441|33887|282696|266631|148262|327965
20240315|1047595|33352|284132|266973|148856|314282
20240415|1043026|34489|283291|266393|149089|309764
20240515|1039496|34708|284973|266485|149217|304113
20240615|1042385|35152|285340|267327|149203|305363
