#type|date|observed_ases|use_aspp
government|20190815|280|28
government|20190915|280|28
government|20191015|291|34
government|20191115|299|35
government|20191215|309|35
government|20200115|313|35
government|20200215|312|37
government|20200315|312|34
government|20200415|319|35
government|20200515|321|37
government|20200615|326|38
government|20200715|333|36
government|20200815|335|37
government|20200915|335|38
government|20201015|336|40
government|20201115|343|41
government|20201215|349|42
government|20210115|356|43
government|20210215|360|41
government|20210315|357|40
government|20210415|362|43
government|20210515|361|45
government|20210615|371|47
government|20210715|374|47
government|20210815|377|47
government|20210915|378|52
government|20211015|380|55
government|20211115|382|53
government|20211215|386|53
government|20220115|384|53
government|20220215|387|53
government|20220315|394|55
government|20220415|393|55
government|20220515|395|55
government|20220615|398|58
government|20220715|403|54
government|20220815|404|56
government|20220915|407|54
government|20221015|403|57
government|20221115|406|56
government|20221215|415|58
government|20230115|416|55
government|20230215|414|55
government|20230315|423|60
government|20230415|423|62
government|20230515|426|66
government|20230615|428|64
government|20230715|432|64
government|20230815|432|63
government|20230915|437|64
government|20231015|434|65
government|20231115|434|66
government|20231215|438|67
government|20240115|436|64
government|20240215|437|62
government|20240315|438|59
government|20240415|438|67
government|20240515|446|61
government|20240615|449|62
hosting|20140615|2256|256
hosting|20140715|2281|263
hosting|20140815|2308|262
hosting|20140915|2333|254
hosting|20141015|2363|260
hosting|20141115|2384|261
hosting|20141215|2409|256
hosting|20150115|2428|266
hosting|20150215|2428|266
hosting|20150315|2505|270
hosting|20150415|2528|277
hosting|20150515|2549|283
hosting|20150615|2590|291
hosting|20150715|2621|295
hosting|20150815|2636|293
hosting|20150915|2650|294
hosting|20151015|2699|321
hosting|20151115|2743|314
hosting|20151215|2771|310
hosting|20160115|2793|320
hosting|20160215|2793|320
hosting|20160315|2876|330
hosting|20160415|2911|321
hosting|20160515|2941|328
hosting|20160615|2965|346
hosting|20160715|3007|359
hosting|20160815|3046|355
hosting|20160915|3073|364
hosting|20161015|3123|358
hosting|20161115|3159|371
hosting|20161215|3197|378
hosting|20170115|3213|375
hosting|20170215|3255|377
hosting|20170315|3291|388
hosting|20170415|3291|388
hosting|20170515|3342|379
hosting|20170615|3373|388
hosting|20170715|3373|388
hosting|20170815|3437|397
hosting|20170915|3437|397
hosting|20171015|3479|409
hosting|20171115|3537|407
hosting|20171215|3574|420
hosting|20180115|3599|426
hosting|20180215|3627|434
hosting|20180315|3639|466
hosting|20180415|3684|461
hosting|20180515|3722|471
hosting|20180615|3763|492
hosting|20180715|3836|512
hosting|20180815|3836|512
hosting|20180915|3858|507
hosting|20181015|3874|506
hosting|20181115|3916|506
hosting|20181215|3959|514
hosting|20190115|3966|517
hosting|20190215|3966|517
hosting|20190315|4010|549
hosting|20190415|4029|559
hosting|20190515|4094|574
hosting|20190615|4134|576
hosting|20190715|4134|576
hosting|20190815|4189|590
hosting|20190915|4189|590
hosting|20191015|4278|612
hosting|20191115|4318|620
hosting|20191215|4352|634
hosting|20200115|4394|647
hosting|20200215|4433|648
hosting|20200315|4450|597
hosting|20200415|4510|668
hosting|20200515|4545|660
hosting|20200615|4543|656
hosting|20200715|4634|678
hosting|20200815|4665|740
hosting|20200915|4716|754
hosting|20201015|4745|731
hosting|20201115|4781|700
hosting|20201215|4820|743
hosting|20210115|4850|750
hosting|20210215|4899|736
hosting|20210315|4927|743
hosting|20210415|4987|745
hosting|20210515|5031|758
hosting|20210615|5083|781
hosting|20210715|5088|760
hosting|20210815|5126|794
hosting|20210915|5178|740
hosting|20211015|5215|786
hosting|20211115|5249|797
hosting|20211215|5273|778
hosting|20220115|5306|822
hosting|20220215|5350|779
hosting|20220315|5404|828
hosting|20220415|5403|800
hosting|20220515|5440|805
hosting|20220615|5472|845
hosting|20220715|5531|825
hosting|20220815|5593|872
hosting|20220915|5602|884
hosting|20221015|5620|881
hosting|20221115|5677|873
hosting|20221215|5720|883
hosting|20230115|5747|897
hosting|20230215|5781|919
hosting|20230315|5856|896
hosting|20230415|5905|922
hosting|20230515|5965|941
hosting|20230615|5996|945
hosting|20230715|6040|946
hosting|20230815|6111|942
hosting|20230915|6188|983
hosting|20231015|6179|990
hosting|20231115|6220|981
hosting|20231215|6279|1013
hosting|20240115|6348|991
hosting|20240215|6423|1011
hosting|20240315|6499|1030
hosting|20240415|6580|1062
hosting|20240515|6654|1056
hosting|20240615|6696|1069
isp|20140615|2674|221
isp|20140715|2714|232
isp|20140815|2755|237
isp|20140915|2783|233
isp|20141015|2826|230
isp|20141115|2897|240
isp|20141215|2952|237
isp|20150115|2985|249
isp|20150215|2985|249
isp|20150315|3062|252
isp|20150415|3101|266
isp|20150515|3147|267
isp|20150615|3234|281
isp|20150715|3291|288
isp|20150815|3339|296
isp|20150915|3402|308
isp|20151015|3504|304
isp|20151115|3589|311
isp|20151215|3692|307
isp|20160115|3744|320
isp|20160215|3744|320
isp|20160315|3903|339
isp|20160415|3970|355
isp|20160515|4039|363
isp|20160615|4122|361
isp|20160715|4203|380
isp|20160815|4258|383
isp|20160915|4338|389
isp|20161015|4386|394
isp|20161115|4438|410
isp|20161215|4534|418
isp|20170115|4565|422
isp|20170215|4690|419
isp|20170315|4780|438
isp|20170415|4780|438
isp|20170515|4891|467
isp|20170615|4991|461
isp|20170715|4991|461
isp|20170815|5156|475
isp|20170915|5156|475
isp|20171015|5282|503
isp|20171115|5491|542
isp|20171215|5470|557
isp|20180115|5521|545
isp|20180215|5601|570
isp|20180315|5642|669
isp|20180415|5711|580
isp|20180515|5813|598
isp|20180615|5945|621
isp|20180715|6110|645
isp|20180815|6110|645
isp|20180915|6180|648
isp|20181015|6293|655
isp|20181115|6369|685
isp|20181215|6518|729
isp|20190115|6583|738
isp|20190215|6583|738
isp|20190315|6728|775
isp|20190415|6801|793
isp|20190515|6932|843
isp|20190615|7014|859
isp|20190715|7014|859
isp|20190815|7260|886
isp|20190915|7260|886
isp|20191015|7515|921
isp|20191115|7586|934
isp|20191215|7715|937
isp|20200115|7850|953
isp|20200215|7980|984
isp|20200315|8117|961
isp|20200415|8375|1072
isp|20200515|8571|1094
isp|20200615|8607|1101
isp|20200715|8892|1114
isp|20200815|8910|1168
isp|20200915|9201|1251
isp|20201015|9262|1249
isp|20201115|9381|1240
isp|20201215|9543|1327
isp|20210115|9692|1340
isp|20210215|9855|1319
isp|20210315|10017|1370
isp|20210415|10169|1402
isp|20210515|10313|1467
isp|20210615|10581|1538
isp|20210715|10527|1525
isp|20210815|10667|1599
isp|20210915|10839|1547
isp|20211015|10895|1648
isp|20211115|10968|1622
isp|20211215|11069|1633
isp|20220115|11134|1701
isp|20220215|11244|1652
isp|20220315|11388|1753
isp|20220415|11473|1735
isp|20220515|11532|1779
isp|20220615|11610|1853
isp|20220715|11743|1892
isp|20220815|11889|1930
isp|20220915|12016|1978
isp|20221015|12149|2019
isp|20221115|12301|2074
isp|20221215|12470|2120
isp|20230115|12585|2150
isp|20230215|12774|2221
isp|20230315|12985|2226
isp|20230415|13056|2329
isp|20230515|13154|2363
isp|20230615|13210|2431
isp|20230715|13300|2457
isp|20230815|13526|2479
isp|20230915|13764|2579
isp|20231015|13708|2567
isp|20231115|13753|2620
isp|20231215|13850|2669
isp|20240115|13987|2707
isp|20240215|14114|2731
isp|20240315|14209|2776
isp|20240415|14308|2816
isp|20240515|14440|2901
isp|20240615|14510|2930
none|20140615|1377|157
none|20140715|1377|155
none|20140815|1396|156
none|20140915|1400|152
none|20141015|1397|156
none|20141115|1415|154
none|20141215|1445|156
none|20150115|1452|164
none|20150215|1452|164
none|20150315|1480|177
none|20150415|1492|166
none|20150515|1533|170
none|20150615|1542|174
none|20150715|1556|176
none|20150815|1562|170
none|20150915|1586|169
none|20151015|1605|173
none|20151115|1635|179
none|20151215|1661|187
none|20160115|1671|179
none|20160215|1671|179
none|20160315|1740|184
none|20160415|1730|179
none|20160515|1752|187
none|20160615|1763|191
none|20160715|1792|187
none|20160815|1797|181
none|20160915|1803|183
none|20161015|1825|176
none|20161115|1813|177
none|20161215|1843|186
none|20170115|1847|185
none|20170215|1892|189
none|20170315|1895|185
none|20170415|1895|185
none|20170515|1909|183
none|20170615|1929|189
none|20170715|1929|189
none|20170815|1952|192
none|20170915|1952|192
none|20171015|1954|181
none|20171115|1996|190
none|20171215|1969|187
none|20180115|1977|190
none|20180215|1985|188
none|20180315|1982|229
none|20180415|1983|191
none|20180515|1994|187
none|20180615|2016|186
none|20180715|2071|188
none|20180815|2071|188
none|20180915|2005|184
none|20181015|2000|186
none|20181115|2006|181
none|20181215|2008|177
none|20190115|1993|186
none|20190215|1993|186
none|20190315|1970|177
none|20190415|1984|179
none|20190515|1992|189
none|20190615|1981|197
none|20190715|1981|197
none|20190815|1999|198
none|20190915|1999|198
none|20191015|2050|201
none|20191115|2043|210
none|20191215|2023|203
none|20200115|2077|225
none|20200215|2050|225
none|20200315|2033|207
none|20200415|2053|211
none|20200515|2030|212
none|20200615|2012|201
none|20200715|2054|206
none|20200815|2001|220
none|20200915|2069|230
none|20201015|2037|225
none|20201115|2015|207
none|20201215|2024|218
none|20210115|2008|219
none|20210215|2022|214
none|20210315|2010|213
none|20210415|2021|220
none|20210515|2050|224
none|20210615|2125|218
none|20210715|2047|209
none|20210815|2045|215
none|20210915|2063|209
none|20211015|2012|205
none|20211115|1986|200
none|20211215|1951|189
none|20220115|1942|191
none|20220215|1910|181
none|20220315|1912|189
none|20220415|1869|172
none|20220515|1844|176
none|20220615|1832|168
none|20220715|1829|162
none|20220815|1846|165
none|20220915|1817|169
none|20221015|1743|151
none|20221115|1721|148
none|20221215|1694|160
none|20230115|1664|157
none|20230215|1610|145
none|20230315|1656|139
none|20230415|1534|142
none|20230515|1466|133
none|20230615|1400|125
none|20230715|1328|118
none|20230815|1348|109
none|20230915|1383|124
none|20231015|1325|117
none|20231115|1239|101
none|20231215|1099|94
none|20240115|1053|97
none|20240215|1030|99
none|20240315|961|96
none|20240415|893|83
none|20240515|842|71
none|20240615|743|57
internet|20140615|8418|850
internet|20140715|8504|879
internet|20140815|8634|884
internet|20140915|8736|868
internet|20141015|8839|869
internet|20141115|8988|889
internet|20141215|9124|881
internet|20150115|9217|920
internet|20150215|9217|920
internet|20150315|9431|944
internet|20150415|9529|960
internet|20150515|9661|971
internet|20150615|9851|1007
