region|date|from1to24|from25to49|from50to74|from75to100
afrinic|20140615|0|1|0|5
afrinic|20140715|0|1|0|5
afrinic|20140815|0|1|0|5
afrinic|20140915|0|1|0|5
afrinic|20141015|0|1|0|5
afrinic|20141115|0|1|0|5
afrinic|20141215|0|1|0|4
afrinic|20150115|0|1|0|3
afrinic|20150215|0|0|0|1
afrinic|20150315|0|1|0|3
afrinic|20150415|0|1|0|5
afrinic|20150515|0|1|0|4
afrinic|20150615|0|1|0|4
afrinic|20150715|0|1|1|7
afrinic|20150815|0|1|1|7
afrinic|20150915|0|1|0|7
afrinic|20151015|0|1|0|7
afrinic|20151115|1|1|0|6
afrinic|20151215|1|1|0|6
afrinic|20160115|0|2|1|6
afrinic|20160215|0|0|0|4
afrinic|20160315|1|1|0|7
afrinic|20160415|1|1|1|6
afrinic|20160515|1|1|0|7
afrinic|20160615|0|1|0|7
afrinic|20160715|0|0|0|9
afrinic|20160815|0|0|1|8
afrinic|20160915|0|0|1|9
afrinic|20161015|0|0|1|9
afrinic|20161115|0|1|2|9
afrinic|20161215|0|0|1|9
afrinic|20170115|0|0|2|9
afrinic|20170215|1|0|3|7
afrinic|20170315|1|1|2|10
afrinic|20170415|1|1|2|10
afrinic|20170515|1|1|2|10
afrinic|20170615|1|1|2|10
afrinic|20170715|2|1|2|8
afrinic|20170815|2|1|2|8
afrinic|20170915|2|0|1|1
afrinic|20171015|1|1|1|8
afrinic|20171115|1|1|2|8
afrinic|20171215|2|0|1|10
afrinic|20180115|1|1|0|12
afrinic|20180215|1|1|0|14
afrinic|20180315|1|1|1|12
afrinic|20180415|1|1|0|11
afrinic|20180515|3|2|0|11
afrinic|20180615|2|0|2|11
afrinic|20180715|2|3|2|13
afrinic|20180815|2|3|2|13
afrinic|20180915|2|3|2|13
afrinic|20181015|3|3|1|10
afrinic|20181115|2|4|2|10
afrinic|20181215|1|3|3|11
afrinic|20190115|1|4|3|11
afrinic|20190215|2|4|1|11
afrinic|20190315|2|4|1|11
afrinic|20190415|1|4|1|12
afrinic|20190515|1|5|1|11
afrinic|20190615|1|5|1|11
afrinic|20190715|1|6|2|12
afrinic|20190815|1|6|2|12
afrinic|20190915|3|4|2|15
afrinic|20191015|3|4|2|15
afrinic|20191115|3|3|2|14
afrinic|20191215|5|3|5|13
afrinic|20200115|5|3|5|14
afrinic|20200215|4|1|5|15
afrinic|20200315|4|0|4|16
afrinic|20200415|4|3|7|16
afrinic|20200515|1|1|9|18
afrinic|20200615|2|4|4|17
afrinic|20200715|2|4|4|16
afrinic|20200815|1|5|5|22
afrinic|20200915|3|3|5|20
afrinic|20201015|2|3|4|22
afrinic|20201115|2|5|4|19
afrinic|20201215|2|5|3|25
afrinic|20210115|3|5|4|23
afrinic|20210215|2|6|2|24
afrinic|20210315|3|6|2|27
afrinic|20210415|2|6|2|28
afrinic|20210515|2|5|3|29
afrinic|20210615|3|4|4|26
afrinic|20210715|2|4|5|27
afrinic|20210815|2|5|4|28
afrinic|20210915|3|6|6|23
afrinic|20211015|3|8|5|24
afrinic|20211115|2|8|6|23
afrinic|20211215|2|9|6|25
afrinic|20220115|2|8|6|28
afrinic|20220215|1|7|7|27
afrinic|20220315|2|7|5|25
afrinic|20220415|2|6|3|25
afrinic|20220515|3|4|3|27
afrinic|20220615|3|6|2|30
afrinic|20220715|3|5|3|25
afrinic|20220815|3|5|3|29
afrinic|20220915|2|7|5|24
afrinic|20221015|5|6|6|27
afrinic|20221115|5|5|6|30
afrinic|20221215|4|7|6|28
afrinic|20230115|4|5|6|33
afrinic|20230215|4|4|8|38
afrinic|20230315|2|6|8|35
afrinic|20230415|2|5|7|38
afrinic|20230515|4|4|6|37
afrinic|20230615|4|6|5|38
afrinic|20230715|2|6|4|37
afrinic|20230815|3|8|3|38
afrinic|20230915|2|9|4|41
afrinic|20231015|6|8|7|39
afrinic|20231115|6|8|7|44
afrinic|20231215|6|10|4|41
afrinic|20240115|5|10|5|43
afrinic|20240215|4|10|7|42
afrinic|20240315|4|8|7|40
afrinic|20240415|2|9|4|43
afrinic|20240515|2|5|8|42
afrinic|20240615|2|7|8|42
apnic|20140615|5|4|11|106
apnic|20140715|7|4|11|110
apnic|20140815|7|4|11|110
apnic|20140915|7|6|12|102
apnic|20141015|7|9|12|103
apnic|20141115|8|7|11|103
apnic|20141215|6|6|8|101
apnic|20150115|5|9|9|101
apnic|20150215|5|9|9|101
apnic|20150315|6|6|13|106
apnic|20150415|6|6|13|106
