region|date|tam_1|tam_2|tam_3|tam_4plus
apnic|20180215|90|58|40|40
apnic|20180315|90|58|40|40
apnic|20180415|90|61|38|45
apnic|20180515|91|59|41|46
apnic|20180615|93|65|43|43
apnic|20180715|93|69|49|46
apnic|20180815|93|69|49|46
apnic|20180915|96|66|51|46
apnic|20181015|98|66|50|48
apnic|20181115|98|70|49|53
apnic|20181215|103|69|51|50
apnic|20190115|105|75|51|51
apnic|20190215|105|75|51|51
apnic|20190315|106|87|58|48
apnic|20190415|112|78|62|52
apnic|20190515|109|80|66|55
apnic|20190615|111|79|68|53
apnic|20190715|111|79|68|53
apnic|20190815|116|80|66|53
apnic|20190915|116|80|66|53
apnic|20191015|119|84|66|52
apnic|20191115|120|89|68|57
apnic|20191215|124|91|72|57
apnic|20200115|125|94|75|58
apnic|20200215|120|96|76|61
apnic|20200315|117|92|73|59
apnic|20200415|113|96|85|73
apnic|20200515|118|104|82|70
apnic|20200615|128|102|82|72
apnic|20200715|128|102|82|72
apnic|20200815|141|101|90|88
apnic|20200915|141|101|90|88
apnic|20201015|128|110|88|84
apnic|20201115|143|101|91|88
apnic|20201215|143|101|91|88
apnic|20210115|140|106|90|91
apnic|20210215|132|101|89|85
apnic|20210315|138|115|87|95
apnic|20210415|141|105|90|96
apnic|20210515|149|111|89|91
apnic|20210615|164|120|92|98
apnic|20210715|156|114|91|101
apnic|20210815|154|124|90|117
apnic|20210915|149|119|93|114
apnic|20211015|161|120|103|106
apnic|20211115|161|120|103|106
apnic|20211215|166|128|104|99
apnic|20220115|179|129|112|106
apnic|20220215|169|120|110|101
apnic|20220315|181|133|111|106
apnic|20220415|178|133|109|110
apnic|20220515|173|134|113|109
apnic|20220615|193|131|111|113
apnic|20220715|194|132|112|124
apnic|20220815|198|142|122|125
apnic|20220915|199|149|126|128
apnic|20221015|206|147|124|134
apnic|20221115|215|149|119|129
apnic|20221215|220|162|125|133
apnic|20230115|213|169|128|141
apnic|20230215|220|160|136|136
apnic|20230315|222|174|120|138
apnic|20230415|220|173|133|147
apnic|20230515|220|173|133|146
apnic|20230615|228|163|130|177
apnic|20230715|232|169|141|175
apnic|20230815|238|164|145|181
apnic|20230915|255|178|139|183
apnic|20231015|243|190|135|182
apnic|20231115|254|178|134|189
apnic|20231215|254|194|132|188
apnic|20240115|254|196|143|185
apnic|20240215|259|193|140|182
apnic|20240315|265|202|145|193
apnic|20240415|276|198|148|201
apnic|20240515|284|214|149|196
apnic|20240615|281|215|156|203
arin|20140615|90|45|30|36
arin|20140715|91|46|30|45
arin|20140815|92|50|29|43
arin|20140915|97|50|28|35
arin|20141015|92|53|26|38
arin|20141115|91|49|26|40
arin|20141215|94|52|27|43
arin|20150115|97|55|29|41
arin|20150215|97|55|29|41
arin|20150315|90|58|28|49
arin|20150415|94|61|31|46
arin|20150515|93|56|37|48
arin|20150615|92|58|36|53
arin|20150715|95|58|37|50
arin|20150815|94|63|38|45
arin|20150915|102|62|40|49
arin|20151015|102|62|49|55
arin|20151115|100|68|52|54
arin|20151215|106|66|54|57
arin|20160115|110|75|54|51
arin|20160215|110|75|54|51
arin|20160315|113|82|54|54
arin|20160415|118|71|55|52
arin|20160515|116|72|57|58
arin|20160615|117|72|59|53
arin|20160715|118|70|60|55
arin|20160815|121|67|58|49
arin|20160915|121|72|59|49
arin|20161015|117|74|59|48
arin|20161115|125|73|62|48
arin|20161215|123|66|64|54
arin|20170115|128|65|64|55
arin|20170215|126|66|69|55
arin|20170315|119|62|66|61
arin|20170415|119|62|66|61
arin|20170515|121|68|66|53
arin|20170615|124|66|67|56
arin|20170715|124|66|67|56
arin|20170815|131|66|66|51
arin|20170915|131|66|66|51
arin|20171015|127|75|70|58
arin|20171115|138|76|72|59
arin|20171215|138|72|76|52
arin|20180115|132|80|75|56
arin|20180215|131|76|82|58
arin|20180315|156|76|79|60
arin|20180415|145|80|82|56
arin|20180515|146|82|79|60
arin|20180615|155|88|81|61
arin|20180715|164|89|79|63
arin|20180815|164|89|79|63
arin|20180915|155|93|79|61
arin|20181015|148|92|73|62
arin|20181115|137|100|72|68
arin|20181215|138|100|77|68
arin|20190115|142|100|73|71
arin|20190215|142|100|73|71
arin|20190315|141|104|71|73
arin|20190415|143|110|75|72
arin|20190515|151|104|80|74
arin|20190615|151|106|81|68
arin|20190715|151|106|81|68
arin|20190815|158|111|83|75
arin|20190915|158|111|83|75
arin|20191015|161|111|88|74
arin|20191115|165|112|89|78
arin|20191215|164|116|89|76
arin|20200115|174|117|93|81
arin|20200215|176|123|95|78
arin|20200315|151|113|94|63
arin|20200415|172|121|94|81
arin|20200515|163|122|99|83
arin|20200615|166|125|92|79
arin|20200715|172|118|90|82
arin|20200815|172|118|90|82
arin|20200915|172|118|90|82
arin|20201015|182|119|100|85
arin|20201115|182|119|100|85
arin|20201215|182|119|100|85
arin|20210115|177|119|104|87
arin|20210215|183|123|101|91
arin|20210315|183|122|103|92
arin|20210415|188|120|104|98
arin|20210515|195|125|99|96
arin|20210615|196|128|99|90
arin|20210715|196|121|95|88
arin|20210815|203|118|98|91
arin|20210915|206|113|93|86
arin|20211015|223|109|98|99
