#region|date|observed_ases|use_aspp
apnic|20150615|1360|139
apnic|20150715|1381|146
apnic|20150815|1383|152
apnic|20150915|1383|151
apnic|20151015|1401|145
apnic|20151115|1442|146
apnic|20151215|1457|150
apnic|20160115|1463|149
apnic|20160215|1463|149
apnic|20160315|1520|157
apnic|20160415|1524|152
apnic|20160515|1536|150
apnic|20160615|1550|158
apnic|20160715|1565|169
apnic|20160815|1578|171
apnic|20160915|1620|171
apnic|20161015|1662|185
apnic|20161115|1661|190
apnic|20161215|1708|197
apnic|20170115|1701|199
apnic|20170215|1728|201
apnic|20170315|1744|207
apnic|20170415|1744|207
apnic|20170515|1765|204
apnic|20170615|1820|210
apnic|20170715|1820|210
apnic|20170815|1837|216
apnic|20170915|1837|216
apnic|20171015|1856|214
apnic|20171115|1901|222
apnic|20171215|1923|219
apnic|20180115|1946|217
apnic|20180215|1986|228
apnic|20180315|2000|262
apnic|20180415|2017|234
apnic|20180515|2053|237
apnic|20180615|2085|244
apnic|20180715|2156|257
apnic|20180815|2156|257
apnic|20180915|2218|259
apnic|20181015|2248|262
apnic|20181115|2273|270
apnic|20181215|2322|273
apnic|20190115|2337|282
apnic|20190215|2337|282
apnic|20190315|2366|299
apnic|20190415|2402|304
apnic|20190515|2433|310
apnic|20190615|2441|311
apnic|20190715|2441|311
apnic|20190815|2485|315
apnic|20190915|2485|315
apnic|20191015|2558|321
apnic|20191115|2569|334
apnic|20191215|2596|344
apnic|20200115|2625|352
apnic|20200215|2642|353
apnic|20200315|2650|341
apnic|20200415|2702|367
apnic|20200515|2729|374
apnic|20200615|2747|384
apnic|20200715|2803|384
apnic|20200815|2804|393
apnic|20200915|2865|420
apnic|20201015|2874|410
apnic|20201115|2890|399
apnic|20201215|2937|423
apnic|20210115|2947|427
apnic|20210215|3011|407
apnic|20210315|3031|435
apnic|20210415|3071|432
apnic|20210515|3125|440
apnic|20210615|7358|474
apnic|20210715|7347|462
apnic|20210815|7445|485
apnic|20210915|7500|475
apnic|20211015|7536|490
apnic|20211115|7540|485
apnic|20211215|7605|497
apnic|20220115|7721|526
apnic|20220215|7743|500
apnic|20220315|7816|531
apnic|20220415|7807|530
apnic|20220515|7814|529
apnic|20220615|7846|548
apnic|20220715|7904|562
apnic|20220815|7972|587
apnic|20220915|8000|602
apnic|20221015|8028|611
apnic|20221115|8126|612
apnic|20221215|8203|640
apnic|20230115|8255|651
apnic|20230215|8339|652
apnic|20230315|8448|654
apnic|20230415|8447|673
apnic|20230515|8466|672
apnic|20230615|8510|698
apnic|20230715|8517|717
apnic|20230815|8635|728
apnic|20230915|8735|755
apnic|20231015|8741|750
apnic|20231115|8747|755
apnic|20231215|8724|768
apnic|20240115|8803|778
apnic|20240215|8833|774
apnic|20240315|8878|805
apnic|20240415|8919|823
apnic|20240515|8947|843
apnic|20240615|8965|855
lacnic|20140615|662|33
lacnic|20140715|680|34
lacnic|20140815|706|35
lacnic|20140915|740|35
lacnic|20141015|776|38
lacnic|20141115|820|38
lacnic|20141215|855|35
lacnic|20150115|856|42
lacnic|20150215|856|42
lacnic|20150315|901|44
lacnic|20150415|937|44
lacnic|20150515|972|41
