as_type|date|from1to24|from25to49|from50to74|from75to100
education|20201115|3|8|13|108
education|20201215|3|8|13|111
education|20210115|3|8|14|111
education|20210215|3|8|14|114
education|20210315|3|8|11|112
education|20210415|3|7|11|109
education|20210515|7|7|11|111
education|20210615|8|8|14|114
education|20210715|5|8|17|113
education|20210815|5|8|16|118
education|20210915|6|8|16|106
education|20211015|4|9|13|113
education|20211115|4|9|13|113
education|20211215|8|6|13|115
education|20220115|6|9|11|118
education|20220215|5|6|13|116
education|20220315|5|6|17|114
education|20220415|5|7|16|109
education|20220515|4|5|19|113
education|20220615|5|7|17|115
education|20220715|5|8|19|113
education|20220815|5|7|19|118
education|20220915|4|8|13|121
education|20221015|5|6|16|125
education|20221115|5|6|19|117
education|20221215|5|7|17|121
education|20230115|5|7|17|121
education|20230215|7|6|16|119
education|20230315|8|8|16|121
education|20230415|7|6|16|130
education|20230515|7|8|17|131
education|20230615|7|7|17|132
education|20230715|7|7|17|133
education|20230815|6|10|17|135
education|20230915|9|10|16|139
education|20231015|8|10|16|141
education|20231115|5|11|17|139
education|20231215|7|11|17|136
education|20240115|7|11|17|136
education|20240215|6|10|17|139
education|20240315|6|10|17|139
education|20240415|5|11|19|140
education|20240515|5|11|19|140
education|20240615|5|11|19|140
government|20140615|0|3|1|11
government|20140715|0|1|3|11
government|20140815|0|2|2|13
government|20140915|0|1|2|11
government|20141015|0|2|0|11
government|20141115|1|3|0|12
government|20141215|0|2|3|11
government|20150115|0|3|1|11
government|20150215|0|2|1|12
government|20150315|0|2|1|12
government|20150415|0|2|0|11
government|20150515|0|2|0|11
government|20150615|0|2|1|10
government|20150715|0|3|0|11
government|20150815|0|3|1|10
government|20150915|0|2|0|12
government|20151015|0|2|0|12
government|20151115|0|2|1|12
government|20151215|0|3|1|12
government|20160115|0|3|0|11
government|20160215|0|3|0|11
government|20160315|0|3|1|12
government|20160415|0|3|1|11
government|20160515|0|3|0|11
government|20160615|0|3|0|12
government|20160715|0|3|2|10
government|20160815|1|3|0|11
government|20160915|1|2|2|10
government|20161015|1|2|1|11
government|20161115|2|2|2|11
government|20161215|1|2|2|12
government|20170115|1|1|3|11
government|20170215|2|2|4|10
government|20170315|3|2|2|13
government|20170415|3|2|2|13
government|20170515|2|2|2|12
government|20170615|2|2|2|14
government|20170715|2|2|2|14
government|20170815|1|3|2|14
government|20170915|1|3|2|14
government|20171015|1|3|2|15
government|20171115|1|3|4|15
government|20171215|1|3|2|15
government|20180115|2|3|3|14
government|20180215|3|2|2|15
government|20180315|3|2|5|14
government|20180415|3|2|3|14
government|20180515|3|2|5|12
government|20180615|3|2|5|14
government|20180715|3|4|4|14
government|20180815|3|4|4|14
government|20180915|3|3|4|14
government|20181015|3|3|4|12
government|20181115|3|3|4|13
government|20181215|3|3|4|13
government|20190115|3|3|4|14
government|20190315|2|4|4|15
government|20190415|2|4|4|16
government|20190515|4|4|4|15
government|20190615|7|3|4|15
government|20190715|7|3|4|15
government|20190815|6|5|4|13
government|20190915|6|5|4|13
government|20191015|6|6|4|18
government|20191115|6|6|4|19
government|20191215|5|8|4|18
government|20200115|4|7|5|19
government|20200215|4|6|6|21
government|20200315|3|7|5|19
government|20200415|4|4|6|21
government|20200515|4|7|4|22
government|20200615|4|8|3|23
government|20200715|4|7|3|22
government|20200815|4|7|3|23
government|20200915|4|7|3|24
government|20201015|4|6|4|26
government|20201115|4|7|4|26
government|20201215|4|5|6|27
government|20210115|3|6|6|28
government|20210215|3|5|5|28
government|20210315|2|4|5|29
government|20210415|3|5|4|31
government|20210515|4|5|6|30
government|20210615|3|6|6|32
government|20210715|2|6|6|33
government|20210815|4|7|5|31
government|20210915|4|7|5|31
government|20211015|3|7|5|38
government|20211115|3|7|5|38
government|20211215|3|7|5|38
government|20220115|3|7|5|38
government|20220215|6|6|2|39
government|20220315|5|6|3|41
government|20220415|4|6|4|41
government|20220515|4|6|5|40
government|20220615|4|7|5|42
government|20220715|3|7|4|40
government|20220815|3|7|5|41
government|20220915|2|8|6|38
government|20221015|2|8|6|41
government|20221115|2|8|5|41
government|20221215|2|9|5|42
government|20230115|3|7|4|41
government|20230215|2|7|6|40
government|20230315|2|9|6|43
government|20230415|2|7|8|45
government|20230515|2|8|7|49
government|20230615|2|8|7|47
government|20230715|2|7|8|47
government|20230815|3|5|8|47
government|20230915|2|7|6|49
government|20231015|2|8|6|49
government|20231115|2|8|7|49
government|20231215|2|9|5|51
government|20240115|2|7|6|49
government|20240215|3|7|7|45
government|20240315|3|7|4|45
government|20240415|3|8|6|50
government|20240515|2|9|6|44
government|20240615|3|8|5|46
hosting|20140615|11|13|24|208
hosting|20140715|14|15|26|208
hosting|20140815|14|13|27|208
hosting|20140915|14|12|28|200
hosting|20141015|12|14|29|205
hosting|20141115|13|13|28|207
hosting|20141215|13|12|27|204
hosting|20150115|13|12|28|213
hosting|20150215|13|12|28|213
hosting|20150315|13|16|27|214
hosting|20150415|15|13|27|222
hosting|20150515|18|15|29|221
hosting|20150615|17|16|28|230
hosting|20150715|19|12|27|237
hosting|20150815|17|11|27|238
hosting|20150915|17|11|27|238
hosting|20151015|19|14|32|256
hosting|20151115|19|16|35|244
hosting|20151215|22|10|36|242
hosting|20160115|22|14|35|249
hosting|20160215|22|14|35|249
hosting|20160315|23|18|31|258
hosting|20160415|23|19|33|246
hosting|20160515|24|16|35|253
hosting|20160615|25|18|39|264
hosting|20160715|25|20|45|269
hosting|20160815|20|23|42|270
hosting|20160915|24|18|47|275
hosting|20161015|23|22|47|266
hosting|20161115|27|23|44|277
hosting|20161215|28|22|47|281
hosting|20170115|30|22|52|271
hosting|20170215|34|21|54|268
hosting|20170315|32|28|53|275
hosting|20170415|32|28|53|275
hosting|20170515|35|26|51|267
hosting|20170615|34|25|58|271
hosting|20170715|18|13|30|134
hosting|20170815|40|26|58|273
hosting|20170915|18|16|26|127
hosting|20171015|47|21|66|275
hosting|20171115|43|27|64|273
hosting|20171215|44|31|59|286
hosting|20180115|43|37|61|285
hosting|20180215|40|39|63|292
hosting|20180315|44|42|67|313
hosting|20180415|46|39|52|324
hosting|20180515|49|41|60|321
hosting|20180615|54|38|62|338
hosting|20180715|61|48|69|334
hosting|20180815|61|48|69|334
hosting|20180915|60|47|60|340
hosting|20181015|60|42|65|339
hosting|20181115|63|45|63|335
hosting|20181215|64|51|65|334
hosting|20190115|61|56|62|338
hosting|20190215|75|52|66|356
hosting|20190315|75|52|66|356
hosting|20190415|65|54|65|375
hosting|20190515|69|54|71|380
hosting|20190615|69|51|74|382
hosting|20190715|66|62|75|387
hosting|20190815|66|62|75|387
hosting|20190915|66|62|75|387
hosting|20191015|77|56|73|406
hosting|20191115|83|59|78|400
hosting|20191215|88|59|78|409
hosting|20200115|95|57|75|420
hosting|20200215|90|57|82|419
hosting|20200315|86|67|79|365
hosting|20200415|93|55|93|427
hosting|20200515|94|56|81|429
hosting|20200615|93|48|81|434
hosting|20200715|95|61|83|439
hosting|20200815|96|57|93|494
hosting|20200915|97|69|91|497
hosting|20201015|104|55|93|479
hosting|20201115|96|55|100|449
hosting|20201215|98|66|101|478
hosting|20210115|98|66|106|480
hosting|20210215|95|70|107|464
hosting|20210315|98|70|106|469
hosting|20210415|105|63|110|467
hosting|20210515|104|72|106|476
hosting|20210615|112|70|114|485
hosting|20210715|104|76|102|478
hosting|20210815|100|84|111|499
