#as_type|date|from1to24|from25to49|from50to74|from75to99
business|20140615|21|42|37|0
business|20140715|22|41|41|0
business|20140815|23|38|47|0
business|20140915|22|43|47|0
business|20141015|23|44|47|0
business|20141115|24|45|47|0
business|20141215|25|42|53|0
business|20150115|26|43|48|0
business|20150215|25|44|54|0
business|20150315|25|44|54|0
business|20150415|27|44|51|0
business|20150515|29|46|53|0
business|20150615|30|49|55|0
business|20150715|28|50|54|0
business|20150815|28|49|52|0
business|20150915|24|51|49|0
business|20151015|26|49|54|0
business|20151115|30|53|57|0
business|20151215|30|56|53|0
business|20160115|31|59|55|0
business|20160215|31|59|55|0
business|20160315|31|64|61|0
business|20160415|31|61|60|0
business|20160515|30|69|61|0
business|20160615|29|69|57|0
business|20160715|32|74|60|0
business|20160815|33|77|59|0
business|20160915|31|82|60|0
business|20161015|34|80|61|0
business|20161115|32|80|62|0
business|20161215|37|77|62|0
business|20170115|38|79|61|0
business|20170215|40|86|61|0
business|20170315|41|82|65|0
business|20170415|41|82|65|0
business|20170515|38|82|59|0
business|20170615|44|84|66|0
business|20170715|25|44|36|0
business|20170815|46|91|70|0
business|20170915|23|46|31|0
business|20171015|43|91|68|0
business|20171115|43|96|75|0
business|20171215|39|104|75|0
business|20180115|38|106|74|0
business|20180215|41|105|74|0
business|20180315|39|105|77|0
business|20180415|41|103|76|0
business|20180515|42|108|74|0
business|20180615|48|103|80|0
business|20180715|47|109|84|0
business|20180815|47|109|84|0
business|20180915|51|106|78|0
business|20181015|61|109|79|0
business|20181115|55|116|78|0
business|20181215|57|114|82|0
business|20190115|62|110|84|0
business|20190215|62|110|84|0
business|20190315|60|111|92|0
business|20190415|57|108|93|0
business|20190515|64|107|98|0
business|20190615|62|102|99|0
business|20190715|62|102|99|0
business|20190815|61|108|98|0
business|20190915|61|108|98|0
business|20191015|62|109|98|0
business|20191115|67|116|94|0
business|20191215|63|117|95|0
business|20200115|67|115|99|0
business|20200215|69|117|95|0
business|20200315|70|120|96|0
business|20200415|71|121|104|0
business|20200515|71|126|106|0
business|20200615|73|130|102|0
business|20200715|73|130|102|0
business|20200815|85|150|102|0
