region|date|from1to24|from25to49|from50to74|from75to99
apnic|20180215|147|99|74|0
apnic|20180315|153|97|73|0
apnic|20180415|157|93|74|0
apnic|20180515|157|93|76|0
apnic|20180615|167|89|81|0
apnic|20180715|172|96|84|0
apnic|20180815|172|96|84|0
apnic|20180915|182|97|93|0
apnic|20181015|188|96|91|0
apnic|20181115|189|106|92|0
apnic|20181215|197|109|90|0
apnic|20190115|200|107|94|0
apnic|20190215|200|107|94|0
apnic|20190315|196|113|100|0
apnic|20190415|196|113|100|0
apnic|20190515|214|112|102|0
apnic|20190615|219|112|100|0
apnic|20190715|219|112|100|0
apnic|20190815|227|118|104|0
apnic|20190915|227|118|104|0
apnic|20191015|235|135|93|0
apnic|20191115|242|141|96|0
apnic|20191215|242|143|98|0
apnic|20200115|252|142|103|0
apnic|20200215|254|142|105|0
apnic|20200315|250|144|106|0
apnic|20200415|256|150|109|0
apnic|20200515|262|145|109|0
apnic|20200615|260|146|105|0
apnic|20200715|265|154|100|0
apnic|20200815|263|143|109|0
apnic|20200915|271|154|113|0
apnic|20201015|275|143|116|0
apnic|20201115|279|149|111|0
apnic|20201215|279|151|115|0
apnic|20210115|283|151|112|0
apnic|20210215|288|161|109|0
apnic|20210315|303|160|110|0
apnic|20210415|307|162|118|0
apnic|20210515|308|169|118|0
apnic|20210615|323|170|124|0
apnic|20210715|319|174|113|0
apnic|20210815|320|185|116|0
apnic|20210915|324|192|116|0
apnic|20211015|329|190|119|0
apnic|20211115|335|184|119|0
apnic|20211215|331|180|113|0
apnic|20220115|336|181|108|0
apnic|20220215|334|186|113|0
apnic|20220315|344|186|115|0
apnic|20220415|354|179|112|0
apnic|20220515|343|188|116|0
apnic|20220615|356|192|116|0
apnic|20220715|365|201|119|0
apnic|20220815|374|201|123|0
apnic|20220915|388|187|139|0
apnic|20221015|385|184|139|0
apnic|20221115|395|190|139|1
apnic|20221215|409|184|137|1
apnic|20230115|416|199|136|1
apnic|20230215|422|196|145|0
apnic|20230315|431|198|151|0
apnic|20230415|431|192|148|0
apnic|20230515|435|199|145|0
apnic|20230615|433|198|141|0
apnic|20230715|435|192|149|0
apnic|20230815|437|202|152|0
apnic|20230915|452|211|149|1
apnic|20231015|450|203|144|1
apnic|20231115|445|204|142|1
apnic|20231215|447|204|140|1
apnic|20240115|452|206|141|1
apnic|20240215|452|212|145|1
apnic|20240315|448|216|144|1
apnic|20240415|449|219|153|1
apnic|20240515|458|228|148|1
apnic|20240615|458|226|152|1
arin|20140615|94|80|65|0
arin|20140715|100|77|67|0
arin|20140815|99|78|70|0
arin|20140915|98|78|76|0
arin|20141015|100|80|77|0
arin|20141115|108|78|78|0
arin|20141215|105|81|79|0
arin|20150115|111|81|79|0
arin|20150215|16|11|16|0
arin|20150315|110|97|78|0
arin|20150415|111|98|78|0
arin|20150515|111|104|77|0
arin|20150615|121|103|78|0
arin|20150715|115|105|76|0
arin|20150815|115|106|80|0
arin|20150915|117|101|75|0
arin|20151015|115|109|79|0
arin|20151115|112|112|85|0
arin|20151215|118|113|84|0
arin|20160115|119|114|90|0
arin|20160215|119|114|90|0
arin|20160315|123|123|96|0
arin|20160415|124|111|99|0
arin|20160515|125|125|95|0
arin|20160615|129|117|90|0
arin|20160715|136|126|91|0
arin|20160815|134|125|93|0
arin|20160915|132|119|96|0
arin|20161015|133|124|99|0
arin|20161115|128|127|110|0
arin|20161215|136|135|103|0
arin|20170115|138|135|100|0
arin|20170215|140|141|100|0
arin|20170315|143|142|103|0
arin|20170415|143|142|103|0
arin|20170515|135|150|103|0
arin|20170615|142|154|94|0
arin|20170715|142|154|94|0
arin|20170815|149|161|95|0
arin|20170915|149|161|95|0
arin|20171015|155|156|100|0
arin|20171115|159|163|99|0
arin|20171215|156|162|105|0
arin|20180115|158|168|102|0
arin|20180215|158|165|105|0
arin|20180315|155|167|102|0
arin|20180415|158|168|100|0
arin|20180515|164|175|103|0
arin|20180615|167|178|110|0
arin|20180715|172|180|110|0
arin|20180815|172|180|110|0
arin|20180915|177|167|112|0
arin|20181015|185|174|108|0
arin|20181115|176|181|112|0
arin|20181215|178|182|115|0
arin|20190115|180|180|116|0
arin|20190215|180|180|116|0
arin|20190315|185|179|115|0
arin|20190415|189|182|113|0
arin|20190515|190|192|114|0
arin|20190615|194|192|112|0
arin|20190715|194|192|112|0
arin|20190815|200|198|105|0
arin|20190915|200|198|105|0
arin|20191015|212|192|108|0
arin|20191115|215|187|109|0
arin|20191215|211|194|107|0
arin|20200115|214|193|111|0
arin|20200215|214|194|109|0
arin|20200315|215|194|116|0
arin|20200415|213|199|118|0
arin|20200515|217|201|115|0
arin|20200615|224|197|115|0
arin|20200715|227|210|117|0
arin|20200815|230|207|115|0
arin|20200915|233|215|112|0
arin|20201015|231|211|120|0
arin|20201115|238|216|114|0
arin|20201215|239|211|121|0
arin|20210115|238|213|126|0
arin|20210215|238|215|123|0
arin|20210315|248|213|121|0
arin|20210415|245|208|128|0
arin|20210515|250|206|133|0
arin|20210615|253|210|139|0
arin|20210715|258|214|135|0
arin|20210815|258|213|139|0
arin|20210915|259|213|141|0
arin|20211015|264|213|143|0
arin|20211115|267|205|139|0
arin|20211215|271|210|135|0
