#as_type|date|disagg_1|disagg_2|disagg_3|disagg_4plus
education|20201015|10|8|8|82
education|20201115|10|8|9|81
education|20201215|10|9|9|82
education|20210115|10|9|9|84
education|20210215|11|10|9|85
education|20210315|12|10|9|83
education|20210415|11|9|9|87
education|20210515|11|8|9|86
education|20210615|12|8|9|88
education|20210715|12|7|9|85
education|20210815|13|7|10|83
education|20210915|13|7|10|82
education|20211015|13|7|10|83
education|20211115|13|7|10|82
education|20211215|13|6|10|84
education|20220115|12|7|10|84
education|20220215|12|7|10|84
education|20220315|14|7|10|90
education|20220415|13|7|10|90
education|20220515|13|7|11|94
education|20220615|13|7|11|95
education|20220715|13|7|11|97
education|20220815|11|7|11|95
education|20220915|10|6|10|97
education|20221015|11|6|10|97
education|20221115|12|6|10|97
education|20221215|14|6|10|97
education|20230115|14|6|10|97
education|20230215|25|10|9|101
education|20230315|25|10|9|101
education|20230415|25|10|9|101
education|20230515|25|10|9|101
education|20230615|25|11|10|97
education|20230715|24|10|10|98
education|20230815|25|10|8|102
education|20230915|25|10|8|105
education|20231015|25|10|8|104
education|20231115|26|10|8|102
education|20231215|26|10|8|106
education|20240115|26|10|8|104
education|20240215|26|10|9|104
education|20240315|26|10|9|103
education|20240415|26|9|9|103
education|20240515|25|9|10|103
education|20240615|26|9|10|104
government|20140615|4|1|0|13
government|20140715|4|1|0|13
government|20140815|5|1|0|12
government|20140915|5|1|0|12
government|20141015|5|1|0|12
government|20141115|5|1|0|13
government|20141215|5|1|1|13
government|20150115|5|1|1|13
government|20150215|5|1|1|13
government|20150315|6|1|1|12
government|20150415|5|1|1|12
government|20150515|5|1|1|12
government|20150615|5|1|1|12
government|20150715|6|1|1|13
government|20150815|6|1|1|14
government|20150915|5|1|1|10
government|20151015|6|1|1|11
government|20151115|5|1|1|13
government|20151215|6|1|1|13
government|20160115|5|1|1|12
government|20160215|5|1|1|12
government|20160315|6|2|1|13
government|20160415|6|2|1|12
government|20160515|7|2|1|13
government|20160615|7|2|1|12
government|20160715|7|2|1|14
government|20160815|6|2|1|14
government|20160915|5|2|1|13
government|20161015|6|2|1|13
government|20161115|6|2|1|12
government|20161215|7|2|1|13
government|20170115|8|3|1|14
government|20170215|8|4|1|15
government|20170315|8|4|1|15
government|20170415|8|4|1|15
government|20170515|8|4|1|15
government|20170615|9|4|1|15
government|20170715|9|4|1|15
government|20170815|9|3|2|15
government|20170915|9|3|2|15
government|20171015|9|3|2|17
government|20171115|11|3|2|17
government|20171215|9|2|2|18
government|20180115|9|2|2|18
government|20180215|10|2|2|19
government|20180315|10|2|2|18
government|20180415|10|2|2|18
government|20180515|11|3|2|19
government|20180615|11|3|2|19
government|20180715|11|3|2|19
government|20180815|11|3|2|19
government|20180915|10|2|2|20
government|20181015|10|2|2|21
government|20181115|11|2|2|21
government|20181215|11|2|2|22
government|20190115|11|2|2|20
government|20190215|11|2|2|20
government|20190315|10|3|2|20
government|20190415|11|3|2|19
government|20190515|11|3|2|19
government|20190615|12|4|2|20
government|20190815|12|5|1|23
government|20191015|12|5|1|23
government|20191115|12|5|1|23
government|20191215|13|6|1|23
government|20200115|15|6|1|23
government|20200215|14|7|1|22
government|20200315|12|6|1|23
government|20200415|13|6|1|23
government|20200515|14|5|0|23
government|20200615|14|5|1|23
government|20200715|14|4|0|24
government|20200815|15|4|0|25
government|20200915|15|4|0|24
government|20201015|16|4|0|25
government|20201115|16|4|0|26
government|20201215|15|4|1|28
government|20210115|16|4|1|28
government|20210215|16|4|0|27
government|20210315|16|3|0|27
government|20210415|16|2|0|28
government|20210515|15|2|0|27
government|20210615|15|2|0|27
government|20210715|16|4|0|25
government|20210815|15|4|0|25
government|20210915|15|5|0|25
government|20211015|15|5|0|26
government|20211115|14|5|0|26
government|20211215|13|5|0|27
government|20220115|12|5|0|28
government|20220215|12|5|0|29
government|20220315|12|5|0|28
government|20220415|12|4|0|28
government|20220515|12|4|0|30
government|20220615|12|4|0|32
government|20220715|13|4|0|31
government|20220815|13|4|0|32
government|20220915|13|4|0|34
government|20221015|13|5|0|34
government|20221115|14|5|0|33
government|20221215|15|5|0|33
government|20230115|14|5|0|33
government|20230215|14|5|0|33
government|20230315|13|5|0|37
government|20230415|13|5|0|35
government|20230515|14|5|0|35
government|20230615|16|5|1|34
government|20230715|15|5|1|34
government|20230815|15|5|1|34
government|20230915|15|6|2|32
government|20231015|15|5|2|32
government|20231115|15|5|2|32
government|20231215|13|5|4|31
government|20240115|13|5|4|32
government|20240215|12|6|4|31
government|20240315|12|6|4|32
government|20240415|12|6|4|31
government|20240515|13|6|4|32
government|20240615|14|6|3|32
hosting|20140615|22|8|35|179
hosting|20140715|23|8|34|184
hosting|20140815|25|8|33|190
hosting|20140915|25|7|34|193
hosting|20141015|25|7|33|202
hosting|20141115|23|7|33|202
hosting|20141215|24|6|36|195
hosting|20150115|25|7|36|201
hosting|20150215|25|7|36|201
hosting|20150315|27|7|39|214
hosting|20150415|26|7|38|212
hosting|20150515|27|7|41|224
hosting|20150615|26|7|41|227
hosting|20150715|24|7|41|232
hosting|20150815|24|7|43|230
hosting|20150915|25|7|43|231
hosting|20151015|25|7|43|245
hosting|20151115|26|8|38|253
hosting|20151215|26|8|37|258
hosting|20160115|26|8|38|259
hosting|20160215|26|8|38|259
hosting|20160315|26|7|40|267
hosting|20160415|25|7|40|269
hosting|20160515|27|7|39|279
hosting|20160615|27|7|42|285
hosting|20160715|27|7|41|287
hosting|20160815|27|8|41|287
hosting|20160915|26|8|44|294
hosting|20161015|28|10|45|306
hosting|20161115|27|12|49|314
hosting|20161215|25|12|50|323
hosting|20170115|27|11|49|325
hosting|20170215|26|12|50|326
hosting|20170315|24|13|52|334
hosting|20170415|24|13|52|334
hosting|20170515|24|11|53|331
hosting|20170615|25|12|51|334
hosting|20170715|25|12|51|334
hosting|20170815|26|12|53|341
hosting|20170915|26|12|53|341
