#region|date|disagg_1|disagg_2|disagg_3|disagg_4plus
afrinic|20140615|47|82|34|140
afrinic|20140715|44|76|39|142
afrinic|20140815|43|79|38|145
afrinic|20140915|40|84|39|153
afrinic|20141015|40|79|39|149
afrinic|20141115|39|79|39|151
afrinic|20141215|43|81|38|150
afrinic|20150115|42|83|35|152
afrinic|20150215|45|78|35|158
afrinic|20150315|43|82|36|158
afrinic|20150415|41|83|39|158
afrinic|20150515|44|80|39|160
afrinic|20150615|50|79|41|152
afrinic|20150715|54|84|44|154
afrinic|20150815|51|86|41|162
afrinic|20150915|52|85|42|166
afrinic|20151015|43|87|47|165
afrinic|20151115|47|90|47|160
afrinic|20151215|50|85|45|165
afrinic|20160115|46|84|48|169
afrinic|20160215|56|81|51|170
afrinic|20160315|52|80|52|170
afrinic|20160415|53|88|53|173
afrinic|20160515|55|91|47|173
afrinic|20160615|56|92|47|179
afrinic|20160715|55|92|51|174
afrinic|20160815|55|92|51|174
afrinic|20160915|58|98|61|194
afrinic|20161015|58|98|61|194
afrinic|20161115|60|99|66|192
afrinic|20161215|61|96|66|193
afrinic|20170115|61|94|64|194
afrinic|20170215|64|96|59|193
afrinic|20170315|60|99|60|196
afrinic|20170415|57|101|60|200
afrinic|20170515|59|104|60|200
afrinic|20170615|59|102|64|202
afrinic|20170715|60|103|58|206
afrinic|20170815|63|105|60|215
afrinic|20170915|69|106|56|220
afrinic|20171015|68|109|61|214
afrinic|20171115|70|105|58|220
afrinic|20171215|63|105|57|224
afrinic|20180115|62|100|59|222
afrinic|20180215|62|100|59|222
afrinic|20180315|59|105|55|224
afrinic|20180415|59|105|55|224
afrinic|20180515|71|108|55|226
afrinic|20180615|69|118|57|231
afrinic|20180715|68|121|59|230
afrinic|20180815|70|120|63|234
afrinic|20180915|71|118|59|241
afrinic|20181015|78|113|64|237
afrinic|20181115|74|118|65|239
afrinic|20181215|73|116|69|231
afrinic|20190115|75|116|67|240
afrinic|20190215|67|122|71|242
afrinic|20190315|66|132|67|246
afrinic|20190415|68|131|68|248
afrinic|20190515|75|130|69|252
afrinic|20190615|75|131|69|251
afrinic|20190715|80|129|71|250
afrinic|20190815|76|142|72|245
afrinic|20190915|78|141|70|247
afrinic|20191015|80|143|68|251
afrinic|20191115|88|143|77|248
afrinic|20191215|90|139|73|246
afrinic|20200115|89|141|75|241
afrinic|20200215|94|149|71|243
afrinic|20200315|83|152|71|254
afrinic|20200415|86|157|75|249
afrinic|20200515|90|163|71|256
afrinic|20200615|93|167|72|260
afrinic|20200715|97|164|74|258
afrinic|20200815|98|157|70|259
afrinic|20200915|99|158|71|254
afrinic|20201015|97|153|68|257
afrinic|20201115|97|155|73|258
afrinic|20201215|98|168|75|263
afrinic|20210115|101|165|73|258
afrinic|20210215|101|172|72|260
afrinic|20210315|105|178|72|256
afrinic|20210415|108|179|72|260
afrinic|20210515|108|188|74|259
afrinic|20210615|109|184|76|258
afrinic|20210715|112|191|74|259
afrinic|20210815|113|189|76|260
afrinic|20210915|117|197|74|259
afrinic|20211015|121|191|77|258
afrinic|20211115|120|193|82|256
afrinic|20211215|127|201|79|260
afrinic|20220115|121|208|78|260
afrinic|20220215|124|206|82|254
afrinic|20220315|125|207|82|256
afrinic|20220415|124|208|82|263
afrinic|20220515|121|207|78|264
afrinic|20220615|126|218|80|264
afrinic|20220715|126|218|77|262
afrinic|20220815|124|224|81|259
afrinic|20220915|129|222|80|262
afrinic|20221015|128|224|78|262
afrinic|20221115|125|234|78|263
afrinic|20221215|123|234|80|261
afrinic|20230115|129|230|81|259
afrinic|20230215|129|237|81|261
afrinic|20230315|133|242|81|260
afrinic|20230415|136|234|79|261
afrinic|20230515|137|243|78|256
afrinic|20230615|132|245|77|257
afrinic|20230715|134|248|79|256
afrinic|20230815|135|246|82|265
afrinic|20230915|135|246|80|262
afrinic|20231015|137|251|79|264
afrinic|20231115|133|257|81|266
afrinic|20231215|139|244|79|264
afrinic|20240115|136|254|78|268
afrinic|20240215|135|254|80|267
afrinic|20240315|130|250|81|261
afrinic|20240415|133|262|83|265
afrinic|20240515|137|258|81|264
afrinic|20240615|142|252|80|264
apnic|20140615|393|396|231|914
apnic|20140715|401|394|238|914
apnic|20140815|407|399|240|914
apnic|20140915|408|411|231|924
apnic|20141015|412|427|227|906
apnic|20141115|409|424|231|917
apnic|20141215|408|434|230|905
apnic|20150115|407|445|236|909
apnic|20150215|416|444|239|903
apnic|20150315|412|446|233|892
apnic|20150415|426|452|239|911
apnic|20150515|427|455|243|934
apnic|20150615|433|468|254|934
apnic|20150715|442|481|251|934
apnic|20150815|419|481|252|939
apnic|20150915|423|501|249|944
apnic|20151015|410|498|246|935
apnic|20151115|443|524|251|816
apnic|20151215|456|524|251|815
apnic|20160115|442|530|249|955
apnic|20160215|452|551|245|956
apnic|20160315|453|556|250|936
apnic|20160415|457|578|251|937
apnic|20160515|477|574|258|935
apnic|20160615|468|588|259|940
apnic|20160715|467|611|263|945
apnic|20160815|473|632|256|954
apnic|20160915|470|639|256|951
apnic|20161015|476|646|253|959
apnic|20161115|476|644|258|944
apnic|20161215|482|649|255|951
apnic|20170115|492|672|255|952
apnic|20170215|512|688|256|893
apnic|20170315|527|722|259|908
apnic|20170415|551|732|254|902
apnic|20170515|542|731|252|902
apnic|20170615|561|725|248|882
apnic|20170715|559|724|247|879
apnic|20170815|568|740|248|877
apnic|20170915|595|747|247|888
apnic|20171015|594|748|246|909
apnic|20171115|640|767|247|890
apnic|20171215|579|769|238|892
