#as_type|date|from1to24|from25to49|from50to74|from75to99
education|20190815|435|350|184|0
education|20190915|442|342|177|0
education|20191015|429|341|173|0
education|20191115|436|348|169|0
education|20191215|426|347|166|0
education|20200115|426|347|166|0
education|20200215|436|346|171|0
education|20200315|436|346|171|0
education|20200415|438|333|180|0
education|20200515|445|333|177|0
education|20200615|442|334|170|0
education|20200715|439|334|167|0
education|20200815|443|341|172|0
education|20200915|452|335|166|0
education|20201015|454|338|161|0
education|20201115|449|338|165|0
education|20201215|459|338|170|0
education|20210115|458|346|154|0
education|20210215|455|352|173|0
education|20210315|447|354|153|0
education|20210415|446|350|167|0
education|20210515|450|349|168|0
education|20210615|439|354|164|0
education|20210715|440|344|168|0
education|20210815|440|353|172|0
education|20210915|454|358|180|0
education|20211015|451|368|185|0
education|20211115|451|375|181|0
education|20211215|455|369|189|0
education|20220115|457|365|176|0
education|20220215|438|320|125|0
education|20220315|455|367|170|0
education|20220415|457|373|169|0
education|20220515|448|374|167|0
education|20220615|460|376|173|0
education|20220715|462|380|175|0
education|20220815|470|379|167|0
education|20220915|472|380|167|0
education|20221015|462|385|162|0
education|20221115|467|385|160|0
education|20221215|463|390|175|0
education|20230115|471|386|173|0
education|20230215|470|387|174|0
education|20230315|464|392|174|0
education|20230415|459|395|171|0
education|20230515|465|391|161|0
education|20230615|467|396|160|0
education|20230715|463|392|158|0
education|20230815|466|398|164|0
education|20230915|445|331|80|0
education|20231015|439|337|80|0
education|20231115|436|340|83|0
education|20231215|434|343|86|0
education|20240115|429|349|86|0
education|20240215|428|349|89|0
education|20240315|436|346|94|0
education|20240415|424|354|90|0
education|20240515|431|356|88|0
education|20240615|439|357|84|0
government|20140615|139|103|48|1
government|20140715|128|86|37|0
government|20140815|133|87|36|0
government|20140915|153|118|56|0
government|20141015|154|126|56|0
government|20141115|148|114|45|0
government|20141215|145|114|44|0
government|20150115|147|110|50|0
government|20150215|147|108|57|0
government|20150315|150|108|54|0
government|20150415|157|103|54|0
government|20150515|162|110|51|0
government|20150615|146|100|32|0
government|20150715|146|98|36|0
government|20150815|171|130|57|0
government|20150915|172|130|55|0
government|20151015|172|127|52|0
government|20151115|144|102|36|0
government|20151215|148|107|31|0
government|20160115|173|134|59|0
government|20160215|177|129|54|0
government|20160315|171|139|54|0
