region|date|observed_ases|use_moreSpecific|moreSpecific_fraction
arin|20140615|16005|3302|20.63
arin|20140715|16058|2913|18.14
arin|20140815|16130|2953|18.31
arin|20140915|16174|3388|20.95
arin|20141015|16196|3490|21.55
arin|20141115|16253|3403|20.94
arin|20141215|16302|3328|20.41
arin|20150115|16340|3336|20.42
arin|20150215|16407|3366|20.52
arin|20150315|16459|3430|20.84
arin|20150415|16506|3376|20.45
arin|20150515|16603|3510|21.14
arin|20150615|16656|3118|18.72
arin|20150715|16717|3130|18.72
arin|20150815|16720|3669|21.94
arin|20150915|16783|3658|21.80
arin|20151015|16841|3643|21.63
arin|20151115|16885|3152|18.67
arin|20151215|16926|3165|18.70
arin|20160115|16936|3705|21.88
arin|20160215|16985|3699|21.78
arin|20160315|17032|3726|21.88
arin|20160415|17075|3743|21.92
arin|20160515|17123|3730|21.78
arin|20160615|17153|3762|21.93
arin|20160715|17204|3760|21.86
arin|20160815|17220|3803|22.08
arin|20160915|17255|3810|22.08
arin|20161015|17287|3816|22.07
arin|20161115|17298|3800|21.97
arin|20161215|17331|3809|21.98
arin|20170115|17337|3771|21.75
arin|20170215|17368|3429|19.74
arin|20170315|17402|3456|19.86
arin|20170415|17452|3449|19.76
arin|20170515|17475|3490|19.97
arin|20170615|17484|3433|19.64
arin|20170715|17511|3456|19.74
arin|20170815|17554|3470|19.77
arin|20170915|17592|3555|20.21
arin|20171015|17626|3573|20.27
arin|20171115|17636|3608|20.46
arin|20171215|17662|3540|20.04
arin|20180115|17642|3554|20.15
arin|20180215|17711|3566|20.13
arin|20180315|17746|3601|20.29
arin|20180415|17774|3615|20.34
arin|20180515|17815|3664|20.57
arin|20180615|17839|3669|20.57
arin|20180715|17828|3668|20.57
arin|20180815|17857|3656|20.47
arin|20180915|17889|3673|20.53
arin|20181015|17930|3679|20.52
arin|20181115|17966|3666|20.41
arin|20181215|17963|3663|20.39
arin|20190115|17979|3676|20.45
arin|20190215|18016|3675|20.40
arin|20190315|18080|3670|20.30
arin|20190415|18128|3737|20.61
arin|20190515|18141|3727|20.54
arin|20190615|18173|3727|20.51
arin|20190715|18196|3748|20.60
arin|20190815|18232|3755|20.60
arin|20190915|18253|3747|20.53
arin|20191015|18302|3742|20.45
arin|20191115|18315|3757|20.51
arin|20191215|18357|3743|20.39
arin|20200115|18410|3634|19.74
arin|20200215|18450|3648|19.77
arin|20200315|18486|3830|20.72
