#as_type|date|disagg_1|disagg_2|disagg_3|disagg_4plus
business|20140615|591|364|234|818
business|20140715|622|386|243|818
business|20140815|629|388|252|818
business|20140915|610|385|246|839
business|20141015|610|391|241|856
business|20141115|623|395|238|840
business|20141215|634|397|249|830
business|20150115|637|412|250|825
business|20150215|635|409|256|835
business|20150315|645|411|255|846
business|20150415|656|430|257|813
business|20150515|656|448|252|865
business|20150615|689|460|261|865
business|20150715|702|466|262|865
business|20150815|670|459|257|902
business|20150915|673|466|255|902
business|20151015|664|465|262|886
business|20151115|695|488|276|886
business|20151215|704|487|273|886
business|20160115|695|492|264|919
business|20160215|702|501|264|915
business|20160315|708|506|258|915
business|20160415|721|525|264|913
business|20160515|731|538|259|900
business|20160615|742|549|257|921
business|20160715|751|560|258|915
business|20160815|779|563|263|920
business|20160915|771|563|269|924
business|20161015|774|561|271|934
business|20161115|773|575|274|905
business|20161215|772|574|275|904
business|20170115|776|581|282|916
business|20170215|800|579|288|836
business|20170315|811|595|290|838
business|20170415|822|607|282|845
business|20170515|831|622|288|848
business|20170615|842|626|289|830
business|20170715|856|636|292|826
business|20170815|862|660|294|839
business|20170915|882|660|297|840
business|20171015|874|669|299|868
business|20171115|920|678|303|864
business|20171215|889|695|299|867
business|20180115|888|701|300|851
business|20180215|902|707|301|865
business|20180315|928|732|305|853
business|20180415|924|727|303|858
business|20180515|951|739|300|836
business|20180615|959|749|308|845
business|20180715|956|756|309|851
business|20180815|963|764|307|855
business|20180915|964|779|307|848
business|20181015|970|782|303|858
business|20181115|965|781|310|868
business|20181215|959|784|312|854
business|20190115|975|799|315|871
business|20190215|979|813|312|854
business|20190315|991|820|308|845
business|20190415|999|830|313|838
business|20190515|1008|834|311|838
business|20190615|1016|836|307|835
business|20190715|1018|848|314|837
business|20190815|1027|860|314|845
business|20190915|1043|860|317|846
business|20191015|1055|860|320|851
business|20191115|1079|872|322|853
business|20191215|1076|871|325|850
business|20200115|1087|870|333|790
business|20200215|1111|877|328|797
business|20200315|1115|887|331|871
business|20200415|1125|876|332|868
business|20200515|1117|882|328|875
business|20200615|1124|904|329|882
business|20200715|1127|919|326|884
business|20200815|1138|936|331|878
business|20200915|1149|952|332|872
business|20201015|1165|956|331|879
business|20201115|1161|968|333|872
business|20201215|1179|978|339|879
business|20210115|1165|970|339|874
business|20210215|1184|973|337|888
business|20210315|1196|987|335|890
business|20210415|1225|980|331|888
business|20210515|1210|978|330|891
business|20210615|1218|990|337|884
business|20210715|1230|979|336|884
business|20210815|1231|996|332|892
business|20210915|1241|1007|336|896
business|20211015|1234|1002|333|897
business|20211115|1249|992|336|904
business|20211215|1245|993|329|910
business|20220115|1254|998|333|911
business|20220215|1275|999|334|860
business|20220315|1267|1004|339|906
business|20220415|1271|1020|335|909
business|20220515|1288|1017|342|920
business|20220615|1280|1014|340|910
business|20220715|1296|1022|346|913
business|20220815|1305|1018|343|918
business|20220915|1326|1026|344|916
business|20221015|1339|1011|344|920
business|20221115|1335|1013|344|927
business|20221215|1337|1022|338|925
business|20230115|1355|1021|340|925
business|20230215|1371|1019|346|923
business|20230315|1373|1023|346|920
business|20230415|1395|1034|345|921
business|20230515|1394|1039|339|926
business|20230615|1400|1038|341|926
business|20230715|1399|1043|343|927
business|20230815|1402|1051|342|930
business|20230915|1424|1062|350|856
business|20231015|1423|1063|354|859
business|20231115|1428|1052|343|857
business|20231215|1436|1054|347|851
business|20240115|1434|1059|341|854
business|20240215|1424|1052|347|848
business|20240315|1423|1051|355|842
business|20240415|1436|1061|361|834
business|20240515|1433|1066|362|835
business|20240615|1437|1057|363|839
education|20140615|83|51|41|724
education|20140715|83|51|41|724
education|20140815|112|73|47|724
education|20140915|112|73|47|695
education|20141015|112|73|47|695
education|20141115|112|73|47|695
education|20141215|112|73|47|695
education|20150115|100|64|35|695
education|20150215|100|64|35|695
education|20150315|100|63|32|767
education|20150415|109|62|36|692
education|20150515|102|58|38|807
education|20150615|130|74|55|807
education|20150715|131|73|53|807
education|20150815|105|66|42|834
education|20150915|105|66|42|834
education|20151015|104|70|40|812
education|20151115|129|79|51|812
education|20151215|128|81|56|812
education|20160115|103|69|43|841
education|20160215|105|73|44|819
education|20160315|105|71|48|795
education|20160415|112|77|49|815
education|20160515|106|75|48|816
education|20160615|107|73|47|813
education|20160715|107|72|47|801
education|20160815|105|68|48|828
education|20160915|100|69|48|849
education|20161015|100|69|48|849
education|20161115|104|70|48|839
education|20161215|105|71|48|830
education|20170115|107|75|48|815
education|20170215|125|83|48|577
education|20170315|125|91|47|571
education|20170415|125|95|48|571
education|20170515|123|91|49|608
education|20170615|121|97|55|578
education|20170715|124|96|53|577
education|20170815|123|104|58|578
education|20170915|145|107|55|571
education|20171015|143|106|55|591
education|20171115|164|108|55|567
education|20171215|133|111|58|579
education|20180115|137|112|58|579
education|20180215|135|110|59|592
education|20180315|140|113|57|580
education|20180415|139|109|57|604
education|20180515|152|108|60|572
education|20180615|151|112|58|576
education|20180715|151|116|56|579
education|20180815|150|118|55|590
education|20180915|146|119|55|593
education|20181015|153|117|56|589
education|20181115|141|114|53|664
education|20181215|136|123|54|639
education|20190115|138|122|53|659
education|20190215|152|121|53|613
education|20190315|153|127|53|602
education|20190415|155|125|54|603
education|20190515|150|125|53|624
education|20190615|153|123|55|616
education|20190715|153|126|55|616
education|20190815|156|120|54|639
education|20190915|156|121|54|630
education|20191015|158|121|57|607
education|20191115|159|119|61|614
education|20191215|153|121|61|604
education|20200115|158|125|65|423
education|20200215|154|125|65|422
education|20200315|148|121|64|620
education|20200415|152|121|67|611
education|20200515|148|121|64|622
education|20200615|152|123|63|608
education|20200715|150|122|62|606
education|20200815|149|126|63|618
education|20200915|154|130|65|604
education|20201015|157|130|66|600
education|20201115|159|128|67|598
education|20201215|157|125|69|616
education|20210115|154|122|69|613
education|20210215|159|125|67|629
education|20210315|166|126|69|593
education|20210415|159|125|69|610
education|20210515|153|127|71|616
education|20210615|159|123|69|606
education|20210715|158|128|68|598
education|20210815|159|128|68|610
education|20210915|158|132|70|632
education|20211015|156|132|71|645
education|20211115|156|136|70|645
education|20211215|154|134|76|649
education|20220115|159|134|72|633
education|20220215|165|135|72|511
education|20220315|160|137|71|624
education|20220415|164|135|72|628
education|20220515|162|135|71|621
education|20220615|164|136|73|636
education|20220715|168|136|75|638
education|20220815|172|135|74|635
education|20220915|175|138|75|631
education|20221015|172|135|74|628
education|20221115|171|135|73|633
education|20221215|176|134|74|644
education|20230115|177|133|74|646
education|20230215|178|132|74|647
education|20230315|179|132|73|646
education|20230415|176|131|73|645
education|20230515|176|135|71|635
education|20230615|181|133|74|635
education|20230715|182|129|70|632
education|20230815|178|131|67|652
education|20230915|197|140|73|446
education|20231015|202|141|71|442
education|20231115|205|139|72|443
education|20231215|205|141|76|441
education|20240115|210|139|75|440
education|20240215|210|141|75|440
education|20240315|211|138|75|452
education|20240415|207|138|76|447
education|20240515|214|136|78|447
education|20240615|219|131|77|453
government|20140615|47|28|26|190
government|20140715|55|30|26|190
government|20140815|57|34|25|190
government|20140915|54|31|23|219
government|20141015|55|31|23|227
government|20141115|54|33|26|194
government|20141215|52|37|27|187
government|20150115|51|38|27|191
government|20150215|48|42|27|195
government|20150315|50|40|26|196
government|20150415|53|38|26|197
government|20150515|55|37|27|204
government|20150615|58|41|26|234
government|20150715|58|43|27|234
government|20150815|57|42|25|234
government|20150915|55|41|27|234
government|20151015|53|42|27|229
government|20151115|58|49|29|229
government|20151215|58|49|31|229
government|20160115|54|48|28|236
government|20160215|57|46|28|229
government|20160315|56|45|30|233
government|20160415|60|46|28|235
government|20160515|60|48|29|231
government|20160615|63|50|28|232
government|20160715|61|53|30|226
government|20160815|58|54|30|232
government|20160915|54|54|31|233
government|20161015|53|53|31|236
government|20161115|53|52|30|237
government|20161215|55|51|31|237
government|20170115|53|51|31|241
government|20170215|59|53|28|181
government|20170315|60|56|30|183
government|20170415|62|54|30|185
government|20170515|60|55|29|187
government|20170615|60|56|29|185
government|20170715|61|58|28|180
government|20170815|65|57|28|179
government|20170915|68|59|29|179
government|20171015|65|55|32|174
government|20171115|68|57|33|173
government|20171215|68|62|33|173
government|20180115|64|62|34|173
government|20180215|67|60|33|177
government|20180315|71|61|32|175
government|20180415|72|60|33|181
government|20180515|78|61|33|177
government|20180615|77|58|34|180
government|20180715|77|59|36|180
government|20180815|78|60|35|186
government|20180915|79|63|35|187
government|20181015|77|65|35|187
government|20181115|76|63|34|187
government|20181215|75|63|34|188
government|20190115|75|63|34|186
government|20190215|76|64|33|189
government|20190315|74|62|34|187
government|20190415|75|63|33|225
government|20190515|77|63|33|231
government|20190615|76|66|33|229
government|20190715|79|64|34|229
government|20190815|82|65|36|226
government|20190915|83|65|34|227
government|20191015|86|64|36|220
government|20191115|85|64|36|224
government|20191215|92|66|34|223
government|20200115|97|67|34|202
government|20200215|99|68|32|207
government|20200315|94|69|31|237
government|20200415|98|69|30|236
government|20200515|94|66|31|246
government|20200615|94|68|31|244
government|20200715|97|69|32|241
government|20200815|102|71|33|238
government|20200915|103|74|31|241
government|20201015|104|75|32|234
government|20201115|106|74|33|239
government|20201215|106|76|31|247
government|20210115|104|73|34|245
government|20210215|104|76|34|242
government|20210315|100|78|36|237
government|20210415|104|79|36|236
government|20210515|103|77|34|240
government|20210615|107|78|35|236
government|20210715|111|78|35|237
government|20210815|112|75|35|244
government|20210915|108|80|37|250
government|20211015|106|77|36|249
government|20211115|109|80|38|243
government|20211215|110|80|40|245
government|20220115|113|79|40|248
government|20220215|112|76|41|236
government|20220315|107|82|40|244
government|20220415|107|83|39|240
government|20220515|104|83|39|240
government|20220615|108|80|38|242
government|20220715|107|81|39|244
government|20220815|110|79|40|246
government|20220915|111|80|39|246
government|20221015|113|81|37|244
government|20221115|113|82|35|242
government|20221215|119|81|36|240
government|20230115|118|80|37|238
government|20230215|119|81|37|243
government|20230315|122|83|37|243
government|20230415|125|84|37|248
government|20230515|127|83|37|249
government|20230615|126|81|36|263
government|20230715|126|82|37|264
government|20230815|131|78|36|262
government|20230915|137|79|37|227
government|20231015|134|78|37|231
government|20231115|137|81|35|228
government|20231215|138|79|35|229
government|20240115|136|82|36|226
government|20240215|134|80|35|235
government|20240315|136|77|36|241
government|20240415|134|84|34|244
government|20240515|137|81|35|243
government|20240615|140|86|35|244
hosting|20140615|296|291|242|841
hosting|20140715|305|298|245|794
hosting|20140815|303|299|246|799
hosting|20140915|306|303|240|868
hosting|20141015|305|322|235|871
hosting|20141115|310|337|245|865
hosting|20141215|307|346|246|870
hosting|20150115|312|360|246|875
hosting|20150215|316|361|240|879
hosting|20150315|316|358|243|874
hosting|20150415|321|368|257|862
hosting|20150515|331|378|266|885
hosting|20150615|324|377|274|845
hosting|20150715|335|378|271|851
hosting|20150815|331|391|272|903
hosting|20150915|348|389|282|900
hosting|20151015|342|406|271|902
hosting|20151115|350|431|264|865
hosting|20151215|350|446|273|859
hosting|20160115|343|445|271|920
hosting|20160215|347|465|267|927
hosting|20160315|340|471|274|930
hosting|20160415|335|476|275|934
hosting|20160515|344|472|284|941
hosting|20160615|347|483|288|937
hosting|20160715|357|481|301|944
hosting|20160815|356|484|308|965
hosting|20160915|357|494|300|965
hosting|20161015|353|507|310|974
hosting|20161115|368|529|311|963
hosting|20161215|365|532|305|960
hosting|20170115|373|522|307|974
hosting|20170215|385|542|310|941
hosting|20170315|394|557|305|946
hosting|20170415|391|558|299|961
hosting|20170515|392|575|305|957
hosting|20170615|395|558|307|957
hosting|20170715|393|568|311|960
hosting|20170815|402|583|312|962
hosting|20170915|428|598|315|966
hosting|20171015|423|594|316|984
hosting|20171115|462|611|316|981
hosting|20171215|425|607|311|970
hosting|20180115|428|607|317|970
hosting|20180215|433|620|323|976
hosting|20180315|458|619|330|972
hosting|20180415|465|628|338|974
hosting|20180515|476|635|338|961
hosting|20180615|469|644|339|966
hosting|20180715|461|653|345|966
hosting|20180815|455|647|345|962
hosting|20180915|460|661|345|958
hosting|20181015|469|655|341|967
hosting|20181115|464|656|344|985
hosting|20181215|458|657|353|988
hosting|20190115|466|666|357|977
hosting|20190215|461|684|360|970
hosting|20190315|455|699|358|958
hosting|20190415|462|719|357|967
hosting|20190515|453|723|361|964
hosting|20190615|463|715|356|975
hosting|20190715|470|727|355|964
hosting|20190815|477|729|363|965
hosting|20190915|480|740|351|970
hosting|20191015|498|740|359|974
hosting|20191115|505|756|352|975
hosting|20191215|505|762|354|969
hosting|20200115|520|784|357|951
hosting|20200215|529|774|371|956
hosting|20200315|535|786|372|981
hosting|20200415|551|783|365|979
hosting|20200515|551|785|365|988
hosting|20200615|559|785|364|999
hosting|20200715|560|803|359|999
hosting|20200815|569|803|370|995
hosting|20200915|578|814|378|992
hosting|20201015|584|820|391|996
hosting|20201115|590|824|386|999
hosting|20201215|602|857|390|1005
hosting|20210115|594|840|389|990
hosting|20210215|595|863|383|997
hosting|20210315|588|865|394|999
hosting|20210415|597|855|399|1000
hosting|20210515|605|873|399|997
hosting|20210615|625|878|398|1005
hosting|20210715|630|879|392|996
hosting|20210815|630|885|387|997
hosting|20210915|647|897|394|1015
hosting|20211015|643|901|390|999
hosting|20211115|654|895|397|1013
hosting|20211215|653|904|387|1013
hosting|20220115|663|902|397|1010
hosting|20220215|657|917|402|1000
hosting|20220315|670|913|402|1008
hosting|20220415|664|908|411|1010
hosting|20220515|670|917|412|1001
hosting|20220615|668|905|415|1010
hosting|20220715|674|922|419|1018
hosting|20220815|670|928|414|1022
hosting|20220915|685|929|409|1024
hosting|20221015|686|944|406|1013
hosting|20221115|696|945|420|1006
hosting|20221215|706|963|416|1012
hosting|20230115|704|964|412|1000
hosting|20230215|699|953|415|1005
hosting|20230315|705|957|415|999
hosting|20230415|710|954|414|1005
hosting|20230515|705|954|418|1009
hosting|20230615|703|963|414|1011
hosting|20230715|708|960|415|1001
hosting|20230815|717|964|410|1005
hosting|20230915|714|970|414|997
hosting|20231015|729|979|418|989
hosting|20231115|727|980|410|991
hosting|20231215|736|965|421|980
hosting|20240115|731|956|422|987
hosting|20240215|744|966|417|985
hosting|20240315|740|959|419|983
hosting|20240415|744|978|418|987
hosting|20240515|758|972|421|988
hosting|20240615|775|984|417|982
isp|20140615|605|767|671|1856
isp|20140715|605|800|699|1812
isp|20140815|619|845|697|1831
isp|20140915|621|874|687|1935
isp|20141015|625|918|691|1925
isp|20141115|631|929|709|1936
isp|20141215|640|950|722|1922
isp|20150115|647|966|749|1913
isp|20150215|649|986|741|1941
isp|20150315|649|1021|752|1941
isp|20150415|665|1050|761|1941
isp|20150515|680|1079|759|1982
isp|20150615|699|1102|761|1915
isp|20150715|703|1160|770|1927
isp|20150815|678|1174|764|2020
isp|20150915|693|1206|779|2034
isp|20151015|712|1233|788|2041
isp|20151115|724|1268|805|1946
isp|20151215|735|1309|819|1967
isp|20160115|731|1341|822|2059
isp|20160215|763|1374|830|2075
isp|20160315|761|1435|833|2080
isp|20160415|775|1478|823|2103
isp|20160515|803|1477|857|2094
isp|20160615|796|1545|862|2131
isp|20160715|805|1592|874|2128
isp|20160815|811|1689|886|2134
isp|20160915|834|1705|878|2156
isp|20161015|865|1738|890|2164
isp|20161115|876|1764|902|2166
isp|20161215|884|1814|893|2166
isp|20170115|889|1864|888|2162
isp|20170215|927|1934|887|2163
isp|20170315|916|2012|891|2186
isp|20170415|939|2056|894|2193
isp|20170515|929|2121|904|2201
isp|20170615|969|2199|926|2196
isp|20170715|1027|2178|936|2195
isp|20170815|1011|2260|929|2211
isp|20170915|1069|2373|921|2240
isp|20171015|1057|2426|936|2302
isp|20171115|1172|2483|941|2280
isp|20171215|1075|2537|922|2308
isp|20180115|1088|2549|920|2285
isp|20180215|1087|2606|920|2291
isp|20180315|1183|2672|918|2307
isp|20180415|1190|2702|936|2354
isp|20180515|1253|2779|941|2332
isp|20180615|1272|2828|955|2336
isp|20180715|1270|2922|957|2325
isp|20180815|1305|2995|962|2301
isp|20180915|1350|2996|958|2310
isp|20181015|1380|3041|968|2314
isp|20181115|1368|3121|965|2344
isp|20181215|1351|3208|963|2346
isp|20190115|1364|3278|958|2353
isp|20190215|1410|3323|950|2341
isp|20190315|1437|3377|939|2352
isp|20190415|1470|3445|949|2363
isp|20190515|1487|3467|947|2370
isp|20190615|1541|3465|937|2360
isp|20190715|1579|3531|937|2366
isp|20190815|1645|3576|944|2383
isp|20190915|1669|3620|945|2381
isp|20191015|1668|3735|956|2407
isp|20191115|1736|3868|968|2402
isp|20191215|1792|3853|958|2382
isp|20200115|1822|3912|977|2359
isp|20200215|1853|3987|981|2374
