as_type|date|from1to24|from25to49|from50to74|from75to100
business|20140615|253|235|586|1992
business|20140715|261|243|579|2057
business|20140815|277|245|578|2080
business|20140915|263|244|612|2101
business|20141015|260|236|608|2109
business|20141115|264|240|616|2122
business|20141215|263|244|611|2143
business|20150115|269|264|587|2150
business|20150215|279|253|618|2172
business|20150315|271|260|625|2198
business|20150415|265|265|629|2221
business|20150515|264|279|607|2226
business|20150615|265|262|630|2221
business|20150715|264|251|620|2243
business|20150815|259|272|624|2256
business|20150915|256|276|639|2300
business|20151015|261|271|626|2317
business|20151115|272|286|628|2335
business|20151215|272|289|615|2361
business|20160115|277|280|643|2381
business|20160215|277|276|642|2417
business|20160315|271|270|646|2451
business|20160415|272|264|668|2478
business|20160515|281|278|672|2516
business|20160615|290|273|694|2511
business|20160715|298|278|678|2530
business|20160815|304|276|698|2548
business|20160915|292|278|708|2573
business|20161015|296|292|691|2533
business|20161115|292|284|712|2548
business|20161215|297|284|711|2570
business|20170115|295|284|710|2600
business|20170215|284|303|713|2626
business|20170315|286|296|728|2649
business|20170415|292|296|745|2651
business|20170515|296|312|768|2692
business|20170615|297|306|753|2715
business|20170715|288|312|732|2740
business|20170815|305|328|750|2744
business|20170915|310|302|771|2759
business|20171015|311|316|750|2786
business|20171115|318|343|763|2818
business|20171215|307|329|771|2836
business|20180115|312|323|760|2849
business|20180215|315|325|779|2843
business|20180315|320|331|765|2881
business|20180415|319|329|790|2917
business|20180515|320|336|787|2908
business|20180615|317|331|784|2947
business|20180715|317|335|821|2922
business|20180815|318|336|825|2934
business|20180915|315|351|789|2956
business|20181015|314|354|784|2991
business|20181115|340|349|818|2994
business|20181215|338|358|828|3021
business|20190115|341|362|819|3042
business|20190215|334|362|808|3061
business|20190315|338|370|827|3083
business|20190415|352|358|824|3052
business|20190515|335|373|810|3094
business|20190615|345|363|824|3131
business|20190715|344|363|831|3120
business|20190815|333|362|852|3151
business|20190915|332|370|863|3171
business|20191015|332|366|888|3195
business|20191115|329|369|903|3242
business|20191215|338|371|885|3242
business|20200115|336|365|885|3266
business|20200215|339|364|881|3280
business|20200315|348|380|875|3332
business|20200415|338|404|897|3326
business|20200515|340|401|877|3370
business|20200615|318|405|893|3375
business|20200715|320|416|901|3378
business|20200815|338|397|913|3411
business|20200915|348|390|912|3415
business|20201015|358|410|908|3431
business|20201115|356|410|935|3464
business|20201215|354|417|921|3519
business|20210115|359|404|933|3474
business|20210215|363|422|948|3490
business|20210315|359|404|977|3497
business|20210415|365|415|977|3528
business|20210515|380|389|965|3534
business|20210615|381|389|956|3552
business|20210715|367|400|962|3550
business|20210815|361|407|941|3534
business|20210915|378|400|961|3556
business|20211015|366|411|974|3596
business|20211115|361|398|959|3593
business|20211215|355|396|984|3589
business|20220115|351|406|998|3593
business|20220215|351|416|1008|3609
business|20220315|357|415|997|3569
business|20220415|351|414|974|3602
business|20220515|350|415|989|3601
business|20220615|335|434|1003|3611
business|20220715|350|423|1052|3614
business|20220815|342|420|1053|3642
business|20220915|341|433|1058|3654
business|20221015|334|441|1044|3659
