region|date|from1to24|from25to49|from50to74|from75to100
apnic|20171015|98|396|1255|1317
apnic|20171115|93|411|1246|1369
apnic|20171215|83|397|1241|1379
apnic|20180115|93|377|1234|1394
apnic|20180215|82|399|1256|1383
apnic|20180315|96|419|1299|1407
apnic|20180415|112|452|1378|1411
apnic|20180515|108|421|1350|1461
apnic|20180615|118|446|1375|1444
apnic|20180715|125|415|1327|1516
apnic|20180815|130|403|1369|1521
apnic|20180915|130|425|1349|1479
apnic|20181015|127|418|1385|1468
apnic|20181115|122|434|1391|1464
apnic|20181215|122|449|1388|1477
apnic|20190115|131|448|1408|1474
apnic|20190215|138|437|1419|1508
apnic|20190315|139|423|1472|1530
apnic|20190415|130|390|1443|1545
apnic|20190515|134|435|1452|1571
apnic|20190615|140|439|1460|1534
apnic|20190715|142|454|1474|1557
apnic|20190815|143|468|1453|1637
apnic|20190915|141|467|1492|1598
apnic|20191015|128|418|1496|1614
apnic|20191115|136|412|1535|1621
apnic|20191215|137|444|1545|1585
apnic|20200115|133|446|1580|1603
apnic|20200215|137|447|1602|1600
apnic|20200315|144|456|1607|1608
apnic|20200415|145|452|1597|1636
apnic|20200515|143|450|1607|1596
apnic|20200615|147|479|1587|1602
apnic|20200715|147|475|1630|1648
apnic|20200815|148|484|1644|1664
apnic|20200915|152|482|1659|1683
apnic|20201015|169|491|1680|1702
apnic|20201115|158|477|1689|1673
apnic|20201215|147|481|1719|1712
apnic|20210115|152|449|1674|1756
apnic|20210215|158|456|1700|1735
apnic|20210315|154|457|1668|1798
apnic|20210415|151|469|1696|1841
apnic|20210515|167|459|1672|1854
apnic|20210615|161|473|1659|1851
apnic|20210715|161|501|1662|1872
apnic|20210815|158|467|1718|1972
apnic|20210915|158|464|1771|2011
apnic|20211015|155|502|1765|1955
apnic|20211115|165|505|1745|1925
apnic|20211215|164|527|1749|1909
apnic|20220115|170|502|1759|1974
apnic|20220215|174|540|1787|1930
apnic|20220315|176|522|1776|1975
apnic|20220415|178|511|1800|1963
apnic|20220515|184|508|1821|1952
apnic|20220615|177|504|1816|2002
apnic|20220715|182|536|1796|2082
apnic|20220815|179|535|1800|2070
apnic|20220915|186|518|1793|2127
apnic|20221015|189|497|1821|2105
apnic|20221115|188|525|1832|2052
apnic|20221215|178|518|1839|2125
apnic|20230115|179|515|1824|2160
apnic|20230215|172|522|1805|2185
apnic|20230315|177|509|1859|2142
apnic|20230415|182|504|1880|2157
apnic|20230515|185|485|1890|2125
apnic|20230615|186|494|1886|2129
apnic|20230715|177|505|1903|2122
apnic|20230815|195|546|1931|2278
apnic|20230915|187|551|1900|2350
apnic|20231015|188|568|1941|2289
apnic|20231115|181|547|1895|2314
apnic|20231215|181|580|1890|2247
apnic|20240115|185|582|1882|2240
apnic|20240215|190|559|1906|2214
apnic|20240315|191|563|1902|2263
apnic|20240415|207|575|1904|2357
apnic|20240515|199|548|1959|2317
apnic|20240615|203|532|1965|2315
arin|20140615|213|639|2182|2422
arin|20140715|225|658|2165|2470
arin|20140815|230|665|2219|2463
arin|20140915|216|699|2206|2482
arin|20141015|208|714|2195|2484
arin|20141115|221|709|2206|2486
