#region|date|from1to24|from25to49|from50to74|from75to100
apnic|20171215|235|263|427|1771
apnic|20180115|245|263|429|1741
apnic|20180215|246|236|440|1778
apnic|20180315|245|247|439|1878
apnic|20180415|217|238|477|2023
apnic|20180515|248|251|471|1940
apnic|20180615|224|253|476|2005
apnic|20180715|245|274|498|1940
apnic|20180815|260|279|487|1972
apnic|20180915|256|270|473|1983
apnic|20181015|254|257|455|2025
apnic|20181115|242|254|456|2045
apnic|20181215|246|268|442|2069
apnic|20190115|249|258|448|2091
apnic|20190215|248|247|459|2110
apnic|20190315|248|265|477|2150
apnic|20190415|274|257|498|2043
apnic|20190515|279|273|473|2129
apnic|20190615|268|259|470|2141
apnic|20190715|256|273|480|2173
apnic|20190815|264|288|499|2208
apnic|20190915|271|281|479|2231
apnic|20191015|272|276|521|2156
apnic|20191115|261|304|515|2198
apnic|20191215|277|284|510|2213
apnic|20200115|278|272|522|2241
apnic|20200215|276|265|522|2278
apnic|20200315|272|271|530|2302
apnic|20200415|260|292|518|2303
apnic|20200515|250|280|515|2300
apnic|20200615|251|268|545|2308
apnic|20200715|253|278|560|2357
apnic|20200815|257|272|574|2381
apnic|20200915|265|280|575|2393
apnic|20201015|268|279|575|2457
apnic|20201115|262|267|586|2430
apnic|20201215|267|265|601|2458
apnic|20210115|271|270|634|2375
apnic|20210215|275|273|623|2400
apnic|20210315|285|281|625|2395
apnic|20210415|284|293|650|2429
apnic|20210515|285|266|660|2426
apnic|20210615|280|282|656|2419
apnic|20210715|281|279|664|2462
apnic|20210815|304|316|666|2485
apnic|20210915|317|307|676|2533
apnic|20211015|283|312|662|2557
apnic|20211115|283|303|646|2570
apnic|20211215|288|299|629|2571
apnic|20220115|290|307|672|2588
apnic|20220215|292|290|692|2638
apnic|20220315|283|285|700|2637
apnic|20220415|286|308|671|2663
apnic|20220515|293|315|683|2643
apnic|20220615|306|309|704|2653
apnic|20220715|313|303|753|2683
apnic|20220815|306|292|751|2681
apnic|20220915|303|317|748|2691
apnic|20221015|264|311|732|2755
apnic|20221115|257|303|706|2777
apnic|20221215|279|307|692|2804
apnic|20230115|294|306|710|2781
apnic|20230215|287|304|718|2785
apnic|20230315|279|311|693|2820
apnic|20230415|284|297|740|2821
apnic|20230515|302|291|708|2826
apnic|20230615|285|316|686|2833
apnic|20230715|265|304|715|2874
apnic|20230815|258|293|803|3033
apnic|20230915|280|292|812|3018
