#region|date|total_ases|use_selective
afrinic|20140615|755|292
afrinic|20140715|768|300
afrinic|20140815|780|295
afrinic|20140915|794|299
afrinic|20141015|795|291
afrinic|20141115|795|295
afrinic|20141215|808|280
afrinic|20150115|817|287
afrinic|20150215|825|286
afrinic|20150315|830|296
afrinic|20150415|841|299
afrinic|20150515|845|290
afrinic|20150615|851|299
afrinic|20150715|869|290
afrinic|20150815|879|306
afrinic|20150915|890|315
afrinic|20151015|904|323
afrinic|20151115|908|324
afrinic|20151215|909|321
afrinic|20160115|917|332
afrinic|20160215|935|329
afrinic|20160315|929|332
afrinic|20160415|951|337
afrinic|20160515|951|332
afrinic|20160615|964|340
afrinic|20160715|974|343
afrinic|20160815|992|403
afrinic|20160915|1006|408
afrinic|20161015|1009|411
afrinic|20161115|1018|419
afrinic|20161215|1023|420
afrinic|20170115|1028|416
afrinic|20170215|1034|417
afrinic|20170315|1042|428
afrinic|20170415|1042|424
afrinic|20170515|1051|430
afrinic|20170615|1064|442
afrinic|20170715|1066|438
afrinic|20170815|1079|459
afrinic|20170915|1084|467
afrinic|20171015|1096|469
afrinic|20171115|1111|472
afrinic|20171215|1125|452
afrinic|20180115|1129|447
afrinic|20180215|1132|443
afrinic|20180315|1141|467
afrinic|20180415|1147|492
afrinic|20180515|1159|480
afrinic|20180615|1172|498
afrinic|20180715|1182|501
afrinic|20180815|1201|516
afrinic|20180915|1212|518
afrinic|20181015|1217|517
afrinic|20181115|1230|526
afrinic|20181215|1240|508
afrinic|20190115|1244|524
afrinic|20190215|1259|517
afrinic|20190315|1266|527
afrinic|20190415|1273|516
afrinic|20190515|1279|525
afrinic|20190615|1296|523
afrinic|20190715|1311|528
afrinic|20190815|1325|535
afrinic|20190915|1331|526
afrinic|20191015|1335|531
afrinic|20191115|1349|559
afrinic|20191215|1363|536
afrinic|20200115|1371|543
afrinic|20200215|1382|537
afrinic|20200315|1399|541
afrinic|20200415|1402|552
afrinic|20200515|1410|560
afrinic|20200615|1418|579
afrinic|20200715|1431|568
afrinic|20200815|1441|586
afrinic|20200915|1440|588
afrinic|20201015|1436|602
afrinic|20201115|1437|596
afrinic|20201215|1451|608
afrinic|20210115|1443|596
afrinic|20210215|1474|601
afrinic|20210315|1476|604
afrinic|20210415|1475|614
afrinic|20210515|1482|627
afrinic|20210615|1499|627
afrinic|20210715|1513|630
afrinic|20210815|1539|649
afrinic|20210915|1569|655
afrinic|20211015|1582|665
afrinic|20211115|1601|658
afrinic|20211215|1610|674
afrinic|20220115|1610|674
afrinic|20220215|1622|675
afrinic|20220315|1638|685
afrinic|20220415|1653|688
afrinic|20220515|1658|663
afrinic|20220615|1682|700
afrinic|20220715|1698|697
afrinic|20220815|1707|706
afrinic|20220915|1722|713
afrinic|20221015|1724|714
afrinic|20221115|1742|715
afrinic|20221215|1739|725
afrinic|20230115|1733|736
afrinic|20230215|1748|746
afrinic|20230315|1754|735
afrinic|20230415|1765|741
afrinic|20230515|1773|739
afrinic|20230615|1781|738
afrinic|20230715|1791|752
afrinic|20230815|1802|752
afrinic|20230915|1815|759
afrinic|20231015|1824|759
afrinic|20231115|1829|758
afrinic|20231215|1837|766
afrinic|20240115|1840|765
afrinic|20240215|1849|762
afrinic|20240315|1814|742
afrinic|20240415|1840|788
afrinic|20240515|1863|776
afrinic|20240615|1861|777
arin|20140615|16068|5456
arin|20140715|16122|5518
arin|20140815|16192|5577
arin|20140915|16243|5603
arin|20141015|16269|5601
arin|20141115|16319|5622
arin|20141215|16371|5688
arin|20150115|16413|5708
arin|20150215|16476|5755
arin|20150315|16514|5767
arin|20150415|16566|5812
arin|20150515|16671|5800
arin|20150615|16711|5849
arin|20150715|16768|5901
arin|20150815|16788|5923
arin|20150915|16839|5918
arin|20151015|16913|5908
arin|20151115|16943|5938
arin|20151215|16990|5932
arin|20160115|17003|5945
arin|20160215|17042|6001
arin|20160315|17089|6022
arin|20160415|17131|6047
arin|20160515|17181|6061
arin|20160615|17206|6066
arin|20160715|17249|6096
arin|20160815|17286|6121
arin|20160915|17319|6143
arin|20161015|17338|6113
arin|20161115|17364|6110
arin|20161215|17391|6150
arin|20170115|17399|6152
arin|20170215|17421|6162
arin|20170315|17470|6217
arin|20170415|17510|6241
arin|20170515|17541|6263
arin|20170615|17557|6240
arin|20170715|17585|6248
arin|20170815|17626|6305
arin|20170915|17667|6359
arin|20171015|17700|6311
arin|20171115|17726|6377
arin|20171215|17756|6331
arin|20180115|17742|6318
arin|20180215|17805|6342
arin|20180315|17848|6359
arin|20180415|17876|6415
arin|20180515|17910|6442
arin|20180615|17924|6461
arin|20180715|17922|6433
arin|20180815|17955|6427
arin|20180915|17975|6410
arin|20181015|18033|6432
arin|20181115|18072|6447
arin|20181215|18073|6433
arin|20190115|18075|6414
arin|20190215|18127|6393
arin|20190315|18181|6429
arin|20190415|18223|6424
arin|20190515|18242|6431
arin|20190615|18287|6440
arin|20190715|18312|6411
arin|20190815|18351|6428
arin|20190915|18377|6471
arin|20191015|18422|6522
arin|20191115|18436|6591
arin|20191215|18471|6515
arin|20200115|18510|6530
arin|20200215|18543|6520
arin|20200315|18571|6577
arin|20200415|18583|6581
arin|20200515|18660|6613
arin|20200615|18682|6621
arin|20200715|18701|6603
arin|20200815|18737|6668
arin|20200915|18751|6645
arin|20201015|18787|6666
arin|20201115|18843|6687
arin|20201215|18907|6677
arin|20210115|18866|6636
arin|20210215|18909|6658
arin|20210315|18915|6677
arin|20210415|18965|6714
arin|20210515|18974|6678
arin|20210615|19014|6666
arin|20210715|19031|6655
arin|20210815|19063|6640
arin|20210915|19128|6697
arin|20211015|19089|6736
arin|20211115|19177|6744
arin|20211215|19111|6735
arin|20220115|19134|6784
arin|20220215|19169|6805
arin|20220315|19172|6736
arin|20220415|19200|6719
arin|20220515|19232|6742
arin|20220615|19225|6765
arin|20220715|19295|6796
arin|20220815|19285|6834
arin|20220915|19361|6830
arin|20221015|19317|6766
arin|20221115|19345|6672
arin|20221215|19338|6676
arin|20230115|19352|6681
arin|20230215|19339|6683
arin|20230315|19323|6699
arin|20230415|19372|6738
arin|20230515|19372|6788
arin|20230615|19371|6726
arin|20230715|19345|6678
arin|20230815|19342|6994
arin|20230915|19349|7016
arin|20231015|19358|7019
arin|20231115|19329|6986
arin|20231215|19333|6987
arin|20240115|19334|6993
arin|20240215|19344|6718
arin|20240315|19384|7036
arin|20240415|19401|7037
arin|20240515|19445|7078
arin|20240615|19412|7073
apnic|20140615|5923|2211
apnic|20140715|5974|2241
apnic|20140815|6024|2244
apnic|20140915|6076|2288
apnic|20141015|6106|2289
apnic|20141115|6158|2305
apnic|20141215|6225|2330
apnic|20150115|6271|2383
apnic|20150215|6339|2383
apnic|20150315|6374|2379
apnic|20150415|6430|2421
apnic|20150515|6495|2410
apnic|20150615|6557|2413
apnic|20150715|6611|2404
apnic|20150815|6669|2436
apnic|20150915|6720|2437
apnic|20151015|6749|2448
apnic|20151115|6825|2529
apnic|20151215|6883|2559
apnic|20160115|6932|2572
apnic|20160215|7023|2590
apnic|20160315|7114|2620
apnic|20160415|7181|2654
apnic|20160515|7254|2686
apnic|20160615|7349|2732
apnic|20160715|7444|2739
apnic|20160815|7523|2739
apnic|20160915|7603|2739
apnic|20161015|7631|2742
apnic|20161115|7681|2774
apnic|20161215|7759|2774
apnic|20170115|7817|2813
apnic|20170215|7906|2854
apnic|20170315|7991|2939
apnic|20170415|8061|2943
apnic|20170515|8133|2933
apnic|20170615|8218|2954
apnic|20170715|8265|2920
apnic|20170815|8295|2954
apnic|20170915|8351|3026
apnic|20171015|8393|3066
apnic|20171115|8482|3119
apnic|20171215|8552|3100
apnic|20180115|8597|3098
apnic|20180215|8674|3120
apnic|20180315|8740|3221
apnic|20180415|8792|3353
apnic|20180515|8888|3340
apnic|20180615|8961|3383
apnic|20180715|9054|3383
apnic|20180815|9119|3423
apnic|20180915|9187|3383
apnic|20181015|9259|3398
apnic|20181115|9349|3411
apnic|20181215|9409|3436
apnic|20190115|9476|3461
apnic|20190215|9582|3502
apnic|20190315|9680|3564
apnic|20190415|9734|3508
apnic|20190515|9836|3592
apnic|20190615|9899|3573
apnic|20190715|10004|3627
apnic|20190815|10058|3701
apnic|20190915|10157|3698
apnic|20191015|10189|3656
apnic|20191115|10288|3704
apnic|20191215|10342|3711
apnic|20200115|10395|3762
apnic|20200215|10460|3786
apnic|20200315|10560|3815
apnic|20200415|10629|3830
apnic|20200515|10655|3796
apnic|20200615|10718|3815
apnic|20200715|10823|3900
apnic|20200815|10930|3940
apnic|20200915|10970|3976
apnic|20201015|11046|4042
apnic|20201115|11139|3997
apnic|20201215|11235|4059
apnic|20210115|11311|4032
apnic|20210215|11380|4050
apnic|20210315|11487|4078
apnic|20210415|11606|4157
apnic|20210515|11694|4153
apnic|20210615|11769|4145
apnic|20210715|11876|4197
apnic|20210815|11990|4316
apnic|20210915|12089|4405
apnic|20211015|12151|4378
apnic|20211115|12254|4341
apnic|20211215|12302|4349
apnic|20220115|12413|4405
apnic|20220215|12518|4431
apnic|20220315|12590|4450
apnic|20220415|12672|4453
apnic|20220515|12764|4465
apnic|20220615|12832|4500
apnic|20220715|12966|4597
apnic|20220815|13039|4584
apnic|20220915|13129|4624
apnic|20221015|13146|4612
apnic|20221115|13171|4598
apnic|20221215|13278|4661
apnic|20230115|13360|4679
apnic|20230215|13423|4684
apnic|20230315|13483|4687
apnic|20230415|13565|4723
apnic|20230515|13565|4685
apnic|20230615|13612|4695
apnic|20230715|13644|4707
apnic|20230815|13729|4950
apnic|20230915|13792|4988
apnic|20231015|13847|4986
apnic|20231115|13933|4937
apnic|20231215|14001|4898
apnic|20240115|14059|4889
apnic|20240215|14117|4869
apnic|20240315|14193|4919
apnic|20240415|14230|5043
apnic|20240515|14308|5023
apnic|20240615|14356|5015
lacnic|20140615|3342|1443
lacnic|20140715|3442|1477
lacnic|20140815|3548|1506
lacnic|20140915|3655|1568
lacnic|20141015|3728|1585
lacnic|20141115|3791|1636
lacnic|20141215|3863|1692
lacnic|20150115|3904|1698
lacnic|20150215|3946|1745
lacnic|20150315|4000|1766
lacnic|20150415|4097|1815
lacnic|20150515|4152|1856
lacnic|20150615|4214|1865
lacnic|20150715|4285|1905
lacnic|20150815|4349|1918
lacnic|20150915|4424|1976
lacnic|20151015|4518|2030
lacnic|20151115|4582|2028
lacnic|20151215|4650|2071
lacnic|20160115|4710|2127
lacnic|20160215|4781|2179
lacnic|20160315|4858|2249
lacnic|20160415|4945|2243
lacnic|20160515|5004|2279
lacnic|20160615|5084|2319
lacnic|20160715|5170|2382
lacnic|20160815|5245|2416
lacnic|20160915|5304|2489
lacnic|20161015|5376|2524
lacnic|20161115|5446|2538
lacnic|20161215|5540|2573
lacnic|20170115|5621|2613
lacnic|20170215|5704|2706
lacnic|20170315|5758|2745
lacnic|20170415|5827|2770
lacnic|20170515|5922|2846
lacnic|20170615|6073|2877
lacnic|20170715|6180|2906
lacnic|20170815|6305|2958
lacnic|20170915|6416|3000
lacnic|20171015|6509|3082
lacnic|20171115|6587|3164
lacnic|20171215|6694|3153
lacnic|20180115|6766|3170
lacnic|20180215|6870|3239
lacnic|20180315|6938|3334
lacnic|20180415|7049|3389
lacnic|20180515|7170|3430
lacnic|20180615|7278|3491
lacnic|20180715|7365|3495
lacnic|20180815|7450|3550
lacnic|20180915|7595|3599
lacnic|20181015|7692|3644
lacnic|20181115|7846|3714
lacnic|20181215|7953|3714
lacnic|20190115|8021|3728
lacnic|20190215|8111|3774
lacnic|20190315|8209|3840
lacnic|20190415|8309|3832
lacnic|20190515|8413|3858
lacnic|20190615|8528|3819
lacnic|20190715|8652|3865
lacnic|20190815|8761|3966
lacnic|20190915|8878|3982
lacnic|20191015|9015|4045
lacnic|20191115|9133|4132
lacnic|20191215|9254|4125
lacnic|20200115|9361|4247
lacnic|20200215|9482|4283
lacnic|20200315|9622|4410
lacnic|20200415|9772|4528
lacnic|20200515|9885|4601
lacnic|20200615|10001|4705
lacnic|20200715|10141|4786
lacnic|20200815|10322|4853
lacnic|20200915|10528|4962
lacnic|20201015|10595|4876
lacnic|20201115|10638|4885
lacnic|20201215|10667|4996
lacnic|20210115|10675|5018
lacnic|20210215|10697|5011
lacnic|20210315|10772|5090
lacnic|20210415|10786|5121
lacnic|20210515|10795|5154
lacnic|20210615|10816|5198
lacnic|20210715|10819|5204
lacnic|20210815|10812|5277
lacnic|20210915|10835|5310
lacnic|20211015|10834|5323
lacnic|20211115|10837|5361
lacnic|20211215|10911|5339
lacnic|20220115|10981|5398
lacnic|20220215|11003|5417
lacnic|20220315|10990|5426
lacnic|20220415|11000|5406
lacnic|20220515|11025|5396
lacnic|20220615|11035|5415
lacnic|20220715|11037|5490
lacnic|20220815|11034|5429
lacnic|20220915|11037|5469
lacnic|20221015|11036|5433
lacnic|20221115|11044|5403
lacnic|20221215|11054|5433
lacnic|20230115|11050|5423
lacnic|20230215|11013|5461
lacnic|20230315|11024|5442
lacnic|20230415|11031|5471
lacnic|20230515|11040|5467
lacnic|20230615|11057|5519
lacnic|20230715|11063|5595
lacnic|20230815|11055|5589
lacnic|20230915|11081|5650
lacnic|20231015|11095|5640
lacnic|20231115|11088|5624
lacnic|20231215|11099|5645
lacnic|20240115|11112|5651
lacnic|20240215|11108|5625
lacnic|20240315|11113|5611
lacnic|20240415|11131|5640
lacnic|20240515|11146|5670
lacnic|20240615|11156|5689
ripencc|20140615|20602|4266
ripencc|20140715|20732|4344
ripencc|20140815|20764|4379
ripencc|20140915|20858|4425
ripencc|20141015|20975|4471
ripencc|20141115|21071|4536
ripencc|20141215|21182|4517
ripencc|20150115|21258|4603
ripencc|20150215|21369|4574
ripencc|20150315|21455|4636
ripencc|20150415|21605|4601
ripencc|20150515|21719|4653
ripencc|20150615|21784|4657
ripencc|20150715|21878|4640
ripencc|20150815|21958|4691
ripencc|20150915|22075|4725
ripencc|20151015|22181|4758
ripencc|20151115|22264|4809
ripencc|20151215|22401|4876
ripencc|20160115|22475|4920
ripencc|20160215|22562|4990
ripencc|20160315|22658|5047
ripencc|20160415|22782|5077
ripencc|20160515|22905|5104
ripencc|20160615|23001|5144
ripencc|20160715|23075|5122
ripencc|20160815|23193|5222
ripencc|20160915|23301|5219
ripencc|20161015|23403|5215
ripencc|20161115|23500|5269
ripencc|20161215|23625|5259
ripencc|20170115|23680|5222
ripencc|20170215|23783|5331
ripencc|20170315|23894|5374
ripencc|20170415|24027|5425
ripencc|20170515|24110|5448
ripencc|20170615|24238|5510
ripencc|20170715|24297|5528
ripencc|20170815|24380|5607
ripencc|20170915|24492|5614
ripencc|20171015|24579|5717
ripencc|20171115|24708|5801
ripencc|20171215|24850|5760
ripencc|20180115|24917|5730
ripencc|20180215|25004|5787
ripencc|20180315|25095|5877
ripencc|20180415|25216|6105
ripencc|20180515|25299|6073
ripencc|20180615|25341|6186
ripencc|20180715|25380|6028
ripencc|20180815|25544|6130
ripencc|20180915|25612|6164
ripencc|20181015|25693|6198
ripencc|20181115|25766|6302
ripencc|20181215|25837|6330
ripencc|20190115|25879|6368
ripencc|20190215|25965|6410
ripencc|20190315|26020|6424
ripencc|20190415|26142|6385
ripencc|20190515|26210|6515
ripencc|20190615|26281|6558
ripencc|20190715|26375|6577
ripencc|20190815|26463|6515
ripencc|20190915|26574|6668
ripencc|20191015|26695|6837
ripencc|20191115|26786|6829
ripencc|20191215|26824|6761
ripencc|20200115|26876|6871
ripencc|20200215|26967|6858
ripencc|20200315|27095|6979
ripencc|20200415|27146|6967
ripencc|20200515|27197|7009
ripencc|20200615|27285|6939
ripencc|20200715|27338|6964
ripencc|20200815|27422|6989
ripencc|20200915|27516|7013
ripencc|20201015|27608|7099
ripencc|20201115|27678|7079
ripencc|20201215|27780|7208
ripencc|20210115|27793|7216
ripencc|20210215|27909|7209
ripencc|20210315|27962|7263
ripencc|20210415|28056|7273
ripencc|20210515|28073|7268
ripencc|20210615|28156|7309
ripencc|20210715|28178|7249
ripencc|20210815|28177|7277
ripencc|20210915|28266|7300
ripencc|20211015|28264|7576
ripencc|20211115|28312|7387
ripencc|20211215|28334|7288
