# type|date|total_ases|use_selective
business|20140615|13953|3561
business|20140715|14075|3636
business|20140815|14154|3672
business|20140915|14250|3709
business|20141015|14333|3712
business|20141115|14421|3748
business|20141215|14523|3792
business|20150115|14601|3817
business|20150215|14698|3850
business|20150315|14766|3877
business|20150415|14894|3910
business|20150515|15041|3920
business|20150615|15136|3928
business|20150715|15216|3931
business|20150815|15298|3959
business|20150915|15407|4016
business|20151015|15517|4026
business|20151115|15628|4088
business|20151215|15722|4104
business|20160115|15789|4147
business|20160215|15898|4188
business|20160315|16018|4224
business|20160415|16122|4262
business|20160515|16250|4315
business|20160615|16344|4358
business|20160715|16440|4378
business|20160815|16536|4430
business|20160915|16643|4461
business|20161015|16722|4433
business|20161115|16790|4451
business|20161215|16885|4470
business|20170115|16951|4514
business|20170215|17055|4568
business|20170315|17169|4589
business|20170415|17281|4639
business|20170515|17387|4695
business|20170615|17514|4709
business|20170715|17600|4720
business|20170815|17715|4789
business|20170915|17825|4818
business|20171015|17920|4832
business|20171115|18040|4928
business|20171215|18125|4914
business|20180115|18195|4920
business|20180215|18310|4946
business|20180315|18414|4988
business|20180415|18504|5058
business|20180515|18621|5072
business|20180615|18707|5099
business|20180715|18794|5122
business|20180815|18892|5136
business|20180915|18980|5129
business|20181015|19072|5179
business|20181115|19199|5231
business|20181215|19289|5270
business|20190115|19353|5294
business|20190215|19491|5322
business|20190315|19598|5381
business|20190415|19717|5339
business|20190515|19829|5374
business|20190615|19908|5403
business|20190715|20022|5406
business|20190815|20122|5443
business|20190915|20256|5496
business|20191015|20404|5536
business|20191115|20546|5606
business|20191215|20670|5605
business|20200115|20747|5637
business|20200215|20866|5644
business|20200315|20982|5707
business|20200415|21072|5754
business|20200515|21157|5774
business|20200615|21259|5793
business|20200715|21374|5816
business|20200815|21455|5873
business|20200915|21565|5866
business|20201015|21699|5916
business|20201115|21822|5971
business|20201215|21955|6023
business|20210115|22014|6001
business|20210215|22149|6046
business|20210315|22280|6057
business|20210415|22383|6109
business|20210515|22451|6085
business|20210615|22562|6087
business|20210715|22638|6083
business|20210815|22728|6061
business|20210915|22832|6108
business|20211015|22924|6156
business|20211115|23007|6142
business|20211215|23098|6158
business|20220115|23175|6192
business|20220215|23245|6231
business|20220315|23325|6208
business|20220415|23416|6199
business|20220515|23482|6214
business|20220615|23565|6262
business|20220715|23669|6346
business|20220815|23752|6338
business|20220915|23841|6371
business|20221015|23892|6346
business|20221115|23986|6293
business|20221215|24060|6300
business|20230115|24128|6307
business|20230215|24232|6330
business|20230315|24328|6311
business|20230415|24446|6345
business|20230515|24527|6369
business|20230615|24626|6358
business|20230715|24688|6345
business|20230815|24755|6500
business|20230915|24854|6522
business|20231015|24961|6519
business|20231115|25059|6490
business|20231215|25161|6476
business|20240115|25238|6486
business|20240215|25360|6424
business|20240315|25466|6470
business|20240415|25604|6545
business|20240515|25746|6583
business|20240615|25843|6596
education|20140615|2271|707
education|20140715|2286|701
education|20140815|2300|707
education|20140915|2312|738
education|20141015|2324|731
education|20141115|2333|737
education|20141215|2340|742
education|20150115|2343|752
education|20150215|2353|753
education|20150315|2360|748
education|20150415|2376|753
education|20150515|2386|754
education|20150615|2400|758
education|20150715|2412|753
education|20150815|2421|753
education|20150915|2436|754
education|20151015|2453|762
education|20151115|2464|767
education|20151215|2473|767
education|20160115|2486|770
education|20160215|2496|778
education|20160315|2505|777
education|20160415|2520|772
education|20160515|2530|775
education|20160615|2545|771
education|20160715|2558|768
education|20160815|2570|777
education|20160915|2577|786
education|20161015|2584|779
education|20161115|2590|783
education|20161215|2601|786
education|20170115|2616|784
education|20170215|2632|791
education|20170315|2646|799
education|20170415|2658|791
education|20170515|2670|794
education|20170615|2678|800
education|20170715|2696|790
education|20170815|2712|805
education|20170915|2721|814
education|20171015|2730|823
