region|date|baixa|media|alta
apnic|20190915|515|1210|1973
apnic|20191015|467|1203|1986
apnic|20191115|475|1229|2000
apnic|20191215|496|1218|1997
apnic|20200115|488|1276|1998
apnic|20200215|495|1278|2013
apnic|20200315|513|1287|2015
apnic|20200415|507|1270|2053
apnic|20200515|508|1268|2020
apnic|20200615|535|1261|2019
apnic|20200715|516|1328|2056
apnic|20200815|526|1336|2078
apnic|20200915|531|1362|2083
apnic|20201015|561|1397|2084
apnic|20201115|535|1407|2055
apnic|20201215|537|1419|2103
apnic|20210115|506|1397|2128
apnic|20210215|509|1423|2117
apnic|20210315|524|1376|2177
apnic|20210415|533|1368|2256
apnic|20210515|547|1373|2232
apnic|20210615|548|1363|2233
apnic|20210715|575|1370|2251
apnic|20210815|530|1353|2432
apnic|20210915|514|1392|2498
apnic|20211015|542|1384|2451
apnic|20211115|573|1394|2373
apnic|20211215|578|1420|2351
apnic|20220115|573|1407|2425
apnic|20220215|620|1435|2376
apnic|20220315|595|1404|2450
apnic|20220415|585|1448|2419
apnic|20220515|597|1458|2410
apnic|20220615|582|1445|2472
apnic|20220715|609|1403|2584
apnic|20220815|607|1458|2519
apnic|20220915|604|1406|2614
apnic|20221015|593|1424|2595
apnic|20221115|617|1443|2537
apnic|20221215|589|1471|2600
apnic|20230115|587|1462|2629
apnic|20230215|583|1437|2664
apnic|20230315|580|1484|2623
apnic|20230415|574|1505|2644
apnic|20230515|568|1491|2626
apnic|20230615|574|1490|2631
apnic|20230715|575|1521|2611
apnic|20230815|611|1488|2851
apnic|20230915|596|1446|2946
apnic|20231015|621|1473|2892
apnic|20231115|590|1450|2897
apnic|20231215|624|1481|2793
apnic|20240115|630|1455|2804
apnic|20240215|620|1489|2760
apnic|20240315|621|1468|2830
apnic|20240415|653|1445|2945
apnic|20240515|629|1489|2905
apnic|20240615|626|1507|2882
arin|20140615|726|1535|3195
arin|20140715|757|1527|3234
arin|20140815|763|1572|3242
arin|20140915|787|1543|3273
arin|20141015|780|1561|3260
arin|20141115|788|1573|3261
arin|20141215|803|1591|3294
arin|20150115|821|1554|3333
arin|20150215|819|1609|3327
arin|20150315|833|1633|3301
arin|20150415|831|1647|3334
arin|20150515|839|1609|3352
arin|20150615|854|1636|3359
arin|20150715|854|1642|3405
arin|20150815|852|1659|3412
arin|20150915|877|1644|3397
arin|20151015|874|1641|3393
arin|20151115|884|1648|3406
arin|20151215|883|1639|3410
arin|20160115|866|1669|3410
arin|20160215|873|1665|3463
arin|20160315|885|1686|3451
arin|20160415|877|1733|3437
arin|20160515|885|1758|3418
arin|20160615|895|1746|3425
arin|20160715|894|1778|3424
arin|20160815|908|1759|3454
arin|20160915|878|1776|3489
arin|20161015|868|1838|3407
arin|20161115|883|1815|3412
arin|20161215|898|1823|3429
arin|20170115|888|1819|3445
arin|20170215|891|1839|3432
arin|20170315|917|1849|3451
arin|20170415|923|1839|3479
arin|20170515|915|1862|3486
arin|20170615|920|1857|3463
arin|20170715|904|1851|3493
arin|20170815|920|1882|3503
arin|20170915|931|1919|3509
arin|20171015|956|1893|3462
arin|20171115|962|1889|3526
arin|20171215|966|1881|3484
arin|20180115|969|1872|3477
arin|20180215|960|1853|3529
arin|20180315|989|1870|3500
arin|20180415|994|1917|3504
arin|20180515|992|1901|3549
arin|20180615|1019|1893|3549
arin|20180715|1013|1887|3533
arin|20180815|1013|1852|3562
arin|20180915|1017|1887|3506
arin|20181015|1020|1912|3500
arin|20181115|1023|1904|3520
arin|20181215|1047|1877|3509
arin|20190115|1047|1880|3487
arin|20190215|1066|1855|3472
arin|20190315|1068|1854|3507
arin|20190415|1045|1867|3512
arin|20190515|1070|1867|3494
arin|20190615|1063|1879|3498
arin|20190715|1057|1862|3492
arin|20190815|1067|1866|3495
arin|20190915|1060|1886|3525
arin|20191015|1071|1898|3553
arin|20191115|1087|1856|3647
arin|20191215|1082|1905|3527
arin|20200115|1081|1925|3523
arin|20200215|1089|1894|3536
arin|20200315|1091|1890|3595
arin|20200415|1078|1901|3601
arin|20200515|1078|1935|3599
arin|20200615|1097|1940|3583
arin|20200715|1073|1952|3577
arin|20200815|1100|1971|3596
arin|20200915|1102|1920|3622
arin|20201015|1118|1930|3617
arin|20201115|1113|1916|3657
arin|20201215|1128|1912|3636
arin|20210115|1115|1912|3608
arin|20210215|1121|1914|3622
arin|20210315|1138|1896|3642
arin|20210415|1141|1803|3770
arin|20210515|1145|1889|3643
arin|20210615|1141|1893|3631
arin|20210715|1123|1870|3661
arin|20210815|1126|1859|3654
arin|20210915|1125|1861|3710
arin|20211015|1131|1887|3716
arin|20211115|1146|1911|3685
arin|20211215|1106|1818|3811
arin|20220115|1127|1835|3822
arin|20220215|1133|1827|3845
arin|20220315|1141|1908|3686
arin|20220415|1120|1924|3674
arin|20220515|1132|1954|3655
arin|20220615|1113|1933|3718
arin|20220715|1125|1932|3738
arin|20220815|1143|1817|3874
arin|20220915|1150|1802|3878
arin|20221015|1147|1785|3834
arin|20221115|1126|1875|3670
arin|20221215|1145|1859|3671
arin|20230115|1136|1866|3678
arin|20230215|1124|1862|3696
arin|20230315|1142|1871|3685
arin|20230415|1154|1874|3709
arin|20230515|1177|1852|3758
arin|20230615|1141|1829|3755
arin|20230715|1144|1809|3724
arin|20230815|1177|1901|3915
arin|20230915|1183|1912|3920
arin|20231015|1179|1922|3917
arin|20231115|1168|1906|3911
arin|20231215|1178|1920|3888
arin|20240115|1173|1888|3931
arin|20240215|1123|1840|3754
arin|20240315|1170|1916|3949
arin|20240415|1183|1928|3925
arin|20240515|1194|1934|3949
arin|20240615|1210|1909|3953
internet|20140615|1447|3552|8669
internet|20140715|1508|3593|8779
internet|20140815|1522|3622|8857
internet|20140915|1552|3616|9015
internet|20141015|1556|3641|9040
internet|20141115|1551|3675|9168
internet|20141215|1590|3699|9218
internet|20150115|1643|3701|9335
internet|20150215|1673|3737|9333
internet|20150315|1664|3800|9380
internet|20150415|1681|3817|9450
internet|20150515|1691|3822|9496
internet|20150615|1709|3872|9502
internet|20150715|1721|3868|9551
internet|20150815|1716|3948|9610
internet|20150915|1753|3953|9665
internet|20151015|1758|3981|9728
internet|20151115|1761|4023|9844
internet|20151215|1783|4030|9946
internet|20160115|1799|4122|9975
internet|20160215|1838|4121|10130
internet|20160315|1879|4147|10244
internet|20160415|1885|4232|10241
internet|20160515|1883|4265|10314
internet|20160615|1908|4317|10375
internet|20160715|1923|4342|10416
internet|20160815|1967|4374|10559
internet|20160915|1943|4370|10684
internet|20161015|1920|4415|10670
internet|20161115|1980|4422|10708
internet|20161215|1979|4452|10745
internet|20170115|1993|4431|10792
internet|20170215|1991|4502|10977
internet|20170315|2032|4560|11111
internet|20170415|2072|4515|11216
internet|20170515|2045|4598|11277
internet|20170615|2051|4588|11384
internet|20170715|2053|4626|11361
internet|20170815|2083|4640|11560
internet|20170915|2157|4779|11530
internet|20171015|2179|4855|11611
internet|20171115|2208|4779|11945
internet|20171215|2157|4819|11820
internet|20180115|2130|4802|11830
internet|20180215|2162|4817|11951
internet|20180315|2238|4914|12105
internet|20180415|2374|5139|12240
internet|20180515|2321|5050|12393
internet|20180615|2388|5119|12511
internet|20180715|2331|5011|12497
internet|20180815|2346|4982|12717
internet|20180915|2376|5104|12593
internet|20181015|2366|5124|12699
internet|20181115|2402|5072|12926
internet|20181215|2410|5089|12922
internet|20190115|2432|5088|12975
internet|20190215|2472|5123|13001
internet|20190315|2460|5197|13127
internet|20190415|2390|5119|13156
internet|20190515|2486|5193|13242
internet|20190615|2480|5252|13181
internet|20190715|2505|5291|13212
internet|20190815|2540|5298|13307
internet|20190915|2503|5408|13434
internet|20191015|2473|5366|13752
internet|20191115|2520|5364|13930
internet|20191215|2548|5430|13669
internet|20200115|2528|5499|13925
internet|20200215|2555|5541|13887
internet|20200315|2599|5575|14147
internet|20200415|2568|5582|14307
internet|20200515|2560|5673|14345
internet|20200615|2626|5580|14452
internet|20200715|2610|5666|14544
internet|20200815|2680|5715|14640
internet|20200915|2715|5722|14746
internet|20201015|2823|5801|14660
internet|20201115|2781|5802|14660
internet|20201215|2805|5804|14938
internet|20210115|2757|5801|14938
internet|20210215|2759|5811|14957
internet|20210315|2827|5712|15171
internet|20210415|2868|5612|15399
internet|20210515|2855|5702|15321
internet|20210615|2874|5743|15326
internet|20210715|2871|5705|15357
internet|20210815|2834|5767|15556
internet|20210915|2825|5831|15709
internet|20211015|2854|5896|15925
internet|20211115|2920|5906|15662
internet|20211215|2846|5879|15660
internet|20220115|2914|5909|15837
internet|20220215|2981|5912|15836
internet|20220315|2984|5955|15778
internet|20220415|2947|6053|15646
internet|20220515|2950|6123|15659
internet|20220615|2958|6045|15904
internet|20220715|3030|5987|16198
internet|20220815|3036|5908|16106
internet|20220915|3057|5890|16258
internet|20221015|3017|5930|16131
internet|20221115|3035|6029|15846
internet|20221215|3013|6018|15931
internet|20230115|3013|6024|15988
internet|20230215|2961|6025|16014
internet|20230315|3003|6082|15920
internet|20230415|3052|6125|16019
internet|20230515|3053|6075|16064
