#asn|announced_prefixes|prepended_prefixes|region|country|as_type|prepend_percentage
56203|8|2|apnic|AU|none|25.00
24155|69|6|apnic|TW|hosting|8.70
9737|407|5|apnic|TH|none|1.23
4788|1037|898|apnic|MY|isp|86.60
38091|142|5|apnic|KR|isp|3.52
45996|63|2|apnic|KR|hosting|3.17
18245|10|1|apnic|CN|business|10.00
23599|4|2|apnic|KR|hosting|50.00
45528|732|16|apnic|IN|isp|2.19
4837|683|565|apnic|CN|isp|82.72
2514|117|115|apnic|JP|isp|98.29
3462|301|60|apnic|TW|isp|19.93
4760|353|14|apnic|HK|isp|3.97
38266|103|7|apnic|IN|isp|6.80
4134|877|266|apnic|CN|isp|30.33
4538|5362|633|apnic|CN|education|11.81
18403|646|312|apnic|VN|isp|48.30
17429|39|1|apnic|CN|business|2.56
4808|1206|21|apnic|CN|isp|1.74
17964|258|41|apnic|CN|business|15.89
4766|2217|72|apnic|KR|isp|3.25
9845|287|48|apnic|KR|isp|16.72
10037|68|1|apnic|KR|isp|1.47
38484|23|1|apnic|AU|none|4.35
17923|18|2|apnic|CN|none|11.11
45769|321|6|apnic|IN|isp|1.87
45271|298|38|apnic|IN|isp|12.75
17785|6|1|apnic|CN|none|16.67
24157|20|16|apnic|TW|isp|80.00
10158|15|6|apnic|KR|business|40.00
45991|6|5|apnic|KR|business|83.33
4847|557|10|apnic|CN|isp|1.80
3786|464|420|apnic|KR|business|90.52
9953|3|1|apnic|KR|business|33.33
38132|34|34|apnic|KR|none|100.00
9318|336|144|apnic|KR|isp|42.86
9647|50|46|apnic|KR|government|92.00
23982|25|19|apnic|KR|none|76.00
38387|20|13|apnic|KR|isp|65.00
38388|20|10|apnic|KR|business|50.00
38418|32|21|apnic|KR|none|65.62
23559|25|15|apnic|KR|none|60.00
38397|29|18|apnic|KR|none|62.07
3357|27|12|apnic|KR|none|44.44
45980|31|3|apnic|KR|none|9.68
16477|36|4|arin|US|business|11.11
38423|16|2|apnic|KR|none|12.50
9772|29|14|apnic|KR|business|48.28
2385|26|15|apnic|KR|education|57.69
38413|23|12|apnic|KR|none|52.17
38393|57|18|apnic|KR|business|31.58
55600|66|6|apnic|KR|none|9.09
55592|117|41|apnic|KR|hosting|35.04
23930|155|77|apnic|PH|hosting|49.68
23576|65|15|apnic|KR|hosting|23.08
34164|73|73|ripencc|GB|hosting|100.00
20940|1393|1253|ripencc|EU|hosting|89.95
1299|194|194|ripencc|EU|isp|100.00
5511|121|6|ripencc|FR|isp|4.96
43639|5|5|ripencc|NL|hosting|100.00
3320|539|12|ripencc|DE|isp|2.23
2914|609|1|arin|US|isp|0.16
4436|516|2|arin|US|none|0.39
31108|3|3|ripencc|EU|hosting|100.00
12222|28|27|arin|US|hosting|96.43
8966|22|18|ripencc|AE|isp|81.82
9116|561|164|ripencc|IL|none|29.23
44957|4|3|ripencc|IT|isp|75.00
44034|10|10|ripencc|SE|isp|100.00
8402|1411|18|ripencc|RU|isp|1.28
3216|480|110|ripencc|RU|isp|22.92
13285|24|24|ripencc|GB|isp|100.00
5607|205|203|ripencc|GB|isp|99.02
44244|62|1|ripencc|IR|isp|1.61
6739|138|14|ripencc|ES|isp|10.14
24608|52|24|ripencc|IT|isp|46.15
12880|104|64|ripencc|IR|business|61.54
48159|208|140|ripencc|IR|isp|67.31
25184|129|3|ripencc|IR|hosting|2.33
8529|13|6|ripencc|OM|hosting|46.15
39308|16|5|ripencc|IR|isp|31.25
3209|172|5|ripencc|DE|isp|2.91
12638|11|11|ripencc|DE|isp|100.00
12874|67|8|ripencc|IT|isp|11.94
3356|1061|1036|arin|US|isp|97.64
15262|2|1|arin|US|none|50.00
26481|24|21|arin|US|hosting|87.50
29386|35|35|ripencc|SY|none|100.00
29256|54|12|ripencc|SY|isp|22.22
