#date|total_ases|aspp_and_moreSpecific|aspp_and_selective|more_specific_and_selective|all_three|just_aspp|just_more_specific|just_selective
20140615|1993|7.18|10.84|26.14|5.42|30.16|13.15|23.38
20140715|2043|7.29|11.21|25.7|5.53|30.25|13.31|23.3
20140815|2081|7.45|10.76|25.95|5.38|29.84|13.31|23.45
20140915|2101|7.28|10.9|26.04|5.33|28.61|13.56|24.27
20141015|2134|6.75|10.45|26.34|4.78|28.44|13.5|24.09
20141115|2206|6.57|10.02|26.16|4.76|28.6|14.32|23.84
20141215|2226|6.24|10.11|26.01|4.49|27.85|14.96|23.81
20150115|2274|6.24|10.16|25.77|4.44|28.63|14.42|23.66
20150215|2274|6.24|10.16|25.77|4.44|28.63|14.42|23.66
20150315|2310|6.45|10.48|25.97|4.85|28.96|14.68|23.16
20150415|2324|6.88|10.63|26.03|5.21|29.17|14.59|23.11
20150515|2365|6.93|10.66|26.13|5.16|28.75|14.84|23.0
20150615|2445|6.87|11.25|25.48|5.07|28.22|14.81|23.52
20150715|2500|6.96|11.04|26.12|5.4|28.72|13.96|24.0
20150815|2521|6.74|10.83|25.59|5.12|28.68|14.28|24.12
20150915|2536|7.06|11.24|25.16|5.44|28.59|14.08|24.76
20151015|2606|7.06|11.4|25.63|5.53|28.51|14.31|24.14
20151115|2665|7.2|11.37|25.52|5.52|27.84|14.9|24.2
20151215|2697|6.9|11.16|25.81|5.19|27.66|15.2|23.66
20160115|2742|6.93|11.23|26.0|5.25|27.79|14.99|23.56
20160215|2742|6.93|11.23|26.0|5.25|27.79|14.99|23.56
20160315|2888|6.96|11.74|26.45|5.57|27.18|15.34|23.48
20160415|2904|6.99|11.81|26.27|5.44|26.48|15.01|24.31
20160515|2986|6.8|11.69|25.92|5.19|26.49|15.47|24.01
20160615|3049|6.92|12.14|26.07|5.28|26.07|15.68|23.68
20160715|3081|7.34|11.75|26.06|5.36|26.58|15.77|23.21
20160815|3107|7.37|11.94|26.13|5.47|26.26|15.77|23.46
20160915|3169|7.29|11.52|25.84|5.3|26.35|15.46|24.14
20161015|3219|7.61|12.18|26.65|5.68|25.07|15.28|24.57
20161115|3286|7.73|12.54|26.9|5.9|25.05|15.19|24.41
20161215|3350|7.91|12.39|26.9|6.0|25.01|15.34|24.45
20170115|3351|7.58|12.35|26.62|5.61|25.07|15.76|23.84
20170215|3385|7.86|12.53|27.15|5.76|24.84|15.45|23.69
20170315|3456|7.93|12.7|27.34|5.99|24.71|15.65|23.64
20170415|3456|7.93|12.7|27.34|5.99|24.71|15.65|23.64
20170515|3542|7.71|12.39|27.08|5.79|24.7|15.81|23.88
20170615|3622|7.54|12.12|26.48|5.66|24.16|15.46|23.36
20170715|3622|7.84|12.73|28.6|6.02|24.9|16.87|24.13
20170815|3962|7.17|11.64|26.15|5.5|22.77|15.42|22.06
20170915|4032|7.04|11.43|25.69|5.41|22.37|15.15|21.68
20171015|4171|7.53|11.51|25.2|5.44|22.13|16.52|23.69
20171115|4271|8.22|13.09|29.1|6.63|23.84|15.2|23.88
20171215|4323|8.12|12.93|28.75|6.55|23.55|15.01|23.59
20180115|4458|7.87|12.54|27.88|6.35|22.84|14.56|22.88
20180215|4540|7.73|12.31|27.38|6.23|22.42|14.3|22.47
20180315|4640|7.56|12.05|26.79|6.1|21.94|13.99|21.98
20180415|4740|7.41|11.79|26.22|5.97|21.48|13.69|21.52
20180515|4831|7.6|11.88|26.1|5.98|21.07|13.21|21.22
20180615|4831|8.18|12.3|26.93|6.56|21.69|13.66|21.2
20180715|4831|8.61|13.33|28.17|6.98|22.02|14.39|22.02
20180815|4831|8.61|13.33|28.17|6.98|22.02|14.39|22.02
20180915|4880|8.67|13.09|27.89|6.84|21.74|16.07|21.13
20181015|4880|9.0|12.95|29.08|7.11|21.86|16.07|21.43
20181115|4980|9.32|12.93|28.63|7.37|21.99|16.33|21.53
20181215|4912|9.59|13.78|30.29|7.65|22.8|16.39|22.46
20190115|4939|9.88|13.81|30.59|7.84|22.76|16.18|22.45
20190215|4939|9.88|13.81|30.59|7.84|22.76|16.18|22.45
20190315|5085|10.03|14.4|29.97|8.02|22.6|16.13|22.93
20190415|5169|10.14|14.1|29.73|8.05|22.87|16.42|22.83
20190515|5290|10.68|14.57|29.64|8.49|22.89|16.39|22.8
20190615|5397|10.71|14.34|30.04|8.54|22.92|16.32|22.75
20190715|5397|10.71|14.34|30.04|8.54|22.92|16.32|22.75
20190815|5519|10.87|14.66|30.78|8.82|22.78|16.25|22.3
20190915|5761|10.41|14.04|29.49|8.45|21.82|15.57|21.37
20191015|5761|10.74|14.67|31.14|8.71|22.36|16.68|21.84
20191115|5872|10.61|14.88|31.06|8.67|22.29|16.81|21.68
20191215|5872|10.61|14.88|31.06|8.67|22.29|16.81|21.68
20200115|5872|11.04|15.65|32.49|9.25|22.84|17.05|21.93
20200215|6313|10.26|14.56|30.22|8.6|21.24|15.86|20.4
20200315|6313|10.31|14.05|31.17|8.44|20.07|16.03|21.46
20200415|6313|11.55|15.41|31.62|9.44|22.48|17.2|20.62
20200515|6443|11.42|15.19|31.82|9.45|22.38|17.0|21.09
20200615|6497|11.14|14.82|31.89|9.13|22.06|17.02|21.32
20200715|6629|11.63|15.3|32.95|9.62|21.84|16.87|20.67
20200815|6726|11.86|16.09|32.26|9.9|22.93|16.86|19.8
20200915|6985|12.54|16.98|32.83|10.48|22.23|16.96|19.41
20201015|7001|12.2|16.27|32.54|9.94|22.11|17.53|19.24
20201115|7050|12.03|15.89|32.84|9.8|21.3|18.04|19.5
20201215|7235|12.41|16.31|32.49|10.13|21.94|18.06|19.05
20210115|7326|12.52|16.45|32.72|10.28|21.73|18.32|18.82
20210215|7420|12.21|15.9|32.56|9.95|21.16|18.56|19.5
20210315|7596|12.51|15.96|32.77|10.26|20.97|18.71|19.6
20210415|7692|12.66|16.26|32.83|10.32|20.74|18.67|19.49
20210515|7870|13.06|16.65|33.33|10.69|20.69|18.35|19.3
20210615|8159|13.49|17.39|34.16|11.21|20.05|18.08|19.25
20210715|8064|13.38|16.85|33.54|10.9|20.16|18.7|19.16
20210815|8262|13.42|17.11|33.27|11.07|20.98|18.31|19.05
20210915|8391|13.03|16.35|34.01|10.65|19.34|18.62|19.96
20211015|8503|13.68|17.22|33.82|11.17|19.85|18.63|19.15
20211115|8492|13.44|16.72|34.14|10.8|20.03|18.26|19.01
20211215|8523|13.62|16.63|34.46|10.92|19.51|18.34|19.29
20220115|8661|13.75|17.33|34.65|11.14|19.89|17.54|19.12
20220215|8717|13.33|16.74|34.9|10.86|18.91|17.62|20.24
20220315|8893|13.7|17.41|34.62|11.18|19.64|17.78|19.21
20220415|8890|13.23|16.64|34.49|10.73|19.55|18.12|19.44
20220515|8957|13.75|16.99|34.17|11.12|19.56|18.15|19.6
20220615|9142|13.86|17.39|34.28|11.23|19.82|18.03|19.09
20220715|9299|14.09|17.29|35.29|11.36|19.22|17.45|19.37
20220815|9451|14.42|17.67|35.03|11.69|19.39|17.74|19.12
20220915|9595|14.52|17.83|34.95|11.74|19.29|18.02|18.86
20221015|9617|14.35|17.86|34.57|11.7|19.53|18.05|19.03
20221115|9764|14.52|17.78|35.05|11.85|19.46|17.66|19.23
20221215|9892|14.5|17.69|35.01|11.85|19.74|17.92|18.83
20230115|9963|14.61|17.64|34.88|11.77|19.7|17.85|18.87
20230215|10169|14.87|17.88|35.27|12.03|19.67|17.51|18.85
20230315|10322|15.09|18.18|36.12|12.42|18.59|17.86|18.99
20230415|10401|15.22|18.39|35.31|12.49|19.55|17.62|18.88
20230515|10503|15.25|18.56|35.33|12.62|19.78|17.67|18.64
20230615|10525|15.16|18.38|34.82|12.42|20.32|17.81|18.34
20230715|10565|15.37|18.6|34.68|12.65|20.31|18.29|18.04
20230815|10777|15.12|18.46|35.04|12.39|19.8|18.02|18.34
20230915|11078|15.71|19.37|35.56|13.06|19.47|17.83|18.19
20231015|10987|15.61|19.07|34.55|12.62|19.95|17.73|18.34
20231115|11047|15.64|19.08|34.6|12.58|19.88|17.57|18.39
20231215|11156|15.93|19.2|34.58|12.93|20.19|17.7|18.27
20240115|11182|16.07|19.39|34.68|13.1|20.08|17.63|18.36
20240215|11323|15.92|19.09|34.57|12.93|20.22|17.72|18.33
20240315|11396|16.15|19.39|34.82|13.08|20.16|17.46|18.18
20240415|11499|16.41|19.62|34.74|13.25|20.24|17.3|18.2
20240515|11642|16.78|19.88|35.17|13.58|19.91|17.11|18.3
20240615|11752|16.65|19.7|34.7|13.42|20.04|17.27|18.48
