#date|total_ases|aspp_and_moreSpecific|aspp_and_selective|more_specific_and_selective|all_three|just_aspp|just_more_specific|just_selective
20140615|1993|143|216|521|108|601|262|466
20140715|2043|149|229|525|113|618|272|476
20140815|2081|155|224|540|112|621|277|488
20140915|2101|153|229|547|112|601|285|510
20141015|2134|144|223|562|102|607|288|514
20141115|2206|145|221|577|105|631|316|526
20141215|2226|139|225|579|100|620|333|530
20150115|2274|142|231|586|101|651|328|538
20150215|2274|142|231|586|101|651|328|538
20150315|2310|149|242|600|112|669|339|535
20150415|2324|160|247|605|121|678|339|537
20150515|2365|164|252|618|122|680|351|544
20150615|2445|168|275|623|124|690|362|575
20150715|2500|174|276|653|135|718|349|600
20150815|2521|170|273|645|129|723|360|608
20150915|2536|179|285|638|138|725|357|628
20151015|2606|184|297|668|144|743|373|629
20151115|2665|192|303|680|147|742|397|645
20151215|2697|186|301|696|140|746|410|638
20160115|2742|190|308|713|144|762|411|646
20160215|2742|190|308|713|144|762|411|646
20160315|2888|201|339|764|161|785|443|678
20160415|2904|203|343|763|158|769|436|706
20160515|2986|203|349|774|155|791|462|717
20160615|3049|211|370|795|161|795|478|722
20160715|3081|226|362|803|165|819|486|715
20160815|3107|229|371|812|170|816|490|729
20160915|3169|231|365|819|168|835|490|765
20161015|3219|245|392|858|183|807|492|791
20161115|3286|254|412|884|194|823|499|802
20161215|3350|265|415|901|201|838|514|819
20170115|3351|254|414|892|188|840|528|799
20170215|3385|266|424|919|195|841|523|802
20170315|3456|274|439|945|207|854|541|817
20170415|3456|274|439|945|207|854|541|817
20170515|3542|273|439|959|205|875|560|846
20170615|3622|273|439|959|205|875|560|846
20170715|3622|284|461|1036|218|902|611|874
20170815|3962|284|461|1036|218|902|611|874
20170915|4032|284|461|1036|218|902|611|874
20171015|4171|314|480|1051|227|923|689|988
20171115|4271|351|559|1243|283|1018|649|1020
20171215|4323|351|559|1243|283|1018|649|1020
20180115|4458|351|559|1243|283|1018|649|1020
20180215|4540|351|559|1243|283|1018|649|1020
20180315|4640|351|559|1243|283|1018|649|1020
20180415|4740|351|559|1243|283|1018|649|1020
20180515|4831|367|574|1261|289|1018|638|1025
20180615|4831|395|594|1301|317|1048|660|1024
20180715|4831|416|644|1361|337|1064|695|1064
20180815|4831|416|644|1361|337|1064|695|1064
20180915|4880|423|639|1361|334|1061|784|1031
20181015|4880|439|632|1419|347|1067|784|1046
20181115|4980|464|644|1426|367|1095|813|1072
20181215|4912|471|677|1488|376|1120|805|1103
20190115|4939|488|682|1511|387|1124|799|1109
20190215|4939|488|682|1511|387|1124|799|1109
20190315|5085|510|732|1524|408|1149|820|1166
20190415|5169|524|729|1537|416|1182|849|1180
20190515|5290|565|771|1568|449|1211|867|1206
20190615|5397|578|774|1621|461|1237|881|1228
20190715|5397|578|774|1621|461|1237|881|1228
20190815|5519|600|809|1699|487|1257|897|1231
20190915|5761|600|809|1699|487|1257|897|1231
20191015|5761|619|845|1794|502|1288|961|1258
20191115|5872|623|874|1824|509|1309|987|1273
20191215|5872|623|874|1824|509|1309|987|1273
20200115|5872|648|919|1908|543|1341|1001|1288
20200215|6313|648|919|1908|543|1341|1001|1288
20200315|6313|651|887|1968|533|1267|1012|1355
20200415|6313|729|973|1996|596|1419|1086|1302
20200515|6443|736|979|2050|609|1442|1095|1359
20200615|6497|724|963|2072|593|1433|1106|1385
20200715|6629|771|1014|2184|638|1448|1118|1370
20200815|6726|798|1082|2170|666|1542|1134|1332
20200915|6985|876|1186|2293|732|1553|1185|1356
20201015|7001|854|1139|2278|696|1548|1227|1347
20201115|7050|848|1120|2315|691|1502|1272|1375
20201215|7235|898|1180|2351|733|1587|1307|1378
20210115|7326|917|1205|2397|753|1592|1342|1379
20210215|7420|906|1180|2416|738|1570|1377|1447
20210315|7596|950|1212|2489|779|1593|1421|1489
20210415|7692|974|1251|2525|794|1595|1436|1499
20210515|7870|1028|1310|2623|841|1628|1444|1519
20210615|8159|1101|1419|2787|915|1636|1475|1571
20210715|8064|1079|1359|2705|879|1626|1508|1545
20210815|8262|1109|1414|2749|915|1733|1513|1574
20210915|8391|1093|1372|2854|894|1623|1562|1675
20211015|8503|1163|1464|2876|950|1688|1584|1628
20211115|8492|1141|1420|2899|917|1701|1551|1614
20211215|8523|1161|1417|2937|931|1663|1563|1644
20220115|8661|1191|1501|3001|965|1723|1519|1656
20220215|8717|1162|1459|3042|947|1648|1536|1764
20220315|8893|1218|1548|3079|994|1747|1581|1708
20220415|8890|1176|1479|3066|954|1738|1611|1728
20220515|8957|1232|1522|3061|996|1752|1626|1756
20220615|9142|1267|1590|3134|1027|1812|1648|1745
20220715|9299|1310|1608|3282|1056|1787|1623|1801
20220815|9451|1363|1670|3311|1105|1833|1677|1807
20220915|9595|1393|1711|3353|1126|1851|1729|1810
20221015|9617|1380|1718|3325|1125|1878|1736|1830
20221115|9764|1418|1736|3422|1157|1900|1724|1878
20221215|9892|1434|1750|3463|1172|1953|1773|1863
20230115|9963|1456|1757|3475|1173|1963|1778|1880
20230215|10169|1512|1818|3587|1223|2000|1781|1917
20230315|10322|1558|1877|3728|1282|1919|1844|1960
20230415|10401|1583|1913|3673|1299|2033|1833|1964
20230515|10503|1602|1949|3711|1325|2077|1856|1958
20230615|10525|1596|1934|3665|1307|2139|1875|1930
