#as_origin|region|country|as_type|prefix01(neighbors_announced);prefix02(neighbors_announced);...
3390|arin|US|education|2610:e0:a040::/44(46832)
3397|arin|CA|none|2604:8980::/32(6327,6939)
3428|arin|US|business|2620:0:50f0::/48(293)
3456|arin|US|isp|2001:1998:2000::/36(11426)
3462|apnic|TW|isp|2001:b032:7::/48(6453,9680);2001:b032:8::/48(6453,9680);2001:b032:9::/48(6453,9680);2001:b032:a::/48(6453,9680);2001:b032:b::/48(6453,9680);2001:b032:c::/48(6453,9680);2001:b032:d::/48(6453,9680);2001:b032:e::/48(6453,9680);2001:b032:f::/48(6453,9680);2001:b032:10::/48(6453,9680);2001:b032:11::/48(6453,9680);2001:b032:12::/48(6453,9680);2001:b032:14::/48(6453,9680);2001:b032:15::/48(6453,9680);2001:b032:17::/48(6453,9680);2001:b032:19::/48(6453,9680);2001:b032:1e::/48(6453,9680);2001:b032:5c00::/48(6453,9680);2001:b032:7000::/48(6453,9680);2001:b032:7001::/48(6453,9680);2001:b032:8010::/48(6453,9680);2001:b032:8011::/48(6453,9680);2001:b032:c000::/48(6453,9680);2405:6100::/32(6453,9680);2406:300::/32(6453,9680);2407:4700::/32(6453,9680)
3464|arin|US|education|2607:f808::/32(10490,174)
3491|arin|US|hosting|2400:8800::/32(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2400:8800::/35(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2400:8800:2000::/35(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2400:8800:4000::/35(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2400:8800:6000::/35(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2400:8800:8000::/35(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2400:8800:a000::/35(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2400:8800:c000::/35(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2400:8800:e000::/35(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2600:1400:7::/48(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2600:1402:4::/48(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2600:1402:6::/48(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2600:1404:8::/48(286,5580,174,6939);2600:1407:8::/48(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914);2a03:5400::/32(5511,6762,6939,5580,3549,3356,286,8365,4635,30071,251,4589,174,1273,6453,13030,3257,7018,34288,2914)
3495|arin|US|government|2600:803:618::/48(701)
3527|arin|US|government|2607:f220:400::/43(10886);2607:f220:400::/44(19050);2607:f220:410::/44(19050)
3549|arin|US|isp|2001:450::/32(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:450:1c::/48(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:450:1d::/48(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:450:1e::/48(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:450:2060::/48(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13b0::/32(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13b0::/34(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13b0:4000::/34(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13b0:8000::/34(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13b0:c000::/34(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13b0:c000::/48(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13b1::/34(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13b1:4000::/34(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13c7:6000::/48(1273,53237,1299,6453,6939,13030,6762,7018,3356,2914,18881,22548,174,34309,30071);2001:13f8:7090::/44(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13f8:70d0::/44(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13f8:7120::/44(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:13f8:7180::/44(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:1900:2340::/44(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,18881,2914,22548,174,2857,34309,30071);2001:1900:2360::/44(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,18881,2914,22548,174,2857,34309,30071);2620:101:80fb::/48(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2801:0:2e0::/48(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2801:0:3c0::/48(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2801:1e:4007::/48(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2801:190::/40(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2801:190:100::/40(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2804:4c0::/32(286,1273,53237,1299,6453,6939,13030,6762,3257,7018,3356,2914,18881,22548,174,2857,34309,30071);2001:1900:2340::/48(18881)
3551|lacnic|PA|education|2001:1368::/32(6939)
3557|arin|US|business|2001:500:2e::/47(1280);2001:500:2e::/48(30132,1280);2001:500:2f::/48(30126,1280,30134,33082,30122,30132)
3561|arin|US|isp|2001:460::/32(1273,1299,6453,6939,209,3257,7018,12956,2828,3356,2914,174);2001:460:80::/46(1273,1299,6453,6939,209,3257,7018,12956,2828,3356,2914,174);2001:460:100::/46(1273,1299,6453,6939,209,3257,7018,12956,2828,3356,2914,174);2001:460:18::/46(4637);2001:460:38::/46(4637);2001:460:58::/46(4637);2001:460:70::/46(4637)
3562|arin|US|education|2620:106:6000::/48(293)
3582|arin|US|education|2001:468:d01::/48(4600);2607:8400::/32(4600)
3585|arin|US|hosting|2620:0:970::/48(701)
3595|arin|US|hosting|2600:3c02::/32(3491,3356,4436);2604:b900::/36(4436,3491,3356,6939);2606:4300:1::/48(3491,3356,4436)
3597|lacnic|AR|business|2001:1318::/32(27750)
3598|arin|US|business|2001:4898::/32(8075)
3599|arin|US|hosting|2607:fee0::/32(3356,6939);2607:fee0:4000::/40(3356,6939);2607:fee0:8000::/40(3356,6939);2607:fee0:c000::/40(3356,6939)
3601|arin|US|hosting|2607:f150:ffff::/48(50763,6939,30071)
3633|arin|CA|business|2001:470:29::/48(6939)
3635|arin|US|government|2610:20:3000::/42(6223)
3651|arin|US|none|2600:1:8000::/43(10507);2600:1:8020::/43(10507);2600:1:8040::/43(10507);2600:1:8060::/43(10507);2600:1:8100::/43(10507);2600:1:8120::/43(10507);2600:1:8140::/43(10507);2600:1:8160::/43(10507);2600:1:8200::/43(10507);2600:1:8220::/43(10507);2600:1:8240::/43(10507);2600:1:8260::/43(10507);2600:1:8400::/43(10507);2600:1:8420::/43(10507);2600:1:8500::/43(10507);2600:1:8520::/43(10507);2600:1:8600::/43(10507);2600:1:8620::/43(10507);2600:1:8700::/43(10507);2600:1:8720::/43(10507);2600:1:8800::/43(10507);2600:1:8820::/43(10507);2600:1:8900::/43(10507);2600:1:8920::/43(10507);2600:1:8a00::/43(10507);2600:1:8a20::/43(10507);2600:1:a100::/46(10507);2600:1:a104::/46(10507);2600:1:a108::/46(10507);2600:1:a10c::/46(10507);2600:1:a110::/46(10507);2600:1:a114::/46(10507);2600:1:a118::/46(10507);2600:1:a11c::/46(10507);2600:1:a120::/46(10507);2600:1:a124::/46(10507);2600:1:a128::/46(10507);2600:1:a12c::/46(10507);2600:1:a130::/46(10507);2600:1:a134::/46(10507);2600:1:a138::/46(10507);2600:1:a13c::/46(10507);2600:1:a140::/46(10507);2600:1:a144::/46(10507);2600:1:a148::/46(10507);2600:1:a14c::/46(10507);2600:1:a150::/46(10507);2600:1:a154::/46(10507);2600:1:a158::/46(10507);2600:1:a15c::/46(10507);2600:1:a160::/46(10507);2600:1:a164::/46(10507);2600:1:a168::/46(10507);2600:1:a16c::/46(10507);2600:1:a170::/46(10507);2600:1:a174::/46(10507);2600:1:a178::/46(10507);2600:1:a17c::/46(10507);2600:1:c000::/43(10507);2600:1:c020::/43(10507);2600:1:c100::/44(10507);2600:1:c110::/44(10507);2600:1:c120::/44(10507);2600:1:c130::/44(10507);2600:1:c180::/43(10507);2600:1:c1a0::/43(10507);2600:1:c200::/44(10507);2600:1:c210::/44(10507);2600:1:c220::/44(10507);2600:1:c230::/44(10507);2600:1:c300::/44(10507);2600:1:c310::/44(10507);2600:1:c320::/44(10507);2600:1:c330::/44(10507);2600:1:c400::/44(10507);2600:1:c410::/44(10507);2600:1:c420::/44(10507);2600:1:c430::/44(10507);2600:1:c500::/44(10507);2600:1:c510::/44(10507);2600:1:c520::/44(10507);2600:1:c530::/44(10507);2600:1:c540::/44(10507);2600:1:c550::/44(10507);2600:1:c560::/44(10507);2600:1:c570::/44(10507);2600:1:c600::/44(10507);2600:1:c610::/44(10507);2600:1:c620::/44(10507);2600:1:c630::/44(10507);2600:1:c640::/44(10507);2600:1:c650::/44(10507);2600:1:c660::/44(10507);2600:1:c670::/44(10507);2600:1:c700::/44(10507);2600:1:c710::/44(10507);2600:1:c720::/44(10507);2600:1:c730::/44(10507);2600:1:e140::/46(10507);2600:1:e144::/46(10507);2600:1:e148::/46(10507);2600:1:e14c::/46(10507);2600:1:e150::/46(10507);2600:1:e154::/46(10507);2600:1:e158::/46(10507);2600:1:e15c::/46(10507);2600:1:e160::/46(10507);2600:1:e164::/46(10507);2600:1:e168::/46(10507);2600:1:e16c::/46(10507);2600:1:e170::/46(10507);2600:1:e174::/46(10507);2600:1:e178::/46(10507);2600:1:e17c::/46(10507);2600:1:e500::/46(10507);2600:1:e504::/46(10507);2600:1:e508::/46(10507);2600:1:e50c::/46(10507);2600:1:e510::/46(10507);2600:1:e514::/46(10507);2600:1:e518::/46(10507);2600:1:e51c::/46(10507);2600:1:e520::/46(10507);2600:1:e524::/46(10507);2600:1:e528::/46(10507);2600:1:e52c::/46(10507);2600:1:e530::/46(10507);2600:1:e534::/46(10507);2600:1:e538::/46(10507);2600:1:e53c::/46(10507);2600:1:e540::/46(10507);2600:1:e544::/46(10507);2600:1:e548::/46(10507);2600:1:e54c::/46(10507);2600:1:e550::/46(10507);2600:1:e554::/46(10507);2600:1:e558::/46(10507);2600:1:e55c::/46(10507);2600:1:e560::/46(10507);2600:1:e564::/46(10507);2600:1:e568::/46(10507);2600:1:e56c::/46(10507);2600:1:e570::/46(10507);2600:1:e574::/46(10507);2600:1:e578::/46(10507);2600:1:e57c::/46(10507);2600:6:ff00::/48(10507);2600:6:ff01::/48(10507);2600:6:ff02::/48(10507);2600:6:ff04::/48(10507);2600:6:ff05::/48(10507);2600:6:ff06::/48(10507);2600:6:ff07::/48(10507);2600:6:ff08::/48(10507);2600:6:ff09::/48(10507);2600:6:ff0a::/48(10507);2600:6:ff40::/48(10507);2600:6:ff41::/48(10507);2600:6:ff42::/48(10507);2600:6:ff43::/48(10507);2600:6:ff80::/48(10507);2600:6:ff81::/48(10507);2600:6:ff82::/48(10507);2600:6:ff83::/48(10507);2600:6:ff84::/48(10507);2600:6:ff85::/48(10507);2600:6:ff86::/48(10507);2600:6:ff87::/48(10507);2600:6:ffc1::/48(10507);2600:6:ffc2::/48(10507);2600:6:ffc4::/48(10507);2600:6:ffc5::/48(10507);2600:6:ffc6::/48(10507)
3659|arin|US|education|2620:102:2000::/44(226)
3661|apnic|HK|education|2001:ce0:3::/48(6939,4641,7660,3662,4635);2405:3000::/32(6939,4641,7660,3662,4635)
3662|apnic|HK|education|2001:ce0::/32(24489,4635,3491,6939);2001:ce0:1::/48(24489,4635,3491,6939)
3663|arin|US|isp|2607:f430::/32(20115,3549)
3671|arin|US|education|2620:114:d000::/44(293)
3676|arin|US|education|2001:468:2101::/48(2381,11164);2610:130:200::/40(11537,2698,11164);2620:0:e50::/48(11537,2698,11164)
3680|arin|US|none|2600:806:310::/48(701);2620:113:8000::/40(7385,701)
3681|arin|US|education|2001:468:701::/48(20080)
3685|arin|US|education|2620:cc:8000::/48(3754,174,3356)
3700|arin|US|hosting|2604:8d00::/32(2828,6939)
3707|arin|US|none|2600:80c:100::/44(701);2600:80c:1200::/44(701)
3714|arin|US|education|2610:1e0::/32(4323,30700);2610:1e0:1f00::/48(30700)
3719|arin|US|government|2620:96:8000::/48(7018,16657)
3722|arin|US|none|2607:fc50:1000::/36(174,3356)
3725|arin|US|business|2607:fd28:a006::/48(10913)
3728|arin|US|none|2604:a400:8000::/36(3356,6461)
3734|arin|US|education|2620:0:e80::/48(2152)
3741|afrinic|ZA|business|2c0f:fc00::/27(1103,6939,13030,8218,34288,37105,41695,3356,2914,9002,13237,8426,34309,50300);2c0f:fd08::/32(1103,6939,13030,8218,34288,37105,41695,3356,2914,9002,13237,8426,34309,50300)
3742|arin|US|hosting|2001:5d8::/32(11404,1299,2914,50763)
3745|arin|US|business|2a01:4dc0::/48(5400,9066)
3754|arin|US|education|2001:468:900::/40(11537,11164);2620:f::/48(11537,11164)
3755|arin|US|education|2620:f:2::/48(4323)
3756|arin|US|education|2620:f:1::/48(3754,3755)
3758|apnic|SG|isp|2001:c20::/32(7473,2914);2001:c20:405::/48(7473);2001:c20:2006::/48(7473);2001:c20:2007::/48(7473);2001:c20:4805::/48(7473);2001:c20:5008::/48(7473);2001:c20:a005::/48(7473);2001:c20:b005::/48(7473);2001:c20:f805::/48(7473);2400:d800:10::/48(7473,2914);2a00:8a00:a000::/35(7473)
3778|arin|US|education|2620:104:7000::/40(10466,174)
3790|lacnic|CR|hosting|2001:13d8::/32(174,3356,28110,3549);2803:7a80::/32(1239,174,3356,3549)
3794|arin|US|education|2606:aa00::/32(6922,276,22645)
3800|arin|US|hosting|2605:eb00:1000::/36(12179,6461)
3801|arin|US|isp|2607:c00::/32(4323);2607:6f00::/32(4323)
3807|arin|US|education|2001:468:2200::/40(11537,11164);2620:104:8000::/40(11537,174,11164)
3816|lacnic|CO|isp|2800:680::/32(12956)
3833|arin|US|isp|2604:1300::/32(6939)
3836|apnic|TH|education|2001:f00::/32(24475,7660)
3842|arin|US|hosting|2604:180::/48(3257,2914);2604:180:1::/48(3257,2914,6939);2604:180:2::/48(3257)
3851|arin|US|education|2607:fe78::/32(6939);2607:fe78::/33(6939)
3856|arin|US|business|2001:7f8:52::/48(6939);2620:0:870::/48(6762,6939,5580,5413,8426,286,8928,9189,57463,50763,1103,29140,8218,16735,9002,31019,42708,29608,13237,50300,1273,8763,34288,41695,25220,34309,45896)
3923|arin|US|government|2001:19e8:8041::/48(5078)
3926|arin|US|business|2606:d00::/32(23148)
3927|arin|US|hosting|2001:418:8006::/48(2914)
3943|arin|US|business|2604:a800:1::/48(2914,1280);2610:d0::/32(8954,2914,1280,3292)
3949|arin|US|business|2404:7700::/48(58664);2a03:dc0::/32(2914)
3999|arin|US|education|2610:8::/32(174,5050)
4007|apnic|NP|isp|2403:3800::/32(45845)
4015|arin|US|isp|2001:428:b21::/48(209)
4043|arin|US|isp|2607:f6b8::/32(6939)
4046|arin|US|government|2001:19e8:8001::/48(1239,3356);2001:19e8:8900::/48(1239,3356);2001:1900:2246::/48(3356)
4058|apnic|HK|hosting|2403:2c00::/32(4637,4635,2914,6939)
4128|arin|US|hosting|2001:418:3807::/48(2914,6939)
4130|arin|US|education|2620:102:4000::/42(33154,5050)
4134|apnic|CN|isp|2406:8500::/32(59265);240e::/24(59265)
4136|arin|US|hosting|2607:f858:1::/48(6939)
4150|arin|US|hosting|2607:f4e0::/32(7018,23352,3356,6939);2607:f4e0:200::/40(23352,3356,6939);2607:f4e0:500::/40(7018,23352,3356,6939)
4158|apnic|HK|education|2001:ce0:5::/48(3662)
4181|arin|US|isp|2600:3400::/28(6939,5580,16735,3356,2914,9002,4589)
4185|arin|US|isp|2600:803:630::/48(7018);2610:20:500a::/48(7018);2610:20:6000::/37(7018);2620:0:630::/48(7018);2620:0:6e0::/48(7018);2620:bf::/48(7018);2620:10f:b002::/48(7018);2620:10f:b003::/48(7018)
4193|arin|US|government|2650:5380::/32(101)
4196|arin|US|business|2620:160:e720::/44(3356);2620:160:e740::/44(209,701)
4201|arin|US|education|2620:105:f000::/40(4600)
4230|lacnic|BR|isp|2804:a8::/32(6453,6939,13030,3257,262757,16735,18881,2914,251,9002,701,1299)
4258|arin|US|business|2606:e600::/32(6939,13030,3257,50763,3356,6461,7922,30071)
4261|arin|US|hosting|2605:8000::/32(174,4323);2605:8000:d::/48(174);2605:8000:f::/48(174);2605:8000:10::/48(174);2605:8000:1a::/48(174);2605:8000:64::/48(174);2605:8000:65::/48(174);2605:8000:89::/48(174)
4262|arin|US|education|2001:1890:e104::/48(7018)
4263|arin|US|none|2001:1890:e113::/48(7018)
4264|arin|US|education|2001:1890:e10b::/48(7018)
4265|arin|US|none|2001:1890:e110::/48(7018)
4266|arin|US|none|2001:1890:e111::/48(7018)
4267|arin|US|none|2001:1890:e10e::/48(7018)
4269|arin|US|none|2001:1890:e10f::/48(7018)
4270|lacnic|AR|education|2800:110::/32(3597,7303);2800:110:300::/48(7303);2800:110:1010::/48(7303);2800:110:10ff::/48(7303);2800:110:2200::/48(7303)
4307|arin|US|hosting|2607:4b00::/32(174)
4323|arin|US|none|2001:506:8::/48(286,6453,6939,13030,3257,12956,3356,2914,9002);2001:4870::/31(286,6453,6939,13030,3257,12956,3356,2914,9002);2620:ba:8000::/48(286,6453,6939,13030,3257,12956,3356,2914,9002);2620:108:20::/48(286,6453,6939,13030,3257,3356,2914,9002);2620:108:22::/48(286,6453,6939,13030,3257,12956,3356,2914,9002);2620:108:e4::/48(286,6453,6939,13030,3257,12956,3356,2914,9002);2620:108:4020::/48(286,6453,6939,13030,3257,12956,3356,2914,9002);2620:108:4025::/48(286,6453,6939,13030,3257,12956,3356,2914,9002);2a04:a802:101::/48(286,6453,6939,13030,3257,12956,3356,2914,9002)
4385|arin|US|education|2620:8d:8000::/48(3754,174,3356,4323)
4390|arin|US|business|2620:0:1600::/48(3356,701)
4434|apnic|ID|isp|2401:5400::/36(10217);2401:5400::/48(10217);2401:5400:1::/48(10217);2401:5400:2::/48(10217);2401:5400:3::/48(10217);2401:5400:4::/48(10217);2401:5400:5::/48(10217);2401:5400:6::/48(10217);2401:5400:7::/48(10217);2401:5400:8::/48(10217);2401:5400:9::/48(10217);2401:5400:10::/48(10217);2401:5400:12::/48(10217)
4436|arin|US|none|2001:590::/32(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:1000::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:1400::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:1800::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:1c00::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:2000::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:2400::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:2800::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:2c00::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:3000::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:3400::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:3800::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:3c00::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:4000::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:4400::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:4403::/48(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:590:4800::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2001:4890:1400::/38(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2a00:9600:2000::/48(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2a00:9600:2008::/48(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2a00:9600:2010::/48(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2a00:9600:2018::/48(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071);2a00:9600:2020::/48(286,1273,6939,8928,3257,8218,2914,9002,4589,13237,30071);2a00:9600:2028::/48(286,1273,6762,6939,8928,3257,8218,2914,9002,4589,13237,30071)
4459|arin|US|hosting|2607:f7f8:4459::/48(3356,2828)
4466|arin|US|isp|2620:32::/48(7018)
4468|arin|US|isp|2620:32::/48(2686)
4474|arin|US|isp|2604:8c00::/32(174,6939,6461)
4476|arin|CA|education|2607:f8f0:630::/48(271)
4515|apnic|HK|isp|2400:c800::/32(3491,4635)
4528|apnic|HK|education|2001:ce0:2::/48(3662,2914);2001:ce0:2200::/40(3662,2914)
4538|apnic|CN|education|2001:250:cccc::/48(9304);2001:da8:23d::/48(9304);2001:da8:243::/48(9304);2001:da8:24b::/48(9304);2001:da8:e64::/48(9304);2001:da8:a4a6::/48(9304);2001:da8:b00c::/48(9304);2001:da8:b00d::/48(9304);2001:da8:beef::/48(9304);2001:da8:beff::/48(9304);2001:da8:c4c6::/48(9304);2001:da8:e164::/48(9304);2001:da8:e300::/48(9304);2001:da8:ef11::/48(9304);2001:da8:fee0::/48(9304);2001:da8:ff00::/40(9304)
4547|arin|US|none|2620:49:8080::/48(7018,701)
4549|arin|US|business|2620:ce::/48(10578)
4551|arin|KN|none|2001:468:1a00::/40(14085)
4555|arin|US|none|2001:478::/45(6939);2001:478:65::/48(2914,6939)
4557|arin|US|education|2001:468:1a00::/40(2914);2620:82::/48(2914)
4589|ripencc|EU|hosting|2001:67c:1050::/48(12859,6939,5580,5413,8426,286,8928,1836,8365,6667,553,1103,25560,20640,8218,680,251,9002,31019,50300,13237,13030,3257,8763,2497,41695,2914,34309,29686);2001:6f8::/32(12859,6939,5580,5413,8426,286,8928,1836,8365,6667,553,1103,25560,20640,8218,680,251,9002,31019,50300,13237,13030,3257,8763,2497,41695,2914,34309,29686);2607:7f00::/32(12859,6939,5580,5413,8426,286,8928,1836,8365,6667,553,1103,25560,20640,8218,680,251,9002,31019,50300,13237,13030,3257,8763,2497,41695,2914,34309,29686);2a00:43c0::/32(12859,6939,5580,5413,8426,286,8928,1836,8365,6667,553,1103,25560,20640,8218,680,251,9002,31019,50300,13237,13030,3257,8763,2497,41695,2914,34309,29686);2a00:8d00::/32(12859,6939,5580,5413,8426,286,8928,1836,8365,6667,553,1103,25560,20640,8218,680,251,9002,31019,50300,13237,13030,3257,8763,2497,41695,2914,34309,29686);2a02:6280::/32(12859,6939,5580,5413,8426,286,8928,1836,8365,6667,553,1103,25560,20640,8218,680,251,9002,31019,50300,13237,13030,3257,8763,2497,41695,2914,34309,29686);2a03:9c0::/32(12859,6939,5580,5413,8426,286,8928,1836,8365,6667,553,1103,25560,20640,8218,680,251,9002,31019,50300,13237,13030,3257,8763,2497,41695,2914,34309,29686)
4605|apnic|HK|education|2001:ce0:6::/48(3662)
4608|apnic|AU|business|2001:dc0::/32(24130,30071);2001:dc0:2000::/35(30071,24130,1221);2001:dc0:a000::/35(30071,24130,1221);2001:dc0:e000::/35(30071,24130,1221);2001:dd8:8::/48(30071,24130,1221);2001:dd8:9::/48(30071,24130,1221);2001:dd8:a::/48(30071,24130,1221);2001:dd8:b::/48(30071,24130,1221);2001:dd8:c::/48(30071,24130,1221);2401:2000::/32(30071,24130,1221);2401:2000:6000::/35(30071,24130,1221)
4616|apnic|HK|education|2001:ce0:4::/48(3662)
4618|apnic|TH|hosting|2001:c00::/32(38040,4651);2001:c00:4618::/48(38040,4651)
4621|apnic|TH|isp|2001:3c8::/32(24475,4651)
4622|apnic|ID|business|2001:dc6::/32(38759)
4628|apnic|SG|hosting|2001:cc9::/32(10026);2001:cc9:3000::/36(10026);2001:cc9:5000::/36(10026)
4637|apnic|HK|isp|2403:e800::/32(286,6762,6939,8426,3257,5580,1239,3356,4635,3561,4589,5413,174)
4638|apnic|FJ|isp|2403:4600::/32(45349)
4641|apnic|HK|education|2405:3001::/32(6453,6939,7660,2914,4635)
4648|apnic|NZ|isp|2403:9800::/32(6939,8218,1239,2914,4589);2403:9800:111::/48(6939,8218,1239,2914,4589);2403:9800:c020::/48(6939,8218,1239,2914,4589)
4657|apnic|SG|isp|2001:df0:300::/48(6939,5580,12956,8218,3356,2914,4589,3491,1299);2406:3000::/32(1273,6939,5580,12956,8218,3356,2914,4589,3491,1299);2406:3000::/48(1273,6939,5580,12956,8218,3356,2914,4589,3491,1299);2406:3000:2::/48(1273,6939,5580,12956,8218,3356,4589,3491,1299);2406:3000:3::/48(1273,6939,5580,12956,8218,3356,2914,4589,3491,1299);2406:3000:6::/48(1273,6939,5580,12956,8218,3356,2914,4589,3491,1299);2406:3000:7::/48(1273,6939,5580,12956,8218,3356,2914,4589,3491);2406:3000:10::/48(1273,6939,5580,12956,8218,3356,2914,4589,3491,1299);2406:3000:2a::/48(1273,6939,5580,12956,8218,3356,4589,3491,1299)
4658|apnic|HK|hosting|2401:300::/35(4635);2401:300:2000::/35(4635);2401:300:4000::/35(4635);2401:300:6000::/35(4635);2401:300:8000::/35(4635);2401:300:a000::/35(4635);2401:300:c000::/35(4635);2401:300:e000::/35(4635)
4673|apnic|JP|business|2001:c80::/32(10026,2914,2497);2001:c80:80::/46(2914);2001:c80:b000::/36(2914)
4675|apnic|JP|hosting|2001:338::/32(2516,4685)
4678|apnic|JP|business|2001:340::/32(10026,6453)
4680|apnic|JP|business|2001:358::/32(2497,6939)
4685|apnic|JP|isp|2001:c28::/32(10026,2914,2516,2497)
4686|apnic|JP|isp|2404:5200::/32(10013)
