#as_origin|region|country|as_type|prefix01(neighbors_announced);prefix02(neighbors_announced);...
42|arin|US|hosting|2001:478:9200::/48(6762,6939,5580,8218,3549,2914);2001:500:14::/48(6762,6939,5580,3549,5413,8426,286,8928,9189,50763,553,1103,25560,29140,8218,16735,9002,31019,42708,29608,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,34309);2001:500:40::/48(6762,6939,5580,3549,15469,5413,8426,286,8928,1836,9189,50763,553,25560,29140,8218,9002,31019,42708,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,8758,34309);2001:500:41::/48(6762,6939,5580,3549,15469,5413,8426,286,8928,1836,9189,50763,553,25560,29140,8218,9002,31019,42708,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,8758,34309);2001:500:42::/48(6762,6939,5580,3549,15469,5413,8426,286,8928,1836,9189,50763,553,25560,29140,8218,9002,31019,42708,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,8758,34309);2001:500:43::/48(6762,6939,5580,3549,15469,5413,8426,286,8928,1836,9189,50763,553,25560,29140,8218,9002,31019,42708,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,8758,34309);2001:500:44::/48(6762,6939,5580,3549,15469,5413,8426,286,8928,1836,9189,50763,553,25560,29140,8218,9002,31019,42708,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,8758,34309);2001:500:45::/48(6762,6939,5580,3549,15469,5413,8426,286,8928,1836,9189,50763,553,25560,29140,8218,9002,31019,42708,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,8758,34309);2001:500:46::/48(6762,6939,5580,3549,15469,5413,8426,286,8928,1836,9189,50763,553,25560,29140,8218,9002,31019,42708,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,8758,34309);2001:500:47::/48(6762,6939,5580,3549,15469,5413,8426,286,8928,1836,9189,50763,553,25560,29140,8218,9002,31019,42708,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,8758,34309);2001:500:48::/48(6762,6939,5580,3549,5413,8928,50763,1103,8218,16735,9002,31019,42708,29608,13237,50300,13030,3257,34288,2914);2001:500:49::/48(6762,6939,5580,3549,5413,8928,50763,1103,8218,16735,9002,31019,42708,29608,13237,50300,13030,3257,34288,2914);2001:500:4a::/48(6762,6939,5580,3549,5413,8928,50763,1103,8218,16735,9002,31019,42708,29608,13237,50300,13030,3257,34288,2914);2001:500:4b::/48(6762,6939,5580,3549,5413,8928,50763,1103,8218,16735,9002,31019,42708,29608,13237,50300,13030,3257,34288,2914);2001:500:4c::/48(6762,6939,5580,3549,5413,8928,50763,1103,8218,16735,9002,31019,42708,29608,13237,50300,13030,3257,34288,2914);2001:500:4d::/48(6762,6939,5580,3549,5413,8928,50763,1103,8218,16735,9002,31019,42708,29608,13237,50300,13030,3257,34288,2914);2001:500:4e::/48(6762,6939,5580,3549,5413,8928,50763,1103,8218,16735,9002,31019,42708,29608,13237,50300,13030,3257,34288,2914);2001:500:4f::/48(6762,6939,5580,3549,5413,8928,50763,1103,8218,16735,9002,31019,42708,29608,13237,50300,13030,3257,34288,2914);2001:500:7d::/48(6762,6939,5580,3549,5413,8426,286,8928,9189,50763,553,1103,25560,29140,8218,16735,9002,31019,42708,29608,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,34309);2001:500:83::/48(6762,6939,5580,3549,5413,8426,286,8928,9189,50763,553,1103,25560,29140,8218,16735,9002,31019,42708,29608,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,34309);2001:500:8c::/48(6762,6939,5580,3549,5413,8426,286,8928,9189,50763,553,1103,25560,29140,8218,16735,9002,31019,42708,29608,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,34309);2001:500:a4::/48(6762,6939,5580,3549,15469,5413,8426,286,8928,1836,9189,50763,553,25560,29140,8218,9002,31019,42708,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,8758,34309);2001:500:a5::/48(6762,6939,5580,3549,5413,8928,50763,1103,8218,16735,9002,31019,42708,29608,13237,50300,13030,3257,34288,2914);2001:500:e0::/48(6762,6939,5580,15469,5413,8426,286,8928,1836,9189,50763,553,25560,29140,8218,9002,31019,42708,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,8758,34309);2001:500:e1::/48(6762,6939,5580,5413,8928,50763,1103,8218,16735,9002,31019,42708,29608,13237,50300,13030,3257,34288,2914);2001:678:3::/48(6762,6939,5580,3549,5413,8426,286,8928,9189,50763,553,1103,25560,29140,8218,16735,9002,31019,42708,29608,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,34309);2001:678:28::/48(6762,6939,5580,3549,5413,8426,286,8928,9189,50763,553,1103,25560,29140,8218,16735,9002,31019,42708,29608,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,34309);2001:678:4c::/48(6762,6939,5580,3549,5413,8426,286,8928,9189,50763,553,1103,25560,29140,8218,16735,9002,31019,42708,29608,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,34309);2001:678:60::/48(6762,6939,5580,3549,5413,8426,286,8928,9189,50763,553,1103,25560,29140,8218,16735,9002,31019,42708,29608,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,34309);2001:678:78::/48(6762,6939,5580,5413,8426,286,8928,9189,50763,553,1103,25560,29140,8218,16735,9002,31019,42708,29608,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,34309);2001:678:94::/48(6762,6939,5580,5413,8426,286,8928,9189,50763,553,1103,25560,29140,8218,16735,9002,31019,42708,29608,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,34309);2620:171:53::/48(3257,5580,2914);2620:171:f0::/48(6762,6939,5580,8218,2914);2620:171:f1::/48(6762,6939,5580,8218,16735,2914,9002);2620:171:f4::/48(1273,2914,6939);2620:171:f8::/48(6762,6939,5580,5413,286,9189,553,25560,29140,8218,9002,31019,42708,13237,3257,8763,34288,6695,2914,25220,34309);2620:171:f9::/48(1103,6762,6939,13030,13237,3257,5580,50763,34288,5413,8218,31019,42708,50300);2620:171:a00::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a01::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a02::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a03::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a04::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a05::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a06::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a07::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a08::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a09::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a0a::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a0b::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a0c::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a0d::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a0e::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:a0f::/48(1273,6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:4::/48(6762,6939,5580,15469,5413,8426,286,8928,1836,9189,50763,553,25560,29140,8218,9002,31019,42708,50300,13237,1273,13030,3257,8763,34288,6695,22652,2914,25220,34309);2a01:8840:5::/48(6762,6939,5580,5413,8928,50763,1103,8218,16735,9002,31019,42708,29608,13237,50300,13030,3257,34288,2914);2a01:8840:15::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:19::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:1d::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:21::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:25::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:29::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:2d::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:31::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:35::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:39::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:3d::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:41::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:45::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:4d::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:51::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:55::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:59::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:5d::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:61::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:65::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:69::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:6d::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:71::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:75::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:79::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:7d::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:81::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:85::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:89::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:8d::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:91::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:95::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:99::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:9d::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:a1::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:a5::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:a9::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:ad::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:b1::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:b5::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:b9::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:bd::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:c1::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:c5::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:c9::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:cd::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:d1::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:d5::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:d9::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:dd::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:e1::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:e5::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:e9::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:ed::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2a01:8840:f1::/48(6762,6939,13030,8928,13237,5580,50763,34288,5413,8218,2914,9002,31019,42708,8426,29608,50300);2620:171:f5::/48(2497)
43|arin|US|government|2620:10a::/44(293)
46|arin|US|education|2620:0:d60::/46(10466,6461)
47|arin|US|education|2605:3c00::/40(226)
48|arin|US|government|2001:480:20::/48(668)
49|arin|US|government|2610:20:6f15::/48(701)
50|arin|US|education|2620:0:2b30::/44(293,10490)
52|arin|US|education|2607:f010::/32(2153)
55|arin|US|education|2001:468:1802::/48(174,3356,11164);2607:f470::/32(11537,11164,3356,10466,174)
57|arin|US|education|2001:468:1900::/40(174,3356,6939);2607:ea00::/32(11537,174,3356,6939)
