#asn|announced_prefixes|prepended_prefixes|region|country|as_type|prepend_percentage
2500|1|1|apnic|JP|hosting|100.00
20940|364|335|ripencc|EU|hosting|92.03
2518|3|1|apnic|JP|isp|33.33
7514|1|1|apnic|JP|hosting|100.00
2907|3|3|apnic|JP|education|100.00
4678|1|1|apnic|JP|business|100.00
9607|1|1|apnic|JP|hosting|100.00
9595|1|1|apnic|JP|business|100.00
293|1|1|arin|US|business|100.00
271|17|8|arin|CA|education|47.06
8111|3|3|arin|CA|education|100.00
16970|2|1|arin|US|education|50.00
35994|148|148|arin|US|hosting|100.00
27435|45|3|arin|US|hosting|6.67
109|27|1|arin|US|business|3.70
19604|1|1|arin|US|none|100.00
2560|1|1|arin|US|none|100.00
18703|1|1|arin|US|none|100.00
26062|1|1|arin|US|none|100.00
706|1|1|arin|US|business|100.00
19603|1|1|arin|US|none|100.00
54318|3|1|arin|US|none|33.33
278|4|1|lacnic|MX|education|25.00
3549|177|1|arin|US|isp|0.56
14041|1|1|arin|US|education|100.00
10578|2|1|arin|US|education|50.00
14325|3|3|arin|US|isp|100.00
20080|1|1|arin|US|education|100.00
54728|2|2|arin|US|none|100.00
57|3|2|arin|US|education|66.67
302|2|2|arin|US|education|100.00
3676|3|2|arin|US|education|66.67
198362|2|2|ripencc|GB|hosting|100.00
394337|7|7|arin|US|business|100.00
13489|43|2|lacnic|CO|isp|4.65
2381|2|2|arin|US|education|100.00
12041|219|219|arin|CA|business|100.00
715|6|1|arin|US|hosting|16.67
15135|27|2|arin|US|none|7.41
36623|15|15|arin|US|none|100.00
36628|5|5|arin|US|none|100.00
36616|5|5|arin|US|none|100.00
36630|1|1|arin|US|none|100.00
36626|1|1|arin|US|none|100.00
36625|4|4|arin|US|none|100.00
36620|1|1|arin|US|none|100.00
36617|1|1|arin|US|none|100.00
36631|1|1|arin|US|none|100.00
36627|1|1|arin|US|none|100.00
36624|1|1|arin|US|none|100.00
36619|1|1|arin|US|none|100.00
36622|2|2|arin|US|none|100.00
36629|1|1|arin|US|none|100.00
36621|1|1|arin|US|none|100.00
36632|1|1|arin|US|none|100.00
36618|1|1|arin|US|none|100.00
27446|2|1|arin|US|isp|50.00
174|538|349|arin|US|isp|64.87
62604|2|1|arin|US|none|50.00
9009|21|4|ripencc|GB|hosting|19.05
18531|1|1|arin|US|isp|100.00
18530|1|1|arin|US|hosting|100.00
852|666|7|arin|CA|isp|1.05
21321|27|8|ripencc|GB|none|29.63
34164|68|67|ripencc|GB|hosting|98.53
6453|21|21|arin|US|isp|100.00
6621|42|8|arin|US|isp|19.05
22693|1|1|arin|US|education|100.00
5050|3|1|arin|US|education|33.33
1853|4|3|ripencc|AT|education|75.00
680|10|10|ripencc|DE|education|100.00
28748|1|1|ripencc|DE|isp|100.00
20676|5|4|ripencc|DE|isp|80.00
2072|1|1|ripencc|EU|education|100.00
25973|2|2|arin|US|hosting|100.00
200070|1|1|ripencc|CZ|hosting|100.00
42385|17|7|ripencc|RU|isp|41.18
43832|4|1|ripencc|RU|isp|25.00
1921|6|3|ripencc|AT|isp|50.00
201612|2|2|ripencc|AT|hosting|100.00
49251|3|3|ripencc|SE|business|100.00
6736|4|1|ripencc|IR|education|25.00
47697|2|1|ripencc|BG|hosting|50.00
59677|1|1|ripencc|RU|isp|100.00
206725|1|1|ripencc|NO|business|100.00
38990|2|1|ripencc|NO|business|50.00
202886|1|1|ripencc|FR|business|100.00
3320|16|15|ripencc|DE|isp|93.75
49544|25|7|ripencc|NL|hosting|28.00
25220|4|4|ripencc|DE|hosting|100.00
8339|2|2|ripencc|AT|isp|100.00
202739|1|1|ripencc|DE|business|100.00
48858|1|1|ripencc|RU|hosting|100.00
52022|1|1|ripencc|RU|isp|100.00
41038|3|3|ripencc|NL|hosting|100.00
62240|23|3|ripencc|GB|hosting|13.04
8881|10|10|ripencc|DE|isp|100.00
29182|6|3|ripencc|LU|hosting|50.00
41884|1|1|ripencc|SE|business|100.00
1132|1|1|ripencc|EU|none|100.00
8423|1|1|ripencc|RO|hosting|100.00
48908|1|1|ripencc|NO|business|100.00
50273|1|1|ripencc|SE|business|100.00
198595|1|1|ripencc|PL|hosting|100.00
12643|2|2|ripencc|DE|education|100.00
33988|2|2|ripencc|DE|hosting|100.00
47682|1|1|ripencc|RU|isp|100.00
39138|2|1|ripencc|DE|isp|50.00
1200|2|1|ripencc|NL|isp|50.00
48896|1|1|ripencc|PL|hosting|100.00
31172|1|1|ripencc|NL|none|100.00
51172|1|1|ripencc|LT|education|100.00
51164|3|3|ripencc|FI|business|100.00
47302|1|1|ripencc|CH|hosting|100.00
42473|74|1|ripencc|AT|hosting|1.35
51188|1|1|ripencc|FI|business|100.00
196960|1|1|ripencc|CH|none|100.00
42307|1|1|ripencc|SE|education|100.00
16243|6|6|ripencc|NL|hosting|100.00
41700|1|1|ripencc|DE|business|100.00
5464|2|2|ripencc|DE|hosting|100.00
47426|1|1|ripencc|GB|hosting|100.00
41599|2|1|ripencc|UA|education|50.00
12509|1|1|ripencc|LV|business|100.00
43081|1|1|ripencc|GR|hosting|100.00
51839|1|1|ripencc|DE|business|100.00
197495|2|1|ripencc|DK|hosting|50.00
199071|4|3|ripencc|SI|business|75.00
3303|28|4|ripencc|CH|isp|14.29
15404|9|1|ripencc|SE|isp|11.11
12581|4|4|ripencc|DE|hosting|100.00
43354|1|1|ripencc|DE|business|100.00
198089|3|3|ripencc|NL|isp|100.00
201547|1|1|ripencc|LV|business|100.00
50607|2|2|ripencc|PL|isp|100.00
21221|3|3|ripencc|NL|isp|100.00
43893|4|4|ripencc|SE|hosting|100.00
59524|1|1|ripencc|NL|none|100.00
8426|16|16|ripencc|GB|hosting|100.00
207021|3|2|ripencc|AT|hosting|66.67
199215|1|1|ripencc|SE|business|100.00
21406|2|2|ripencc|AT|business|100.00
57288|1|1|ripencc|CZ|isp|100.00
57766|1|1|ripencc|RU|isp|100.00
61218|1|1|ripencc|PL|hosting|100.00
24711|1|1|ripencc|FR|business|100.00
197451|4|2|ripencc|CZ|education|50.00
200426|1|1|ripencc|CH|none|100.00
20712|14|6|ripencc|GB|isp|42.86
41153|1|1|ripencc|NL|isp|100.00
199249|1|1|ripencc|SI|business|100.00
13189|4|3|ripencc|SE|isp|75.00
13030|13|1|ripencc|CH|hosting|7.69
196957|1|1|ripencc|UA|isp|100.00
203158|1|1|ripencc|SE|business|100.00
21430|11|10|ripencc|CZ|isp|90.91
29217|3|3|ripencc|SE|business|100.00
31027|6|1|ripencc|DK|hosting|16.67
25166|1|1|ripencc|BG|business|100.00
197521|1|1|ripencc|HR|business|100.00
42695|16|1|ripencc|SE|hosting|6.25
8820|5|1|ripencc|DE|hosting|20.00
49092|1|1|ripencc|DE|none|100.00
57348|1|1|ripencc|FR|business|100.00
56881|1|1|ripencc|RU|business|100.00
199852|1|1|ripencc|NO|business|100.00
204074|1|1|ripencc|SE|hosting|100.00
57692|1|1|ripencc|FI|hosting|100.00
51408|1|1|ripencc|RU|hosting|100.00
51816|1|1|ripencc|SI|business|100.00
200577|1|1|ripencc|PL|isp|100.00
199118|1|1|ripencc|DE|hosting|100.00
42836|1|1|ripencc|NL|business|100.00
34290|1|1|ripencc|CH|business|100.00
198450|1|1|ripencc|SE|none|100.00
49750|2|2|ripencc|NL|none|100.00
29298|2|1|ripencc|DE|hosting|50.00
51871|1|1|ripencc|DE|business|100.00
25354|1|1|ripencc|ES|hosting|100.00
51944|2|2|ripencc|PL|isp|100.00
52191|1|1|ripencc|UA|isp|100.00
34964|1|1|ripencc|AT|business|100.00
24708|1|1|ripencc|AT|hosting|100.00
42564|1|1|ripencc|UA|business|100.00
31019|3|2|ripencc|NL|business|66.67
44770|1|1|ripencc|CZ|hosting|100.00
207160|1|1|ripencc|DE|business|100.00
56953|1|1|ripencc|NL|business|100.00
42204|1|1|ripencc|PL|hosting|100.00
5524|6|6|ripencc|NL|isp|100.00
57146|1|1|ripencc|NL|business|100.00
9023|1|1|ripencc|AT|business|100.00
48894|2|2|ripencc|SI|hosting|100.00
39879|1|1|ripencc|AT|business|100.00
198298|1|1|ripencc|SI|business|100.00
44760|1|1|ripencc|AT|business|100.00
31117|4|2|ripencc|SK|isp|50.00
198476|2|2|ripencc|SE|business|100.00
43382|1|1|ripencc|FI|business|100.00
42034|2|2|ripencc|DE|hosting|100.00
50622|1|1|ripencc|NL|none|100.00
1136|7|5|ripencc|EU|isp|71.43
198494|1|1|ripencc|CZ|business|100.00
198650|1|1|ripencc|AT|business|100.00
52016|2|1|ripencc|RU|business|50.00
58298|1|1|ripencc|NO|business|100.00
15598|5|5|ripencc|DE|hosting|100.00
197593|1|1|ripencc|DE|none|100.00
39489|1|1|ripencc|PL|isp|100.00
198235|1|1|ripencc|PL|isp|100.00
60218|1|1|ripencc|CZ|isp|100.00
62463|1|1|ripencc|SE|business|100.00
39227|2|2|ripencc|DE|hosting|100.00
31400|8|8|ripencc|DE|hosting|100.00
9201|11|11|ripencc|SE|business|100.00
198463|2|2|ripencc|SE|hosting|100.00
201222|2|2|ripencc|DE|hosting|100.00
6829|2|1|ripencc|NO|business|50.00
200986|2|2|ripencc|AT|business|100.00
12945|1|1|ripencc|NL|business|100.00
47992|1|1|ripencc|DE|none|100.00
16074|2|1|ripencc|NL|business|50.00
41847|2|2|ripencc|GB|hosting|100.00
25365|2|2|ripencc|HR|business|100.00
203319|9|9|ripencc|NL|none|100.00
5511|4|1|ripencc|FR|isp|25.00
35393|2|2|ripencc|FR|hosting|100.00
137|2|2|ripencc|EU|education|100.00
1213|1|1|ripencc|IE|education|100.00
12337|8|1|ripencc|DE|hosting|12.50
13285|1|1|ripencc|GB|isp|100.00
51906|3|2|ripencc|DE|hosting|66.67
35701|2|2|ripencc|DE|isp|100.00
24957|1|1|ripencc|NL|none|100.00
43100|1|1|ripencc|FR|none|100.00
34309|2|1|ripencc|DE|hosting|50.00
3265|8|8|ripencc|NL|isp|100.00
8560|6|3|ripencc|DE|hosting|50.00
8758|8|6|ripencc|CH|hosting|75.00
20766|1|1|ripencc|FR|hosting|100.00
