#asn|announced_prefixes|prepended_prefixes|region|country|as_type|prepend_percentage
8151|331|1|lacnic|MX|isp|0.30
28544|2|1|lacnic|MX|isp|50.00
28640|12|4|lacnic|BR|isp|33.33
16735|22|8|lacnic|BR|isp|36.36
28292|5|4|lacnic|BR|isp|80.00
28571|11|1|lacnic|BR|education|9.09
11284|3|1|lacnic|BR|hosting|33.33
6147|101|3|lacnic|PE|isp|2.97
27678|6|6|lacnic|CL|hosting|100.00
3356|70|37|arin|US|isp|52.86
52294|1|1|lacnic|AR|isp|100.00
52324|1|1|lacnic|AR|isp|100.00
52376|2|2|lacnic|AR|isp|100.00
52360|1|1|lacnic|AR|isp|100.00
52374|1|1|lacnic|AR|isp|100.00
52404|1|1|lacnic|AR|isp|100.00
52500|1|1|lacnic|AR|isp|100.00
263779|2|1|lacnic|CR|education|50.00
11815|1|1|lacnic|AR|isp|100.00
9201|11|11|ripencc|SE|business|100.00
25538|1|1|ripencc|DE|hosting|100.00
12779|2|2|ripencc|IT|hosting|100.00
8881|282|282|ripencc|DE|isp|100.00
8469|2|1|ripencc|DE|hosting|50.00
513|2|2|ripencc|CH|education|100.00
2107|2|2|ripencc|SI|education|100.00
25192|6|1|ripencc|CZ|hosting|16.67
8895|4|4|ripencc|SA|education|100.00
12374|2|1|ripencc|DE|hosting|50.00
8520|4|1|ripencc|DE|hosting|25.00
12355|10|2|ripencc|DE|isp|20.00
2586|2|2|ripencc|EE|isp|100.00
8280|14|14|ripencc|GR|hosting|100.00
39790|1|1|ripencc|CZ|hosting|100.00
21221|2|2|ripencc|NL|isp|100.00
8897|1|1|ripencc|GB|none|100.00
24806|1|1|ripencc|CZ|hosting|100.00
15776|1|1|ripencc|BE|business|100.00
9044|5|3|ripencc|CH|hosting|60.00
39386|1|1|ripencc|SA|hosting|100.00
12611|1|1|ripencc|DE|isp|100.00
30870|4|4|ripencc|NL|hosting|100.00
23352|19|7|arin|US|hosting|36.84
13331|13|1|arin|US|hosting|7.69
101|5|4|arin|US|education|80.00
19149|1|1|arin|US|hosting|100.00
54519|1|1|arin|US|hosting|100.00
14|1|1|arin|US|education|100.00
4046|4|1|arin|US|government|25.00
27205|1|1|arin|US|business|100.00
27564|1|1|arin|US|business|100.00
12989|5|2|ripencc|US|none|40.00
13768|26|11|arin|CA|hosting|42.31
13895|2|2|arin|CA|isp|100.00
16787|12|6|arin|US|isp|50.00
12025|121|86|arin|US|hosting|71.07
3923|1|1|arin|US|government|100.00
20473|566|14|arin|US|hosting|2.47
29488|1|1|ripencc|DE|hosting|100.00
34081|3|1|ripencc|IT|hosting|33.33
8851|5|4|ripencc|GB|hosting|80.00
29134|5|5|ripencc|CZ|hosting|100.00
16004|1|1|ripencc|IT|isp|100.00
43009|2|1|ripencc|GB|hosting|50.00
60781|130|6|ripencc|NL|hosting|4.62
21385|1|1|ripencc|DE|hosting|100.00
395592|2|1|arin|US|hosting|50.00
31122|5|5|ripencc|IE|isp|100.00
28716|3|2|ripencc|IT|hosting|66.67
33915|18|1|ripencc|NL|isp|5.56
7660|3|2|apnic|JP|hosting|66.67
2500|1|1|apnic|JP|hosting|100.00
23634|1|1|apnic|JP|business|100.00
18259|4|1|apnic|JP|business|25.00
20940|747|612|ripencc|NL|hosting|81.93
4538|5|1|apnic|CN|education|20.00
23911|2|2|apnic|CN|education|100.00
2518|2|2|apnic|JP|isp|100.00
1237|3|3|apnic|KR|education|100.00
2514|4|4|apnic|JP|isp|100.00
7514|1|1|apnic|JP|hosting|100.00
2907|4|4|apnic|JP|education|100.00
4694|7|4|apnic|JP|hosting|57.14
7671|2|1|apnic|JP|hosting|50.00
9607|2|2|apnic|JP|hosting|100.00
2527|8|2|apnic|JP|isp|25.00
4762|2|1|apnic|TH|business|50.00
23687|1|1|apnic|TH|business|100.00
138685|3|1|apnic|TH|education|33.33
135528|1|1|apnic|TH|business|100.00
17479|1|1|apnic|TH|education|100.00
4621|2|2|apnic|TH|isp|100.00
132879|1|1|apnic|TH|isp|100.00
37932|1|1|apnic|TH|isp|100.00
9595|4|4|apnic|JP|business|100.00
293|2|2|arin|US|business|100.00
44444|3|2|ripencc|GB|hosting|66.67
31383|1|1|ripencc|NL|hosting|100.00
5550|1|1|ripencc|PL|education|100.00
271|20|14|arin|CA|education|70.00
8111|3|3|arin|CA|education|100.00
2607|1|1|ripencc|SK|education|100.00
24725|3|1|ripencc|UA|hosting|33.33
3727|1|1|arin|US|business|100.00
34164|86|85|ripencc|NL|hosting|98.84
8365|3|3|ripencc|DE|hosting|100.00
16276|7|1|ripencc|FR|hosting|14.29
5610|4|4|ripencc|CZ|isp|100.00
30844|11|1|ripencc|GB|isp|9.09
15964|16|1|afrinic|CM|isp|6.25
6713|3|2|afrinic|MA|isp|66.67
23889|3|1|afrinic|MU|isp|33.33
6083|1|1|afrinic|ZA|hosting|100.00
6453|23|22|arin|US|isp|95.65
17025|3|1|arin|US|isp|33.33
10310|28|28|arin|US|hosting|100.00
37282|4|1|afrinic|NG|hosting|25.00
37520|3|2|afrinic|ZA|education|66.67
328706|1|1|afrinic|ZA|business|100.00
328325|1|1|afrinic|TZ|isp|100.00
2635|39|2|arin|US|hosting|5.13
328209|1|1|afrinic|ZA|hosting|100.00
9500|3|3|apnic|NZ|isp|100.00
7545|412|2|apnic|AU|isp|0.49
7713|168|166|apnic|ID|isp|98.81
23836|1|1|apnic|JP|isp|100.00
17940|1|1|apnic|JP|isp|100.00
9924|9|5|apnic|TW|isp|55.56
20130|3|3|arin|US|education|100.00
57|2|2|arin|US|education|100.00
4557|5|3|arin|US|education|60.00
302|2|2|arin|US|education|100.00
3676|2|2|arin|US|education|100.00
22742|3|3|arin|US|education|100.00
396961|5|5|arin|US|education|100.00
14041|3|2|arin|US|education|66.67
10578|7|2|arin|US|education|28.57
10886|4|1|arin|US|education|25.00
271915|2|1|lacnic|CL|business|50.00
198362|2|2|ripencc|GB|hosting|100.00
55243|3|3|arin|US|business|100.00
397787|2|2|arin|US|isp|100.00
47787|26|2|ripencc|PT|isp|7.69
27446|1|1|arin|US|isp|100.00
7046|33|2|arin|US|isp|6.06
21928|226|3|arin|US|isp|1.33
12222|217|211|arin|US|hosting|97.24
35994|152|137|arin|US|hosting|90.13
22394|198|109|arin|US|isp|55.05
6167|597|15|arin|US|isp|2.51
195|2|2|arin|US|education|100.00
6596|1|1|arin|US|hosting|100.00
30513|1|1|arin|US|hosting|100.00
2495|2|2|arin|US|education|100.00
174|662|654|arin|US|isp|98.79
3216|4|3|ripencc|RU|isp|75.00
112|2|1|arin|US|hosting|50.00
13285|4|4|ripencc|GB|isp|100.00
12620|1|1|ripencc|CH|isp|100.00
29452|1|1|ripencc|GB|hosting|100.00
20746|7|1|ripencc|IT|hosting|14.29
206557|1|1|ripencc|NO|isp|100.00
20640|1|1|ripencc|DE|hosting|100.00
29169|2|1|ripencc|FR|hosting|50.00
209453|9|3|ripencc|FR|hosting|33.33
8412|38|2|ripencc|AT|isp|5.26
15725|1|1|ripencc|DE|hosting|100.00
29527|1|1|ripencc|GB|hosting|100.00
29636|1|1|ripencc|GB|hosting|100.00
39832|4|2|ripencc|NO|hosting|50.00
15435|1|1|ripencc|NL|isp|100.00
8426|22|20|ripencc|GB|hosting|90.91
8551|4|2|ripencc|IL|isp|50.00
25058|1|1|ripencc|DE|hosting|100.00
8569|1|1|ripencc|DE|business|100.00
39290|2|2|ripencc|DE|business|100.00
5606|5|5|ripencc|RO|hosting|100.00
28824|1|1|ripencc|NO|hosting|100.00
207564|1|1|ripencc|NO|none|100.00
20446|9|9|arin|US|business|100.00
2381|3|3|arin|US|education|100.00
16509|1796|1098|arin|US|hosting|61.14
396542|8|8|arin|US|none|100.00
397197|15|15|arin|US|business|100.00
396566|9|9|arin|US|business|100.00
396577|15|15|arin|US|none|100.00
396559|5|5|arin|US|hosting|100.00
396568|9|9|arin|US|none|100.00
12041|223|223|arin|US|business|100.00
394353|10|4|arin|US|hosting|40.00
40490|2|1|arin|US|hosting|50.00
396549|4|4|arin|US|none|100.00
33517|38|11|arin|US|hosting|28.95
15135|13|7|arin|US|none|53.85
55195|15|2|arin|CA|isp|13.33
394018|1|1|arin|US|business|100.00
26415|11|11|arin|US|isp|100.00
29802|142|10|arin|US|hosting|7.04
8103|26|4|arin|US|government|15.38
9009|240|103|ripencc|GB|hosting|42.92
398355|5|3|arin|US|business|60.00
14877|7|5|arin|US|isp|71.43
25829|1|1|arin|US|government|100.00
395680|1|1|arin|US|business|100.00
19231|1|1|arin|US|business|100.00
852|79|17|arin|CA|isp|21.52
22773|1278|1267|arin|US|isp|99.14
46375|2|2|arin|US|isp|100.00
6621|48|23|arin|US|isp|47.92
5050|3|3|arin|US|education|100.00
559|12|12|ripencc|CH|hosting|100.00
1853|2|1|ripencc|AT|education|50.00
3209|298|22|ripencc|DE|isp|7.38
3320|27|24|ripencc|DE|isp|88.89
54040|2|1|arin|US|business|50.00
16260|1|1|ripencc|GB|hosting|100.00
20609|4|2|ripencc|CZ|isp|50.00
206725|1|1|ripencc|NO|business|100.00
42385|22|11|ripencc|RU|isp|50.00
202886|1|1|ripencc|FR|business|100.00
209616|1|1|ripencc|DK|none|100.00
43832|8|5|ripencc|RU|isp|62.50
20546|58|1|ripencc|DE|hosting|1.72
202739|1|1|ripencc|DE|business|100.00
1921|6|5|ripencc|AT|isp|83.33
201612|2|2|ripencc|AT|hosting|100.00
41038|3|3|ripencc|NL|hosting|100.00
206939|1|1|ripencc|GB|business|100.00
25482|1|1|ripencc|UA|isp|100.00
31079|1|1|ripencc|NL|isp|100.00
29551|24|12|ripencc|DE|hosting|50.00
8375|2|2|ripencc|DE|hosting|100.00
206373|1|1|ripencc|PL|business|100.00
206186|1|1|ripencc|PL|isp|100.00
49855|3|3|ripencc|DE|hosting|100.00
5413|6|6|ripencc|GB|business|100.00
1257|187|24|ripencc|EU|isp|12.83
197422|3|1|ripencc|FR|isp|33.33
25354|3|1|ripencc|ES|hosting|33.33
43442|1|1|ripencc|GB|business|100.00
34087|3|2|ripencc|NO|isp|66.67
39431|1|1|ripencc|UA|business|100.00
207142|1|1|ripencc|RU|none|100.00
206335|1|1|ripencc|GB|business|100.00
50775|1|1|ripencc|RU|business|100.00
24868|1|1|ripencc|DE|hosting|100.00
41887|8|7|ripencc|NL|hosting|87.50
204926|1|1|ripencc|IS|business|100.00
8387|2|2|ripencc|AT|business|100.00
206883|1|1|ripencc|BE|business|100.00
49824|2|2|ripencc|UA|isp|100.00
206006|1|1|ripencc|PL|education|100.00
204388|1|1|ripencc|PL|business|100.00
197574|1|1|ripencc|RU|none|100.00
39566|1|1|ripencc|PL|hosting|100.00
39591|4|4|ripencc|NL|hosting|100.00
200924|7|7|ripencc|DE|isp|100.00
33873|2|2|ripencc|DE|hosting|100.00
202592|10|7|ripencc|DE|hosting|70.00
41029|1|1|ripencc|RU|education|100.00
202329|3|3|ripencc|DE|business|100.00
8315|14|9|ripencc|NL|hosting|64.29
12360|2|2|ripencc|DE|isp|100.00
13037|2|2|ripencc|GB|isp|100.00
199568|1|1|ripencc|FR|business|100.00
200306|1|1|ripencc|BG|hosting|100.00
35332|2|2|ripencc|NL|hosting|100.00
209933|1|1|ripencc|IS|business|100.00
41549|2|1|ripencc|CH|isp|50.00
39602|3|3|ripencc|GB|isp|100.00
29608|13|7|ripencc|FR|hosting|53.85
49697|5|5|ripencc|DE|business|100.00
207910|1|1|ripencc|FR|hosting|100.00
34944|1|1|ripencc|RU|isp|100.00
13101|4|3|ripencc|DE|hosting|75.00
43350|23|21|ripencc|NL|hosting|91.30
208817|1|1|ripencc|PL|isp|100.00
209075|1|1|ripencc|SE|business|100.00
202297|10|2|ripencc|GB|hosting|20.00
208658|1|1|ripencc|AT|business|100.00
208584|1|1|ripencc|NL|hosting|100.00
50643|1|1|ripencc|UA|hosting|100.00
12496|2|2|ripencc|GB|isp|100.00
207886|2|2|ripencc|CZ|isp|100.00
207722|3|1|ripencc|NL|business|33.33
207491|1|1|ripencc|DE|business|100.00
48025|1|1|ripencc|PL|isp|100.00
206628|5|1|ripencc|US|hosting|20.00
213204|4|3|ripencc|DE|business|75.00
212535|1|1|ripencc|BQ|none|100.00
50869|3|1|ripencc|CH|isp|33.33
49488|1|1|ripencc|AT|business|100.00
213032|3|3|ripencc|DK|business|100.00
47753|3|1|ripencc|NO|business|33.33
21158|1|1|ripencc|DE|hosting|100.00
212834|1|1|ripencc|FR|business|100.00
