#asn|announced_prefixes|prepended_prefixes|region|country|as_type|prepend_percentage
11172|2438|189|lacnic|MX|isp|7.75
28544|2|1|lacnic|MX|isp|50.00
22908|6|6|lacnic|MX|hosting|100.00
22011|4|1|lacnic|MX|hosting|25.00
22356|21|1|lacnic|BR|hosting|4.76
28292|6|6|lacnic|BR|isp|100.00
262983|21|12|lacnic|BR|none|57.14
10429|69|27|lacnic|BR|isp|39.13
18881|73|2|lacnic|BR|isp|2.74
16397|12|1|lacnic|BR|hosting|8.33
11284|3|1|lacnic|BR|hosting|33.33
6147|91|24|lacnic|PE|isp|26.37
27678|6|6|lacnic|CL|hosting|100.00
3549|49|49|arin|US|isp|100.00
3356|78|36|arin|US|isp|46.15
52294|1|1|lacnic|AR|isp|100.00
52324|1|1|lacnic|AR|isp|100.00
52376|3|3|lacnic|AR|isp|100.00
52360|1|1|lacnic|AR|isp|100.00
52374|1|1|lacnic|AR|isp|100.00
52404|1|1|lacnic|AR|isp|100.00
52500|1|1|lacnic|AR|isp|100.00
11815|1|1|lacnic|AR|isp|100.00
9201|11|11|ripencc|SE|business|100.00
25538|1|1|ripencc|DE|hosting|100.00
8881|290|290|ripencc|DE|isp|100.00
8469|2|1|ripencc|DE|hosting|50.00
513|2|2|ripencc|CH|education|100.00
2107|2|2|ripencc|SI|education|100.00
25192|7|1|ripencc|CZ|hosting|14.29
8895|4|4|ripencc|SA|education|100.00
12374|2|1|ripencc|DE|hosting|50.00
8520|4|1|ripencc|DE|hosting|25.00
15516|3|3|ripencc|DK|isp|100.00
12355|10|2|ripencc|DE|isp|20.00
2586|2|2|ripencc|EE|isp|100.00
39790|1|1|ripencc|CZ|hosting|100.00
21221|2|1|ripencc|NL|isp|50.00
24806|1|1|ripencc|CZ|hosting|100.00
15776|1|1|ripencc|BE|business|100.00
25394|7|7|ripencc|DE|hosting|100.00
9044|5|3|ripencc|CH|hosting|60.00
39386|1|1|ripencc|SA|hosting|100.00
30870|5|5|ripencc|NL|hosting|100.00
23352|21|2|arin|US|hosting|9.52
13331|13|1|arin|US|hosting|7.69
101|5|4|arin|US|education|80.00
226|1|1|arin|US|education|100.00
54519|1|1|arin|US|hosting|100.00
14|1|1|arin|US|education|100.00
27564|1|1|arin|US|business|100.00
33438|113|10|arin|US|hosting|8.85
13768|25|12|arin|CA|hosting|48.00
13895|2|2|arin|CA|isp|100.00
3456|7|2|arin|US|isp|28.57
16787|12|6|arin|US|isp|50.00
2044|2|2|arin|US|hosting|100.00
3923|1|1|arin|US|government|100.00
20473|967|8|arin|US|hosting|0.83
29488|1|1|ripencc|DE|hosting|100.00
34081|4|1|ripencc|IT|hosting|25.00
15600|23|2|ripencc|CH|isp|8.70
8851|5|5|ripencc|GB|hosting|100.00
29134|4|4|ripencc|CZ|hosting|100.00
16004|1|1|ripencc|IT|isp|100.00
60781|141|99|ripencc|NL|hosting|70.21
21385|1|1|ripencc|DE|hosting|100.00
1836|8|8|ripencc|CH|hosting|100.00
395592|2|1|arin|US|hosting|50.00
29518|5|5|ripencc|SE|isp|100.00
31122|6|2|ripencc|IE|isp|33.33
28716|5|4|ripencc|IT|hosting|80.00
33915|20|2|ripencc|NL|isp|10.00
7660|2|2|apnic|JP|hosting|100.00
2500|1|1|apnic|JP|hosting|100.00
23634|1|1|apnic|JP|business|100.00
18259|4|1|apnic|JP|business|25.00
20940|759|589|ripencc|NL|hosting|77.60
4538|8|2|apnic|CN|education|25.00
23911|2|2|apnic|CN|education|100.00
2518|2|2|apnic|JP|isp|100.00
9916|3|2|apnic|TW|education|66.67
1237|3|3|apnic|KR|education|100.00
2514|4|4|apnic|JP|isp|100.00
7514|1|1|apnic|JP|hosting|100.00
2907|2|2|apnic|JP|education|100.00
4694|7|3|apnic|JP|hosting|42.86
7671|2|1|apnic|JP|hosting|50.00
9607|2|2|apnic|JP|hosting|100.00
7575|10|1|apnic|AU|education|10.00
4762|2|1|apnic|TH|business|50.00
137198|2|1|apnic|TH|education|50.00
23687|1|1|apnic|TH|business|100.00
138685|3|2|apnic|TH|education|66.67
135528|1|1|apnic|TH|business|100.00
17479|1|1|apnic|TH|education|100.00
4621|2|2|apnic|TH|isp|100.00
9562|1|1|apnic|TH|business|100.00
132879|1|1|apnic|TH|isp|100.00
37932|4|1|apnic|TH|isp|25.00
9595|4|4|apnic|JP|business|100.00
293|3|3|arin|US|business|100.00
44444|3|2|ripencc|GB|hosting|66.67
31383|1|1|ripencc|NL|hosting|100.00
12400|3|1|ripencc|IL|isp|33.33
271|19|14|arin|CA|education|73.68
8111|3|3|arin|CA|education|100.00
2607|3|3|ripencc|SK|education|100.00
28788|3|2|ripencc|NL|hosting|66.67
24725|4|1|ripencc|UA|hosting|25.00
13092|1|1|ripencc|RS|education|100.00
3727|1|1|arin|US|business|100.00
21778|1|1|arin|US|business|100.00
34164|79|75|ripencc|NL|hosting|94.94
8365|3|3|ripencc|DE|hosting|100.00
16276|7|7|ripencc|FR|hosting|100.00
5610|4|4|ripencc|CZ|isp|100.00
6713|4|3|afrinic|MA|isp|75.00
54318|2|1|arin|US|none|50.00
6083|1|1|afrinic|ZA|hosting|100.00
17025|4|1|arin|US|isp|25.00
26762|5|5|arin|US|business|100.00
10310|29|29|arin|US|hosting|100.00
328501|2|1|afrinic|ZA|business|50.00
328325|1|1|afrinic|TZ|isp|100.00
2635|39|2|arin|US|hosting|5.13
328209|1|1|afrinic|ZA|hosting|100.00
9500|3|3|apnic|NZ|isp|100.00
132040|6|1|apnic|NZ|isp|16.67
7545|510|5|apnic|AU|isp|0.98
2506|1|1|apnic|JP|business|100.00
23836|1|1|apnic|JP|isp|100.00
17940|1|1|apnic|JP|isp|100.00
9924|10|5|apnic|TW|isp|50.00
20130|3|3|arin|US|education|100.00
57|2|2|arin|US|education|100.00
302|2|2|arin|US|education|100.00
396955|7|7|arin|US|education|100.00
14041|3|2|arin|US|education|66.67
10578|7|2|arin|US|education|28.57
10886|4|1|arin|US|education|25.00
3582|2|2|arin|US|education|100.00
328528|1|1|afrinic|NG|isp|100.00
271915|5|3|lacnic|CL|business|60.00
50058|21|1|ripencc|GB|isp|4.76
55243|3|3|arin|US|business|100.00
47787|35|19|ripencc|US|isp|54.29
27446|1|1|arin|US|isp|100.00
7046|28|2|arin|US|isp|7.14
21928|240|3|arin|US|isp|1.25
12222|189|183|arin|US|hosting|96.83
35994|131|111|arin|US|hosting|84.73
22394|170|80|arin|US|isp|47.06
195|2|2|arin|US|education|100.00
6596|1|1|arin|US|hosting|100.00
30513|1|1|arin|US|hosting|100.00
7280|5|2|arin|US|isp|40.00
10880|4|1|arin|US|isp|25.00
2495|2|2|arin|US|education|100.00
174|647|354|arin|US|isp|54.71
3216|4|3|ripencc|RU|isp|75.00
112|2|1|arin|US|hosting|50.00
13285|4|4|ripencc|GB|isp|100.00
12620|1|1|ripencc|CH|isp|100.00
29452|1|1|ripencc|GB|hosting|100.00
20746|7|1|ripencc|IT|hosting|14.29
206557|1|1|ripencc|NO|isp|100.00
20640|1|1|ripencc|DE|hosting|100.00
29169|2|1|ripencc|FR|hosting|50.00
209453|8|1|ripencc|FR|hosting|12.50
12570|3|3|ripencc|CZ|isp|100.00
8412|37|1|ripencc|AT|isp|2.70
15725|1|1|ripencc|DE|hosting|100.00
29527|1|1|ripencc|GB|hosting|100.00
29636|1|1|ripencc|GB|hosting|100.00
39832|4|1|ripencc|NO|hosting|25.00
15435|3|3|ripencc|NL|isp|100.00
8426|22|20|ripencc|GB|hosting|90.91
25058|1|1|ripencc|DE|hosting|100.00
3758|34|16|apnic|SG|isp|47.06
8226|1|1|ripencc|AM|hosting|100.00
8569|2|2|ripencc|DE|business|100.00
39290|2|2|ripencc|DE|business|100.00
5606|6|6|ripencc|RO|hosting|100.00
3303|41|1|ripencc|CH|isp|2.44
28824|1|1|ripencc|NO|hosting|100.00
207564|1|1|ripencc|NO|none|100.00
20446|13|13|arin|US|business|100.00
2381|3|3|arin|US|education|100.00
16509|2656|1431|arin|US|hosting|53.88
10515|4|4|arin|US|none|100.00
397197|16|16|arin|US|business|100.00
396566|8|8|arin|US|business|100.00
397200|8|8|arin|US|none|100.00
396559|5|5|arin|US|hosting|100.00
396579|14|14|arin|US|none|100.00
12041|219|219|arin|US|business|100.00
