#asn|announced_prefixes|prepended_prefixes|region|country|as_type|prepend_percentage
8151|390|26|lacnic|MX|isp|6.67
32098|1450|471|arin|US|isp|32.48
11172|6230|6185|lacnic|MX|isp|99.28
28535|2|1|lacnic|MX|isp|50.00
28531|3|1|lacnic|MX|isp|33.33
28544|2|1|lacnic|MX|isp|50.00
22908|6|6|lacnic|MX|hosting|100.00
14868|415|412|lacnic|BR|isp|99.28
16735|354|3|lacnic|BR|isp|0.85
22356|24|1|lacnic|BR|hosting|4.17
28292|7|7|lacnic|BR|isp|100.00
10429|75|27|lacnic|BR|isp|36.00
18881|71|9|lacnic|BR|isp|12.68
15830|74|1|ripencc|NL|hosting|1.35
1916|131|98|lacnic|BR|business|74.81
11284|3|1|lacnic|BR|hosting|33.33
11830|37|36|lacnic|CR|isp|97.30
6147|198|44|lacnic|PE|isp|22.22
264684|26|15|lacnic|PE|isp|57.69
27678|6|6|lacnic|CL|hosting|100.00
10753|56|1|arin|US|isp|1.79
3356|84|40|arin|US|isp|47.62
52294|1|1|lacnic|AR|isp|100.00
52324|1|1|lacnic|AR|isp|100.00
52376|3|3|lacnic|AR|isp|100.00
52360|1|1|lacnic|AR|isp|100.00
52374|1|1|lacnic|AR|isp|100.00
52375|1|1|lacnic|AR|isp|100.00
27814|12|1|lacnic|EC|business|8.33
263779|2|1|lacnic|CR|education|50.00
3790|4|4|lacnic|CR|hosting|100.00
11815|2|2|lacnic|AR|isp|100.00
9201|11|11|ripencc|SE|business|100.00
25538|1|1|ripencc|DE|hosting|100.00
8881|133|133|ripencc|DE|isp|100.00
8469|2|1|ripencc|DE|hosting|50.00
513|2|2|ripencc|CH|education|100.00
2107|2|2|ripencc|SI|education|100.00
27385|6|1|arin|US|hosting|16.67
25192|8|1|ripencc|CZ|hosting|12.50
8895|8|8|ripencc|SA|education|100.00
12374|1|1|ripencc|DE|hosting|100.00
8520|4|1|ripencc|DE|hosting|25.00
15516|3|3|ripencc|DK|isp|100.00
12355|10|1|ripencc|DE|isp|10.00
206804|15|1|ripencc|EE|hosting|6.67
20488|1|1|ripencc|DE|business|100.00
39790|3|1|ripencc|CZ|hosting|33.33
12657|4|3|ripencc|DE|hosting|75.00
2860|4|4|ripencc|PT|isp|100.00
21221|3|1|ripencc|NL|isp|33.33
24806|1|1|ripencc|CZ|hosting|100.00
15776|1|1|ripencc|BE|business|100.00
25394|10|10|ripencc|DE|hosting|100.00
9044|6|4|ripencc|CH|hosting|66.67
39386|1|1|ripencc|SA|hosting|100.00
30870|4|4|ripencc|NL|hosting|100.00
8315|15|10|ripencc|NL|hosting|66.67
23352|23|1|arin|US|hosting|4.35
13331|14|1|arin|US|hosting|7.14
101|5|4|arin|US|education|80.00
54519|1|1|arin|US|hosting|100.00
14|1|1|arin|US|education|100.00
22966|1|1|arin|US|education|100.00
27564|1|1|arin|US|business|100.00
11985|6|1|arin|US|government|16.67
33438|118|2|arin|US|hosting|1.69
13768|23|11|arin|CA|hosting|47.83
13895|2|2|arin|CA|isp|100.00
16787|12|6|arin|US|isp|50.00
3923|1|1|arin|US|government|100.00
20473|302|3|arin|US|hosting|0.99
29488|1|1|ripencc|DE|hosting|100.00
31898|490|30|arin|US|hosting|6.12
57367|3|3|ripencc|PL|hosting|100.00
8851|6|6|ripencc|GB|hosting|100.00
29134|4|1|ripencc|CZ|hosting|25.00
16004|1|1|ripencc|IT|isp|100.00
43009|2|1|ripencc|GB|hosting|50.00
60781|121|89|ripencc|NL|hosting|73.55
21385|1|1|ripencc|DE|hosting|100.00
395592|2|1|arin|US|hosting|50.00
29518|10|10|ripencc|SE|isp|100.00
39477|2|2|ripencc|GB|business|100.00
31122|7|2|ripencc|IE|isp|28.57
28716|5|5|ripencc|IT|hosting|100.00
33915|26|2|ripencc|NL|isp|7.69
7660|2|2|apnic|JP|hosting|100.00
2500|1|1|apnic|JP|hosting|100.00
