#asn|announced_prefixes|prepended_prefixes|region|country|as_type|prepend_percentage
8151|379|25|lacnic|MX|isp|6.60
32098|1330|388|arin|US|isp|29.17
11172|5267|2560|lacnic|MX|isp|48.60
28535|2|1|lacnic|MX|isp|50.00
28531|3|1|lacnic|MX|isp|33.33
28536|11|1|lacnic|MX|isp|9.09
28544|2|1|lacnic|MX|isp|50.00
22908|6|6|lacnic|MX|hosting|100.00
22011|4|1|lacnic|MX|hosting|25.00
14868|3|2|lacnic|BR|isp|66.67
22356|23|1|lacnic|BR|hosting|4.35
28292|6|6|lacnic|BR|isp|100.00
10429|71|30|lacnic|BR|isp|42.25
1916|132|97|lacnic|BR|business|73.48
11284|3|1|lacnic|BR|hosting|33.33
26610|2|1|lacnic|CL|education|50.00
6147|87|23|lacnic|PE|isp|26.44
27678|6|6|lacnic|CL|hosting|100.00
10753|65|1|arin|US|isp|1.54
272045|1|1|lacnic|PE|isp|100.00
3356|75|37|arin|US|isp|49.33
52294|1|1|lacnic|AR|isp|100.00
52324|1|1|lacnic|AR|isp|100.00
52376|3|3|lacnic|AR|isp|100.00
52360|1|1|lacnic|AR|isp|100.00
52374|1|1|lacnic|AR|isp|100.00
52375|1|1|lacnic|AR|isp|100.00
263779|2|1|lacnic|CR|education|50.00
9201|11|11|ripencc|SE|business|100.00
25538|1|1|ripencc|DE|hosting|100.00
8881|149|135|ripencc|DE|isp|90.60
8469|2|1|ripencc|DE|hosting|50.00
513|2|2|ripencc|CH|education|100.00
2107|2|2|ripencc|SI|education|100.00
25192|7|1|ripencc|CZ|hosting|14.29
8895|4|4|ripencc|SA|education|100.00
12374|1|1|ripencc|DE|hosting|100.00
8520|4|1|ripencc|DE|hosting|25.00
15516|3|3|ripencc|DK|isp|100.00
12355|10|2|ripencc|DE|isp|20.00
206804|7|1|ripencc|EE|hosting|14.29
39790|3|1|ripencc|CZ|hosting|33.33
12657|4|3|ripencc|DE|hosting|75.00
21221|2|1|ripencc|NL|isp|50.00
24806|1|1|ripencc|CZ|hosting|100.00
15776|1|1|ripencc|BE|business|100.00
25394|9|9|ripencc|DE|hosting|100.00
9044|5|3|ripencc|CH|hosting|60.00
34683|1|1|ripencc|LU|isp|100.00
39386|1|1|ripencc|SA|hosting|100.00
30870|5|5|ripencc|NL|hosting|100.00
8315|15|10|ripencc|NL|hosting|66.67
23352|22|1|arin|US|hosting|4.55
13331|10|1|arin|US|hosting|10.00
101|5|4|arin|US|education|80.00
54519|1|1|arin|US|hosting|100.00
14|1|1|arin|US|education|100.00
27564|1|1|arin|US|business|100.00
11985|11|6|arin|US|government|54.55
33438|117|2|arin|US|hosting|1.71
13768|24|11|arin|CA|hosting|45.83
13895|2|2|arin|CA|isp|100.00
16787|12|6|arin|US|isp|50.00
3923|1|1|arin|US|government|100.00
20473|688|3|arin|US|hosting|0.44
29488|1|1|ripencc|DE|hosting|100.00
31898|447|35|arin|US|hosting|7.83
34081|4|1|ripencc|IT|hosting|25.00
15600|22|1|ripencc|CH|isp|4.55
8851|5|5|ripencc|GB|hosting|100.00
29134|3|1|ripencc|CZ|hosting|33.33
16004|1|1|ripencc|IT|isp|100.00
43009|2|1|ripencc|GB|hosting|50.00
60781|135|89|ripencc|NL|hosting|65.93
21385|1|1|ripencc|DE|hosting|100.00
395592|2|1|arin|US|hosting|50.00
29518|6|6|ripencc|SE|isp|100.00
39477|2|1|ripencc|GB|business|50.00
31122|6|2|ripencc|IE|isp|33.33
28716|5|5|ripencc|IT|hosting|100.00
33915|25|2|ripencc|NL|isp|8.00
7660|2|2|apnic|JP|hosting|100.00
2500|1|1|apnic|JP|hosting|100.00
23634|1|1|apnic|JP|business|100.00
18259|4|1|apnic|JP|business|25.00
20940|798|573|ripencc|NL|hosting|71.80
4538|6|2|apnic|CN|education|33.33
23911|2|2|apnic|CN|education|100.00
2518|2|2|apnic|JP|isp|100.00
9916|3|2|apnic|TW|education|66.67
1237|3|3|apnic|KR|education|100.00
2514|4|4|apnic|JP|isp|100.00
7514|1|1|apnic|JP|hosting|100.00
2907|2|2|apnic|JP|education|100.00
4694|7|3|apnic|JP|hosting|42.86
7522|1|1|apnic|JP|isp|100.00
9607|2|2|apnic|JP|hosting|100.00
7575|10|10|apnic|AU|education|100.00
4762|2|1|apnic|TH|business|50.00
137198|2|1|apnic|TH|education|50.00
138685|5|1|apnic|TH|education|20.00
135528|1|1|apnic|TH|business|100.00
17479|1|1|apnic|TH|education|100.00
45575|1|1|apnic|TH|education|100.00
4621|2|2|apnic|TH|isp|100.00
9562|1|1|apnic|TH|business|100.00
9595|4|4|apnic|JP|business|100.00
293|3|3|arin|US|business|100.00
44444|3|2|ripencc|GB|hosting|66.67
31383|1|1|ripencc|NL|hosting|100.00
12400|3|1|ripencc|IL|isp|33.33
271|18|13|arin|CA|education|72.22
8111|3|3|arin|CA|education|100.00
2607|3|3|ripencc|SK|education|100.00
28788|3|2|ripencc|NL|hosting|66.67
24725|4|1|ripencc|UA|hosting|25.00
13092|1|1|ripencc|RS|education|100.00
3727|1|1|arin|US|business|100.00
21778|1|1|arin|US|business|100.00
34164|76|74|ripencc|NL|hosting|97.37
8365|3|3|ripencc|DE|hosting|100.00
16276|10|6|ripencc|FR|hosting|60.00
5610|4|4|ripencc|CZ|isp|100.00
30844|13|8|ripencc|GB|isp|61.54
6713|4|4|afrinic|MA|isp|100.00
54318|2|1|arin|US|none|50.00
6083|1|1|afrinic|ZA|hosting|100.00
36992|564|317|afrinic|EG|isp|56.21
17025|3|1|arin|US|isp|33.33
26762|5|5|arin|US|business|100.00
10310|29|29|arin|US|hosting|100.00
328501|2|1|afrinic|ZA|business|50.00
328706|1|1|afrinic|ZA|business|100.00
328325|1|1|afrinic|TZ|isp|100.00
2635|44|2|arin|US|hosting|4.55
328209|1|1|afrinic|ZA|hosting|100.00
9500|3|3|apnic|NZ|isp|100.00
132040|10|1|apnic|NZ|isp|10.00
23836|1|1|apnic|JP|isp|100.00
17940|1|1|apnic|JP|isp|100.00
9924|10|6|apnic|TW|isp|60.00
20130|3|3|arin|US|education|100.00
57|2|2|arin|US|education|100.00
302|2|2|arin|US|education|100.00
396955|7|7|arin|US|education|100.00
14041|2|1|arin|US|education|50.00
10578|7|2|arin|US|education|28.57
10886|4|1|arin|US|education|25.00
3582|2|2|arin|US|education|100.00
328528|1|1|afrinic|NG|isp|100.00
271915|4|1|lacnic|CL|business|25.00
50058|27|27|ripencc|GB|isp|100.00
55243|3|3|arin|US|business|100.00
47787|35|3|ripencc|US|isp|8.57
27446|1|1|arin|US|isp|100.00
7046|31|2|arin|US|isp|6.45
21928|220|5|arin|US|isp|2.27
12222|176|169|arin|US|hosting|96.02
35994|123|50|arin|US|hosting|40.65
22394|152|57|arin|US|isp|37.50
229|1|1|arin|US|education|100.00
195|2|2|arin|US|education|100.00
6596|1|1|arin|US|hosting|100.00
11232|10|3|arin|US|isp|30.00
6263|1|1|arin|US|none|100.00
30513|1|1|arin|US|hosting|100.00
7280|9|6|arin|US|isp|66.67
10880|6|3|arin|US|isp|50.00
2495|2|2|arin|US|education|100.00
174|663|358|arin|US|isp|54.00
3216|4|3|ripencc|RU|isp|75.00
112|2|1|arin|US|hosting|50.00
13285|5|5|ripencc|GB|isp|100.00
12620|1|1|ripencc|CH|isp|100.00
29452|1|1|ripencc|GB|hosting|100.00
20746|7|1|ripencc|IT|hosting|14.29
206557|1|1|ripencc|NO|isp|100.00
20640|1|1|ripencc|DE|hosting|100.00
209453|8|3|ripencc|FR|hosting|37.50
12570|3|3|ripencc|CZ|isp|100.00
8412|37|1|ripencc|AT|isp|2.70
199284|3|1|ripencc|DE|isp|33.33
15725|1|1|ripencc|DE|hosting|100.00
29527|1|1|ripencc|GB|hosting|100.00
29636|1|1|ripencc|GB|hosting|100.00
8426|22|20|ripencc|GB|hosting|90.91
8551|119|119|ripencc|IL|isp|100.00
25058|1|1|ripencc|DE|hosting|100.00
3758|35|14|apnic|SG|isp|40.00
8226|1|1|ripencc|AM|hosting|100.00
8569|2|2|ripencc|DE|business|100.00
39290|2|2|ripencc|DE|business|100.00
5606|5|5|ripencc|RO|hosting|100.00
3303|42|1|ripencc|CH|isp|2.38
28824|1|1|ripencc|NO|hosting|100.00
207564|1|1|ripencc|NO|none|100.00
20446|13|13|arin|US|business|100.00
2381|2|2|arin|US|education|100.00
16509|3439|3432|arin|US|hosting|99.80
10515|8|8|arin|US|none|100.00
396549|15|15|arin|US|none|100.00
21313|8|8|ripencc|US|none|100.00
396566|8|8|arin|US|business|100.00
25485|15|15|ripencc|US|none|100.00
40717|4|4|arin|US|none|100.00
12041|224|224|arin|US|business|100.00
394353|9|4|arin|US|hosting|44.44
40490|2|1|arin|US|hosting|50.00
55195|17|3|arin|CA|isp|17.65
394018|1|1|arin|US|business|100.00
397203|4|4|arin|US|none|100.00
396619|2|2|arin|US|none|100.00
396746|2|2|arin|US|none|100.00
64213|1|1|arin|US|isp|100.00
8103|25|5|arin|US|government|20.00
9009|338|158|ripencc|RO|hosting|46.75
398355|5|5|arin|US|business|100.00
14877|7|5|arin|US|isp|71.43
25829|1|1|arin|US|government|100.00
20381|4|1|arin|US|business|25.00
18530|5|1|arin|US|hosting|20.00
852|111|16|arin|CA|isp|14.41
22773|1441|2|arin|US|isp|0.14
46375|2|2|arin|US|isp|100.00
6621|79|28|arin|US|isp|35.44
5050|3|3|arin|US|education|100.00
1103|2|2|ripencc|NL|education|100.00
559|10|10|ripencc|CH|hosting|100.00
1853|2|1|ripencc|AT|education|50.00
3209|517|36|ripencc|DE|isp|6.96
3320|59|59|ripencc|DE|isp|100.00
54040|2|1|arin|US|business|50.00
20609|4|2|ripencc|CZ|isp|50.00
29405|6|6|ripencc|SK|isp|100.00
206725|1|1|ripencc|NO|business|100.00
201567|1|1|ripencc|GB|business|100.00
42385|23|10|ripencc|RU|isp|43.48
59617|1|1|ripencc|GB|isp|100.00
202886|1|1|ripencc|FR|business|100.00
43832|9|4|ripencc|RU|isp|44.44
204188|3|1|ripencc|DE|business|33.33
202739|1|1|ripencc|DE|business|100.00
213151|5|4|ripencc|DE|business|80.00
1921|13|12|ripencc|AT|isp|92.31
1257|49|43|ripencc|EU|isp|87.76
8882|17|17|ripencc|CZ|business|100.00
201612|2|2|ripencc|AT|hosting|100.00
41038|3|3|ripencc|NL|hosting|100.00
47251|1|1|ripencc|AT|business|100.00
206939|1|1|ripencc|GB|business|100.00
47121|1|1|ripencc|NL|business|100.00
31079|1|1|ripencc|NL|isp|100.00
62080|1|1|ripencc|ES|hosting|100.00
206186|1|1|ripencc|PL|isp|100.00
34516|1|1|ripencc|GR|hosting|100.00
197422|3|3|ripencc|FR|isp|100.00
25354|3|1|ripencc|ES|hosting|33.33
43442|1|1|ripencc|GB|business|100.00
34087|3|2|ripencc|NO|isp|66.67
206335|1|1|ripencc|GB|business|100.00
12843|13|1|ripencc|DE|hosting|7.69
24868|1|1|ripencc|DE|hosting|100.00
16108|1|1|ripencc|DE|business|100.00
41887|9|8|ripencc|NL|hosting|88.89
204926|1|1|ripencc|IS|business|100.00
8387|3|2|ripencc|AT|business|66.67
206883|1|1|ripencc|BE|business|100.00
206006|1|1|ripencc|PL|education|100.00
204388|1|1|ripencc|PL|business|100.00
39566|1|1|ripencc|PL|hosting|100.00
200924|7|5|ripencc|DE|isp|71.43
39577|1|1|ripencc|RU|isp|100.00
33873|2|2|ripencc|DE|hosting|100.00
41029|1|1|ripencc|RU|education|100.00
202329|3|3|ripencc|DE|business|100.00
47869|17|2|ripencc|NL|hosting|11.76
12360|2|2|ripencc|DE|isp|100.00
13037|2|2|ripencc|GB|isp|100.00
200306|6|2|ripencc|BG|hosting|33.33
205078|1|1|ripencc|SE|business|100.00
35332|2|2|ripencc|NL|hosting|100.00
209933|1|1|ripencc|IS|business|100.00
57195|1|1|ripencc|SE|business|100.00
207910|1|1|ripencc|FR|hosting|100.00
200288|1|1|ripencc|UA|hosting|100.00
50030|1|1|ripencc|DE|isp|100.00
34944|1|1|ripencc|RU|isp|100.00
15550|1|1|ripencc|DE|business|100.00
209075|1|1|ripencc|SE|business|100.00
204882|2|2|ripencc|IE|business|100.00
197838|2|2|ripencc|PL|isp|100.00
39702|7|2|ripencc|DE|hosting|28.57
208584|2|2|ripencc|NL|hosting|100.00
61138|15|1|ripencc|US|hosting|6.67
12496|3|3|ripencc|GB|isp|100.00
207886|2|2|ripencc|CZ|isp|100.00
207871|1|1|ripencc|DE|isp|100.00
207824|1|1|ripencc|NO|isp|100.00
206904|1|1|ripencc|RU|business|100.00
207631|1|1|ripencc|IT|business|100.00
207491|1|1|ripencc|DE|business|100.00
47752|1|1|ripencc|UZ|isp|100.00
48025|1|1|ripencc|PL|isp|100.00
207278|4|4|ripencc|DE|business|100.00
43364|2|2|ripencc|IT|isp|100.00
213204|4|1|ripencc|DE|business|25.00
213092|5|1|ripencc|GB|business|20.00
49488|1|1|ripencc|AT|business|100.00
213032|3|3|ripencc|DK|business|100.00
212834|1|1|ripencc|FR|business|100.00
