#asn|announced_prefixes|prepended_prefixes|region|country|as_type|prepend_percentage
2500|1|1|apnic|JP|hosting|100.00
7660|2|2|apnic|JP|hosting|100.00
23634|1|1|apnic|JP|business|100.00
18259|6|2|apnic|JP|business|33.33
20940|465|436|ripencc|EU|hosting|93.76
23911|2|2|apnic|CN|education|100.00
2518|2|2|apnic|JP|isp|100.00
7514|1|1|apnic|JP|hosting|100.00
2907|4|4|apnic|JP|education|100.00
4678|1|1|apnic|JP|business|100.00
9607|1|1|apnic|JP|hosting|100.00
2527|2|2|apnic|JP|isp|100.00
4621|2|1|apnic|TH|isp|50.00
132701|1|1|apnic|TH|business|100.00
17479|1|1|apnic|TH|education|100.00
9562|1|1|apnic|TH|business|100.00
37932|1|1|apnic|TH|isp|100.00
9595|4|4|apnic|JP|business|100.00
293|1|1|arin|US|business|100.00
271|18|9|arin|CA|education|50.00
8111|3|2|arin|CA|education|66.67
12008|73|22|arin|US|hosting|30.14
35994|148|148|arin|US|hosting|100.00
27435|45|1|arin|US|hosting|2.22
54318|3|1|arin|US|none|33.33
17025|3|1|arin|US|isp|33.33
278|6|1|lacnic|MX|education|16.67
3549|192|26|arin|US|isp|13.54
14041|2|1|arin|US|education|50.00
10578|5|2|arin|US|education|40.00
20080|3|2|arin|US|education|66.67
5078|2|2|arin|US|education|100.00
10886|4|1|arin|US|education|25.00
20130|3|3|arin|US|education|100.00
57|2|2|arin|US|education|100.00
302|2|2|arin|US|education|100.00
3676|3|3|arin|US|education|100.00
22742|3|3|arin|US|education|100.00
7175|4|1|apnic|AU|business|25.00
198362|2|2|ripencc|GB|hosting|100.00
2381|2|2|arin|US|education|100.00
12041|218|217|arin|US|business|99.54
715|8|1|arin|US|hosting|12.50
36623|9|9|arin|US|none|100.00
36632|5|5|arin|US|none|100.00
397208|13|13|arin|US|none|100.00
397212|4|4|arin|US|none|100.00
26134|8|1|arin|US|business|12.50
397197|1|1|arin|US|business|100.00
36616|1|1|arin|US|none|100.00
396549|4|4|arin|US|none|100.00
396554|3|3|arin|US|none|100.00
26415|7|4|arin|US|isp|57.14
36617|1|1|arin|US|none|100.00
36624|2|2|arin|US|none|100.00
36622|1|1|arin|US|none|100.00
376|8|8|arin|CA|education|100.00
8103|2|1|arin|US|government|50.00
174|609|393|arin|US|isp|64.53
62604|2|1|arin|US|none|50.00
14877|7|5|arin|US|isp|71.43
9009|113|72|ripencc|GB|hosting|63.72
19704|2|1|arin|US|business|50.00
18530|2|2|arin|US|hosting|100.00
852|22|19|arin|CA|isp|86.36
7861|4|2|arin|CA|isp|50.00
34164|78|76|ripencc|GB|hosting|97.44
6453|29|27|arin|US|isp|93.10
7065|2|2|arin|US|isp|100.00
6621|44|12|arin|US|isp|27.27
22693|1|1|arin|US|education|100.00
559|12|12|ripencc|EU|hosting|100.00
1853|2|1|ripencc|AT|education|50.00
2895|1|1|ripencc|EU|isp|100.00
20676|4|4|ripencc|DE|isp|100.00
2072|1|1|ripencc|EU|education|100.00
25973|2|2|arin|US|hosting|100.00
49488|1|1|ripencc|AT|business|100.00
42385|18|9|ripencc|RU|isp|50.00
43832|3|1|ripencc|RU|isp|33.33
1921|11|6|ripencc|AT|isp|54.55
201612|2|2|ripencc|AT|hosting|100.00
57801|5|2|ripencc|SK|hosting|40.00
6736|4|1|ripencc|IR|education|25.00
47697|1|1|ripencc|BG|hosting|100.00
20609|3|1|ripencc|CZ|isp|33.33
206725|1|1|ripencc|NO|business|100.00
38990|2|2|ripencc|NO|business|100.00
202886|1|1|ripencc|FR|business|100.00
49544|25|20|ripencc|NL|hosting|80.00
202739|1|1|ripencc|DE|business|100.00
20473|423|18|arin|US|hosting|4.26
41038|3|3|ripencc|NL|hosting|100.00
43201|1|1|ripencc|RU|isp|100.00
49745|9|2|ripencc|DE|business|22.22
31079|1|1|ripencc|PL|isp|100.00
202584|1|1|ripencc|DE|none|100.00
43442|1|1|ripencc|GB|business|100.00
34087|3|2|ripencc|NO|isp|66.67
39431|1|1|ripencc|UA|business|100.00
204926|1|1|ripencc|IS|business|100.00
44973|3|3|ripencc|DE|hosting|100.00
8387|3|3|ripencc|AT|business|100.00
206883|1|1|ripencc|BE|business|100.00
204671|1|1|ripencc|RU|business|100.00
206006|1|1|ripencc|PL|education|100.00
12360|2|2|ripencc|DE|isp|100.00
13037|2|1|ripencc|GB|isp|50.00
200306|1|1|ripencc|BG|hosting|100.00
200301|1|1|ripencc|BG|none|100.00
200401|1|1|ripencc|RU|hosting|100.00
1132|1|1|ripencc|NL|none|100.00
8423|1|1|ripencc|RO|hosting|100.00
24629|1|1|ripencc|SI|hosting|100.00
45019|2|2|ripencc|GB|none|100.00
198595|1|1|ripencc|PL|hosting|100.00
196883|1|1|ripencc|PL|isp|100.00
12643|2|2|ripencc|DE|education|100.00
33988|2|2|ripencc|DE|hosting|100.00
39138|2|2|ripencc|DE|isp|100.00
31172|1|1|ripencc|NL|none|100.00
47302|1|1|ripencc|CH|hosting|100.00
42473|84|2|ripencc|AT|hosting|2.38
51188|1|1|ripencc|FI|business|100.00
42307|1|1|ripencc|SE|education|100.00
35579|1|1|ripencc|NL|isp|100.00
30950|1|1|ripencc|NO|business|100.00
47426|1|1|ripencc|GB|hosting|100.00
50262|1|1|ripencc|CH|none|100.00
41599|2|1|ripencc|UA|education|50.00
12509|1|1|ripencc|LV|business|100.00
43081|1|1|ripencc|GR|hosting|100.00
51839|1|1|ripencc|DE|business|100.00
1136|9|5|ripencc|EU|isp|55.56
12581|4|4|ripencc|DE|hosting|100.00
8758|8|6|ripencc|CH|hosting|75.00
43354|1|1|ripencc|DE|business|100.00
198089|3|2|ripencc|NL|isp|66.67
8881|116|116|ripencc|DE|isp|100.00
201824|1|1|ripencc|DE|business|100.00
15576|14|1|ripencc|CH|hosting|7.14
64424|1|1|ripencc|NO|business|100.00
15404|4|1|ripencc|SE|isp|25.00
21221|3|3|ripencc|NL|isp|100.00
43893|5|3|ripencc|SE|hosting|60.00
59524|1|1|ripencc|NL|none|100.00
58130|2|1|ripencc|SK|isp|50.00
8426|17|17|ripencc|GB|hosting|100.00
207021|3|3|ripencc|AT|hosting|100.00
21406|2|1|ripencc|AT|business|50.00
57288|1|1|ripencc|CZ|isp|100.00
24711|1|1|ripencc|FR|business|100.00
199462|2|1|ripencc|GB|isp|50.00
204796|2|2|ripencc|DE|business|100.00
197451|4|2|ripencc|CZ|education|50.00
20712|13|12|ripencc|GB|isp|92.31
41153|1|1|ripencc|NL|isp|100.00
13189|4|3|ripencc|SE|isp|75.00
29203|1|1|ripencc|UA|isp|100.00
196957|1|1|ripencc|UA|isp|100.00
203158|1|1|ripencc|SE|business|100.00
51410|1|1|ripencc|RU|isp|100.00
48361|3|1|ripencc|RU|none|33.33
44968|1|1|ripencc|SI|business|100.00
43757|1|1|ripencc|CZ|business|100.00
3215|31|27|ripencc|FR|isp|87.10
21430|3|2|ripencc|CZ|isp|66.67
29217|3|3|ripencc|SE|business|100.00
25166|1|1|ripencc|BG|business|100.00
199612|1|1|ripencc|SI|business|100.00
206479|8|1|ripencc|DE|business|12.50
197521|1|1|ripencc|HR|business|100.00
42695|17|1|ripencc|SE|hosting|5.88
8820|4|1|ripencc|DE|hosting|25.00
49092|1|1|ripencc|DE|none|100.00
41496|1|1|ripencc|RO|isp|100.00
56881|1|1|ripencc|RU|business|100.00
12337|8|2|ripencc|DE|hosting|25.00
198333|1|1|ripencc|DE|hosting|100.00
30931|2|1|ripencc|GB|business|50.00
35559|1|1|ripencc|GB|hosting|100.00
61411|1|1|ripencc|RU|business|100.00
25173|1|1|ripencc|SI|business|100.00
51408|1|1|ripencc|RU|hosting|100.00
51816|1|1|ripencc|SI|business|100.00
200577|1|1|ripencc|PL|isp|100.00
57763|5|5|ripencc|AT|hosting|100.00
34225|3|1|ripencc|DE|hosting|33.33
29683|1|1|ripencc|UA|education|100.00
198450|1|1|ripencc|SE|none|100.00
49750|2|2|ripencc|NL|none|100.00
51871|1|1|ripencc|DE|business|100.00
25354|1|1|ripencc|ES|hosting|100.00
51944|2|2|ripencc|PL|isp|100.00
52191|1|1|ripencc|UA|isp|100.00
34964|1|1|ripencc|AT|business|100.00
24708|1|1|ripencc|AT|hosting|100.00
42564|1|1|ripencc|UA|business|100.00
31019|3|2|ripencc|NL|business|66.67
42204|1|1|ripencc|PL|hosting|100.00
5524|6|6|ripencc|NL|isp|100.00
