#asn|announced_prefixes|prepended_prefixes|region|country|as_type|prepend_percentage
1659|1|1|apnic|TW|education|100.00
2514|4|4|apnic|JP|isp|100.00
9607|1|1|apnic|JP|hosting|100.00
7682|1|1|apnic|JP|isp|100.00
9595|1|1|apnic|JP|business|100.00
271|12|7|arin|CA|education|58.33
12008|69|4|arin|US|hosting|5.80
35994|100|99|arin|US|hosting|99.00
278|9|1|lacnic|MX|education|11.11
14041|1|1|arin|US|education|100.00
14325|3|3|arin|US|isp|100.00
20080|2|1|arin|US|education|50.00
54728|2|2|arin|US|none|100.00
302|2|2|arin|US|education|100.00
3676|3|3|arin|US|education|100.00
198362|2|1|ripencc|GB|hosting|50.00
2381|1|1|arin|US|education|100.00
20144|4|1|arin|US|hosting|25.00
12041|225|167|arin|CA|business|74.22
15135|9|1|arin|US|none|11.11
36616|3|3|arin|US|none|100.00
36619|4|4|arin|US|none|100.00
36631|6|6|arin|US|none|100.00
36630|1|1|arin|US|none|100.00
36626|3|3|arin|US|none|100.00
36617|2|2|arin|US|none|100.00
36625|1|1|arin|US|none|100.00
36620|1|1|arin|US|none|100.00
36628|3|3|arin|US|none|100.00
36627|1|1|arin|US|none|100.00
36624|1|1|arin|US|none|100.00
36622|1|1|arin|US|none|100.00
36629|1|1|arin|US|none|100.00
36621|1|1|arin|US|none|100.00
36632|1|1|arin|US|none|100.00
36618|1|1|arin|US|none|100.00
36623|1|1|arin|US|none|100.00
62604|2|1|arin|US|none|50.00
18531|1|1|arin|US|isp|100.00
18530|1|1|arin|US|hosting|100.00
852|18|16|arin|CA|isp|88.89
4436|21|14|arin|US|none|66.67
20940|214|189|ripencc|EU|hosting|88.32
34164|49|48|ripencc|GB|hosting|97.96
6453|14|14|arin|US|isp|100.00
22693|1|1|arin|US|education|100.00
5050|3|1|arin|US|education|33.33
1853|4|3|ripencc|AT|education|75.00
680|18|17|ripencc|DE|education|94.44
2895|1|1|ripencc|EU|isp|100.00
20676|4|4|ripencc|DE|isp|100.00
2072|1|1|ripencc|EU|education|100.00
200070|1|1|ripencc|CZ|hosting|100.00
42385|12|6|ripencc|RU|isp|50.00
43832|4|1|ripencc|RU|isp|25.00
1921|6|2|ripencc|AT|isp|33.33
201612|2|2|ripencc|AT|hosting|100.00
41884|1|1|ripencc|SE|business|100.00
8423|1|1|ripencc|RO|hosting|100.00
24971|12|3|ripencc|CZ|hosting|25.00
48908|1|1|ripencc|NO|business|100.00
50139|1|1|ripencc|RU|none|100.00
33988|2|2|ripencc|DE|hosting|100.00
50188|1|1|ripencc|PL|isp|100.00
51066|1|1|ripencc|AT|business|100.00
51090|2|2|ripencc|AM|hosting|100.00
51164|2|2|ripencc|FI|business|100.00
39912|7|5|ripencc|AT|isp|71.43
51188|1|1|ripencc|FI|business|100.00
196960|1|1|ripencc|CH|none|100.00
5588|14|14|ripencc|CZ|isp|100.00
42307|1|1|ripencc|SE|education|100.00
16243|4|4|ripencc|NL|hosting|100.00
47426|1|1|ripencc|GB|hosting|100.00
41599|2|1|ripencc|UA|education|50.00
12509|1|1|ripencc|LV|business|100.00
51861|1|1|ripencc|DE|business|100.00
43081|1|1|ripencc|GR|hosting|100.00
48175|1|1|ripencc|DE|isp|100.00
51839|1|1|ripencc|DE|business|100.00
199071|2|1|ripencc|SI|business|50.00
35044|1|1|ripencc|DE|business|100.00
21286|4|3|ripencc|NL|business|75.00
3320|10|10|ripencc|DE|isp|100.00
198089|3|3|ripencc|NL|isp|100.00
50607|2|1|ripencc|PL|isp|50.00
59524|1|1|ripencc|NL|none|100.00
199215|1|1|ripencc|SE|business|100.00
21406|2|1|ripencc|AT|business|50.00
28878|2|2|ripencc|NL|isp|100.00
61218|1|1|ripencc|PL|hosting|100.00
24711|1|1|ripencc|FR|business|100.00
20712|10|5|ripencc|GB|isp|50.00
13189|3|3|ripencc|SE|isp|100.00
2485|4|2|ripencc|FR|isp|50.00
8613|2|2|ripencc|GB|hosting|100.00
51410|1|1|ripencc|RU|isp|100.00
48361|2|2|ripencc|RU|none|100.00
47692|3|3|ripencc|AT|hosting|100.00
5577|3|3|ripencc|LU|hosting|100.00
29217|2|2|ripencc|SE|business|100.00
44409|1|1|ripencc|GB|hosting|100.00
25166|1|1|ripencc|BG|business|100.00
197521|1|1|ripencc|HR|business|100.00
34019|3|2|ripencc|FR|hosting|66.67
197254|1|1|ripencc|UA|isp|100.00
29632|2|1|ripencc|RU|isp|50.00
31337|1|1|ripencc|SE|business|100.00
24875|2|2|ripencc|NL|hosting|100.00
56881|1|1|ripencc|RU|business|100.00
199852|1|1|ripencc|NO|business|100.00
57692|1|1|ripencc|FI|hosting|100.00
51408|1|1|ripencc|RU|hosting|100.00
51816|1|1|ripencc|SI|business|100.00
42400|1|1|ripencc|NO|none|100.00
20902|2|2|ripencc|DE|isp|100.00
42836|1|1|ripencc|NL|business|100.00
5421|2|1|ripencc|BG|education|50.00
198450|1|1|ripencc|SE|none|100.00
49750|2|2|ripencc|NL|none|100.00
56567|1|1|ripencc|RU|hosting|100.00
51871|1|1|ripencc|DE|business|100.00
39265|1|1|ripencc|CH|business|100.00
25354|1|1|ripencc|ES|hosting|100.00
35096|1|1|ripencc|CZ|business|100.00
51944|2|2|ripencc|PL|isp|100.00
52191|1|1|ripencc|UA|isp|100.00
34964|1|1|ripencc|AT|business|100.00
24708|1|1|ripencc|AT|hosting|100.00
42564|1|1|ripencc|UA|business|100.00
31019|3|2|ripencc|NL|business|66.67
56848|1|1|ripencc|SE|hosting|100.00
47904|1|1|ripencc|SI|hosting|100.00
56953|1|1|ripencc|NL|business|100.00
42204|1|1|ripencc|PL|hosting|100.00
21297|1|1|ripencc|SE|business|100.00
5524|5|5|ripencc|NL|isp|100.00
48151|3|3|ripencc|AT|business|100.00
57146|1|1|ripencc|NL|business|100.00
9023|1|1|ripencc|AT|business|100.00
48894|1|1|ripencc|SI|hosting|100.00
197266|1|1|ripencc|SI|business|100.00
20626|10|7|ripencc|SE|isp|70.00
48091|1|1|ripencc|CZ|business|100.00
198298|1|1|ripencc|SI|business|100.00
198239|1|1|ripencc|FR|isp|100.00
57693|1|1|ripencc|AT|none|100.00
1136|5|1|ripencc|EU|isp|20.00
43382|1|1|ripencc|FI|business|100.00
8426|13|12|ripencc|GB|hosting|92.31
198650|1|1|ripencc|AT|business|100.00
197132|1|1|ripencc|NL|none|100.00
3330|3|3|ripencc|AT|hosting|100.00
29549|1|1|ripencc|TR|business|100.00
15598|4|2|ripencc|DE|hosting|50.00
28874|1|1|ripencc|CH|none|100.00
39489|1|1|ripencc|PL|isp|100.00
198235|1|1|ripencc|PL|isp|100.00
35731|1|1|ripencc|UA|isp|100.00
199982|1|1|ripencc|PL|business|100.00
31424|6|6|ripencc|CH|hosting|100.00
31400|5|5|ripencc|DE|hosting|100.00
9201|11|11|ripencc|SE|business|100.00
60092|6|2|ripencc|BG|hosting|33.33
200986|2|1|ripencc|AT|business|50.00
5511|4|1|ripencc|FR|isp|25.00
137|2|2|ripencc|EU|education|100.00
1213|1|1|ripencc|IE|education|100.00
13285|1|1|ripencc|GB|isp|100.00
51906|3|2|ripencc|DE|hosting|66.67
35701|2|2|ripencc|DE|isp|100.00
24957|1|1|ripencc|NL|none|100.00
