#origin_as|region|country|as_type|use_selective|selective_prefixes|selective_neighbors|selective_proportion|median_intensity
11054|arin|US|hosting|True|24|8|1.00|0.38
11056|arin|US|business|False|0|0|0.00|1.00
11057|arin|US|none|True|6|4|1.00|0.25
11059|arin|US|isp|False|0|0|0.00|1.00
11061|arin|US|isp|True|1|1|0.33|1.00
11062|arin|US|isp|False|0|0|0.00|1.00
11065|arin|US|none|True|4|2|1.00|0.50
11066|arin|US|business|True|11|3|1.00|0.67
11067|arin|US|isp|True|13|1|0.00|1.00
11069|arin|US|isp|True|9|1|1.00|0.50
11070|arin|US|hosting|False|0|0|0.00|1.00
11071|arin|US|isp|False|0|0|0.00|1.00
11072|arin|US|hosting|False|0|0|0.00|1.00
11073|arin|US|business|False|0|0|0.00|1.00
11074|arin|US|hosting|True|1|1|0.54|0.50
11075|arin|US|none|True|1|1|0.33|1.00
11076|arin|US|business|False|0|0|0.00|1.00
11077|arin|CA|business|False|0|0|0.00|1.00
11078|arin|US|education|True|6|2|1.00|0.50
11080|arin|US|isp|False|0|0|0.00|1.00
11081|lacnic|CW|isp|False|0|0|0.00|1.00
11084|arin|CA|isp|False|0|0|0.00|1.00
11085|arin|US|none|False|0|0|0.00|1.00
11086|arin|US|business|True|17|6|1.00|0.17
11088|arin|US|isp|False|0|0|0.00|1.00
11089|arin|US|business|False|0|0|0.00|1.00
11090|arin|US|isp|True|4|1|0.00|1.00
11091|arin|US|business|False|0|0|0.00|1.00
11092|arin|US|none|False|0|0|0.00|1.00
11093|arin|US|none|False|0|0|0.00|1.00
11094|arin|US|none|False|0|0|0.00|1.00
