#origin_as|region|country|as_type|use_selective|selective_prefixes|selective_neighbors|selective_proportion|median_intensity
9789|apnic|MN|hosting|False|0|0|0.00|1.00
9790|apnic|NZ|isp|True|28|3|0.84|0.67
9792|apnic|AU|hosting|False|0|0|0.00|1.00
9794|apnic|ID|hosting|True|40|4|0.94|0.50
9796|apnic|IN|business|True|8|2|0.44|1.00
9797|apnic|AU|none|True|31|2|0.40|1.00
9798|apnic|SG|none|False|0|0|0.00|1.00
9801|apnic|CN|none|False|0|0|0.00|1.00
9802|apnic|CN|business|False|0|0|0.00|1.00
9803|apnic|CN|hosting|True|108|3|0.95|0.67
9805|apnic|CN|business|False|0|0|0.00|1.00
