#asn|region|country|as_type|use_moreSpecific(yes;no)|announced_prefixes|moreSpecific_prefixes|moreSpecific_proportion_usage|announced_prefixes(list)
9498|apnic|IN|isp|yes|14|1|7.14|::/24,2404:a800::/32,2404:a800:b::/48,2404:a800:c::/48,2404:a800:d::/48,2404:a800:e::/48,2404:a800:2001::/48,2404:a800:3000::/48,2404:a800:3100::/48,2600:140f:b::/48,2600:140f:d::/48,2600:140f:e::/48,2600:1417:20::/48,2600:1417:2c::/48
6939|arin|US|isp|yes|13|1|7.69|2001::/32,2001:470::/32,2001:470:1a::/48,2001:470:20::/48,2001:49e8::/32,2400:7a00::/32,2403:ce00:c0da::/48,2600:3c01::/32,2600:7000::/24,2604:6700::/48,2604:a100::/32,2620:0:50c0::/48,2a00:15d0::/32
2500|apnic|JP|hosting|no|1|0|0.00|2001:200::/32
7660|apnic|JP|hosting|yes|5|1|20.00|2001:200:900::/40,2001:200:e000::/35,2001:200:e101::/48,2001:200:e103::/48,2001:200:e104::/48
7530|apnic|JP|hosting|no|2|0|0.00|2001:200:c00::/40,2405:f000::/32
23634|apnic|JP|business|no|1|0|0.00|2001:200:c000::/35
7472|apnic|SG|education|no|1|0|0.00|2001:208::/32
2914|arin|US|isp|no|7|0|0.00|2001:218::/32,2001:418::/32,2001:728::/32,2001:d38::/32,2402:f00::/32,2620:b3::/48,2804:8f8::/32
17832|apnic|KR|none|yes|59|2|3.39|2001:220::/35,2001:2b8::/32,2001:2b8:2::/48,2001:2b8:11::/48,2001:2b8:16::/48,2001:2b8:17::/48,2001:2b8:19::/48,2001:2b8:20::/48,2001:2b8:21::/48,2001:2b8:22::/48,2001:2b8:26::/48,2001:2b8:28::/48,2001:2b8:30::/48,2001:2b8:31::/48,2001:2b8:32::/48,2001:2b8:35::/48,2001:2b8:36::/48,2001:2b8:37::/48,2001:2b8:39::/48,2001:2b8:40::/48,2001:2b8:43::/48,2001:2b8:45::/48,2001:2b8:48::/48,2001:2b8:49::/48,2001:2b8:50::/48,2001:2b8:f2::/48,2001:2b8:200::/48,2001:7fa::/32,2001:ea0::/32,2001:eb8:ffff::/48,2001:ef0:4000::/34,2001:ef0:a000::/35,2001:ef8::/32,2001:44d0::/28,2400:3300::/32,2400:ab00::/32,2401:a000::/32,2401:a000:110::/48,2401:a000:116::/48,2401:a000:22b::/48,2401:a000:22c::/48,2402:1::/36,2402:5800::/32,2402:f400::/32,2403:3e00::/32,2403:6500::/32,2404:2300::/32,2405:3d00:200::/48,2405:3d00:201::/48,2405:3d00:202::/48,2405:3d00:224::/48,2405:3d00:5200::/48,2405:3d00:5201::/48,2405:3d00:5202::/48,2405:3d00:5224::/48,2406:6600::/32,2407:b20::/32,2407:3500::/32,2407:c000::/32
2497|apnic|JP|isp|no|6|0|0.00|2001:240::/32,2001:48b0::/32,2400:3980::/32,2400:6b00::/32,240a:71:8000::/36,240a:71:9000::/36
23910|apnic|CN|education|no|2|0|0.00|2001:250::/32,2001:da8::/32
9406|apnic|CN|none|no|5|0|0.00|2001:250:204::/48,2001:250:e000::/36,2001:250:f000::/36,2001:251::/32,2001:daa::/32
23911|apnic|CN|education|no|3|0|0.00|2001:252::/32,2001:7fa:5::/48,2001:250:c006::/48
24489|apnic|CN|education|yes|2|1|50.00|2001:254::/32,2001:254::/33
24490|apnic|CN|education|no|1|0|0.00|2001:254:8000::/33
18011|apnic|CN|none|no|1|0|0.00|2001:256::/32
2510|apnic|JP|business|no|2|0|0.00|2001:258::/32,2001:df0:467::/48
2518|apnic|JP|isp|yes|3|1|33.33|2001:260::/32,2001:260:802::/48,2400:ac80::/32
2516|apnic|JP|isp|no|7|0|0.00|2001:268::/32,2400:8900::/32,2404:9200::/32,2407:8f00::/32,240b::/26,240b:240::/26,240f::/24
9316|apnic|KR|isp|no|3|0|0.00|2001:270::/32,2001:e78::/32,2001:4430:ffff::/48
4725|apnic|JP|isp|no|2|0|0.00|2001:278::/32,2001:df0:293::/48
1659|apnic|TW|education|no|1|0|0.00|2001:288::/32
9318|apnic|KR|isp|no|2|0|0.00|2001:290::/32,2001:378::/32
23575|apnic|KR|isp|no|1|0|0.00|2001:290:4000::/36
9600|apnic|JP|hosting|no|1|0|0.00|2001:298::/32
7670|apnic|JP|isp|no|1|0|0.00|2001:2a8::/32
1237|apnic|KR|education|yes|36|1|2.78|2001:2b8:90::/48,2001:2b8:94::/48,2001:2b8:9a::/48,2001:2b8:9c::/48,2001:2b8:9d::/48,2001:2b8:a0::/48,2001:2b8:a4::/48,2001:2b8:b0::/48,2001:2b8:b2::/48,2001:2b8:b4::/48,2001:2b8:b6::/48,2001:2b8:b8::/48,2001:2b8:ba::/48,2001:2b8:bc::/48,2001:2b8:be::/48,2001:2b8:c0::/48,2001:2b8:c2::/48,2001:2b8:c4::/48,2001:2b8:c6::/48,2001:2b8:c8::/48,2001:2b8:ca::/48,2001:2b8:cc::/48,2001:2b8:ce::/48,2001:2b8:d0::/48,2001:2b8:d2::/48,2001:2b8:d4::/48,2001:2b8:d6::/48,2001:2b8:dc::/48,2001:2b8:e6::/48,2001:2b8:ed::/48,2001:2b8:ef::/48,2001:2b8:380::/48,2001:320::/32,2001:320:186::/48,2001:320:3107::/48,2001:320:8311::/48
9700|apnic|KR|business|no|2|0|0.00|2001:2b8:a1::/48,2001:dc5::/48
2514|apnic|JP|isp|yes|4|1|25.00|2001:2c0::/32,2001:2c0::/35,2400:3e80::/32,2403:1f00::/32
9644|apnic|KR|isp|yes|6|1|16.67|2001:2d8::/32,2001:2d8::/48,2001:2d8:1::/48,2001:2d8:2::/48,2001:2d8:10::/48,2001:2d8:20::/48
9293|apnic|HK|hosting|yes|2|1|50.00|2001:2e0::/32,2001:2e0::/35
10013|apnic|JP|isp|yes|3|1|33.33|2001:2e8::/32,2001:3e0::/32,2001:3e0:3000::/48
7514|apnic|JP|hosting|no|1|0|0.00|2001:2f0::/32
2907|apnic|JP|education|yes|2|1|50.00|2001:2f8::/32,2001:2f8:1002::/48
7668|apnic|JP|hosting|no|1|0|0.00|2001:308::/32
4694|apnic|JP|hosting|no|4|0|0.00|2001:310::/32,2001:d88::/32,2406:600::/32,2406:a00::/32
7522|apnic|JP|isp|no|1|0|0.00|2001:318::/32
2042|apnic|MY|hosting|no|1|0|0.00|2001:328::/32
6619|apnic|KR|business|no|2|0|0.00|2001:330::/32,2404:180::/28
4675|apnic|JP|hosting|no|1|0|0.00|2001:338::/32
4678|apnic|JP|business|no|1|0|0.00|2001:340::/32
7679|apnic|JP|isp|no|1|0|0.00|2001:348::/32
7671|apnic|JP|hosting|no|1|0|0.00|2001:350::/32
4680|apnic|JP|business|no|1|0|0.00|2001:358::/32
1221|apnic|AU|isp|no|5|0|0.00|2001:360::/32,2001:8000::/20,2406:4600:f000::/40,2600:1415::/48,2600:1415:6::/48
9607|apnic|JP|hosting|no|1|0|0.00|2001:370::/32
4713|apnic|JP|isp|no|4|0|0.00|2001:380::/32,2400:4000::/22,2400:7800::/32,2407:a800:3e10::/44
7575|apnic|AU|education|yes|9|1|11.11|2001:388::/32,2001:388:6030::/48,2001:df0:4c::/48,2001:4418::/32,2400:6980::/32,2402:1800::/32,2402:a700::/32,2402:ec00::/32,2405:ce00::/32
7682|apnic|JP|isp|no|1|0|0.00|2001:398::/32
7521|apnic|JP|hosting|no|1|0|0.00|2001:3a0::/32
9848|apnic|KR|isp|no|1|0|0.00|2001:3a8::/32
17529|apnic|JP|isp|no|1|0|0.00|2001:3b0::/32
2527|apnic|JP|isp|no|2|0|0.00|2001:3b8::/32,240d::/27
7516|apnic|JP|hosting|no|1|0|0.00|2001:3c0::/35
4621|apnic|TH|isp|no|1|0|0.00|2001:3c8::/32
24475|apnic|TH|business|no|1|0|0.00|2001:3c8:1012::/48
9595|apnic|JP|business|no|1|0|0.00|2001:3d8::/32
293|arin|US|business|no|1|0|0.00|2001:400::/32
14793|arin|US|isp|no|1|0|0.00|2001:408::/32
6509|arin|CA|business|no|1|0|0.00|2001:410:101::/48
53904|arin|CA|business|no|1|0|0.00|2001:410:102::/48
271|arin|CA|education|yes|11|1|9.09|2001:410:1000::/40,2607:f8f0::/40,2607:f8f0:200::/48,2607:f8f0:210::/44,2607:f8f0:220::/44,2607:f8f0:250::/44,2607:f8f0:600::/48,2607:f8f0:670::/48,2607:f8f0:690::/48,2607:f8f0:1200::/40,2607:f8f0:1200::/48
10965|arin|CA|business|no|1|0|0.00|2001:410:2000::/40
26677|arin|CA|hosting|no|2|0|0.00|2001:410:8000::/40,2607:fd78::/32
549|arin|CA|hosting|no|1|0|0.00|2001:410:8003::/48
21640|arin|CA|none|no|1|0|0.00|2001:410:9000::/40
25689|arin|CA|business|no|4|0|0.00|2001:410:9000::/42,2001:410:9080::/42,2001:1920::/32,2604:8400::/32
8111|arin|CA|education|no|1|0|0.00|2001:410:a000::/40
7860|arin|CA|education|no|1|0|0.00|2001:410:e000::/40
3130|arin|US|hosting|no|1|0|0.00|2001:418:1::/48
22317|arin|US|hosting|no|2|0|0.00|2001:418:c09::/48,2620:0:c10::/48
12008|arin|US|hosting|no|71|0|0.00|2001:418:1405::/48,2001:418:1407::/48,2001:418:1408::/48,2001:418:1409::/48,2001:418:1c02::/48,2001:418:2402::/48,2001:418:3803::/48,2001:418:8002::/48,2001:418:8402::/48,2001:500:3682::/48,2001:502:100e::/48,2001:502:2eda::/48,2001:502:4612::/48,2001:502:ad09::/48,2001:502:d399::/48,2001:502:f3ff::/48,2001:503:e239::/48,2001:728:1c04::/48,2610:a1:1001::/48,2610:a1:1002::/48,2610:a1:1003::/48,2610:a1:1004::/48,2610:a1:1007::/48,2610:a1:1008::/48,2610:a1:1009::/48,2610:a1:1010::/48,2610:a1:1011::/48,2610:a1:1012::/48,2610:a1:1013::/48,2610:a1:1014::/48,2610:a1:1015::/48,2610:a1:1016::/48,2610:a1:1017::/48,2610:a1:1019::/48,2610:a1:1021::/48,2610:a1:1030::/48,2610:a1:1031::/48,2610:a1:1032::/48,2610:a1:1033::/48,2610:a1:1034::/48,2610:a1:1035::/48,2610:a1:1036::/48,2610:a1:1037::/48,2610:a1:1038::/48,2610:a1:1039::/48,2610:a1:1040::/48,2610:a1:1041::/48,2610:a1:1042::/48,2610:a1:1043::/48,2610:a1:1044::/48,2610:a1:1045::/48,2610:a1:1046::/48,2610:a1:1047::/48,2610:a1:1048::/48,2610:a1:1049::/48,2610:a1:1051::/48,2610:a1:1056::/48,2610:a1:1058::/48,2610:a1:1059::/48,2610:a1:1071::/48,2610:a1:1072::/48,2610:a1:1073::/48,2610:a1:1074::/48,2610:a1:1075::/48,2610:a1:1076::/48,2610:a1:1079::/48,2610:a1:1080::/48,2620:1d0:5a::/48,2620:1d0:5b::/48,2620:1d0:5c::/48,2620:1d0:5d::/48
35994|arin|US|hosting|yes|89|1|1.12|2001:418:2003::/48,2001:418:5403::/48,2001:418:5c03::/48,2001:418:8007::/48,2001:418:8409::/48,2001:418:9803::/48,2001:428:2002::/48,2001:428:4403::/48,2001:428:4c03::/48,2001:428:7006::/48,2001:428:7008::/48,2001:590:1001::/48,2001:590:1003::/48,2001:590:1801::/48,2001:590:2001::/48,2001:590:2004::/48,2001:4878:3::/48,2001:4878:4003::/48,2600:1400::/27,2600:1402:2::/48,2600:1402:7::/48,2600:1402:8::/48,2600:1402:9::/48,2600:1402:b::/48,2600:1402:10::/48,2600:1402:11::/48,2600:1402:12::/48,2600:1403:5::/48,2600:1403:7::/48,2600:1403:c::/48,2600:1403:d::/48,2600:1403:f::/48,2600:1404:4::/48,2600:1404:6::/48,2600:1404:10::/48,2600:1404:11::/48,2600:1404:19::/48,2600:1404:1a::/48,2600:1404:1c::/48,2600:1406:6::/48,2600:1406:7::/48,2600:1406:9::/48,2600:1406:a::/48,2600:1406:b::/48,2600:1406:d::/48,2600:1406:10::/48,2600:1406:1d::/48,2600:1406:23::/48,2600:1406:24::/48,2600:1406:26::/48,2600:1406:29::/48,2600:1406:2d::/48,2600:1406:2e::/48,2600:1407:3::/48,2600:1407:b::/48,2600:1407:c::/48,2600:1407:d::/48,2600:1407:e::/48,2600:1407:12::/48,2600:1407:13::/48,2600:1407:14::/48,2600:1407:17::/48,2600:1407:18::/48,2600:1408:4::/48,2600:1408:5::/48,2600:1408:6::/48,2600:1408:8::/48,2600:1408:d::/48,2600:1408:14::/48,2600:1408:15::/48,2600:1409:5::/48,2600:1409:6::/48,2600:1409:7::/48,2600:1409:b::/48,2600:1409:c::/48,2600:1409:e::/48,2600:1409:f::/48,2600:1409:10::/48,2600:1409:11::/48,2600:140a:5::/48,2600:141b::/48,2600:141b:6::/48,2600:141b:7::/48,2600:141b:8::/48,2600:141b:9::/48,2600:141b:a::/48,2600:141b:b::/48,2600:141b:d::/48,2600:141b:e::/48
4128|arin|US|hosting|no|1|0|0.00|2001:418:3807::/48
7019|arin|US|business|no|1|0|0.00|2001:418:8004::/48
3927|arin|US|hosting|no|1|0|0.00|2001:418:8006::/48
27435|arin|US|hosting|no|14|0|0.00|2001:418:9807::/48,2402:9900::/48,2607:f480::/48,2607:f480:1::/48,2607:f480:2::/48,2607:f480:3::/48,2607:f480:4::/48,2607:f480:5::/48,2607:f480:8::/48,2607:f480:9::/48,2607:f480:f001::/48,2610:18:1::/48,2610:18:e80::/48,2c0f:fc00:b004::/48
109|arin|US|business|yes|28|3|10.71|2001:420::/32,2001:420:14a::/48,2001:420:2ca::/48,2001:420:30a::/48,2001:420:780::/48,2001:420:1000::/40,2001:420:1100::/41,2001:420:1180::/41,2001:420:1200::/41,2001:420:2000::/35,2001:420:4000::/34,2001:420:4000::/36,2001:420:4c80::/48,2001:420:5000::/39,2001:420:5200::/39,2001:420:5400::/39,2001:420:5600::/39,2001:420:5800::/39,2001:420:5a00::/39,2001:420:5c00::/39,2001:420:5e00::/39,2001:420:c0c0::/46,2001:420:c0c4::/46,2001:420:c0d0::/46,2001:420:c0d4::/46,2001:420:c0d8::/46,2001:420:c0dc::/46,2001:420:c0e0::/46
209|arin|US|isp|no|10|0|0.00|2001:428::/32,2602::/24,2606:5000::/32,2610:20:1000::/40,2620:5:8000::/48,2620:8f:8000::/48,2620:d9:8000::/48,2620:103::/48,2620:107:9033::/48,2620:17a:4::/48
13683|arin|US|business|no|1|0|0.00|2001:428:902::/48
7359|arin|US|isp|no|1|0|0.00|2001:428:b20::/48
4015|arin|US|isp|no|1|0|0.00|2001:428:b21::/48
13626|arin|US|business|yes|3|1|33.33|2001:428:1805::/48,2620:1fa::/32,2620:1fa:2000::/36
2714|arin|US|none|no|2|0|0.00|2001:428:2501::/48,2620:0:150::/48
32571|arin|US|none|no|1|0|0.00|2001:428:4004::/48
7332|arin|US|hosting|no|1|0|0.00|2001:430::/32
6461|arin|US|hosting|yes|138|3|2.17|2001:438::/32,2001:438:3::/48,2001:438:6::/48,2001:438:7::/48,2001:438:9::/48,2001:438:a::/48,2001:438:13::/48,2001:438:16::/48,2001:438:18::/48,2001:438:19::/48,2001:438:1a::/48,2001:438:1c::/48,2001:438:1d::/48,2001:438:1e::/48,2001:438:22::/48,2001:438:24::/48,2001:438:2b::/48,2001:1b70:4280::/48,2001:1b70:4294::/48,2001:49f0:1000::/48,2001:49f0:1001::/48,2001:49f0:1002::/48,2001:49f0:1003::/48,2001:49f0:1004::/48,2001:49f0:1005::/48,2001:49f0:1006::/48,2001:49f0:1007::/48,2001:49f0:1008::/48,2001:49f0:1009::/48,2001:49f0:100a::/48,2001:49f0:100b::/48,2001:49f0:100c::/48,2001:49f0:100e::/48,2001:49f0:100f::/48,2001:49f0:1011::/48,2001:49f0:1012::/48,2001:49f0:1013::/48,2001:49f0:1014::/48,2001:49f0:1015::/48,2001:49f0:1016::/48,2001:49f0:1017::/48,2001:49f0:1018::/48,2001:49f0:1019::/48,2001:49f0:101a::/48,2001:49f0:101b::/48,2001:49f0:101c::/48,2001:49f0:101d::/48,2001:49f0:101e::/48,2001:49f0:101f::/48,2001:49f0:1020::/48,2001:49f0:1021::/48,2001:49f0:1022::/48,2001:49f0:1023::/48,2001:49f0:1024::/48,2001:49f0:1025::/48,2001:49f0:2025::/48,2001:49f0:2026::/48,2001:49f0:2920::/48,2001:49f0:4000::/48,2001:49f0:6001::/48,2001:49f0:6002::/48,2001:49f0:6003::/48,2001:49f0:6004::/48,2001:49f0:6005::/48,2001:49f0:7000::/48,2001:49f0:a000::/36,2001:49f0:a004::/48,2001:49f0:a005::/48,2001:49f0:a006::/48,2001:49f0:a008::/48,2001:49f0:a009::/48,2001:49f0:a00a::/48,2001:49f0:a00c::/48,2001:49f0:a00f::/48,2001:49f0:a010::/48,2001:49f0:a014::/48,2001:49f0:a019::/48,2001:49f0:a01b::/48,2001:49f0:a01e::/48,2001:49f0:a020::/48,2001:49f0:a021::/48,2001:49f0:a025::/48,2001:49f0:a026::/48,2001:49f0:a028::/48,2001:49f0:a029::/48,2001:49f0:a02a::/48,2001:49f0:a02b::/48,2001:49f0:a02c::/48,2001:49f0:a02d::/48,2001:49f0:a02e::/48,2001:49f0:a02f::/48,2001:49f0:a031::/48,2001:49f0:a033::/48,2001:49f0:a034::/48,2001:49f0:a035::/48,2001:49f0:a036::/48,2001:49f0:a039::/48,2001:49f0:a03b::/48,2001:49f0:a03c::/48,2001:49f0:a040::/48,2001:49f0:a041::/48,2001:49f0:a042::/48,2001:49f0:a043::/48,2001:49f0:a044::/48,2001:49f0:a045::/48,2001:49f0:a047::/48,2001:49f0:a048::/48,2001:49f0:a04a::/48,2001:49f0:a04c::/48,2001:49f0:a04d::/48,2001:49f0:a04f::/48,2001:49f0:a053::/48,2001:49f0:a055::/48,2001:49f0:a056::/48,2001:49f0:a059::/48,2001:49f0:a05d::/48,2001:49f0:a064::/48,2001:49f0:a065::/48,2001:49f0:a066::/48,2001:49f0:a067::/48,2001:49f0:a068::/48,2001:49f0:a069::/48,2001:49f0:a06b::/48,2001:49f0:a070::/48,2001:49f0:d000::/48,2001:49f0:d001::/48,2001:49f0:d002::/48,2001:49f0:d003::/48,2001:49f0:d005::/48,2001:49f0:d008::/48,2001:49f0:d00a::/48,2001:49f0:d00d::/48,2607:c200:1106::/48,2620:bc:8000::/48,2803:a800::/32,2a00:16f8::/32,2a00:16f8:5::/48,2a00:f300:1::/48
36213|arin|US|business|no|2|0|0.00|2001:438:e::/48,2001:438:f::/48
53857|arin|US|none|no|1|0|0.00|2001:438:11::/48
6129|arin|US|business|no|2|0|0.00|2001:438:1f::/48,2001:438:20::/48
22556|arin|US|hosting|no|1|0|0.00|2001:438:29::/48
1654|ripencc|EU|none|no|1|0|0.00|2001:440:1800::/48
1879|ripencc|SE|none|no|1|0|0.00|2001:440:1879::/48
1880|ripencc|SE|hosting|no|1|0|0.00|2001:440:1880::/48
278|lacnic|MX|education|yes|10|1|10.00|2001:448::/32,2001:1218::/32,2001:1218::/48,2001:1218:101::/48,2001:1218:102::/48,2001:1218:104::/48,2001:1218:201::/48,2001:1218:e002::/48,2001:1218:e016::/48,2001:1218:e017::/48
3549|arin|US|isp|yes|27|4|14.81|2001:450::/32,2001:450:1c::/48,2001:450:1d::/48,2001:450:1e::/48,2001:450:2060::/48,2001:13b0::/32,2001:13b0::/34,2001:13b0:4000::/34,2001:13b0:8000::/34,2001:13b0:c000::/34,2001:13b0:c000::/48,2001:13b1::/34,2001:13b1:4000::/34,2001:13f8:7090::/44,2001:13f8:70d0::/44,2001:13f8:7120::/44,2001:13f8:7180::/44,2001:1900:2340::/44,2001:1900:2360::/44,2620:101:80fb::/48,2801:0:2e0::/48,2801:0:3c0::/48,2801:1e:4007::/48,2801:190::/40,2801:190:100::/40,2804:4c0::/32,2001:1900:2340::/48
3356|arin|US|isp|yes|65|2|3.08|2001:450:2015::/48,2001:1900::/32,2001:1900:201e::/48,2001:1900:2026::/48,2001:1900:2104::/48,2001:1900:2209::/48,2001:1900:220e::/48,2001:1900:2212::/48,2001:1900:2214::/48,2001:1900:221b::/48,2001:1900:221d::/48,2001:1900:2220::/48,2001:1900:2229::/48,2001:1900:222b::/48,2001:1900:222d::/48,2001:1900:222e::/48,2001:1900:2230::/48,2001:1900:2234::/48,2001:1900:2236::/48,2001:1900:223e::/48,2001:1900:2245::/48,2001:1900:2248::/48,2001:1900:224b::/48,2001:1900:224d::/48,2001:1900:2250::/48,2001:1900:2251::/48,2001:1900:2252::/48,2001:1900:2257::/48,2001:1900:2258::/48,2001:1900:225d::/48,2001:1900:2260::/48,2001:1900:2267::/48,2001:1900:226a::/48,2001:1900:2271::/48,2001:1900:2273::/48,2001:1900:2275::/48,2001:1900:2277::/48,2001:1900:2279::/48,2001:1900:227d::/48,2001:1900:2280::/48,2001:1900:2281::/48,2001:1900:2287::/48,2001:1900:228a::/48,2001:1900:228b::/48,2001:1900:228c::/48,2001:1900:2296::/48,2001:1900:2297::/48,2001:1900:229a::/48,2001:1900:3006::/48,2001:1900:3007::/48,2001:1900:3010::/48,2001:1900:3017::/48,2001:4c08::/32,2001:4c08:2002::/48,2001:4c08:2004::/48,2001:4c08:2005::/48,2001:4c08:2006::/48,2001:4c08:2007::/48,2001:4c08:2008::/48,2001:4c08:200d::/48,2605:4b80::/32,2606:b400:87ff::/48,2607:fc60::/32,2620:d2:8000::/48,2a01:8640:5::/48
13876|arin|US|isp|no|4|0|0.00|2001:450:202b::/48,2001:450:202c::/48,2001:450:2033::/48,2001:450:203a::/48
27510|arin|US|business|no|1|0|0.00|2001:450:203d::/48
14037|arin|US|none|yes|3|1|33.33|2001:450:2049::/48,2610:88::/32,2610:88:2::/48
13813|arin|US|hosting|no|2|0|0.00|2001:450:204b::/48,2620:108::/48
10489|arin|US|hosting|no|1|0|0.00|2001:450:2057::/48
8002|arin|US|isp|no|1|0|0.00|2001:458::/32
3561|arin|US|isp|yes|7|1|14.29|2001:460::/32,2001:460:80::/46,2001:460:100::/46,2001:460:18::/46,2001:460:38::/46,2001:460:58::/46,2001:460:70::/46
11537|arin|US|education|yes|4|1|25.00|2001:468::/32,2001:468:c07::/48,2001:468:ff00::/40,2001:468:ef01::/48
11317|arin|US|business|no|1|0|0.00|2001:468:1fe::/48
2637|arin|US|education|no|2|0|0.00|2001:468:300::/48,2610:148::/32
19782|arin|US|education|yes|3|1|33.33|2001:468:400::/40,2001:18e8::/32,2001:18e8:ffff::/48
14041|arin|US|education|no|1|0|0.00|2001:468:500::/40
10578|arin|US|education|no|2|0|0.00|2001:468:600::/40,2001:504:2e::/48
14325|arin|US|isp|no|4|0|0.00|2001:468:60a::/48,2604:a700::/32,2607:d00::/32,2620:0:650::/48
3681|arin|US|education|no|1|0|0.00|2001:468:701::/48
3754|arin|US|education|no|2|0|0.00|2001:468:900::/40,2620:f::/48
5078|arin|US|education|no|2|0|0.00|2001:468:a00::/40,2610:1d8::/32
10886|arin|US|education|yes|4|2|50.00|2001:468:c00::/40,2001:468:c00::/41,2001:468:c0e::/48,2001:468:c14::/48
27|arin|US|education|no|4|0|0.00|2001:468:c01::/48,2001:500:2d::/48,2605:880::/32,2620:50::/44
102|arin|US|government|no|2|0|0.00|2001:468:c13::/48,2620:10f:6000::/40
40220|arin|US|education|yes|4|2|50.00|2001:468:c80::/41,2001:468:cfe::/48,2607:b400::/32,2607:b400::/36
1312|arin|US|education|no|3|0|0.00|2001:468:c80::/48,2001:468:ce0::/44,2607:b400::/40
3140|arin|US|education|no|1|0|0.00|2001:468:cc0::/48
3582|arin|US|education|no|2|0|0.00|2001:468:d01::/48,2607:8400::/32
2153|arin|US|isp|no|1|0|0.00|2001:468:e00::/40
20130|arin|US|education|no|2|0|0.00|2001:468:1202::/48,2620:0:2250::/48
81|arin|US|education|no|2|0|0.00|2001:468:1500::/40,2610:28::/32
10466|arin|US|business|no|1|0|0.00|2001:468:1800::/40
55|arin|US|education|no|2|0|0.00|2001:468:1802::/48,2607:f470::/32
57|arin|US|education|no|2|0|0.00|2001:468:1900::/40,2607:ea00::/32
4557|arin|US|education|no|2|0|0.00|2001:468:1a00::/40,2620:82::/48
302|arin|US|education|no|2|0|0.00|2001:468:1a08::/48,2620:0:5070::/48
14048|arin|US|education|no|1|0|0.00|2001:468:1b00::/40
11164|arin|US|education|no|4|0|0.00|2001:468:1f0c::/48,2001:468:f000::/48,2001:468:f0ff::/48,2001:1860:110::/48
3676|arin|US|education|no|3|0|0.00|2001:468:2101::/48,2610:130:200::/40,2620:0:e50::/48
3807|arin|US|education|no|2|0|0.00|2001:468:2200::/40,2620:104:8000::/40
8158|arin|US|government|no|1|0|0.00|2001:470:9::/48
1406|arin|US|hosting|no|2|0|0.00|2001:470:e::/48,2001:470:43::/48
3633|arin|CA|business|no|1|0|0.00|2001:470:29::/48
262144|lacnic|PA|none|no|1|0|0.00|2001:470:2f::/48
2033|arin|US|hosting|no|2|0|0.00|2001:470:30::/48,2001:550:e00::/48
53363|arin|CA|hosting|no|1|0|0.00|2001:470:31::/48
19969|arin|US|hosting|no|2|0|0.00|2001:470:32::/48,2604:5800::/32
14613|arin|US|none|no|2|0|0.00|2001:470:33::/48,2605:4d00::/32
13390|arin|US|none|no|1|0|0.00|2001:470:37::/48
6379|arin|US|hosting|no|1|0|0.00|2001:470:4a::/48
36791|arin|US|hosting|no|1|0|0.00|2001:470:50::/48
1645|arin|CA|hosting|no|2|0|0.00|2001:470:51::/48,2620:36:c000::/48
59460|ripencc|PL|isp|no|1|0|0.00|2001:470:53::/48
13746|arin|US|business|no|1|0|0.00|2001:470:5a::/48
33589|arin|US|government|no|1|0|0.00|2001:470:5d::/48
198362|ripencc|GB|hosting|no|2|0|0.00|2001:470:5f::/48,2a00:5540:5014::/48
50763|ripencc|GB|hosting|no|3|0|0.00|2001:470:60::/48,2a00:5540::/32,2001:ba8:1c8::/48
46600|arin|US|hosting|no|1|0|0.00|2001:470:6a::/48
54524|arin|US|none|no|1|0|0.00|2001:470:76::/48
10271|arin|US|hosting|no|1|0|0.00|2001:470:77::/48
54537|arin|US|business|no|1|0|0.00|2001:470:7a::/48
29512|ripencc|PL|isp|no|2|0|0.00|2001:470:80::/48,2a00:fbc0::/32
53597|arin|US|isp|no|1|0|0.00|2001:470:85::/48
17017|arin|US|hosting|no|1|0|0.00|2001:470:87::/48
36225|arin|CA|hosting|no|2|0|0.00|2001:470:90::/48,2620:112:9000::/44
32621|arin|US|hosting|no|1|0|0.00|2001:470:91::/48
7735|arin|US|none|no|1|0|0.00|2001:470:9a::/48
22552|arin|US|hosting|no|2|0|0.00|2001:470:9b::/48,2604:4480::/32
54972|arin|US|none|no|2|0|0.00|2001:470:9c::/48,2604:8780::/32
41847|ripencc|GB|hosting|no|1|0|0.00|2001:470:9d::/48
55079|arin|US|isp|no|6|0|0.00|2001:470:a5::/48,2604:a680:1::/48,2604:a680:2::/48,2604:ab80:1::/48,2604:ab80:2::/48,2604:ab80:4::/48
27192|arin|US|isp|no|1|0|0.00|2001:470:ac::/48
62626|arin|US|none|no|1|0|0.00|2001:470:ba::/48
16621|arin|US|none|no|2|0|0.00|2001:470:bd::/48,2602:ffb9::/36
15096|arin|US|hosting|no|1|0|0.00|2001:470:113::/48
45633|apnic|NZ|isp|no|2|0|0.00|2001:470:a080::/48,2001:4410:2005::/48
4555|arin|US|none|no|2|0|0.00|2001:478::/45,2001:478:65::/48
9304|apnic|HK|isp|yes|6|1|16.67|2001:478:124::/48,2403:4a00::/32,2403:5000::/32,2403:5000:171::/48,2403:5000:ffff::/48,2a00:8420::/32
