as_type|date|from1to24|from25to49|from50to74|from75to100
education|20201115|2|8|43|67
education|20201215|2|10|43|71
education|20210115|2|10|42|76
education|20210215|2|10|44|75
education|20210315|2|10|44|73
education|20210415|3|12|42|72
education|20210515|3|11|44|75
education|20210615|3|12|46|80
education|20210715|3|10|47|77
education|20210815|4|11|46|76
education|20210915|3|11|44|80
education|20211015|3|9|44|79
education|20211115|3|9|42|80
education|20211215|3|9|44|81
education|20220115|3|8|45|84
education|20220215|3|6|42|89
education|20220315|5|6|52|85
education|20220415|5|6|49|85
education|20220515|3|9|48|89
education|20220615|3|8|48|93
education|20220715|3|9|44|97
education|20220815|4|9|42|98
education|20220915|2|11|41|93
education|20221015|3|11|47|90
education|20221115|3|9|47|94
education|20221215|2|8|51|92
education|20230115|2|7|46|91
education|20230215|2|8|51|89
education|20230315|2|10|43|89
education|20230415|3|9|51|97
education|20230515|5|10|51|95
education|20230615|5|12|48|101
education|20230715|5|12|49|97
education|20230815|2|14|43|101
education|20230915|2|15|41|105
education|20231015|3|13|41|101
education|20231115|2|13|40|107
education|20231215|3|17|38|102
education|20240115|1|16|39|100
education|20240215|5|14|41|98
education|20240315|4|14|40|101
education|20240415|4|15|40|100
education|20240515|5|12|39|103
education|20240615|5|14|37|101
government|20140615|1|3|2|11
government|20140715|1|3|5|11
government|20140815|1|2|4|11
government|20140915|1|2|5|11
government|20141015|0|1|5|12
government|20141115|1|1|3|12
government|20141215|1|1|5|13
government|20150115|2|1|4|12
government|20150215|2|2|5|12
government|20150315|0|2|5|11
government|20150415|1|1|2|13
government|20150515|1|1|2|14
government|20150615|1|1|3|16
government|20150715|1|1|3|16
government|20150815|1|1|6|16
government|20150915|1|1|4|15
government|20151015|1|1|3|18
government|20151115|2|1|4|16
government|20151215|1|1|5|16
government|20160115|1|1|4|16
government|20160215|1|2|5|17
government|20160315|1|1|5|19
government|20160415|1|1|6|20
government|20160515|1|1|4|20
government|20160615|1|2|5|20
government|20160715|1|1|6|21
government|20160815|1|1|5|20
government|20160915|1|1|4|20
government|20161015|1|1|6|19
government|20161115|1|1|7|20
government|20161215|1|1|7|19
government|20170115|1|1|7|19
government|20170215|1|2|8|20
government|20170315|1|2|7|24
government|20170415|0|2|5|24
government|20170515|0|2|6|25
government|20170615|1|2|8|25
government|20170715|0|2|8|23
government|20170815|0|2|7|23
government|20170915|0|3|7|22
government|20171015|0|2|6|23
government|20171115|0|3|9|24
government|20171215|0|3|6|25
government|20180115|0|3|8|25
government|20180215|0|3|5|27
government|20180315|0|3|7|27
government|20180415|0|4|5|26
government|20180515|0|2|6|29
government|20180615|1|2|7|27
government|20180715|1|3|6|28
government|20180815|1|2|7|28
government|20180915|1|1|6|27
government|20181015|0|1|5|29
government|20181115|1|1|7|28
government|20181215|1|1|6|31
government|20190115|1|1|6|30
government|20190215|1|1|7|30
government|20190315|1|1|7|30
government|20190415|1|1|8|30
government|20190515|2|1|8|30
government|20190615|1|1|9|30
government|20190715|1|1|9|32
government|20190815|1|1|9|33
government|20190915|1|1|9|33
government|20191015|1|1|12|31
government|20191115|2|1|12|33
government|20191215|3|1|13|32
government|20200115|3|1|12|35
government|20200215|3|2|14|34
government|20200315|4|2|13|34
government|20200415|2|2|12|29
government|20200515|2|2|10|30
government|20200615|2|1|10|29
government|20200715|1|2|9|30
government|20200815|2|1|11|31
government|20200915|2|1|12|30
government|20201015|1|2|11|31
government|20201115|1|2|12|32
government|20201215|1|2|12|29
government|20210115|1|3|11|29
government|20210215|1|4|9|31
government|20210315|1|4|9|30
government|20210415|1|3|10|33
government|20210515|1|2|10|35
government|20210615|1|3|10|36
government|20210715|1|2|10|36
government|20210815|1|2|9|37
government|20210915|1|5|11|36
government|20211015|2|4|11|37
government|20211115|2|4|10|38
government|20211215|2|5|8|39
government|20220115|2|5|6|38
government|20220215|2|5|7|38
government|20220315|1|4|9|38
government|20220415|3|6|8|37
government|20220515|3|7|8|39
government|20220615|3|4|10|40
government|20220715|3|5|9|39
government|20220815|3|5|9|40
government|20220915|3|6|8|38
government|20221015|2|5|8|40
government|20221115|3|5|5|42
government|20221215|3|6|6|40
government|20230115|2|6|7|40
government|20230215|3|6|6|43
government|20230315|3|6|7|43
government|20230415|4|5|7|41
government|20230515|3|5|9|39
government|20230615|3|4|9|40
government|20230715|3|4|8|41
government|20230815|3|4|9|40
government|20230915|3|5|7|42
government|20231015|3|5|6|42
government|20231115|3|5|8|42
government|20231215|3|5|8|45
government|20240115|3|4|8|43
government|20240215|2|4|5|42
government|20240315|2|4|8|41
government|20240415|3|3|10|41
government|20240515|4|4|9|41
government|20240615|4|4|8|41
hosting|20140615|12|29|118|254
hosting|20140715|12|32|121|265
hosting|20140815|11|33|128|267
hosting|20140915|12|41|129|274
hosting|20141015|10|33|131|278
hosting|20141115|8|36|131|289
hosting|20141215|11|34|124|297
hosting|20150115|10|34|126|300
hosting|20150215|12|32|127|308
hosting|20150315|13|32|122|312
hosting|20150415|13|33|126|311
hosting|20150515|13|36|135|316
hosting|20150615|13|44|137|322
hosting|20150715|16|43|138|341
hosting|20150815|12|43|150|332
hosting|20150915|16|48|138|336
hosting|20151015|19|52|144|344
hosting|20151115|23|54|150|348
hosting|20151215|22|53|146|363
hosting|20160115|24|59|142|368
hosting|20160215|24|53|153|391
hosting|20160315|22|53|153|389
hosting|20160415|21|54|161|383
hosting|20160515|23|55|165|396
hosting|20160615|19|50|164|419
hosting|20160715|15|57|158|414
hosting|20160815|19|47|172|426
hosting|20160915|22|52|183|434
hosting|20161015|17|57|187|457
hosting|20161115|20|53|197|459
hosting|20161215|20|54|194|478
hosting|20170115|23|51|194|469
hosting|20170215|22|50|189|490
hosting|20170315|24|43|194|492
hosting|20170415|25|49|178|504
hosting|20170515|25|53|175|503
hosting|20170615|30|51|186|510
hosting|20170715|29|59|188|519
hosting|20170815|29|68|175|518
hosting|20170915|24|69|177|542
hosting|20171015|24|69|179|539
hosting|20171115|23|84|183|565
hosting|20171215|28|80|188|550
hosting|20180115|29|78|186|557
hosting|20180215|29|75|198|565
hosting|20180315|25|78|190|583
hosting|20180415|28|78|210|583
hosting|20180515|31|77|213|603
hosting|20180615|23|85|211|613
hosting|20180715|27|85|220|651
hosting|20180815|25|75|238|631
hosting|20180915|27|78|232|641
hosting|20181015|22|85|220|654
hosting|20181115|26|86|229|647
hosting|20181215|24|78|232|684
hosting|20190115|24|82|227|687
hosting|20190215|26|74|229|705
hosting|20190315|24|77|233|720
hosting|20190415|21|78|249|726
hosting|20190515|22|72|259|741
hosting|20190615|26|87|259|746
hosting|20190715|23|80|246|774
hosting|20190815|25|73|244|774
hosting|20190915|25|71|259|780
hosting|20191015|24|63|261|813
hosting|20191115|34|61|255|834
hosting|20191215|31|71|263|840
hosting|20200115|28|64|274|859
hosting|20200215|31|66|268|854
hosting|20200315|35|65|271|869
hosting|20200415|35|69|275|855
hosting|20200515|36|84|243|897
hosting|20200615|31|83|257|894
hosting|20200715|34|83|272|896
hosting|20200815|34|87|273|892
hosting|20200915|27|81|279|942
hosting|20201015|26|93|258|957
hosting|20201115|26|82|278|969
hosting|20201215|25|95|275|977
hosting|20210115|30|98|282|975
hosting|20210215|30|100|285|994
hosting|20210315|32|111|287|1006
hosting|20210415|34|105|284|1026
hosting|20210515|34|96|296|1039
hosting|20210615|35|97|298|1075
hosting|20210715|32|88|283|1079
hosting|20210815|34|92|296|1078
hosting|20210915|30|99|312|1088
hosting|20211015|33|114|299|1079
hosting|20211115|34|104|284|1100
hosting|20211215|40|98|281|1116
hosting|20220115|40|103|302|1123
hosting|20220215|43|114|307|1149
hosting|20220315|46|116|319|1136
hosting|20220415|41|119|315|1134
hosting|20220515|43|114|321|1135
hosting|20220615|39|131|326|1153
hosting|20220715|36|119|349|1177
hosting|20220815|37|121|338|1192
hosting|20220915|38|122|339|1190
hosting|20221015|36|115|336|1199
hosting|20221115|37|122|339|1202
hosting|20221215|35|122|340|1205
hosting|20230115|46|126|334|1200
hosting|20230215|43|118|337|1235
hosting|20230315|44|119|347|1272
hosting|20230415|42|124|331|1276
hosting|20230515|36|129|335|1280
hosting|20230615|33|127|344|1263
hosting|20230715|38|136|329|1247
hosting|20230815|37|130|322|1306
hosting|20230915|45|125|328|1347
hosting|20231015|44|132|326|1350
hosting|20231115|39|128|316|1350
hosting|20231215|45|132|319|1351
hosting|20240115|42|127|314|1387
hosting|20240215|48|124|325|1411
hosting|20240315|53|135|338|1406
hosting|20240415|52|147|348|1401
hosting|20240515|52|141|322|1464
hosting|20240615|41|145|341|1460
internet|20140615|29|79|331|656
internet|20140715|32|81|335|669
internet|20140815|33|82|350|675
internet|20140915|32|91|370|681
internet|20141015|35|86|380|696
internet|20141115|35|92|374|718
internet|20141215|37|92|364|741
internet|20150115|35|93|375|751
internet|20150215|32|89|379|758
internet|20150315|34|94|366|771
internet|20150415|37|94|366|771
internet|20150515|34|95|379|784
internet|20150615|44|108|398|799
internet|20150715|48|111|396|839
internet|20150815|39|113|413|832
internet|20150915|53|121|405|834
internet|20151015|58|123|416|853
internet|20151115|60|124|432|865
internet|20151215|54|132|414|895
internet|20160115|55|142|411|915
internet|20160215|63|131|437|971
internet|20160315|56|124|439|1001
internet|20160415|59|132|450|1013
internet|20160515|60|130|469|1026
internet|20160615|58|137|452|1079
internet|20160715|54|135|451|1075
internet|20160815|54|113|479|1096
internet|20160915|69|119|495|1098
internet|20161015|59|136|518|1145
internet|20161115|51|143|524|1186
internet|20161215|59|135|511|1229
internet|20170115|59|131|514|1213
internet|20170215|68|137|510|1235
internet|20170315|64|135|540|1255
internet|20170415|66|148|526|1273
internet|20170515|65|154|536|1284
internet|20170615|72|148|556|1329
internet|20170715|67|160|547|1376
internet|20170815|69|170|529|1385
internet|20170915|65|171|506|1441
internet|20171015|64|172|519|1437
internet|20171115|65|195|559|1524
internet|20171215|75|200|582|1494
internet|20180115|76|201|574|1526
internet|20180215|75|205|587|1556
internet|20180315|74|197|617|1596
internet|20180415|77|210|622|1630
internet|20180515|80|201|655|1635
internet|20180615|80|197|653|1672
internet|20180715|85|212|678|1757
internet|20180815|79|190|668|1752
internet|20180915|81|190|679|1747
internet|20181015|68|192|686|1804
internet|20181115|72|197|693|1813
internet|20181215|69|198|701|1923
internet|20190115|70|204|706|1934
internet|20190215|75|195|710|1967
internet|20190315|70|193|761|1990
internet|20190415|68|193|781|1987
internet|20190515|70|188|826|2012
internet|20190615|73|219|817|2053
internet|20190715|75|222|804|2096
internet|20190815|85|216|816|2135
internet|20190915|79|202|847|2192
internet|20191015|78|197|829|2291
internet|20191115|84|201|818|2359
internet|20191215|86|221|850|2352
internet|20200115|82|209|860|2421
internet|20200215|90|215|836|2443
internet|20200315|92|200|862|2523
