#region|date|total_ases|use_selective
apnic|20150515|1362|192
apnic|20150615|1361|192
apnic|20150715|1382|207
apnic|20150815|1385|201
apnic|20150915|1403|212
apnic|20151015|1421|228
apnic|20151115|1445|235
apnic|20151215|1460|231
apnic|20160115|1467|238
apnic|20160215|1486|241
apnic|20160315|1523|249
apnic|20160415|1534|260
apnic|20160515|1539|255
apnic|20160615|1557|266
apnic|20160715|1570|268
apnic|20160815|1582|272
apnic|20160915|1636|288
apnic|20161015|1664|296
apnic|20161115|1675|290
apnic|20161215|1715|300
apnic|20170115|1708|286
apnic|20170215|1734|288
apnic|20170315|1748|290
apnic|20170415|1754|290
apnic|20170515|1785|291
apnic|20170615|1825|299
apnic|20170715|1829|319
apnic|20170815|1843|320
apnic|20170915|1866|326
apnic|20171015|1866|327
apnic|20171115|1908|347
apnic|20171215|1929|351
apnic|20180115|1954|345
apnic|20180215|1996|354
apnic|20180315|2008|352
apnic|20180415|2028|367
apnic|20180515|2059|375
apnic|20180615|2093|385
apnic|20180715|2164|400
apnic|20180815|2197|399
apnic|20180915|2228|402
apnic|20181015|2256|402
apnic|20181115|2281|419
apnic|20181215|2332|431
apnic|20190115|2343|431
apnic|20190215|2360|441
apnic|20190315|2375|457
apnic|20190415|2411|467
apnic|20190515|2445|476
apnic|20190615|2464|475
apnic|20190715|2488|483
apnic|20190815|2503|493
apnic|20190915|2551|512
apnic|20191015|2567|518
apnic|20191115|2580|512
apnic|20191215|2607|515
apnic|20200115|2632|526
apnic|20200215|2652|530
apnic|20200315|2662|541
apnic|20200415|2712|559
apnic|20200515|2737|552
apnic|20200615|2757|555
apnic|20200715|2812|546
apnic|20200815|2813|541
apnic|20200915|2873|555
apnic|20201015|2886|553
apnic|20201115|2902|573
apnic|20201215|2948|568
apnic|20210115|2962|558
apnic|20210215|3026|568
apnic|20210315|3043|577
apnic|20210415|3084|593
apnic|20210515|3141|613
apnic|20210615|7373|660
apnic|20210715|7363|642
apnic|20210815|7459|687
apnic|20210915|7521|707
apnic|20211015|7549|697
apnic|20211115|7550|693
apnic|20211215|7620|705
apnic|20220115|7734|722
apnic|20220215|7757|730
apnic|20220315|7826|754
apnic|20220415|7821|748
apnic|20220515|7830|747
apnic|20220615|7862|766
apnic|20220715|7928|790
apnic|20220815|7991|783
apnic|20220915|8016|782
apnic|20221015|8045|795
apnic|20221115|8141|820
apnic|20221215|8220|793
apnic|20230115|8271|812
apnic|20230215|8356|836
apnic|20230315|8467|856
apnic|20230415|8463|852
apnic|20230515|8482|851
apnic|20230615|8524|852
apnic|20230715|8532|850
apnic|20230815|8656|899
apnic|20230915|8753|914
apnic|20231015|8760|918
apnic|20231115|8760|906
apnic|20231215|8738|900
apnic|20240115|8815|927
apnic|20240215|8856|918
apnic|20240315|8898|943
apnic|20240415|8938|951
apnic|20240515|8967|966
apnic|20240615|8985|961
lacnic|20140615|663|93
lacnic|20140715|681|95
lacnic|20140815|706|101
lacnic|20140915|741|103
lacnic|20141015|778|112
lacnic|20141115|821|118
lacnic|20141215|855|118
lacnic|20150115|857|116
lacnic|20150215|865|114
lacnic|20150315|903|117
lacnic|20150415|939|113
lacnic|20150515|974|117
lacnic|20150615|1036|123
lacnic|20150715|1067|126
lacnic|20150815|1112|125
lacnic|20150915|1160|129
lacnic|20151015|1219|136
lacnic|20151115|1280|139
lacnic|20151215|1371|146
lacnic|20160115|1414|159
lacnic|20160215|1469|180
lacnic|20160315|1499|186
lacnic|20160415|1550|193
lacnic|20160515|1580|198
lacnic|20160615|1638|214
lacnic|20160715|1724|213
lacnic|20160815|1755|217
lacnic|20160915|1791|214
lacnic|20161015|1807|228
lacnic|20161115|1843|232
lacnic|20161215|1908|244
lacnic|20170115|1939|244
lacnic|20170215|2053|247
lacnic|20170315|2105|263
lacnic|20170415|2139|265
lacnic|20170515|2190|286
lacnic|20170615|2229|309
lacnic|20170715|2279|320
lacnic|20170815|2353|319
lacnic|20170915|2388|327
lacnic|20171015|2438|333
lacnic|20171115|2603|369
lacnic|20171215|2591|379
lacnic|20180115|2609|384
lacnic|20180215|2668|399
lacnic|20180315|2720|406
lacnic|20180415|2765|427
lacnic|20180515|2825|434
lacnic|20180615|2926|443
lacnic|20180715|3044|476
lacnic|20180815|3048|480
lacnic|20180915|3071|484
lacnic|20181015|3127|541
lacnic|20181115|3205|515
lacnic|20181215|3307|551
lacnic|20190115|3361|572
lacnic|20190215|3414|579
lacnic|20190315|3433|585
lacnic|20190415|3478|572
lacnic|20190515|3594|593
lacnic|20190615|3673|628
lacnic|20190715|3798|654
lacnic|20190815|3865|685
lacnic|20190915|3949|717
lacnic|20191015|4073|748
lacnic|20191115|4142|784
lacnic|20191215|4227|806
lacnic|20200115|4337|825
lacnic|20200215|4427|847
lacnic|20200315|4509|898
lacnic|20200415|4722|890
lacnic|20200515|4860|927
lacnic|20200615|4902|969
lacnic|20200715|5130|1017
lacnic|20200815|5124|1029
lacnic|20200915|5407|1120
lacnic|20201015|5460|1118
lacnic|20201115|5563|1145
lacnic|20201215|5694|1175
lacnic|20210115|5804|1218
lacnic|20210215|5904|1240
lacnic|20210315|6021|1291
lacnic|20210415|6134|1336
lacnic|20210515|6242|1404
lacnic|20210615|6439|1506
lacnic|20210715|6425|1472
lacnic|20210815|6523|1503
lacnic|20210915|6652|1595
lacnic|20211015|6669|1636
lacnic|20211115|6724|1630
lacnic|20211215|6818|1671
lacnic|20220115|6837|1710
lacnic|20220215|6921|1753
lacnic|20220315|7049|1767
lacnic|20220415|7077|1756
lacnic|20220515|7123|1765
lacnic|20220615|7159|1794
lacnic|20220715|7235|1892
lacnic|20220815|7328|1908
lacnic|20220915|7406|1950
lacnic|20221015|7481|1961
lacnic|20221115|7560|2046
lacnic|20221215|7619|2078
lacnic|20230115|7644|2072
lacnic|20230215|7703|2146
lacnic|20230315|7815|2220
lacnic|20230415|7837|2199
lacnic|20230515|7905|2237
lacnic|20230615|7933|2208
lacnic|20230715|7974|2240
lacnic|20230815|8076|2295
lacnic|20230915|8227|2425
lacnic|20231015|8132|2315
lacnic|20231115|8148|2359
lacnic|20231215|8181|2383
lacnic|20240115|8237|2381
lacnic|20240215|8306|2389
lacnic|20240315|8338|2438
lacnic|20240415|8384|2444
lacnic|20240515|8452|2505
lacnic|20240615|8479|2507
ripencc|20140615|4275|441
ripencc|20140715|4313|455
ripencc|20140815|4363|465
ripencc|20140915|4409|485
ripencc|20141015|4453|483
ripencc|20141115|4519|491
ripencc|20141215|4591|499
ripencc|20150115|4641|504
ripencc|20150215|4710|504
ripencc|20150315|4746|508
ripencc|20150415|4804|506
ripencc|20150515|4852|514
ripencc|20150615|4928|539
ripencc|20150715|4961|554
ripencc|20150815|4984|563
ripencc|20150915|5047|567
ripencc|20151015|5144|576
ripencc|20151115|5194|587
ripencc|20151215|5252|602
ripencc|20160115|5292|610
ripencc|20160215|5376|639
ripencc|20160315|5466|638
ripencc|20160415|5518|650
ripencc|20160515|5583|676
ripencc|20160615|5652|684
ripencc|20160715|5685|676
ripencc|20160815|5737|689
ripencc|20160915|5804|709
ripencc|20161015|5847|741
ripencc|20161115|5899|757
ripencc|20161215|5949|756
ripencc|20170115|5989|758
ripencc|20170215|6061|777
ripencc|20170315|6129|796
ripencc|20170415|6203|796
ripencc|20170515|6255|793
ripencc|20170615|6311|821
ripencc|20170715|6344|820
ripencc|20170815|6391|817
ripencc|20170915|6419|835
ripencc|20171015|6440|843
ripencc|20171115|6567|907
ripencc|20171215|6556|905
ripencc|20180115|6605|916
ripencc|20180215|6648|928
ripencc|20180315|6703|963
ripencc|20180415|6759|975
ripencc|20180515|6793|989
ripencc|20180615|6884|988
ripencc|20180715|6999|1045
ripencc|20180815|6976|1017
ripencc|20180915|6983|1012
ripencc|20181015|7007|1012
ripencc|20181115|7061|1047
ripencc|20181215|7135|1110
ripencc|20190115|7150|1103
ripencc|20190215|7182|1118
ripencc|20190315|7237|1146
ripencc|20190415|7280|1168
ripencc|20190515|7360|1180
ripencc|20190615|7391|1209
ripencc|20190715|7453|1219
ripencc|20190815|7469|1229
ripencc|20190915|7544|1246
ripencc|20191015|7631|1276
ripencc|20191115|7680|1310
ripencc|20191215|7739|1317
ripencc|20200115|7811|1347
ripencc|20200215|7873|1340
ripencc|20200315|7922|1354
ripencc|20200415|8038|1339
ripencc|20200515|8110|1399
ripencc|20200615|8106|1409
ripencc|20200715|8282|1456
ripencc|20200815|8289|1431
ripencc|20200915|8375|1485
ripencc|20201015|8391|1462
ripencc|20201115|8449|1460
ripencc|20201215|8525|1488
ripencc|20210115|8559|1504
ripencc|20210215|8635|1539
ripencc|20210315|8709|1574
ripencc|20210415|8773|1575
ripencc|20210515|8857|1606
ripencc|20210615|8920|1618
ripencc|20210715|8964|1639
ripencc|20210815|9009|1659
ripencc|20210915|9053|1680
ripencc|20211015|9097|1701
ripencc|20211115|9141|1721
ripencc|20211215|9186|1742
ripencc|20220115|9230|1763
ripencc|20220215|9274|1783
ripencc|20220315|9318|1804
ripencc|20220415|9363|1825
ripencc|20220515|9407|1845
ripencc|20220615|9451|1866
ripencc|20220715|9495|1887
ripencc|20220815|9540|1907
ripencc|20220915|9584|1928
ripencc|20221015|9572|1910
ripencc|20221115|9637|1930
ripencc|20221215|9709|1948
ripencc|20230115|9766|1967
ripencc|20230215|9834|2006
ripencc|20230315|10022|2079
ripencc|20230415|10020|2072
ripencc|20230515|10067|2069
ripencc|20230615|10036|2020
ripencc|20230715|10089|1983
ripencc|20230815|10240|2071
ripencc|20230915|10369|2145
ripencc|20231015|10388|2111
ripencc|20231115|10417|2142
ripencc|20231215|10454|2143
ripencc|20240115|10494|2160
ripencc|20240215|10609|2206
ripencc|20240315|10699|2201
ripencc|20240415|10789|2232
ripencc|20240515|10828|2273
ripencc|20240615|10896|2292
internet|20140615|8453|1095
internet|20140715|8536|1117
internet|20140815|8663|1140
internet|20140915|8767|1174
internet|20141015|8880|1197
internet|20141115|9026|1219
internet|20141215|9155|1234
internet|20150115|9253|1254
internet|20150215|9345|1258
internet|20150315|9462|1265
internet|20150415|9567|1268
internet|20150515|9697|1292
internet|20150615|9885|1349
internet|20150715|9995|1394
internet|20150815|10096|1397
internet|20150915|10240|1413
internet|20151015|10450|1450
internet|20151115|10605|1481
internet|20151215|10803|1495
internet|20160115|10919|1523
internet|20160215|11114|1602
internet|20160315|11320|1620
internet|20160415|11472|1654
internet|20160515|11584|1685
internet|20160615|11758|1726
internet|20160715|11921|1715
internet|20160815|12038|1742
internet|20160915|12215|1781
internet|20161015|12333|1858
internet|20161115|12464|1904
internet|20161215|12640|1934
