region|date|tam_1|tam_2|tam_3|tam_4plus
afrinic|20140615|40|54|53|64
afrinic|20140715|43|58|46|66
afrinic|20140815|46|57|51|64
afrinic|20140915|44|47|51|88
afrinic|20141015|45|47|50|87
afrinic|20141115|50|59|54|74
afrinic|20141215|50|57|52|73
afrinic|20150115|50|63|57|72
afrinic|20150215|53|65|52|77
afrinic|20150315|49|65|47|78
afrinic|20150415|45|66|48|82
afrinic|20150515|46|62|50|85
afrinic|20150615|46|61|49|84
afrinic|20150715|42|65|50|96
afrinic|20150815|44|60|47|92
afrinic|20150915|48|60|45|85
afrinic|20151015|51|62|49|86
afrinic|20151115|48|60|54|88
afrinic|20151215|55|59|50|92
afrinic|20160115|56|52|52|95
afrinic|20160215|56|56|48|95
afrinic|20160315|62|54|43|96
afrinic|20160415|65|54|46|94
afrinic|20160515|59|59|43|100
afrinic|20160615|60|56|46|92
afrinic|20160715|57|60|47|99
afrinic|20160815|61|73|47|100
afrinic|20160915|61|71|42|103
afrinic|20161015|68|68|45|102
afrinic|20161115|73|68|42|102
afrinic|20161215|66|69|52|96
afrinic|20170115|64|68|54|92
afrinic|20170215|61|68|59|91
afrinic|20170315|63|73|57|96
afrinic|20170415|53|81|52|96
afrinic|20170515|66|81|54|93
afrinic|20170615|66|83|59|99
afrinic|20170715|68|82|56|94
afrinic|20170815|70|81|59|91
afrinic|20170915|69|76|57|95
afrinic|20171015|72|81|59|100
afrinic|20171115|74|84|59|99
afrinic|20171215|75|79|65|100
afrinic|20180115|74|82|63|106
afrinic|20180215|80|82|64|104
afrinic|20180315|100|78|59|110
afrinic|20180415|81|83|63|109
afrinic|20180515|80|82|72|103
afrinic|20180615|77|78|67|113
afrinic|20180715|78|82|68|111
afrinic|20180815|75|92|68|117
afrinic|20180915|78|91|68|118
afrinic|20181015|80|89|66|122
afrinic|20181115|85|85|68|123
afrinic|20181215|82|89|70|127
afrinic|20190115|87|92|70|127
afrinic|20190215|87|94|63|126
afrinic|20190315|92|86|67|114
afrinic|20190415|85|90|65|129
afrinic|20190515|93|90|71|123
afrinic|20190615|95|85|73|125
afrinic|20190715|92|91|76|128
afrinic|20190815|100|90|83|125
afrinic|20190915|93|89|79|124
afrinic|20191015|100|98|74|131
afrinic|20191115|94|94|78|135
afrinic|20191215|99|101|83|127
afrinic|20200115|104|94|78|133
afrinic|20200215|94|87|84|130
afrinic|20200315|97|94|83|132
afrinic|20200415|105|104|78|134
afrinic|20200515|108|94|83|128
afrinic|20200615|101|97|80|139
afrinic|20200715|99|94|83|133
afrinic|20200815|111|85|78|138
afrinic|20200915|112|90|85|137
afrinic|20201015|120|86|84|134
afrinic|20201115|124|92|81|129
afrinic|20201215|119|97|78|136
afrinic|20210115|126|88|84|131
afrinic|20210215|140|89|80|134
afrinic|20210315|144|88|81|136
afrinic|20210415|142|87|87|138
afrinic|20210515|142|90|80|147
afrinic|20210615|146|93|74|140
afrinic|20210715|145|98|76|149
afrinic|20210815|140|113|77|148
afrinic|20210915|138|105|83|156
afrinic|20211015|141|108|80|162
afrinic|20211115|138|108|83|152
afrinic|20211215|139|106|85|149
afrinic|20220115|136|107|82|154
afrinic|20220215|132|101|84|155
afrinic|20220315|134|103|88|159
afrinic|20220415|135|111|77|164
afrinic|20220515|132|106|82|162
afrinic|20220615|132|103|87|168
afrinic|20220715|138|109|81|168
afrinic|20220815|140|106|80|173
afrinic|20220915|144|96|85|163
afrinic|20221015|139|92|78|174
afrinic|20221115|147|103|76|167
afrinic|20221215|148|100|75|162
afrinic|20230115|147|101|78|172
afrinic|20230215|151|101|72|177
afrinic|20230315|156|102|75|170
afrinic|20230415|154|105|78|169
afrinic|20230515|155|105|78|180
afrinic|20230615|145|105|76|183
afrinic|20230715|149|116|76|173
afrinic|20230815|151|104|76|177
afrinic|20230915|145|115|74|180
afrinic|20231015|144|121|76|170
afrinic|20231115|156|131|67|176
afrinic|20231215|155|116|72|160
afrinic|20240115|155|119|77|155
afrinic|20240215|149|122|78|165
afrinic|20240315|147|114|67|173
afrinic|20240415|149|120|69|173
afrinic|20240515|145|121|76|178
afrinic|20240615|152|122|81|172
apnic|20140615|485|426|397|447
apnic|20140715|483|424|402|462
apnic|20140815|473|426|405|461
apnic|20140915|479|431|410|459
apnic|20141015|477|439|412|458
apnic|20141115|476|430|409|485
apnic|20141215|494|434|425|487
apnic|20150115|496|446|434|478
apnic|20150215|493|444|427|500
apnic|20150315|491|450|433|499
apnic|20150415|523|443|439|491
apnic|20150515|521|461|431|514
apnic|20150615|507|458|436|513
apnic|20150715|516|448|420|539
apnic|20150815|522|455|417|524
apnic|20150915|527|457|424|529
apnic|20151015|508|479|442|521
apnic|20151115|518|492|452|531
apnic|20151215|534|484|448|527
apnic|20160115|519|486|458|522
apnic|20160215|535|512|463|541
apnic|20160315|541|528|473|554
apnic|20160415|534|537|454|567
apnic|20160515|542|531|458|582
apnic|20160615|556|527|474|587
apnic|20160715|553|530|471|608
apnic|20160815|553|546|479|597
apnic|20160915|550|546|481|625
apnic|20161015|547|558|472|642
apnic|20161115|558|547|489|647
apnic|20161215|597|529|502|640
apnic|20170115|596|527|503|630
apnic|20170215|601|543|499|647
apnic|20170315|577|576|528|646
apnic|20170415|597|573|527|662
apnic|20170515|615|566|526|676
apnic|20170615|616|583|530|697
apnic|20170715|604|611|531|676
apnic|20170815|606|578|551|699
apnic|20170915|601|580|545|693
apnic|20171015|616|596|543|710
apnic|20171115|615|593|550|695
apnic|20171215|626|594|541|718
apnic|20180115|612|603|563|719
apnic|20180215|623|608|551|744
apnic|20180315|735|619|544|722
apnic|20180415|629|648|544|736
