#region|date|observed_ases|use_aspp
afrinic|20140615|755|211
afrinic|20140715|764|213
afrinic|20140815|777|218
afrinic|20140915|790|229
afrinic|20141015|791|228
afrinic|20141115|792|236
afrinic|20141215|808|231
afrinic|20150115|817|241
afrinic|20150215|825|246
afrinic|20150315|829|239
afrinic|20150415|841|241
afrinic|20150515|844|243
afrinic|20150615|849|240
afrinic|20150715|865|252
afrinic|20150815|876|243
afrinic|20150915|887|238
afrinic|20151015|900|248
afrinic|20151115|906|250
afrinic|20151215|907|256
afrinic|20160115|915|255
afrinic|20160215|932|255
afrinic|20160315|925|255
afrinic|20160415|948|259
afrinic|20160515|949|261
afrinic|20160615|960|254
afrinic|20160715|973|263
afrinic|20160815|992|281
afrinic|20160915|1006|277
afrinic|20161015|1008|283
afrinic|20161115|1016|285
afrinic|20161215|1019|283
afrinic|20170115|1021|278
afrinic|20170215|1028|279
afrinic|20170315|1038|289
afrinic|20170415|1039|282
afrinic|20170515|1041|294
afrinic|20170615|1060|307
afrinic|20170715|1061|300
afrinic|20170815|1075|301
afrinic|20170915|1080|297
afrinic|20171015|1094|312
afrinic|20171115|1104|316
afrinic|20171215|1122|319
afrinic|20180115|1122|325
afrinic|20180215|1129|330
afrinic|20180315|1139|347
afrinic|20180415|1145|336
afrinic|20180515|1158|337
afrinic|20180615|1171|335
afrinic|20180715|1180|339
afrinic|20180815|1198|352
afrinic|20180915|1209|355
afrinic|20181015|1215|357
afrinic|20181115|1226|361
afrinic|20181215|1237|368
afrinic|20190115|1242|376
afrinic|20190215|1255|370
afrinic|20190315|1263|359
afrinic|20190415|1269|369
afrinic|20190515|1274|377
afrinic|20190615|1290|378
afrinic|20190715|1307|387
afrinic|20190815|1321|398
afrinic|20190915|1326|385
afrinic|20191015|1331|403
afrinic|20191115|1342|401
afrinic|20191215|1359|410
afrinic|20200115|1369|409
afrinic|20200215|1379|395
afrinic|20200315|1393|406
afrinic|20200415|1397|421
afrinic|20200515|1405|413
afrinic|20200615|1415|417
afrinic|20200715|1429|409
afrinic|20200815|1439|412
afrinic|20200915|1437|424
afrinic|20201015|1433|424
afrinic|20201115|1433|426
afrinic|20201215|1445|430
afrinic|20210115|1435|429
afrinic|20210215|1467|443
afrinic|20210315|1470|449
afrinic|20210415|1468|454
afrinic|20210515|1475|459
afrinic|20210615|1495|452
afrinic|20210715|1508|468
afrinic|20210815|1536|478
afrinic|20210915|1567|482
afrinic|20211015|1580|491
afrinic|20211115|1596|481
afrinic|20211215|1606|479
afrinic|20220115|1605|479
afrinic|20220215|1615|472
afrinic|20220315|1631|484
afrinic|20220415|1649|487
afrinic|20220515|1653|482
afrinic|20220615|1676|490
afrinic|20220715|1691|496
afrinic|20220815|1701|499
afrinic|20220915|1716|488
afrinic|20221015|1719|483
afrinic|20221115|1739|493
afrinic|20221215|1733|485
afrinic|20230115|1729|498
afrinic|20230215|1743|501
afrinic|20230315|1749|503
afrinic|20230415|1761|506
afrinic|20230515|1769|518
afrinic|20230615|1776|509
afrinic|20230715|1786|514
afrinic|20230815|1796|508
afrinic|20230915|1809|514
afrinic|20231015|1821|511
afrinic|20231115|1823|530
afrinic|20231215|1833|503
afrinic|20240115|1837|506
afrinic|20240215|1843|514
afrinic|20240315|1809|501
afrinic|20240415|1837|511
afrinic|20240515|1860|520
afrinic|20240615|1857|527
arin|20140615|16005|4389
arin|20140715|16058|4421
arin|20140815|16130|4405
arin|20140915|16174|4482
arin|20141015|16196|4462
arin|20141115|16253|4515
arin|20141215|16302|4508
arin|20150115|16340|4530
arin|20150215|16407|4535
arin|20150315|16459|4583
arin|20150415|16506|4635
arin|20150515|16603|4652
arin|20150615|16656|4679
arin|20150715|16717|4656
arin|20150815|16720|4649
arin|20150915|16783|4718
arin|20151015|16841|4709
arin|20151115|16885|4716
arin|20151215|16926|4695
arin|20160115|16936|4663
arin|20160215|16985|4737
arin|20160315|17032|4773
arin|20160415|17075|4785
arin|20160515|17123|4823
arin|20160615|17153|4855
arin|20160715|17204|4848
arin|20160815|17220|4864
arin|20160915|17255|4893
arin|20161015|17287|4944
arin|20161115|17298|4958
arin|20161215|17331|4986
arin|20170115|17337|4993
arin|20170215|17368|5021
arin|20170315|17402|5033
arin|20170415|17452|5062
arin|20170515|17475|5034
arin|20170615|17484|5054
arin|20170715|17511|5047
arin|20170815|17554|5034
arin|20170915|17592|5066
arin|20171015|17626|5102
arin|20171115|17636|5119
arin|20171215|17662|5120
arin|20180115|17642|5104
arin|20180215|17711|5114
arin|20180315|17746|5190
arin|20180415|17774|5111
arin|20180515|17815|5162
arin|20180615|17839|5188
arin|20180715|17828|5189
arin|20180815|17857|5174
arin|20180915|17889|5230
arin|20181015|17930|5198
arin|20181115|17966|5248
arin|20181215|17963|5261
arin|20190115|17979|5279
arin|20190215|18016|5328
arin|20190315|18080|5374
arin|20190415|18128|5428
arin|20190515|18141|5423
arin|20190615|18173|5418
arin|20190715|18196|5441
arin|20190815|18232|5441
arin|20190915|18253|5407
arin|20191015|18302|5439
arin|20191115|18315|5477
arin|20191215|18357|5447
arin|20200115|18410|5467
arin|20200215|18450|5491
arin|20200315|18486|5542
arin|20200415|18475|5626
arin|20200515|18547|5605
arin|20200615|18582|5616
arin|20200715|18607|5583
arin|20200815|18621|5569
arin|20200915|18637|5569
arin|20201015|18676|5606
arin|20201115|18742|5606
arin|20201215|18792|5624
arin|20210115|18754|5627
arin|20210215|18797|5624
arin|20210315|18805|5669
arin|20210415|18856|5705
arin|20210515|18864|5712
arin|20210615|18892|5676
arin|20210715|18913|5683
arin|20210815|18940|5658
arin|20210915|19002|5688
arin|20211015|18973|5737
arin|20211115|19013|5737
arin|20211215|18987|5760
arin|20220115|19015|5774
arin|20220215|19035|5764
arin|20220315|19041|5765
arin|20220415|19062|5753
arin|20220515|19109|5688
arin|20220615|19092|5719
arin|20220715|19150|5751
arin|20220815|19131|5728
arin|20220915|19165|5805
arin|20221015|19121|5790
arin|20221115|19152|5768
arin|20221215|19156|5751
arin|20230115|19156|5781
arin|20230215|19140|5781
arin|20230315|19144|5772
arin|20230415|19166|5792
arin|20230515|19177|5800
arin|20230615|19176|5859
arin|20230715|19145|5827
arin|20230815|19147|5860
arin|20230915|19153|5843
arin|20231015|19173|5818
arin|20231115|19125|5795
arin|20231215|19132|5773
arin|20240115|19125|5726
arin|20240215|19145|5725
arin|20240315|19183|5743
arin|20240415|19189|5741
arin|20240515|19239|5742
arin|20240615|19206|5724
apnic|20140615|5907|1753
apnic|20140715|5953|1768
apnic|20140815|6007|1762
apnic|20140915|6058|1774
apnic|20141015|6084|1781
apnic|20141115|6142|1794
apnic|20141215|6209|1833
apnic|20150115|6250|1847
apnic|20150215|6315|1856
apnic|20150315|6349|1865
apnic|20150415|6407|1890
apnic|20150515|6469|1921
apnic|20150615|6534|1909
apnic|20150715|6584|1918
apnic|20150815|6644|1913
apnic|20150915|6700|1932
apnic|20151015|6719|1944
apnic|20151115|6803|1984
apnic|20151215|6850|1985
apnic|20160115|6901|1977
apnic|20160215|6998|2043
apnic|20160315|7085|2085
apnic|20160415|7144|2080
apnic|20160515|7221|2100
apnic|20160615|7316|2131
apnic|20160715|7405|2150
apnic|20160815|7485|2163
apnic|20160915|7565|2190
apnic|20161015|7603|2207
apnic|20161115|7645|2234
apnic|20161215|7727|2262
apnic|20170115|7782|2249
apnic|20170215|7872|2283
apnic|20170315|7951|2320
apnic|20170415|8032|2353
apnic|20170515|8087|2377
apnic|20170615|8169|2416
apnic|20170715|8229|2411
apnic|20170815|8260|2422
apnic|20170915|8315|2407
apnic|20171015|8355|2453
apnic|20171115|8434|2440
apnic|20171215|8498|2467
apnic|20180115|8558|2486
apnic|20180215|8637|2515
apnic|20180315|8704|2613
apnic|20180415|8751|2550
apnic|20180515|8844|2545
apnic|20180615|8919|2603
apnic|20180715|9000|2666
apnic|20180815|9067|2712
apnic|20180915|9138|2716
apnic|20181015|9204|2752
apnic|20181115|9300|2798
apnic|20181215|9366|2830
apnic|20190115|9438|2862
apnic|20190215|9540|2878
apnic|20190315|9637|2965
apnic|20190415|9698|3024
apnic|20190515|9795|3036
apnic|20190615|9857|3053
apnic|20190715|9959|3090
apnic|20190815|10016|3133
apnic|20190915|10116|3140
apnic|20191015|10150|3169
apnic|20191115|10239|3234
apnic|20191215|10291|3246
apnic|20200115|10350|3293
apnic|20200215|10416|3328
apnic|20200315|10523|3335
apnic|20200415|10593|3342
apnic|20200515|10617|3355
apnic|20200615|10684|3422
apnic|20200715|10788|3458
apnic|20200815|10888|3466
apnic|20200915|10921|3485
apnic|20201015|11002|3500
apnic|20201115|11095|3527
apnic|20201215|11186|3563
apnic|20210115|11276|3583
apnic|20210215|11344|3575
apnic|20210315|11444|3627
apnic|20210415|11566|3700
apnic|20210515|11664|3771
apnic|20210615|11732|3802
apnic|20210715|11825|3833
apnic|20210815|11937|3944
apnic|20210915|12046|4035
apnic|20211015|12117|4036
apnic|20211115|12201|4078
apnic|20211215|12260|4186
apnic|20220115|12372|4331
apnic|20220215|12474|4345
apnic|20220315|12550|4405
apnic|20220415|12630|4460
apnic|20220515|12722|4468
apnic|20220615|12795|4495
apnic|20220715|12913|4519
apnic|20220815|13005|4541
apnic|20220915|13086|4615
apnic|20221015|13102|4607
apnic|20221115|13142|4603
apnic|20221215|13240|4639
apnic|20230115|13323|4694
apnic|20230215|13384|4731
apnic|20230315|13451|4732
apnic|20230415|13515|4783
apnic|20230515|13524|4765
apnic|20230615|13581|4793
apnic|20230715|13610|4816
apnic|20230815|13687|4870
apnic|20230915|13740|4925
apnic|20231015|13807|4931
apnic|20231115|13897|5001
apnic|20231215|13964|4983
apnic|20240115|14014|5001
apnic|20240215|14080|5061
apnic|20240315|14159|5099
apnic|20240415|14195|5138
apnic|20240515|14276|5170
apnic|20240615|14319|5186
lacnic|20140615|3336|802
lacnic|20140715|3435|832
lacnic|20140815|3539|842
lacnic|20140915|3646|869
lacnic|20141015|3719|871
lacnic|20141115|3784|899
lacnic|20141215|3852|935
lacnic|20150115|3894|952
lacnic|20150215|3937|976
lacnic|20150315|3994|1003
lacnic|20150415|4086|1006
lacnic|20150515|4143|1042
lacnic|20150615|4201|1042
lacnic|20150715|4276|1043
lacnic|20150815|4339|1038
lacnic|20150915|4411|1086
lacnic|20151015|4504|1098
lacnic|20151115|4569|1129
lacnic|20151215|4641|1151
lacnic|20160115|4698|1167
lacnic|20160215|4766|1212
lacnic|20160315|4847|1243
lacnic|20160415|4934|1232
lacnic|20160515|4995|1263
lacnic|20160615|5070|1268
lacnic|20160715|5157|1322
lacnic|20160815|5229|1356
lacnic|20160915|5292|1372
lacnic|20161015|5368|1404
lacnic|20161115|5437|1439
lacnic|20161215|5532|1485
lacnic|20170115|5610|1503
lacnic|20170215|5697|1537
lacnic|20170315|5743|1570
lacnic|20170415|5817|1606
lacnic|20170515|5914|1643
lacnic|20170615|6067|1659
lacnic|20170715|6172|1717
lacnic|20170815|6294|1740
lacnic|20170915|6408|1757
lacnic|20171015|6493|1751
lacnic|20171115|6574|1796
lacnic|20171215|6685|1825
lacnic|20180115|6754|1866
lacnic|20180215|6858|1865
lacnic|20180315|6927|2166
lacnic|20180415|7038|1901
lacnic|20180515|7157|1937
lacnic|20180615|7260|1980
lacnic|20180715|7351|2023
lacnic|20180815|7438|2049
lacnic|20180915|7579|2094
lacnic|20181015|7683|2109
lacnic|20181115|7828|2201
lacnic|20181215|7941|2202
lacnic|20190115|8007|2211
lacnic|20190215|8102|2237
lacnic|20190315|8197|2248
lacnic|20190415|8294|2290
lacnic|20190515|8401|2365
lacnic|20190615|8517|2392
lacnic|20190715|8638|2425
lacnic|20190815|8748|2533
lacnic|20190915|8864|2537
lacnic|20191015|9004|2625
lacnic|20191115|9122|2667
lacnic|20191215|9243|2638
lacnic|20200115|9351|2668
lacnic|20200215|9473|2672
lacnic|20200315|9615|2759
lacnic|20200415|9766|2868
lacnic|20200515|9877|2931
lacnic|20200615|9997|2992
lacnic|20200715|10138|3033
lacnic|20200815|10318|3057
lacnic|20200915|10521|3144
lacnic|20201015|10592|3147
lacnic|20201115|10632|3202
lacnic|20201215|10655|3242
lacnic|20210115|10664|3279
lacnic|20210215|10688|3295
lacnic|20210315|10764|3346
lacnic|20210415|10780|3410
lacnic|20210515|10785|3425
lacnic|20210615|10805|3507
lacnic|20210715|10806|3571
lacnic|20210815|10801|3603
lacnic|20210915|10820|3660
lacnic|20211015|10822|3638
lacnic|20211115|10828|3662
lacnic|20211215|10900|3669
lacnic|20220115|10971|3723
lacnic|20220215|10988|3744
lacnic|20220315|10975|3725
lacnic|20220415|10990|3752
lacnic|20220515|11006|3765
lacnic|20220615|11020|3818
lacnic|20220715|11023|3805
lacnic|20220815|11024|3815
lacnic|20220915|11025|3846
lacnic|20221015|11026|3849
lacnic|20221115|11037|3816
lacnic|20221215|11042|3809
lacnic|20230115|11041|3806
lacnic|20230215|10999|3852
lacnic|20230315|11011|3905
lacnic|20230415|11021|3928
lacnic|20230515|11024|3989
lacnic|20230615|11039|4012
lacnic|20230715|11050|3976
lacnic|20230815|11047|4002
lacnic|20230915|11071|4050
lacnic|20231015|11087|4029
lacnic|20231115|11074|4032
lacnic|20231215|11086|4037
lacnic|20240115|11097|4033
