region|date|from1to24|from25to49|from50to74|from75to100
apnic|20180115|438|330|452|1266
apnic|20180215|424|318|486|1287
apnic|20180315|417|329|493|1374
apnic|20180415|445|317|504|1283
apnic|20180515|436|338|488|1282
apnic|20180615|439|373|483|1308
apnic|20180715|433|388|508|1337
apnic|20180815|442|378|523|1369
apnic|20180915|424|386|520|1384
apnic|20181015|424|383|512|1431
apnic|20181115|426|418|517|1435
apnic|20181215|433|393|525|1477
apnic|20190115|443|402|513|1503
apnic|20190215|463|401|508|1505
apnic|20190315|462|420|506|1576
apnic|20190415|477|429|511|1606
apnic|20190515|472|411|529|1623
apnic|20190615|478|372|537|1666
apnic|20190715|469|409|532|1680
apnic|20190815|482|422|541|1688
apnic|20190915|481|433|519|1707
apnic|20191015|496|429|536|1708
apnic|20191115|489|443|564|1737
apnic|20191215|491|442|548|1765
apnic|20200115|490|429|558|1815
apnic|20200215|500|437|571|1820
apnic|20200315|503|441|563|1828
apnic|20200415|513|438|589|1801
apnic|20200515|510|457|563|1824
apnic|20200615|528|448|580|1865
apnic|20200715|529|444|608|1876
apnic|20200815|530|442|607|1887
apnic|20200915|521|459|603|1902
apnic|20201015|505|469|620|1906
apnic|20201115|511|479|623|1914
apnic|20201215|508|484|642|1929
apnic|20210115|511|466|634|1972
apnic|20210215|519|473|626|1956
apnic|20210315|515|470|658|1981
apnic|20210415|524|473|665|2036
apnic|20210515|523|500|651|2095
apnic|20210615|520|495|680|2105
apnic|20210715|517|484|695|2136
apnic|20210815|537|505|725|2176
apnic|20210915|529|513|733|2259
apnic|20211015|544|510|734|2247
apnic|20211115|520|529|741|2286
apnic|20211215|531|526|765|2364
apnic|20220115|567|502|775|2485
apnic|20220215|548|529|773|2494
apnic|20220315|557|536|762|2549
apnic|20220415|562|497|793|2608
apnic|20220515|558|507|787|2616
apnic|20220615|565|501|790|2639
apnic|20220715|556|522|807|2634
apnic|20220815|562|524|799|2655
apnic|20220915|584|521|811|2697
apnic|20221015|569|527|772|2738
apnic|20221115|556|520|801|2725
apnic|20221215|554|531|803|2750
apnic|20230115|556|535|823|2779
apnic|20230215|542|570|822|2796
apnic|20230315|545|569|851|2766
apnic|20230415|541|552|841|2848
apnic|20230515|538|537|833|2856
apnic|20230615|532|545|834|2881
apnic|20230715|535|550|847|2883
apnic|20230815|547|542|857|2923
apnic|20230915|556|564|853|2951
apnic|20231015|543|551|859|2977
apnic|20231115|532|561|879|3028
apnic|20231215|531|560|858|3033
apnic|20240115|531|546|848|3075
apnic|20240215|536|554|864|3105
apnic|20240315|549|531|899|3118
apnic|20240415|550|532|892|3162
apnic|20240515|537|519|910|3203
apnic|20240615|529|536|913|3208
arin|20140615|559|537|823|2468
arin|20140715|559|536|738|2586
arin|20140815|578|542|721|2562
arin|20140915|586|579|797|2518
arin|20141015|566|588|848|2458
arin|20141115|577|564|849|2523
arin|20141215|581|583|812|2530
arin|20150115|598|566|831|2533
arin|20150215|592|561|823|2557
arin|20150315|610|560|846|2565
arin|20150415|623|554|846|2610
arin|20150515|622|566|884|2578
arin|20150615|620|571|823|2663
arin|20150715|618|573|833|2630
arin|20150815|625|572|902|2548
arin|20150915|622|586|907|2601
arin|20151015|609|559|900|2640
arin|20151115|601|557|827|2730
arin|20151215|609|544|824|2717
arin|20160115|623|566|881|2592
arin|20160215|626|591|883|2636
arin|20160315|625|575|909|2663
arin|20160415|635|576|914|2659
arin|20160515|639|593|906|2684
arin|20160615|660|591|927|2676
arin|20160715|646|578|945|2678
arin|20160815|650|599|939|2676
arin|20160915|647|604|949|2692
arin|20161015|674|590|971|2707
arin|20161115|676|586|965|2730
arin|20161215|681|613|967|2724
arin|20170115|674|626|938|2754
arin|20170215|668|609|915|2828
arin|20170315|672|618|923|2818
arin|20170415|664|643|936|2818
arin|20170515|655|628|954|2795
arin|20170615|674|622|935|2821
arin|20170715|671|611|945|2818
arin|20170815|667|613|947|2804
arin|20170915|668|624|964|2808
arin|20171015|676|627|942|2856
arin|20171115|671|609|956|2883
arin|20171215|677|627|942|2874
arin|20180115|671|637|944|2852
arin|20180215|679|618|963|2854
arin|20180315|687|643|984|2876
arin|20180415|694|627|974|2816
arin|20180515|682|637|995|2848
arin|20180615|681|640|974|2891
arin|20180715|700|615|977|2896
arin|20180815|690|638|971|2873
arin|20180915|685|640|964|2940
arin|20181015|682|640|971|2905
arin|20181115|695|646|977|2930
arin|20181215|701|648|988|2924
arin|20190115|705|657|967|2949
arin|20190215|696|669|970|2993
arin|20190315|706|665|979|3024
arin|20190415|698|685|978|3067
arin|20190515|708|681|989|3044
arin|20190615|702|685|991|3039
arin|20190715|708|699|992|3042
arin|20190815|713|684|982|3060
arin|20190915|726|660|977|3043
arin|20191015|723|657|979|3079
arin|20191115|725|669|981|3101
arin|20191215|710|671|961|3104
arin|20200115|707|672|952|3135
arin|20200215|708|678|953|3151
arin|20200315|741|691|971|3137
arin|20200415|746|708|982|3188
arin|20200515|732|696|983|3192
arin|20200615|758|696|966|3194
arin|20200715|738|677|976|3190
arin|20200815|739|666|993|3169
arin|20200915|760|631|1020|3156
arin|20201015|760|679|1010|3156
arin|20201115|743|700|1004|3158
arin|20201215|749|687|1005|3181
arin|20210115|745|693|973|3214
arin|20210215|739|711|971|3201
arin|20210315|750|710|973|3234
arin|20210415|771|707|983|3243
