#type|date|observed_ases|use_aspp
business|20140615|13928|3773
business|20140715|14042|3821
business|20140815|14118|3816
business|20140915|14215|3910
business|20141015|14295|3889
business|20141115|14380|3936
business|20141215|14489|4006
business|20150115|14555|4007
business|20150215|14666|4027
business|20150315|14731|4073
business|20150415|14859|4131
business|20150515|15001|4158
business|20150615|15091|4165
business|20150715|15183|4166
business|20150815|15258|4162
business|20150915|15374|4232
business|20151015|15469|4270
business|20151115|15591|4288
business|20151215|15686|4289
business|20160115|15750|4317
business|20160215|15862|4352
business|20160315|15986|4408
business|20160415|16082|4431
business|20160515|16208|4458
business|20160615|16310|4499
business|20160715|16401|4552
business|20160815|16487|4580
business|20160915|16594|4638
business|20161015|16689|4750
business|20161115|16741|4728
business|20161215|16841|4722
business|20170115|16904|4740
business|20170215|17023|4844
business|20170315|17118|4898
business|20170415|17238|4880
business|20170515|17339|4922
business|20170615|17476|4967
business|20170715|17560|4956
business|20170815|17664|4966
business|20170915|17780|5012
business|20171015|17878|5060
business|20171115|17988|5113
business|20171215|18083|5151
business|20180115|18151|5144
business|20180215|18268|5226
business|20180315|18372|5359
business|20180415|18455|5212
business|20180515|18573|5261
business|20180615|18661|5278
business|20180715|18734|5308
business|20180815|18840|5336
business|20180915|18925|5400
business|20181015|19022|5449
business|20181115|19130|5487
business|20181215|19235|5546
business|20190115|19304|5562
business|20190215|19443|5614
business|20190315|19543|5691
business|20190415|19669|5779
business|20190515|19773|5788
business|20190615|19851|5787
business|20190715|19964|5837
business|20190815|20081|5873
business|20190915|20212|5865
business|20191015|20356|5953
business|20191115|20498|6046
business|20191215|20618|5985
business|20200115|20712|6025
business|20200215|20834|6049
business|20200315|20948|6151
business|20200415|21039|6218
business|20200515|21122|6227
business|20200615|21238|6290
business|20200715|21350|6308
business|20200815|21419|6325
business|20200915|21528|6340
business|20201015|21665|6398
business|20201115|21787|6424
business|20201215|21912|6499
business|20210115|21974|6514
business|20210215|22101|6495
business|20210315|22239|6587
business|20210415|22355|6633
business|20210515|22412|6622
business|20210615|22526|6648
business|20210715|22601|6627
business|20210815|22689|6745
business|20210915|22786|6762
business|20211015|22887|6806
business|20211115|22961|6822
business|20211215|23061|6873
