as_type|date|tam_1|tam_2|tam_3|tam_4plus
education|20180415|225|167|157|220
education|20180515|222|175|154|223
education|20180615|221|175|160|227
education|20180715|222|171|161|228
education|20180815|225|170|165|230
education|20180915|244|167|162|228
education|20181015|229|171|170|239
education|20181115|224|173|169|229
education|20181215|222|169|177|240
education|20190115|220|169|174|241
education|20190215|225|173|171|232
education|20190315|221|177|173|233
education|20190415|216|184|178|243
education|20190515|226|181|178|241
education|20190615|227|179|183|239
education|20190715|233|181|183|247
education|20190815|235|184|190|240
education|20190915|230|180|197|233
education|20191015|226|180|196|236
education|20191115|223|183|194|237
education|20191215|218|189|198|239
education|20200115|218|188|194|240
education|20200215|225|193|199|246
education|20200315|225|193|197|244
education|20200415|223|190|205|244
education|20200515|218|192|200|245
education|20200615|222|189|197|250
education|20200715|223|193|197|254
education|20200815|220|188|197|250
education|20200915|210|186|192|249
education|20201015|208|180|195|262
education|20201115|211|180|203|263
education|20201215|220|179|205|261
education|20210115|231|183|205|263
education|20210215|223|190|201|264
education|20210315|223|192|200|264
education|20210415|228|196|198|263
education|20210515|232|202|197|264
education|20210615|234|198|200|265
education|20210715|236|198|198|267
education|20210815|240|198|201|268
education|20210915|244|201|196|271
education|20211015|237|207|190|266
education|20211115|238|206|187|262
education|20211215|242|207|183|266
education|20220115|248|208|191|262
education|20220215|246|210|187|259
education|20220315|258|209|202|246
education|20220415|262|213|201|255
education|20220515|251|206|203|260
education|20220615|245|217|200|267
education|20220715|249|223|205|262
education|20220815|250|220|203|269
education|20220915|269|212|210|263
education|20221015|253|215|208|264
education|20221115|259|208|210|264
education|20221215|250|210|215|264
education|20230115|262|204|219|260
education|20230215|266|198|213|269
education|20230315|264|200|216|261
education|20230415|263|203|226|256
education|20230515|266|208|214|259
education|20230615|249|217|224|262
education|20230715|246|216|220|255
education|20230815|246|216|224|264
education|20230915|249|223|213|270
education|20231015|250|219|210|278
education|20231115|247|214|221|272
education|20231215|238|219|218|266
education|20240115|235|215|219|272
education|20240215|236|221|225|267
education|20240315|242|224|221|272
education|20240415|238|223|223|278
education|20240515|246|220|220|277
education|20240615|253|220|227|280
government|20140615|66|48|54|73
government|20140715|68|51|55|69
government|20140815|74|55|55|72
government|20140915|73|58|53|75
government|20141015|74|55|52|76
government|20141115|74|55|57|80
government|20141215|74|59|53|85
government|20150115|69|62|53|80
government|20150215|68|64|56|80
government|20150315|68|62|52|84
government|20150415|72|61|56|82
government|20150515|70|59|63|82
government|20150615|69|58|58|83
government|20150715|71|59|60|83
government|20150815|70|58|66|83
government|20150915|72|56|64|81
government|20151015|74|53|64|78
government|20151115|75|56|65|75
government|20151215|76|59|63|75
government|20160115|73|60|63|77
government|20160215|74|61|64|86
government|20160315|74|65|64|81
government|20160415|79|64|67|83
government|20160515|81|56|73|81
government|20160615|76|58|71|84
government|20160715|74|60|70|85
government|20160815|73|60|66|83
government|20160915|73|57|66|85
government|20161015|79|61|66|87
government|20161115|77|60|73|88
government|20161215|75|64|70|88
government|20170115|76|58|69|85
government|20170215|75|55|71|87
government|20170315|78|54|65|85
government|20170415|76|52|69|84
government|20170515|74|55|68|88
government|20170615|80|54|69|85
government|20170715|83|54|69|87
government|20170815|79|57|72|84
government|20170915|79|57|68|89
government|20171015|78|60|69|90
government|20171115|78|62|69|91
government|20171215|81|60|69|95
government|20180115|77|59|72|91
government|20180215|76|60|71|91
government|20180315|89|60|71|88
government|20180415|79|57|71|93
government|20180515|79|57|70|95
government|20180615|78|60|69|98
government|20180715|81|59|70|97
government|20180815|84|59|71|99
government|20180915|82|61|75|97
government|20181015|83|59|75|96
government|20181115|83|61|85|101
government|20181215|85|65|83|97
government|20190115|85|63|79|103
government|20190215|86|68|79|101
government|20190315|94|66|78|101
government|20190415|92|64|82|113
government|20190515|90|68|81|104
government|20190615|95|71|86|106
government|20190715|92|70|89|104
government|20190815|92|74|87|109
government|20190915|89|77|90|111
government|20191015|88|81|85|115
government|20191115|86|79|85|119
government|20191215|86|81|82|121
government|20200115|90|82|83|122
government|20200215|95|83|88|127
government|20200315|100|80|86|129
government|20200415|99|73|96|129
government|20200515|102|74|98|126
government|20200615|101|77|98|128
government|20200715|100|79|96|128
government|20200815|97|82|101|132
government|20200915|99|81|95|132
government|20201015|96|80|94|131
government|20201115|103|75|94|127
government|20201215|105|74|93|131
government|20210115|107|74|98|130
government|20210215|108|72|99|133
government|20210315|106|69|106|137
government|20210415|110|78|110|141
government|20210515|111|76|111|134
government|20210615|109|77|112|127
government|20210715|110|73|102|137
government|20210815|114|75|103|141
government|20210915|111|76|109|141
government|20211015|109|81|111|142
government|20211115|111|76|109|134
government|20211215|111|81|111|132
government|20220115|111|83|108|134
government|20220215|109|81|106|136
government|20220315|112|83|111|138
government|20220415|112|86|115|132
government|20220515|115|86|115|132
government|20220615|113|83|118|135
government|20220715|116|83|120|138
government|20220815|113|83|120|139
government|20220915|116|79|126|140
government|20221015|112|85|119|140
government|20221115|118|83|118|141
government|20221215|112|86|121|149
government|20230115|114|84|122|148
government|20230215|116|85|132|144
government|20230315|115|87|128|153
government|20230415|116|88|125|144
government|20230515|120|89|121|148
government|20230615|122|91|122|150
government|20230715|120|92|125|150
government|20230815|123|96|122|154
government|20230915|128|94|125|149
government|20231015|126|92|124|148
government|20231115|128|87|118|151
government|20231215|135|90|119|148
government|20240115|138|89|114|142
government|20240215|132|95|114|148
government|20240315|135|94|109|150
government|20240415|138|92|121|149
government|20240515|134|90|119|154
government|20240615|135|97|124|152
hosting|20140615|651|452|413|488
hosting|20140715|681|448|414|485
hosting|20140815|664|470|413|478
hosting|20140915|664|488|401|495
hosting|20141015|692|468|418|504
hosting|20141115|697|461|415|496
hosting|20141215|697|460|419|496
hosting|20150115|704|470|418|488
hosting|20150215|699|463|441|493
hosting|20150315|696|471|432|502
hosting|20150415|706|478|434|509
hosting|20150515|704|472|442|496
hosting|20150615|709|474|443|517
hosting|20150715|714|483|446|515
hosting|20150815|708|478|455|521
hosting|20150915|697|478|448|537
hosting|20151015|702|493|448|536
hosting|20151115|698|497|453|529
hosting|20151215|720|489|460|530
hosting|20160115|731|498|472|508
hosting|20160215|740|492|463|538
hosting|20160315|732|500|473|550
hosting|20160415|743|509|471|562
hosting|20160515|735|516|471|557
hosting|20160615|756|514|468|578
hosting|20160715|738|510|478|579
hosting|20160815|757|500|481|589
hosting|20160915|760|502|491|582
hosting|20161015|865|491|492|572
hosting|20161115|789|502|496|579
hosting|20161215|769|486|517|573
hosting|20170115|775|488|517|585
hosting|20170215|786|502|503|580
hosting|20170315|872|500|508|577
hosting|20170415|786|506|509|582
hosting|20170515|796|520|510|576
hosting|20170615|771|533|517|586
hosting|20170715|767|540|518|586
hosting|20170815|775|549|512|591
hosting|20170915|799|529|517|610
hosting|20171015|806|539|520|613
hosting|20171115|813|564|528|618
hosting|20171215|810|541|550|621
hosting|20180115|807|530|557|629
hosting|20180215|818|548|545|632
hosting|20180315|897|548|552|648
hosting|20180415|815|538|548|659
hosting|20180515|823|525|569|654
hosting|20180615|822|542|576|665
hosting|20180715|824|544|582|676
hosting|20180815|833|532|588|683
hosting|20180915|832|556|593|665
hosting|20181015|834|567|585|672
hosting|20181115|847|590|572|691
hosting|20181215|850|583|582|685
hosting|20190115|860|591|577|687
hosting|20190215|882|584|579|688
hosting|20190315|907|587|594|687
hosting|20190415|907|599|596|701
hosting|20190515|901|611|588|717
hosting|20190615|915|635|577|709
hosting|20190715|925|633|588|710
hosting|20190815|949|631|576|716
hosting|20190915|939|630|579|711
hosting|20191015|942|636|580|712
hosting|20191115|942|649|603|716
hosting|20191215|936|665|597|718
hosting|20200115|937|682|609|737
hosting|20200215|952|673|586|730
hosting|20200315|942|666|588|731
hosting|20200415|978|676|577|741
hosting|20200515|982|704|577|742
hosting|20200615|984|698|582|757
hosting|20200715|970|713|582|760
hosting|20200815|986|709|608|747
hosting|20200915|1003|719|587|744
hosting|20201015|1028|754|591|760
hosting|20201115|1038|729|598|759
hosting|20201215|1056|726|590|773
hosting|20210115|1072|738|602|761
hosting|20210215|1075|716|581|774
hosting|20210315|1094|723|594|780
hosting|20210415|1083|740|627|763
hosting|20210515|1104|727|635|788
hosting|20210615|1091|732|648|788
hosting|20210715|1108|725|645|793
hosting|20210815|1107|717|662|803
hosting|20210915|1127|727|651|811
hosting|20211015|1087|741|657|822
hosting|20211115|1089|741|659|820
hosting|20211215|1094|745|659|817
hosting|20220115|1106|756|666|830
hosting|20220215|1132|758|674|817
hosting|20220315|1138|761|666|817
hosting|20220415|1296|775|684|833
hosting|20220515|1125|757|680|826
hosting|20220615|1154|777|676|833
hosting|20220715|1157|766|678|850
hosting|20220815|1175|771|689|843
hosting|20220915|1313|768|692|854
hosting|20221015|1176|773|683|861
hosting|20221115|1182|776|676|844
hosting|20221215|1209|759|665|833
hosting|20230115|1205|767|671|835
hosting|20230215|1201|756|701|847
hosting|20230315|1194|782|680|871
hosting|20230415|1210|782|699|862
hosting|20230515|1237|793|702|859
hosting|20230615|1204|811|707|882
hosting|20230715|1212|800|741|862
hosting|20230815|1246|794|739|843
hosting|20230915|1239|788|745|845
hosting|20231015|1226|817|733|846
hosting|20231115|1256|809|738|847
hosting|20231215|1260|809|733|838
hosting|20240115|1256|819|729|838
hosting|20240215|1271|829|728|864
hosting|20240315|1284|835|735|867
hosting|20240415|1307|850|742|852
hosting|20240515|1297|857|739|866
hosting|20240615|1472|860|744|861
internet|20140615|3601|2741|2701|3503
internet|20140715|3681|2732|2695|3539
internet|20140815|3647|2730|2730|3533
internet|20140915|3696|2795|2755|3581
internet|20141015|3770|2736|2788|3617
internet|20141115|3799|2765|2797|3631
internet|20141215|3828|2797|2857|3686
internet|20150115|3830|2888|2875|3694
internet|20150215|3802|2888|2864|3739
internet|20150315|3813|2923|2857|3790
internet|20150415|3894|2941|2880|3850
internet|20150515|3894|2985|2912|3863
internet|20150615|3908|2949|2943|3845
internet|20150715|3909|2978|2920|3851
internet|20150815|3934|2959|2896|3853
internet|20150915|3950|2979|2928|3914
internet|20151015|3968|3037|2916|3910
internet|20151115|3912|3068|2944|3923
internet|20151215|4061|3067|2936|3880
internet|20160115|4079|3075|2987|3851
internet|20160215|4148|3082|3011|3964
internet|20160315|4179|3132|3031|4004
internet|20160415|4134|3181|3019|4055
internet|20160515|4094|3211|3072|4058
internet|20160615|4136|3196|3106|4109
internet|20160715|4128|3251|3111|4169
internet|20160815|4169|3289|3113|4182
internet|20160915|4169|3311|3154|4203
internet|20161015|4623|3306|3156|4239
internet|20161115|4377|3342|3152|4286
internet|20161215|4324|3317|3204|4285
internet|20170115|4294|3313|3217|4346
internet|20170215|4383|3355|3264|4388
internet|20170315|4672|3417|3299|4371
internet|20170415|4350|3455|3332|4396
internet|20170515|4405|3461|3352|4411
internet|20170615|4407|3494|3354|4456
internet|20170715|4380|3554|3365|4473
internet|20170815|4383|3517|3404|4475
internet|20170915|4445|3507|3439|4518
internet|20171015|4488|3594|3445|4526
internet|20171115|4597|3668|3462|4517
internet|20171215|4648|3636|3514|4564
internet|20180115|4605|3637|3530|4591
internet|20180215|4694|3690|3549|4631
internet|20180315|5427|3724|3546|4675
internet|20180415|4681|3706|3538|4710
internet|20180515|4691|3695|3585|4748
internet|20180615|4657|3696|3629|4841
internet|20180715|4685|3719|3631|4935
internet|20180815|4767|3780|3634|4917
internet|20180915|4805|3804|3697|4922
internet|20181015|4790|3825|3702|4995
internet|20181115|4813|3916|3740|5053
internet|20181215|4873|3890|3787|5071
internet|20190115|4867|3936|3708|5142
internet|20190215|4969|3985|3766|5123
internet|20190315|5079|3975|3813|5172
internet|20190415|5101|4052|3886|5269
internet|20190515|5152|4086|3916|5271
internet|20190615|5197|4051|3915|5302
internet|20190715|5240|4099|3952|5347
internet|20190815|5291|4199|3965|5348
internet|20190915|5209|4175|3990|5343
internet|20191015|5236|4206|4015|5466
internet|20191115|5286|4222|4075|5543
internet|20191215|5291|4241|4008|5484
internet|20200115|5374|4286|4038|5484
internet|20200215|5431|4283|4008|5522
internet|20200315|5528|4352|4064|5549
internet|20200415|5698|4426|4089|5630
internet|20200515|5683|4440|4132|5636
internet|20200615|5711|4448|4111|5757
internet|20200715|5689|4509|4126|5754
internet|20200815|5702|4495|4233|5708
internet|20200915|5796|4496|4234|5709
internet|20201015|5871|4538|4227|5722
internet|20201115|5862|4520|4275|5789
internet|20201215|6008|4613|4259|5811
internet|20210115|6062|4575|4309|5877
internet|20210215|6129|4568|4261|5795
internet|20210315|6191|4620|4290|5883
internet|20210415|6203|4687|4371|5948
internet|20210515|6216|4731|4343|5979
internet|20210615|6248|4742|4406|5986
internet|20210715|6328|4714|4379|6040
internet|20210815|6369|4786|4533|6038
internet|20210915|6483|4851|4451|6065
internet|20211015|6433|4925|4450|6120
internet|20211115|6454|4855|4500|6154
internet|20211215|6472|4925|4552|6158
internet|20220115|6586|4961|4580|6245
internet|20220215|6650|4999|4603|6177
internet|20220315|6630|5013|4627|6199
internet|20220415|7175|5017|4634|6252
internet|20220515|6637|4991|4630|6251
internet|20220615|6745|4990|4608|6310
internet|20220715|6704|5057|4623|6349
internet|20220815|6753|5046|4606|6352
internet|20220915|7266|5085|4680|6380
internet|20221015|6713|5102|4644|6413
internet|20221115|6776|5078|4634|6353
internet|20221215|6810|5096|4626|6283
internet|20230115|6819|5091|4670|6316
internet|20230215|6802|5106|4714|6407
internet|20230315|6804|5175|4694|6370
internet|20230415|6875|5196|4710|6404
internet|20230515|6915|5253|4731|6387
internet|20230615|6879|5212|4802|6504
internet|20230715|6791|5230|4804|6412
internet|20230815|6854|5249|4823|6487
internet|20230915|6910|5267|4789|6554
internet|20231015|6905|5289|4733|6587
internet|20231115|6955|5318|4784|6534
internet|20231215|6947|5283|4774|6484
internet|20240115|6949|5289|4747|6500
internet|20240215|7000|5355|4712|6525
internet|20240315|7022|5357|4766|6483
internet|20240415|7089|5379|4740|6540
internet|20240515|7031|5435|4805|6562
internet|20240615|7500|5462|4799|6589
isp|20140615|1137|816|563|875
isp|20140715|1172|799|562|885
isp|20140815|1162|785|582|902
isp|20140915|1191|786|602|903
isp|20141015|1203|766|615|928
isp|20141115|1213|812|634|911
isp|20141215|1235|810|652|944
isp|20150115|1239|853|666|967
isp|20150215|1226|865|650|966
isp|20150315|1230|883|638|985
isp|20150415|1269|877|642|1005
isp|20150515|1264|910|630|1021
