as_type|date|from1to24|from25to49|from50to74|from75to100
business|20140615|311|397|615|2450
business|20140715|303|398|614|2506
business|20140815|299|426|594|2497
business|20140915|316|434|640|2520
business|20141015|315|436|652|2486
business|20141115|325|417|669|2525
business|20141215|326|415|656|2609
business|20150115|336|426|663|2582
business|20150215|328|437|653|2609
business|20150315|339|429|660|2645
business|20150415|343|446|665|2677
business|20150515|354|431|691|2682
business|20150615|339|443|675|2708
business|20150715|348|439|673|2706
business|20150815|349|444|676|2693
business|20150915|350|452|706|2724
business|20151015|353|448|722|2747
business|20151115|372|439|719|2758
business|20151215|370|452|694|2773
business|20160115|393|467|731|2726
business|20160215|385|469|721|2777
business|20160315|393|471|731|2813
business|20160415|401|476|733|2821
business|20160515|393|490|753|2822
business|20160615|395|495|761|2848
business|20160715|389|490|786|2887
business|20160815|381|521|780|2898
business|20160915|385|502|804|2947
business|20161015|392|518|834|3006
business|20161115|401|515|831|2981
business|20161215|392|526|832|2972
business|20170115|402|529|827|2982
business|20170215|401|526|841|3076
business|20170315|418|532|867|3081
business|20170415|403|545|880|3052
business|20170515|401|556|890|3075
business|20170615|422|551|897|3097
business|20170715|425|544|879|3108
business|20170815|419|541|864|3142
business|20170915|421|543|870|3178
business|20171015|419|543|871|3227
business|20171115|416|551|876|3270
business|20171215|417|558|879|3297
business|20180115|417|569|880|3278
business|20180215|428|553|902|3343
business|20180315|422|569|911|3457
business|20180415|427|565|915|3305
business|20180515|420|581|901|3359
business|20180615|428|576|894|3380
business|20180715|425|592|893|3398
business|20180815|424|605|889|3418
business|20180915|431|594|879|3496
business|20181015|429|609|869|3542
business|20181115|424|604|881|3578
business|20181215|429|603|922|3592
business|20190115|429|620|904|3609
business|20190215|426|634|948|3606
business|20190315|432|647|932|3680
business|20190415|451|638|933|3757
business|20190515|453|641|951|3743
business|20190615|452|633|938|3764
business|20190715|460|639|946|3792
business|20190815|468|636|957|3812
business|20190915|474|627|958|3806
business|20191015|476|625|984|3868
business|20191115|480|644|987|3935
business|20191215|466|654|973|3892
business|20200115|471|647|968|3939
business|20200215|464|651|971|3963
business|20200315|475|674|959|4043
business|20200415|482|681|971|4084
business|20200515|473|662|969|4123
business|20200615|496|674|971|4149
business|20200715|490|678|985|4155
business|20200815|486|671|994|4174
business|20200915|488|643|1027|4182
business|20201015|486|670|1016|4226
business|20201115|501|672|1008|4243
business|20201215|493|679|1028|4299
business|20210115|495|680|1007|4332
business|20210215|496|695|1019|4285
business|20210315|507|691|1027|4362
business|20210415|498|694|1034|4407
business|20210515|506|673|1052|4391
business|20210615|498|686|1060|4404
business|20210715|495|684|1068|4380
business|20210815|520|679|1071|4475
business|20210915|521|701|1074|4466
business|20211015|522|699|1070|4515
business|20211115|518|691|1085|4528
business|20211215|508|723|1089|4553
business|20220115|514|704|1091|4598
business|20220215|518|703|1076|4615
business|20220315|505|722|1087|4627
business|20220415|507|714|1136|4749
business|20220515|518|696|1119|4618
business|20220615|505|704|1115|4626
business|20220715|516|722|1115|4639
business|20220815|529|723|1093|4660
business|20220915|532|732|1133|4819
