#date|total_ases|aspp_and_moreSpecific|aspp_and_selective|more_specific_and_selective|all_three|just_aspp|just_more_specific|just_selective
20170715|57396|5304|7858|9724|3644|7004|3645|4852
20170815|57688|5328|7884|9859|3666|6979|3667|4952
20170915|58011|5402|7996|10115|3727|7024|3728|4868
20171015|58279|5473|8063|10254|3752|7099|3753|4910
20171115|58616|5605|8185|10492|3795|7155|3796|4957
20171215|58978|5577|8191|10231|3894|7242|3895|5022
20180115|59152|5593|8185|10195|3903|7252|3904|5050
20180215|59486|5608|8235|10298|3925|7394|3926|5071
20180315|59767|6021|8692|10582|3819|7659|3820|4984
20180415|60082|5713|8500|10793|3862|7217|3863|5256
20180515|60428|5749|8500|10885|3895|7314|3896|5224
20180615|60678|5841|8655|11067|3837|7264|3838|5234
20180715|60904|5844|8678|10966|4000|7358|4001|5106
20180815|61270|5936|8804|11028|4052|7358|4053|5214
20180915|61581|5987|8820|11079|4034|7441|4035|5195
20181015|61894|5996|8887|11118|4081|7463|4082|5218
20181115|62263|6131|9041|11139|4207|7485|4208|5355
20181215|62512|6101|9017|11130|4211|7567|4212|5338
20190115|62695|6105|9000|11168|4340|7605|4341|5384
20190215|63045|6188|9095|11256|4291|7702|4292|5387
20190315|63357|6221|9222|11308|4309|7777|4310|5435
20190415|63682|6344|9313|11314|4515|7935|4516|5322
20190515|63981|6441|9463|11408|4459|7891|4460|5420
20190615|64292|6385|9384|11326|4526|7977|4527|5484
20190715|64655|6446|9493|11415|4575|8037|4576|5438
20190815|64959|6590|9607|11503|4644|8039|4645|5468
20190915|65319|6573|9607|11590|4662|7970|4663|5581
20191015|65659|6655|9758|11680|4714|8005|4715|5648
20191115|65993|6776|9925|11826|4812|8011|4813|5650
20191215|66255|6726|9763|11712|4860|8032|4861|5670
20200115|66513|6703|9926|11868|4654|8121|4655|5727
20200215|66836|6725|9953|11920|4766|8156|4767|5701
20200315|67249|6929|10131|12193|5032|8167|5033|5732
20200415|67534|7129|10356|12281|5021|8270|5022|5733
20200515|67809|7132|10394|12300|5096|8276|5097|5796
20200615|68106|7228|10465|12430|5141|8327|5142|5757
20200715|68435|7280|10519|12523|5130|8306|5131|5806
20200815|68853|7263|10606|12636|5237|8294|5238|5819
20200915|69205|7347|10659|12769|5292|8311|5293|5838
20201015|69472|7339|10690|12836|5240|8411|5241|5841
20201115|69736|7430|10709|12805|5360|8452|5361|5875
20201215|70040|7635|10922|13066|5391|8437|5392|5863
20210115|70088|7577|10903|12928|5312|8595|5313|5919
20210215|70369|7599|10840|13011|5381|8567|5382|5931
20210315|70612|7709|11031|13120|5358|8601|5359|5918
20210415|70888|7836|11171|13203|5358|8681|5359|5984
20210515|71019|7803|11153|13194|5351|8745|5352|5965
20210615|71255|7892|11234|13214|5392|8748|5393|5989
20210715|71419|7964|11326|13202|5376|8717|5377|5953
20210815|71583|8131|11531|13370|5350|8773|5351|5967
20210915|71888|8199|11679|13485|5404|8738|5405|5969
20211015|71920|8178|11743|13462|5293|8729|5294|6195
20211115|72181|8144|11674|13451|5372|8839|5373|6060
20211215|72268|8163|11690|13412|5369|8945|5370|5974
20220115|72503|8288|11948|13587|5369|8995|5370|5984
20220215|72679|8243|11952|13567|5177|9053|5178|6029
20220315|72667|8270|11944|13570|5287|9077|5288|6027
