asn|aspp_average|moreSpecific_average|selective_average
616|||100.0
619|100.0||
627|68.15||
636||11.43|
637|11.63|3.41|100.0
638|32.21||100.0
647|1.73|3.57|99.73
665|19.59|4.91|99.31
668|1.47|9.86|64.31
675||24.86|100.0
676|16.72|13.19|63.37
680|94.79|7.67|74.47
681|54.17|26.75|0.0
683|73.01|10.39|2.53
687||13.22|
688||28.12|33.33
693|24.55|22.04|99.0
698||28.3|
699|100.0||
701|97.91|5.98|100.0
702||3.17|100.0
703|3.53|5.56|99.99
705|||100.0
706|99.63||21.03
714|8.45|11.54|100.0
715|33.99|7.84|66.84
719|0.99|5.72|68.9
721|0.37|10.6|99.36
722|18.23|24.46|
724||4.55|100.0
745||13.01|
747|10.63|4.83|
749||3.99|0.0
760|14.29|12.23|
764||5.33|
766|87.92|31.83|33.64
768||8.58|98.0
771||15.38|
773|63.39||100.0
775||33.33|
776||50.0|
777||8.9|100.0
781||38.17|
782||50.0|
784||50.0|
786||12.68|93.1
789||24.76|
792|61.76|8.17|24.07
793||50.0|
794|14.29|14.29|100.0
797|2.07|8.96|99.97
800|10.44|15.94|99.74
801|100.0||
802|95.05|14.49|
803|2.15|4.32|93.85
806|82.92|4.49|100.0
807|100.0||91.0
808|21.09|5.04|93.0
812|87.73|5.61|99.21
813||3.19|100.0
818|78.47|36.31|42.86
819|76.48|19.51|83.55
822||49.21|33.0
823||16.76|100.0
833|||100.0
834||1.64|100.0
835|100.0|15.61|65.23
841||41.56|97.32
843||33.33|100.0
845|||100.0
852|60.49|6.05|100.0
855|0.39|5.45|42.78
892|64.29||70.0
900|100.0||
903|93.75||24.8
906|78.41|3.02|100.0
910|100.0||
912|7.65|4.76|62.71
917|59.07||100.0
918||25.0|
919|||98.0
924|25.0||100.0
930||50.0|89.29
931|||100.0
932|57.29||97.1
945|67.91|14.45|87.75
948|100.0||66.75
949|75.0||100.0
952|66.67||100.0
955||22.81|66.85
956|||100.0
958|||100.0
961|||100.0
963|100.0||
964|11.11|13.23|0.0
968|||50.0
969|65.91||100.0
976|12.5||100.0
979|85.97|1.61|95.86
980||21.85|
983||45.83|56.25
984|17.02|13.66|100.0
986|100.0||56.0
994|100.0||
996|||100.0
997|68.56|23.9|90.21
998|||43.83
1000|25.49|22.3|100.0
