asn|aspp_average|moreSpecific_average|selective_average
20775|100.0|20.38|18.79
20776|15.94|23.38|96.38
20783|94.44||33.0
20787|100.0||
20791|||80.0
20792|91.67|33.33|77.19
20793|57.14|44.16|0.0
20794|||50.0
20795|100.0||
20796|88.57|31.4|0.0
20799||18.78|70.9
20800|100.0|25.0|25.0
20803|21.43|20.93|12.96
20804|96.63|14.86|100.0
20805||50.0|0.0
20806|32.67||97.89
20807|13.3|22.06|28.56
20808|100.0||
20810|95.32|9.68|62.96
20811||15.15|49.7
20815|13.33|11.11|29.09
20818||21.01|
20819||34.52|3.57
20821|100.0||
20824|||5.0
20825||33.22|
20826|100.0||
20829|100.0|33.33|0.0
20830|50.0||74.15
20832|97.3|50.0|62.5
20833||44.08|3.49
20836|89.04|9.67|82.17
20839||36.11|
20841|100.0||
20842|67.52|9.75|13.83
20844|100.0||
20845|100.0|3.74|35.49
20846|98.48||100.0
20847|30.04|11.9|92.69
20848|43.57|24.76|79.9
20849|88.6|19.19|47.95
20850|40.74|28.22|25.37
20852|8.68|4.0|99.94
20853|61.05|6.2|78.03
20855||39.89|100.0
20857|4.75|5.53|67.64
20860|9.08|6.57|91.7
20861||20.59|
20864|100.0||
20865|75.41|24.94|25.64
20866|25.3|22.25|36.78
20867|100.0|33.33|
20868|11.18|17.78|96.61
20870||6.4|97.67
20872|100.0||
20873|100.0||
20874|100.0||70.0
20875|9.89|14.35|
20876||18.81|2.0
20878||28.07|60.59
20879|28.12||100.0
20880|35.55|32.94|78.45
20882||33.56|
20884|30.16||
20886|96.74|11.82|77.36
20889|100.0||
20890|||50.0
20891||14.88|
20892|100.0||
20895|96.52|18.23|30.53
20896|87.68|37.67|17.42
20897|63.58|17.22|100.0
20898|100.0||
20899|41.36|33.33|33.89
20900|63.65|14.51|81.14
20902|25.46|20.8|1.0
20904|49.34|14.28|53.76
20905||25.0|21.4
20909|50.0||100.0
20910||7.91|43.79
20911|72.62|18.75|69.09
20912|48.81|20.3|73.63
20914|100.0|50.0|
20915|97.92|30.02|8.38
20916|100.0||
20917|100.0|15.97|6.79
20918|42.69|33.33|0.0
20919|100.0|12.5|8.73
20921||14.45|100.0
20922|||100.0
20924||25.0|84.5
20926|27.8|6.18|16.69
20927|100.0||
20928|6.94|16.75|85.18
20932|100.0||52.71
20934|100.0||
20935|100.0||
20938|100.0||
20940|90.87|0.84|100.0
20942|||89.22
20946|98.29|38.3|1.74
20947|||50.0
20948|95.54||50.0
20950|100.0||
20952|83.7|11.13|71.54
20953|||6.0
20955|87.0||33.0
20956|53.33|50.0|37.1
20958||33.33|13.83
20959||17.36|8.89
20960|16.74|11.17|48.43
20963|99.68||9.0
20965|||61.54
20969|100.0|23.56|62.83
20970|100.0||
20971|39.24|24.56|82.55
20973|50.0||67.0
20974|||100.0
20978|17.26|9.75|99.67
20979|98.36||100.0
20980|51.09|50.0|0.0
20981|60.53|50.0|
20983|43.5|30.83|97.52
20984|100.0|50.0|
20985|94.69|16.08|50.0
20986|||33.0
20988|100.0|10.61|95.0
20993|100.0||1.0
20994|||20.0
20998|96.88|12.5|62.0
21000|55.94|7.19|55.8
21001||27.33|
21002|26.08|47.72|82.27
21003|17.05|9.75|80.31
21005|100.0|25.32|78.23
21008|100.0||
21009|100.0||
21010|100.0||
21011|100.0|32.72|61.98
21013|85.62|7.69|83.74
21014|100.0||
21017|21.61|12.02|47.0
21020||33.33|0.0
21021|48.07|2.53|61.19
21022||49.17|50.85
21026|100.0||6.0
21027|||50.0
21029|100.0||
21030|64.16||94.81
21031|100.0||
21032|71.98||
21033|11.57|10.28|100.0
21034|80.76|20.65|45.2
21037|||100.0
21039|100.0|25.0|0.0
21040|100.0|14.29|45.74
21042|22.57|12.8|95.4
21045|100.0||
21047||33.1|41.22
21050|0.51|16.21|45.05
21051||19.27|100.0
21054|24.78|34.89|66.94
21056|17.42|9.72|95.98
21057|7.58|16.86|97.7
21058|24.55|7.17|100.0
21060|100.0|7.66|100.0
21061|82.61|38.09|7.14
21062|||98.44
21064|100.0||
21067||20.0|
21068|100.0||
21069|99.46|25.4|93.15
21070|21.94|7.12|100.0
21073|100.0||
21077|43.84|7.68|82.93
21079|76.91|35.71|
21080|100.0||
21086|72.83|22.96|77.92
21087|||55.67
21088||33.33|
21094|||50.0
21096|95.18|17.75|81.74
21099|100.0|33.33|92.36
21100|91.67||62.55
21101|79.17||43.67
21103|100.0||33.0
21104||6.88|98.17
21105|42.35|33.15|9.24
21107|55.21|20.31|37.71
21108||11.11|35.78
21109|100.0|27.78|3.67
21110|67.86||97.95
21111|81.25|34.62|0.0
21113|100.0|17.24|68.06
21118|100.0||
21119|25.0|12.38|92.67
21122|86.49||
21123|33.33||75.0
21125||24.79|3.57
21127|9.72|15.21|62.36
21130|100.0|20.8|46.87
21131|100.0||
21134||49.8|
21137||7.14|8.0
21139|100.0||
21140|98.39||52.67
21141|||50.0
21143|85.14||25.0
21145|57.63||100.0
21147|100.0||
21150|85.35|10.0|86.86
21151|100.0||59.8
21155|31.55|5.67|97.3
21156|49.14|23.42|68.6
21158|97.92|33.33|0.0
21159|98.68||23.13
21160|100.0||50.0
21161|65.62||96.7
21162||26.71|96.0
21166||25.35|50.25
21169|||100.0
21170|50.0||92.11
21171|84.96|33.33|86.33
21173|93.33|33.33|0.0
21174||21.65|70.0
21175|100.0|34.55|0.0
21176|33.42|20.93|79.3
21183|51.93|14.09|58.24
21184|52.92|41.32|84.15
21186|50.0||98.95
21188||12.19|0.0
21189|72.36||90.3
21191|10.83|8.23|49.5
21192|100.0||7.0
21193||4.77|
21195|34.98|2.78|64.35
21196||36.34|26.4
21197|100.0|36.93|0.0
21198|100.0||
21199|100.0|33.33|0.0
21201|62.7|50.0|25.8
21203|100.0||52.63
21205|83.33||33.0
21206|16.67||
21207|75.0|32.21|77.78
21208|32.04||76.29
21209|100.0||
21211|43.45|14.22|53.48
21212|78.0||100.0
21213|100.0|20.0|
21214|21.41|6.26|45.51
21215||19.76|
21217|100.0|6.87|11.2
21218||37.24|
21219|52.42|18.71|93.02
21220|7.69||100.0
21221|87.65|18.17|71.38
21222|79.46|19.88|13.43
21226|97.0|30.66|75.2
21227|96.75||100.0
21228|100.0||29.0
21230|||17.69
21231|80.25||42.45
21232|97.34|7.18|30.06
21233|100.0|5.88|75.45
21234|25.76|50.0|80.29
21235||32.13|14.09
21236|||94.5
21240|65.97|18.24|69.8
21241|89.39|33.33|52.05
21243|||100.0
21245|14.56||100.0
21246|30.5|18.4|90.08
21247||34.98|3.96
21249|100.0|14.25|
21250|100.0||61.86
21252|100.0||
21254|20.77|19.35|29.05
21257|66.67||86.06
21260|13.19|26.93|56.53
21261|85.71|10.57|56.0
21263|96.03|6.06|81.89
21266|100.0||
21267|36.89|14.3|78.53
21271|51.62|10.5|45.48
21272|80.0||31.58
21273|100.0||
21274|100.0||
21275|100.0||
21276||11.11|100.0
21277|27.68|9.9|96.91
21280||30.82|
21282|92.47|25.0|19.06
21283||10.53|19.0
21284||23.89|
21286|45.39|14.96|76.46
21287|34.49|20.57|52.41
21288|100.0||
21292|52.86||51.56
21293|34.08|47.78|29.44
21294|83.5||38.21
21296||25.27|54.14
21297|98.61|20.84|43.5
21299|4.76|8.73|99.62
21300|96.77|50.0|
21301|21.94|19.22|25.53
21302||18.18|100.0
21304|39.86||50.0
21305|18.79|3.2|92.1
21309|16.94|37.13|21.36
21310|16.67|15.64|66.43
21311|63.45|29.91|2.55
21312|30.77|28.12|14.85
21313|43.34||
21314|100.0|33.33|18.0
21315|64.96|18.02|28.45
21317|100.0||
21320||25.0|50.0
21321|44.6|5.72|100.0
21323|100.0||
21325|100.0||
21326||17.77|100.0
21327||14.29|
21328|96.76||90.68
21331||36.5|
21332|14.37|7.69|89.87
21333|86.05||29.85
21334|24.26|21.19|53.5
21336|100.0||57.73
21337|100.0||
21339|100.0||55.58
21341|10.65|17.32|99.6
21342|||99.98
21343|100.0||64.71
21344|85.96||57.56
21345|58.53||91.06
21346|||93.1
21348|72.78||
21349||50.0|68.75
21350|89.28|23.92|0.83
21351|32.72|16.74|91.87
21352|50.0||71.0
21353|28.4|8.05|99.47
21354|93.12|12.5|10.9
21355|100.0||
21360|||31.29
21362|100.0||
21364|100.0||
21365||13.84|89.0
21367|84.6|6.47|58.89
21368||24.47|77.54
21369|89.7|28.45|83.55
21371||4.65|89.54
21373|66.2|20.0|26.86
21374||33.33|
21375|100.0||
21378||25.66|40.6
21379|96.42|13.44|47.72
21385|89.15|15.38|93.17
21388|61.7||100.0
21390||28.57|
21391|98.42|20.0|0.0
21392|45.45|19.76|52.31
21395||29.54|32.33
21396|88.27|23.26|77.12
21399|100.0||
21401|100.0||
21403|100.0||
21404|82.22|27.78|0.0
21405|74.03||32.76
21406|100.0||
21409|81.6|8.12|65.59
21410|||100.0
21412|94.95|3.94|58.49
21413|21.73|6.19|92.74
21414|28.75|25.43|64.58
21415||0.96|37.72
21416|44.71||86.89
21418|100.0||
21419||23.81|99.87
21420|100.0||
21422|100.0||
21423|100.0||
21427|100.0||
21430|25.37|6.33|70.91
21432|66.67|50.0|75.0
21433|7.54|28.04|100.0
21434|98.15||
21436|||100.0
21437|9.42|7.16|25.63
21438||16.76|
21439|100.0||5.26
21441|100.0||
21442||23.61|
21446|100.0||14.0
21447|90.75|48.33|71.15
21448|100.0||20.0
21449||26.41|89.51
21450|15.21|3.72|96.0
21451|98.2|6.82|10.25
21453|71.67|13.09|75.42
21454|95.32|32.18|7.33
21459|87.83|38.94|33.2
21461|88.98|10.72|39.94
21462|11.5||79.9
21465|33.33|34.34|2.94
21466|80.6|20.57|6.29
21467|100.0||33.0
21469||50.0|
21470|100.0|33.33|0.0
21472|64.48|18.78|68.38
21473|5.67|13.99|74.69
21474|100.0||
21476|96.66|7.57|37.2
21478|100.0||
21479||14.11|38.35
21480||16.41|61.56
21483|27.32|5.83|17.39
21485|97.62||99.55
21486|56.5|24.31|33.29
21487||33.35|
21488|97.39|18.85|58.76
21489|96.21||93.37
21490|100.0|20.0|
21491|8.45|4.79|41.53
21496|100.0|33.33|97.0
21497|44.5|41.05|68.18
21499||10.7|37.0
21500|33.03|10.97|84.8
21501|89.9||20.38
21502|32.31|14.0|95.98
21503||40.83|
21504|15.55|14.21|99.17
21506||50.0|
21509|62.77|9.09|100.0
21511|100.0||
21512|100.0||
21513|23.77|33.25|52.02
21514|100.0||
21515|88.77||55.5
21516|100.0||
21517||42.86|0.0
21518|100.0||
21519|100.0|45.83|30.3
21520|37.6|4.52|86.0
21521|100.0||
21523|68.13||84.88
21525|63.33|50.0|38.26
21527|23.86|14.22|33.54
21528|25.62|25.0|39.67
21529||25.0|97.52
21530||33.33|100.0
21531||16.67|27.0
21532|100.0||
21533|34.92|25.0|64.37
21534|48.46||100.0
21537|33.33||71.31
21540|100.0||
21541||22.7|0.55
21542|33.33||40.58
21543|||100.0
21545||27.27|
21547|28.57|14.95|28.77
21548|56.16|14.9|93.11
21549|40.84|6.87|100.0
21551|38.89||100.0
21552|75.92||100.0
21553|85.58||53.12
21554|59.16|3.14|21.18
21555|11.11|18.04|42.14
21556|||50.21
21557|26.32|18.24|60.34
21558|21.71|35.74|100.0
21559|14.76|15.15|81.95
21560|||17.8
21563|||40.76
21564|65.74|25.0|7.97
21565|||100.0
21567|100.0||
21568|100.0||
21569|77.14||50.0
21570|15.78|27.24|82.18
21571|100.0|6.91|62.41
21572|100.0||
21573|15.38||20.94
21574|65.53|34.79|70.62
21575|52.71|14.63|40.99
21577|50.0||50.0
21578|43.04||47.88
21580|60.48|12.83|48.14
21581|85.44|4.61|88.21
21582|100.0|24.8|
21587|53.03||100.0
21589|81.23|4.17|51.35
21591|92.05|7.04|77.83
21592|50.0||100.0
21593|90.85||100.0
21594|100.0||
21595|29.86|3.53|100.0
21596|100.0||
21597|88.54||
21598||40.0|50.0
21599|8.72|31.63|50.71
21602|100.0||
21603||8.33|99.4
21604|100.0||
21605|98.48|50.0|0.0
21606|100.0||
21607|100.0||
21609|100.0||
21610|100.0||100.0
21611|100.0||
21612|39.07|40.26|99.16
21613|100.0||
21615|||100.0
21617||39.39|
21619|100.0||
21621|13.05||
21622|36.54||100.0
21623||24.63|7.33
21624|||50.0
21627|23.08|8.71|92.38
21628|||11.0
21630|100.0||
21632|87.65|5.72|49.22
21633|||100.0
21634|||100.0
21635|100.0||
21636|87.46||87.91
21637|32.73|26.38|25.43
21638|100.0||
21639|||58.82
21642|100.0||
21644|100.0||
21645|100.0||
21646|45.0||98.3
21648|91.04||81.52
21650|38.06|9.0|99.94
21651|23.01|13.94|75.15
21654|98.39||33.0
21655|||98.31
21656|51.02||66.89
21657||33.33|
21659|36.23|33.33|0.0
21660|28.73|6.25|100.0
21662|100.0||
21663|100.0||
21666|84.62||
21668|90.34|19.18|68.88
21669||5.16|48.43
21672|100.0||
21673|100.0||
21678|13.4||97.07
21680|41.1|13.12|87.82
21681|100.0||
21682|||84.48
21686|79.93|30.15|3.7
21688||32.98|25.73
21690|100.0||28.25
21691|95.87||93.33
21692|50.0||50.0
21693|87.7|9.68|95.86
21694||38.41|
21699|62.23|2.27|86.56
21700|||63.18
21701|92.49|26.63|93.08
21702|86.0||85.71
21704||36.05|28.19
21705|84.97|12.5|40.0
21707|99.12||75.0
21708|50.0|33.33|97.0
21709|100.0||53.33
21710|50.0||98.33
21711|||50.0
21712|60.78|50.0|50.0
21713|22.94|8.99|53.12
21717|33.33||100.0
21718|56.55||75.44
21719|65.8|20.62|95.48
21720|||62.09
21721|100.0||
21722|83.33||100.0
21723|71.14|24.2|60.94
21724|1.54|32.05|33.73
21725|50.0|8.46|90.2
21726|||100.0
21727|61.4|50.0|
21729|||29.0
21730||10.37|
21732|||51.55
21733|100.0||
21734|45.14||100.0
21735|49.88|19.19|61.07
21737|10.92|19.4|16.92
21738|63.34||92.86
21739||34.54|74.19
21740|6.42|7.74|99.93
21741|||100.0
21742|100.0||
21743|91.34|15.64|50.8
21745|73.43||98.78
21746|||100.0
21748|57.67|16.87|29.05
21749|100.0||
21750|18.93|41.27|73.79
21751|98.39||50.0
21752|100.0||
21753|88.67|50.0|75.0
21754|25.0||100.0
21755|42.92|7.45|89.52
21756|65.52||68.9
21757|||100.0
21758|23.49||100.0
21759|98.32||36.86
21763|||100.0
21765|14.29||44.17
21766|55.93|7.23|70.69
21767|27.08|14.56|21.64
21769||2.46|
21771|100.0||
21774|90.28|32.95|57.07
21775|8.77|18.76|100.0
21776||25.0|
21777|35.31|13.81|95.35
21778|38.0||85.57
21779|69.89|33.26|16.05
21780|100.0||50.0
21781|92.06||50.0
21782||5.56|25.65
21783|66.67|37.05|10.71
21784|63.09|49.86|99.17
21785|||20.0
21787|71.08|27.13|51.4
21788|30.13|10.6|57.5
21789|5.46|4.76|82.36
21792||33.33|100.0
21795|100.0|25.0|
21798||22.11|99.28
21799|40.89|41.69|52.7
21800|100.0||
21801|33.33||50.3
21802|100.0||
21803|4.49||94.27
21804|59.84|9.75|33.12
21806|38.89||73.67
21807|69.87||100.0
21808|62.5|17.39|15.48
21811|100.0||
21813|75.0||
21814|66.67|18.06|21.7
21817|100.0||
21818|71.43||
21821|74.68||55.68
21822|100.0||
21823||15.0|
21826|35.78|1.55|74.35
21827|||100.0
21830|85.13|11.32|51.05
21832|||59.35
21833|71.99|30.44|58.05
21834||11.94|75.72
21835|49.89|23.19|69.83
21837|85.38||99.46
21840|5.92|5.29|71.39
21843|100.0|12.68|5.0
21844||7.91|
21846||5.88|0.0
21849|100.0|33.33|7.14
21850|24.36||100.0
21852|65.2|21.55|90.45
21853|27.75|28.7|6.77
21854|||100.0
21855|100.0||
21856|75.18|19.05|83.44
21857|96.3|16.67|80.0
21858||16.36|0.0
21859|22.62|8.65|99.98
21860|||50.0
21864|12.22|14.41|71.71
21866|69.11||100.0
21867|100.0||
21869|22.05|14.29|96.03
21871|100.0||
21872||25.62|23.53
21873||3.73|0.0
21874|24.17||100.0
21876|||100.0
21877||14.16|37.12
21878|59.26||82.76
21879|||19.57
21880|17.43|24.33|97.84
21881||28.58|53.47
21882|95.97||100.0
21884|100.0||
21885|100.0|50.0|0.0
21886|32.64|7.63|96.08
21887|23.32||100.0
21889||9.58|18.48
21891|100.0||
21892|65.43||100.0
21893|55.0|27.78|99.71
21895|100.0||100.0
21896|47.47|30.75|100.0
21897|100.0|50.0|
21898|65.17|20.84|52.27
21899|29.04|14.68|43.54
21900|100.0||100.0
21901|100.0||
21902|||20.33
21904|23.23||34.28
21908|99.78||11.12
21909|100.0||
21911|35.56|41.26|94.7
21913|66.67||98.28
21914|||100.0
21918||3.91|34.14
21921|34.15|2.98|72.56
21922|27.69|16.55|3.33
21923|||68.48
21924|100.0||
21925||47.9|13.72
21928|36.47|9.65|100.0
21930|92.22||56.25
21931|100.0||
21933|100.0||
21934|||50.0
21935|25.32||95.5
21937|50.0||99.17
21938|56.28||100.0
21941|100.0||67.0
21942|50.0||97.34
21944|65.0|33.33|61.11
21945|65.79||63.35
21946|84.91|14.29|32.56
21947|9.38|8.71|49.36
21948|12.77|19.21|100.0
21949|93.89|5.62|78.92
21950|100.0||
21951|92.1|31.01|2.0
21952|34.07|10.84|62.88
21953|100.0||
21954|100.0||
21955|||34.04
21956|85.03||47.25
21957|100.0||100.0
21959|||100.0
21960||26.65|100.0
21961|||100.0
21962|||33.0
21964|93.84|31.79|68.08
21965|28.42||95.92
21966|||80.0
21967|100.0||100.0
21970|100.0||
21971|59.83||100.0
21973|49.0|7.13|100.0
21975|||100.0
21976|5.5|2.52|53.65
21978|100.0||
21979|100.0||
21980|11.11|11.14|82.41
21981||25.33|15.69
21982|||100.0
21983|100.0||
21984||23.19|1.03
21985|53.85||96.94
21987|98.53|35.83|0.0
21989|25.0|25.0|100.0
21990|100.0||
21991|59.78||81.52
21992|84.28|27.96|60.48
21993|57.0||92.72
21994|19.49||100.0
21996|98.18|24.81|68.0
21998||50.0|75.0
22000|100.0||
22001|38.01|14.34|100.0
22002|82.67||71.62
22003|23.29||96.39
22004|100.0||
22005|86.48||100.0
22006|6.48|25.05|97.48
22007|100.0||
22009|||100.0
22010|100.0||
22011|5.07|19.53|85.2
22012||19.67|21.92
22013|33.62||38.22
22014|50.0||100.0
22017|86.34|12.95|100.0
22018|100.0|34.0|0.0
22020|100.0|20.0|60.0
22022|100.0||100.0
22023|83.33|26.9|70.16
22024|33.49||100.0
22027|41.48|11.02|62.1
22028|100.0||
22030|64.67||92.09
22032|||82.43
22034|40.47||76.68
22035|50.0||68.18
22036|48.48||58.41
22038|71.3|34.89|53.57
22039|100.0||
22040|16.67||82.25
22041|100.0||
22043|55.56||75.6
22044|70.31||100.0
22046|66.67||91.07
22047|4.2|10.42|44.33
22048|50.93||84.01
22049|100.0||
22050|100.0||
22051||6.4|90.87
22053|100.0|27.6|34.38
22054||25.0|
22055|21.16|19.83|0.55
22056|44.31|18.38|87.63
22057|100.0|16.62|
22059|71.43||50.0
22060|60.51|19.91|54.24
22062||15.51|99.73
22063|100.0|27.5|
22064|49.59||95.51
22065|39.52|25.85|95.64
22066|100.0||33.0
22068|78.68|33.33|51.45
22069|54.17||33.0
22070|67.7|18.51|7.47
22071||23.96|89.02
22072|63.64||50.0
22074|100.0||
22075||34.78|78.97
22077||19.23|42.14
22079|48.19|5.95|35.03
22080|39.92|15.88|100.0
22083|96.84||50.0
22084|||70.0
22085|12.23|18.69|94.05
22086|100.0||
22087|25.0||100.0
22088|50.0|50.0|0.0
22089||19.31|0.31
22091|100.0||
22093|83.2|26.61|86.78
22096|100.0||
22097|12.57|33.03|100.0
22098|22.07|6.25|100.0
22100|100.0||
22102|15.54|5.98|85.75
22103|||100.0
22104|43.22|20.0|100.0
22105|96.67||31.14
22106|||75.64
22107|39.85|18.31|96.05
22108|||100.0
22109|100.0||
22110|98.33||5.02
22111|63.48|25.47|3.78
22112|||100.0
22113||17.36|46.13
22115|37.5|12.5|99.48
22116|80.99||64.03
22118|100.0||
22120|||100.0
22121|||8.0
22122||19.2|89.53
22124|100.0||
22125||22.95|100.0
22127|100.0||
22128|56.06|32.44|16.77
22129||11.11|25.0
22130|67.73||75.0
22132|||57.62
22134||30.71|10.0
22135|59.74||91.36
22136|77.65|30.24|93.54
22138|100.0|36.04|0.0
22140||16.57|88.72
22142|||25.52
22143|67.07||100.0
22144|100.0||
22146|||63.35
22147||17.81|25.0
22148||40.5|11.64
22150|88.94|14.54|41.56
22151|||98.57
22152||4.15|2.44
22153|89.67|6.67|56.6
22154|100.0||
22155|100.0||99.38
22157|51.43||100.0
22159|75.09|19.04|53.68
22164||17.92|
22167|87.5||50.0
22168|||95.8
22171|||22.33
22172|100.0||
22174|66.94|29.75|0.0
22177|26.72|26.78|84.5
22179|52.02||68.24
22180||11.23|97.77
22181|31.12|24.89|98.14
22182|||25.0
22184|100.0||90.02
22185||30.35|
22186|67.07|7.03|83.0
22187|100.0||
22188|100.0|21.48|33.0
22190|44.88|29.86|4.85
22191|27.02|17.97|89.83
22192|12.83|16.56|95.61
22193|100.0||
22196|50.0|48.61|73.77
22197|63.93|24.45|28.65
22198||33.33|
22199|29.99|4.08|88.43
22200|100.0||14.5
22202|100.0||50.0
22203|67.47|11.88|99.54
22205|99.66|11.63|36.88
22206|100.0||
22208|32.57||100.0
22209|100.0||
22211||18.81|
22213|100.0||11.0
22214|100.0||
22215|28.89||90.0
22216|12.45|6.79|100.0
22217|53.57|49.77|0.0
22218|100.0||67.0
22219|100.0||
22220|75.0||100.0
22221||11.35|95.2
22222|50.0||100.0
22225|100.0||
22226||50.0|
22227|100.0||
22228|||67.92
22229|86.11|33.33|
22230|||97.44
22231|||100.0
22232|||100.0
22234|68.89||71.88
22235|54.51|33.33|70.28
22236|100.0||
22237|97.92|50.0|98.0
22238||24.16|36.98
22239|25.0||100.0
22241||2.04|26.15
22243|88.75|34.38|23.68
22244|87.21|7.95|93.54
22245||50.0|
22246||50.0|50.0
22247||33.92|0.0
22248|100.0||24.0
22249|100.0||
22250|||50.0
22251||20.95|0.0
22252|13.8|27.21|31.64
22255|80.0|11.25|50.67
22256|60.0||100.0
22257|100.0||
22259|100.0||100.0
22260|18.34|12.54|62.04
22262|100.0||50.0
22266|||66.67
22267|100.0||
22268||13.74|28.87
22270|||100.0
22273|53.89||56.86
22275|100.0||
22276|73.69||100.0
22278|||100.0
22279|||100.0
22280|39.22|24.48|0.0
22282|61.07|34.2|39.89
22283|13.81||100.0
22284|0.85|9.0|99.56
22286|100.0||
22288|100.0||
22292|100.0||
22293|100.0||100.0
22294|50.0||92.5
22296|100.0||62.5
22297|100.0||90.72
22298|||100.0
22299|97.01|4.28|33.72
22300|33.96||98.42
22301|100.0||
22302||20.35|28.48
22303||50.0|
22304|89.67||50.0
22306|87.5||96.07
22309|100.0||
22310|100.0||
22311|7.82|7.98|64.9
22312|68.18||50.0
22313|94.16|1.64|99.6
22314|100.0||
22315||21.63|
22316||44.34|0.0
22317|12.16|9.4|100.0
22319|||96.98
22320|87.91|39.7|10.2
22321|100.0||
22322|100.0||33.0
22323|33.33|37.79|73.05
22324|21.97||25.6
22326|36.19|14.29|99.83
22328|56.41|21.15|100.0
22330|67.57||100.0
22332|44.23|29.58|100.0
22333|||100.0
22334|28.87|16.1|95.43
22338|70.65|45.17|70.65
22339|100.0||
22340|100.0||47.88
22341|32.58|32.07|95.02
22342||26.62|0.0
22343||12.08|74.93
22344|34.38|25.0|100.0
22345|100.0||
22346|65.32|33.33|26.46
22347|54.38|25.0|99.59
22349|100.0||
22350|100.0||
22351|1.6|13.65|99.74
22352||17.84|0.0
22353|89.55|14.29|46.46
22354|65.43|33.33|98.16
22355|46.05|21.66|76.28
22356|31.65|27.37|99.98
22357|||75.0
22358|100.0||
22359|100.0||
22360||40.0|32.0
22361|60.15||
22362|22.23|7.49|100.0
22363|28.0|0.38|100.0
22364|8.58|27.61|23.96
22366|100.0||
22367|76.79||50.0
22368|18.67|2.81|89.57
22369|78.95||58.12
22370|24.96||91.91
22372|100.0||
22373||33.33|
22374|100.0||60.0
22375|100.0||100.0
22377|||100.0
22378|100.0||
22379|28.57|9.84|99.66
22381|57.44|17.42|83.41
22382|100.0||
22384|82.22|14.95|99.93
22385|||99.05
22386|41.66|49.86|86.55
22390|16.67|40.33|17.91
22391|41.67|50.0|95.0
22393|100.0||
22394|81.05|1.98|99.05
22395||49.43|55.96
22398|100.0||
22400||17.07|100.0
22401|||100.0
22402||14.29|57.81
22404|||50.89
22406|46.66|14.24|85.53
22407|||100.0
22408|32.94||64.35
22409|55.56||32.43
22411|63.56|15.27|62.64
22412||7.69|24.0
22413|40.57|11.71|61.96
22414||48.33|0.0
22417|||50.0
22418|74.67|29.73|92.36
22419|100.0||71.05
22421|80.0||47.78
22423||2.28|83.75
22424|100.0||
22425|100.0||
22426|58.92||28.04
22430|100.0||
22431|100.0|13.35|45.14
22434|66.66||67.0
22435|100.0||2.0
22436|||99.57
22438|99.74||26.82
22439||4.77|30.73
22441|78.2||74.76
22442|7.94|18.67|38.24
22443|25.0||
22444|||98.48
22445|100.0|20.0|64.83
22446|86.71|25.21|90.91
22447|100.0||
22448|100.0||50.0
22449|44.8||84.88
22450|96.52||29.21
22451|100.0||
22455|99.5||75.0
22457|60.52|14.07|18.68
22458|100.0|5.51|4.76
22460|38.92|11.82|100.0
22462|77.54|33.33|50.0
22463|100.0||
22464|97.53|29.69|0.0
22466|100.0||
22469|39.14||92.82
22470|83.33||61.96
22471|||100.0
22472|23.69|23.21|2.0
22474|96.9||60.76
22475|60.35|43.79|0.0
22476|72.08||52.5
22478|100.0||
22479|100.0||
22480|50.0|17.67|79.9
22481|100.0||
22482|100.0||
22485|14.29|9.25|40.1
22486|100.0||
22487|69.61||86.55
22488|34.24||100.0
22489||4.2|57.87
22490|97.92||35.79
22491|93.33||91.67
22495|||98.12
22496|100.0||
22498|55.65|20.93|13.2
22500|||85.07
22501|92.99||94.87
22502|||100.0
22503|100.0||
22504||9.18|15.0
22506|100.0||
22507|100.0||
22509|79.03||100.0
22510|100.0||100.0
22511|60.64||100.0
22512|73.75|18.98|54.89
22515|100.0|50.0|94.0
22516|||82.0
22517|20.0|20.0|51.49
22518|45.44||92.56
22522|8.0|7.14|97.0
22523||17.86|97.0
22524|100.0||
22525|100.0||
22527|16.74|8.81|95.65
22528|96.48||15.31
22530|37.68||100.0
22531|100.0||
22532|100.0||
22534||13.05|11.77
22537|71.26||70.32
22540|100.0||
22541|84.41||72.21
22542|43.66||95.74
22544|100.0||
22546|100.0|50.0|0.8
22547|100.0||100.0
22548|100.0|16.67|62.0
22549|73.71|3.02|74.5
22552|80.27|5.33|50.96
22554|50.0||51.16
22555||20.89|15.01
22556|10.45|9.02|23.37
22557|6.25|32.26|96.26
22559|100.0||
22561||10.74|97.5
22562||19.06|68.53
22564|97.47||
22565|100.0||
22566|5.62|8.55|32.3
22567|61.11||93.64
22571||7.46|19.4
22572|95.83|16.67|65.67
22573|20.51|3.75|72.0
22576||8.22|25.33
22577|||40.0
22578|||57.14
22579|100.0||100.0
22580|80.75||87.27
22581|10.0|11.38|58.34
22582||50.0|50.0
22584|25.49|9.59|0.34
22585|100.0||
22586|32.71|16.68|76.83
22587|65.05||97.4
22588|69.37|13.55|94.44
22589|100.0||
22590|100.0||
22591|25.04|26.98|80.62
22592||21.13|83.19
22593|64.06|30.92|78.32
22594|57.27|46.97|12.2
22595|84.42||94.55
22596|59.24||100.0
22597|65.19||69.92
22598|41.97|3.19|100.0
22599|100.0||
22601|70.8|25.0|53.86
22602|85.23||46.81
22604|100.0||100.0
22605|||100.0
22606|14.81|4.36|99.72
22607|80.95||92.5
22608|100.0||94.0
22609|||65.71
22611|100.0|9.58|43.47
