#date|total_prefixes|removed_invalid_prefix|removed_invalid_lenght|removed_invalid_region
20140615|533365|60|643|11162
20140715|542455|57|659|12053
20140815|543715|65|673|12665
20140915|553406|69|681|12374
20141015|555233|65|680|13461
20141115|559748|62|698|13245
20141215|559698|64|676|14086
20150115|560991|63|685|14424
20150215|566922|61|679|14587
20150315|570391|62|683|15038
20150415|576459|62|689|15949
20150515|580525|60|696|15506
20150615|586546|66|720|14049
20150715|587106|64|744|14361
20150815|595372|65|753|14561
20150915|599584|60|739|15208
20151015|602707|59|733|15966
20151115|608349|59|736|14022
20151215|615306|62|736|14397
20160115|616479|71|742|14180
20160215|623784|66|770|29323
20160315|623690|66|739|15359
20160415|631458|71|734|31708
20160515|631375|75|729|16001
20160615|637477|62|730|15127
20160715|649904|67|715|17245
20160815|656208|65|670|18930
20160915|663629|65|666|18776
20161015|667061|69|668|18784
20161115|675020|70|671|16097
20161215|680060|65|680|13419
20170115|676902|62|746|14925
20170215|688125|60|734|11533
20170315|693200|53|735|11394
20170415|696836|58|770|11453
20170515|701468|71|773|12352
20170615|706210|80|764|14301
20170715|703410|79|747|13519
20170815|727450|77|757|16266
20170915|724607|68|761|20829
20171015|740851|68|787|23340
20171115|739217|72|776|21482
20171215|747354|75|775|16377
20180115|732500|71|776|16990
20180215|736974|76|781|16680
20180315|820343|76|799|21630
20180415|765720|79|804|24052
20180515|776281|83|818|34673
20180615|779762|85|753|46877
20180715|774728|42|719|53054
20180815|782541|45|726|16736
20180915|795067|52|733|19624
20181015|803548|57|686|35841
20181115|806959|61|669|39612
20181215|810894|68|650|55699
20190115|809651|67|649|49640
20190215|815224|69|648|51875
20190315|820556|69|651|52135
20190415|822153|74|619|52065
20190515|830873|75|639|53600
20190615|834556|68|654|56806
20190715|842224|71|648|52163
20190815|846634|66|665|89372
20190915|845306|70|671|23742
20191015|854995|69|689|23933
20191115|859751|74|703|25350
20191215|872193|135|661|124856
20200115|869631|133|683|125478
20200215|877402|79|714|98809
20200315|886262|75|677|31794
20200415|890915|82|712|34097
20200515|891105|93|701|34889
20200615|904252|93|672|34303
20200715|897094|95|624|25000
20200815|901570|91|672|22737
20200915|908300|86|683|22043
20201015|905865|83|723|20089
20201115|909805|87|713|20276
20201215|914362|86|717|26313
20210115|918328|94|699|25880
20210215|924747|98|695|28390
20210315|930561|95|725|28758
20210415|937937|100|677|28519
20210515|941929|106|697|29125
20210615|942530|110|668|29462
20210715|944298|106|664|41339
20210815|947158|120|693|45974
20210915|956653|118|668|53474
20211015|960262|111|641|48810
20211115|972550|116|628|52336
20211215|990932|118|649|50547
20220115|974576|116|641|49909
20220215|975480|114|624|45796
20220315|977346|115|621|38143
20220415|980004|111|636|40239
20220515|978906|87|610|32178
20220615|986558|132|655|41973
20220715|993700|123|685|37774
20220815|995295|126|693|32117
20220915|1001519|130|713|32169
20221015|1001284|120|761|37519
20221115|1002226|134|749|43872
20221215|1009652|132|812|46003
20230115|1010137|135|782|47497
20230215|1011911|140|710|50590
20230315|1000498|146|715|46120
20230415|1006834|146|698|45363
20230515|1008075|144|658|54503
20230615|1012856|137|668|50796
20230715|1011461|146|651|50466
20230815|1016913|148|651|50354
20230915|1024773|147|682|52235
20231015|1023987|154|657|58065
20231115|1029598|154|670|53670
20231215|1039029|161|727|59253
20240115|1045643|128|701|59348
20240215|1110270|129|689|43191
20240315|1118825|121|713|45005
20240415|1121248|141|731|55733
20240515|1124000|121|718|51653
20240615|1071476|121|711|46310
