#date|internet|business|education|government|hosting|isp|none
20140615|46564|13928|2262|1089|6821|11059|11405
20140715|46891|14042|2279|1093|6845|11187|11445
20140815|47167|14118|2291|1101|6873|11325|11459
20140915|47477|14215|2302|1110|6930|11450|11470
20141015|47712|14295|2315|1114|6980|11561|11447
20141115|47985|14380|2326|1117|7014|11685|11463
20141215|48306|14489|2331|1123|7070|11778|11515
20150115|48499|14555|2334|1126|7105|11865|11514
20150215|48803|14666|2344|1131|7156|11963|11543
20150315|49037|14731|2354|1129|7211|12059|11553
20150415|49394|14859|2366|1132|7261|12188|11588
20150515|49730|15001|2377|1133|7303|12310|11606
20150615|49974|15091|2392|1135|7336|12413|11607
20150715|50275|15183|2406|1144|7377|12542|11623
20150815|50492|15258|2411|1148|7402|12644|11629
20150915|50818|15374|2423|1157|7452|12770|11642
20151015|51091|15469|2439|1162|7494|12894|11633
20151115|51382|15591|2451|1171|7532|13008|11629
20151215|51676|15686|2460|1177|7586|13114|11653
20160115|51879|15750|2476|1189|7614|13219|11631
20160215|52201|15862|2487|1200|7639|13345|11668
20160315|52505|15986|2490|1201|7689|13483|11656
20160415|52839|16082|2513|1205|7736|13623|11680
20160515|53140|16208|2518|1215|7782|13738|11679
20160615|53455|16310|2538|1218|7823|13898|11668
20160715|53767|16401|2551|1228|7879|14038|11670
20160815|54071|16487|2560|1236|7934|14174|11680
20160915|54372|16594|2572|1245|7987|14297|11677
20161015|54616|16689|2578|1252|8029|14415|11653
20161115|54851|16741|2582|1265|8099|14537|11627
20161215|55174|16841|2590|1274|8147|14693|11629
20170115|55370|16904|2604|1274|8171|14816|11601
20170215|55703|17023|2622|1285|8211|14961|11601
20170315|55976|17118|2639|1288|8252|15103|11576
20170415|56308|17238|2650|1294|8312|15237|11577
20170515|56573|17339|2657|1306|8340|15408|11523
20170615|56961|17476|2668|1305|8384|15613|11515
20170715|57206|17560|2686|1310|8425|15747|11478
20170815|57493|17664|2700|1317|8470|15910|11432
20170915|57817|17780|2712|1327|8509|16088|11401
20171015|58081|17878|2720|1329|8547|16231|11376
20171115|58383|17988|2737|1335|8597|16370|11356
20171215|58760|18083|2751|1340|8648|16570|11368
20180115|58931|18151|2772|1347|8676|16685|11300
20180215|59280|18268|2777|1355|8726|16863|11291
20180315|59555|18372|2793|1361|8743|16997|11289
20180415|59864|18455|2805|1368|8802|17190|11244
20180515|60216|18573|2820|1370|8840|17388|11225
20180615|60479|18661|2831|1378|8902|17557|11150
20180715|60676|18734|2839|1385|8937|17675|11106
20180815|61038|18840|2856|1393|8984|17867|11098
20180915|61363|18925|2873|1401|9033|18076|11055
20181015|61665|19022|2881|1411|9079|18241|11031
20181115|62012|19130|2899|1417|9130|18445|10991
20181215|62278|19235|2907|1422|9194|18614|10906
20190115|62472|19304|2920|1427|9220|18748|10853
20190215|62809|19443|2940|1435|9264|18944|10783
20190315|63118|19543|2937|1443|9309|19138|10748
20190415|63464|19669|2952|1456|9363|19320|10704
20190515|63746|19773|2973|1458|9391|19481|10670
20190615|64048|19851|3001|1468|9447|19686|10595
20190715|64408|19964|3020|1476|9511|19886|10551
20190815|64725|20081|3028|1480|9544|20066|10526
20190915|65071|20212|3040|1490|9619|20225|10485
20191015|65415|20356|3043|1499|9667|20428|10422
20191115|65733|20498|3048|1506|9725|20627|10329
20191215|66006|20618|3059|1517|9757|20825|10230
20200115|66298|20712|3069|1532|9816|20978|10191
20200215|66633|20834|3080|1540|9867|21212|10100
20200315|67056|20948|3098|1551|9928|21440|10091
20200415|67321|21039|3105|1554|9971|21665|9987
20200515|67595|21122|3110|1563|10042|21839|9919
20200615|67915|21238|3115|1578|10094|22015|9875
20200715|68252|21350|3137|1584|10168|22226|9787
20200815|68635|21419|3153|1600|10246|22482|9735
20200915|68973|21528|3163|1606|10285|22726|9665
20201015|69254|21665|3181|1615|10343|22900|9550
20201115|69527|21787|3199|1627|10400|23036|9478
20201215|69799|21912|3208|1631|10459|23205|9384
20210115|69866|21974|3224|1637|10506|23285|9240
20210215|70142|22101|3236|1644|10565|23418|9178
20210315|70390|22239|3248|1655|10610|23585|9053
20210415|70678|22355|3262|1666|10688|23753|8954
20210515|70802|22412|3274|1679|10736|23871|8830
20210615|71025|22526|3282|1686|10794|24005|8732
20210715|71178|22601|3290|1691|10837|24133|8626
20210815|71328|22689|3306|1694|10879|24274|8486
20210915|71621|22786|3327|1701|10952|24414|8441
20211015|71692|22887|3330|1704|10982|24517|8272
20211115|71883|22961|3338|1714|11060|24644|8166
20211215|72019|23061|3361|1724|11096|24791|7986
20220115|72267|23137|3369|1732|11116|24982|7931
20220215|72407|23196|3382|1738|11178|25132|7781
20220315|72392|23276|3388|1734|11210|25205|7579
20220415|72560|23367|3400|1744|11271|25349|7429
20220515|72749|23439|3412|1752|11326|25487|7333
20220615|72837|23509|3425|1756|11366|25628|7153
20220715|73113|23616|3436|1759|11463|25769|7070
20220815|73209|23702|3452|1768|11521|25855|6911
20220915|73343|23790|3453|1776|11586|25966|6772
20221015|73247|23843|3457|1775|11592|26066|6514
20221115|73342|23946|3467|1782|11661|26152|6334
20221215|73477|24014|3472|1789|11725|26306|6171
20230115|73580|24081|3484|1792|11778|26425|6020
20230215|73570|24184|3489|1801|11828|26504|5764
20230315|73729|24293|3500|1805|11921|26619|5591
20230415|73906|24391|3502|1817|12004|26747|5445
20230515|73944|24479|3506|1816|12078|26836|5229
20230615|74036|24578|3513|1824|12145|26934|5042
20230715|74054|24639|3525|1831|12235|27030|4794
20230815|74188|24707|3527|1836|12340|27162|4616
20230915|74300|24805|3535|1841|12400|27285|4434
20231015|74473|24926|3542|1848|12486|27412|4259
20231115|74529|25015|3551|1856|12579|27540|3988
20231215|74637|25120|3555|1862|12673|27665|3762
20240115|74717|25196|3558|1863|12760|27786|3554
20240215|74821|25312|3569|1874|12840|27903|3323
20240315|74957|25420|3582|1888|12944|28047|3076
20240415|75074|25556|3583|1897|13033|28185|2820
20240515|75297|25710|3592|1911|13152|28318|2614
20240615|75323|25798|3608|1918|13248|28433|2318
